year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2019,Castle Cove 132_11kV,01MAY2018,MW,14.71868,14.53516,14.08246,13.43401,13.39730,13.39730,13.00578,12.72438,12.49191,12.10040,12.10040,12.10040,12.00252,11.45194,11.45194,11.45194,11.45194,11.45194,11.45194,11.45194,11.45194,11.67217,12.28392,13.21378,14.33940,15.39161,16.57840,17.72849,19.03763,19.77173,20.40795,21.05640,21.60698,21.76603,21.76603,22.20649,22.62248,22.78153,22.69589,22.42672,23.03847,23.33211,23.07517,23.62575,23.62575,23.62575,23.74810,23.67469,23.67469,23.83374,23.87045,23.69916,24.15185,23.89492,24.23750,24.23750,23.80927,23.80927,23.80927,23.80927,23.80927,23.80927,24.23750,23.95609,24.09068,24.55561,24.23750,23.95609,24.37208,24.82477,24.69019,24.66572,24.07844,23.72363,23.40552,23.06294,22.37778,21.49686,21.17875,20.83617,20.44465,20.21219,20.10207,19.34350,18.85410,18.74399,18.19342,17.77743,17.50826,16.93321,16.71298,16.26029,15.64854,15.00009,15.00009,14.88997
2019,Castle Cove 132_11kV,02MAY2018,MW,14.37610,14.37610,14.08246,13.65424,13.65424,13.42177,12.99355,12.65097,12.39403,12.25945,11.77005,11.77005,11.77005,11.77005,11.77005,11.34183,11.12160,11.12160,11.12160,11.12160,11.41524,11.78229,12.33286,13.03025,13.94788,15.08573,16.16241,17.14121,18.16895,19.25786,19.95525,20.50583,20.98299,21.57027,21.72932,22.12084,22.97729,22.97729,23.27093,23.27093,23.57681,23.60128,24.05397,23.88268,23.56457,23.93162,24.26197,23.84598,24.11515,24.17632,24.31091,24.45773,24.66572,24.66572,24.66572,24.45773,24.49443,24.61678,24.06621,24.00503,23.96833,23.84598,24.00503,23.77257,23.93162,23.93162,23.93162,23.93162,24.20079,24.73913,24.73913,24.73913,24.23750,23.45446,23.34434,23.18529,22.40225,21.75379,21.28887,20.83617,20.62818,20.02866,19.71055,19.36797,19.01316,18.65834,18.02213,17.36144,17.36144,17.22685,16.65181,16.07676,15.39161,15.33043,15.33043,14.90221
2019,Castle Cove 132_11kV,03MAY2018,MW,14.26599,14.08246,13.87447,13.47071,13.47071,13.31166,12.77332,12.65097,12.13710,12.13710,11.90464,11.51312,11.51312,11.51312,11.51312,11.51312,11.51312,11.51312,11.51312,11.51312,11.51312,11.73335,12.14934,13.00578,13.96011,14.93891,16.13794,16.96992,18.29130,19.29456,19.97972,20.45689,21.10534,21.28887,21.31334,22.03520,22.91612,23.23423,22.94059,23.49116,23.78480,23.78480,24.38432,24.48220,24.58008,25.09394,25.09394,25.09394,25.57111,25.09394,25.09394,25.09394,25.64452,25.62005,25.13065,25.73016,25.73016,25.73016,25.49770,25.10618,25.10618,25.10618,25.10618,25.10618,25.03277,24.50667,24.50667,24.50667,25.00830,25.10618,25.70569,25.71793,25.14288,24.83701,24.35985,24.22526,23.66245,23.05070,23.05070,22.65918,22.45119,21.90061,21.79050,21.20322,19.90631,18.75622,18.14448,17.49602,17.14121,16.94545,16.44381,16.17464,15.48948,15.11020,15.11020,15.01232
2019,Castle Cove 132_11kV,04MAY2018,MW,14.38834,14.38834,13.80106,13.78882,13.78882,13.18931,12.99355,12.46744,12.44297,11.84346,11.84346,11.84346,11.45194,11.21948,11.21948,11.21948,11.21948,11.21948,11.21948,11.21948,11.21948,11.24395,12.01475,12.54085,13.66647,14.62080,15.66077,16.39487,17.82637,19.02539,19.89408,20.57924,21.35004,21.87614,22.63471,22.86718,23.42999,23.57681,23.93162,23.93162,24.26197,24.61678,24.61678,24.61678,24.76360,25.25300,25.25300,25.48546,25.95039,25.41205,25.05724,25.11841,25.42429,25.42429,25.42429,25.42429,25.42429,25.20406,24.76360,24.94712,24.69019,24.69019,24.69019,24.04174,24.02950,24.02950,24.02950,24.02950,24.02950,24.02950,24.02950,23.80927,22.97729,22.41448,22.02296,21.71709,20.79947,20.18772,19.96749,19.69832,19.29456,18.96422,18.64611,18.31577,18.04660,17.78966,17.36144,16.89651,16.76192,16.76192,16.50499,16.10123,15.46501,14.79209,14.79209,14.79209
2019,Castle Cove 132_11kV,05MAY2018,MW,14.79209,14.16811,13.80106,13.47071,13.47071,12.85896,12.76108,12.62650,12.11263,11.88017,11.47641,11.47641,11.47641,11.47641,11.47641,11.47641,10.97478,10.97478,10.97478,10.97478,10.97478,10.97478,10.97478,11.12160,12.17381,12.62650,12.96908,13.53189,14.27822,15.23255,15.62407,16.22358,16.99439,17.20238,17.64284,18.35247,19.04986,19.07433,19.07433,19.07433,19.64938,19.71055,19.71055,19.71055,19.71055,19.71055,19.71055,19.71055,19.71055,19.71055,19.71055,19.71055,19.71055,19.49032,19.13551,19.73502,19.73502,19.73502,19.73502,19.73502,19.73502,19.73502,19.73502,19.73502,19.73502,19.73502,19.73502,20.00419,20.35901,20.48136,21.06864,21.61921,21.61921,21.21546,20.99523,20.49359,20.26113,19.67385,19.61267,19.01316,19.01316,18.57270,18.37694,18.20565,17.72849,17.72849,17.55720,17.05556,17.05556,17.05556,16.52946,16.08900,15.69748,15.50172,15.56289,14.92668
2019,Castle Cove 132_11kV,06MAY2018,MW,14.48622,14.26599,14.26599,13.72765,13.65424,13.58083,12.99355,12.82226,12.36956,12.36956,11.92911,11.73335,11.73335,11.73335,11.73335,11.73335,11.73335,11.73335,11.73335,11.73335,11.73335,11.73335,11.73335,11.73335,12.02699,12.36956,12.84673,13.12813,14.00905,14.31493,14.52292,15.17138,15.67301,16.13794,16.94545,16.94545,17.45932,17.64284,17.64284,18.18118,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,18.97645,19.24562,19.62491,19.72279,20.33454,20.33454,21.15428,21.69262,22.34107,22.34107,22.23096,21.65591,21.65591,20.98299,20.34677,20.15101,19.62491,19.62491,19.19668,18.97645,18.48706,18.30353,17.99766,17.53273,16.95768,16.78639,16.35817,16.35817,15.75865,15.18361,14.90221,15.01232,14.71868
2019,Castle Cove 132_11kV,07MAY2018,MW,14.11917,14.11917,13.50742,13.47071,13.47071,13.37283,12.81002,12.56532,12.17381,12.17381,12.05146,11.52535,11.52535,11.52535,11.52535,11.52535,11.52535,11.52535,11.52535,11.52535,11.52535,11.85570,12.29616,13.03025,14.44951,15.44055,16.46828,17.55720,18.75622,19.62491,20.16325,20.77500,21.35004,21.52133,22.09637,22.09637,22.41448,22.79377,22.79377,22.79377,23.49116,23.51563,23.51563,23.54010,23.87045,23.76033,24.18856,23.96833,23.85821,23.98056,24.10291,24.10291,24.10291,24.10291,24.10291,24.10291,24.10291,24.10291,24.10291,24.10291,24.10291,24.10291,24.10291,24.10291,24.10291,24.10291,24.10291,24.38432,24.72690,24.72690,24.72690,24.72690,24.21303,23.82151,23.34434,22.83047,22.21872,21.61921,21.47239,20.87288,20.45689,20.06537,19.47809,19.47809,18.84187,18.47482,17.96095,17.47155,17.45932,16.87204,16.70075,16.17464,15.51395,14.91444,14.85327,14.85327
2019,Castle Cove 132_11kV,08MAY2018,MW,14.38834,14.20481,13.81329,13.56859,13.56859,13.31166,12.92014,12.57756,12.28392,12.28392,12.00252,11.63547,11.63547,11.63547,11.63547,11.63547,11.30512,11.26842,11.26842,11.26842,11.26842,11.26842,12.23498,13.00578,14.18034,15.19585,16.24805,17.31250,18.58493,19.41691,19.96749,20.24889,20.84841,21.25216,21.99849,21.76603,22.54907,22.54907,22.73259,23.03847,23.03847,23.03847,23.72363,23.25870,23.55234,23.80927,24.39655,23.88268,24.34761,24.35985,24.23750,24.39655,24.34761,23.73586,23.90715,24.22526,24.09068,24.42102,24.44549,23.89492,24.04174,23.91939,23.91939,23.91939,23.91939,23.91939,23.91939,24.18856,24.61678,25.27747,24.70243,24.54337,24.00503,23.89492,23.28317,22.90388,22.31660,21.44792,21.28887,21.03193,20.32230,20.06537,19.72279,19.40468,18.93975,18.79293,18.36471,17.74072,17.45932,17.45932,17.09227,16.54169,15.84430,15.47725,15.47725,14.88997
2019,Castle Cove 132_11kV,09MAY2018,MW,14.30269,14.20481,14.04576,13.49518,13.49518,13.49518,12.83449,12.79779,12.71214,12.14934,12.14934,12.14934,12.10040,11.54982,11.54982,11.54982,11.40300,11.40300,11.40300,11.40300,11.40300,12.23498,12.24722,12.90790,14.16811,15.24479,16.26029,17.38591,18.54823,19.46585,20.04090,20.54253,21.20322,21.21546,21.83944,21.86391,22.21872,22.46342,22.46342,22.46342,22.91612,23.12411,23.12411,23.25870,23.74810,24.29867,24.48220,24.48220,24.48220,24.48220,24.48220,24.48220,24.48220,24.48220,24.48220,24.48220,24.48220,24.48220,24.48220,24.48220,24.48220,23.89492,24.33538,23.85821,24.32314,24.32314,24.32314,24.32314,24.39655,24.95936,24.95936,24.58008,24.00503,23.74810,23.25870,22.84271,22.23096,21.77826,21.23993,20.86064,20.54253,20.16325,19.84514,19.38021,19.00092,18.60940,18.00989,17.70402,17.27579,17.20238,16.59063,16.02782,15.58736,15.37937,15.37937,14.88997
2019,Castle Cove 132_11kV,10MAY2018,MW,14.75539,14.68198,14.14364,13.43401,13.43401,13.27495,12.81002,12.81002,12.61426,12.21051,12.21051,12.17381,11.56206,11.56206,11.56206,11.56206,11.30512,11.30512,11.30512,11.30512,11.30512,11.58653,12.28392,13.00578,14.04576,15.04903,16.12570,17.37367,18.36471,19.39244,19.97972,20.73829,21.12981,21.46016,22.14531,22.32884,22.79377,22.79377,22.96506,23.33211,22.79377,23.14858,23.07517,23.52787,23.78480,23.78480,23.78480,23.91939,24.43326,24.37208,23.71139,24.27420,24.33538,24.33538,24.12738,23.96833,24.35985,24.35985,24.33538,23.74810,23.74810,23.74810,23.74810,23.74810,23.74810,23.74810,23.83374,24.37208,24.62902,25.03277,25.03277,25.03277,24.54337,24.40879,24.40879,23.67469,23.67469,23.45446,23.01400,23.01400,22.59801,22.31660,22.31660,21.76603,21.04417,19.89408,19.19668,18.46259,18.38918,18.10777,17.64284,17.00662,16.32146,15.74642,15.74642,15.45278
