year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2023,Charmhaven 132_11kV,01MAY2022,MW,17.94603,18.33561,18.53894,17.58927,16.47108,15.22627,15.98760,15.46259,14.42295,13.61840,13.05082,12.61008,12.04372,11.67102,11.50397,11.34138,11.31231,11.24363,11.25674,11.23552,11.64584,11.66056,11.55066,11.94818,12.49370,12.98156,13.57458,13.56655,13.22535,13.09249,13.03561,12.14002,11.14364,11.19633,10.16410,8.88120,8.92899,10.15015,8.11458,6.99511,7.36960,6.86648,5.60665,5.65808,5.44207,6.23250,5.05877,4.68355,4.66754,4.26219,4.25288,5.73762,8.68594,10.33592,7.89400,6.09585,6.29516,7.08015,8.13118,9.39482,10.23130,10.94046,12.27667,13.49920,14.63209,15.98326,17.60170,18.55262,18.88824,19.83868,20.65941,20.98417,21.14025,20.98628,20.62494,20.38413,19.73667,19.07399,18.52627,18.14679,18.37328,18.18030,17.80920,17.71051,17.56420,17.25697,16.59299,16.13195,16.03112,15.85132,17.10386,16.76635,17.14768,17.14412,18.08708,18.36038
2023,Charmhaven 132_11kV,02MAY2022,MW,17.81401,18.37206,18.72762,17.64198,16.55253,15.58618,16.15352,15.56405,14.58693,14.05587,13.20991,12.69054,12.45348,12.16395,11.89921,11.77245,11.75751,11.64341,11.67193,11.95613,12.53975,12.80276,13.04093,13.40479,14.24443,15.09340,16.30653,16.79973,16.44300,17.10536,17.03610,17.33092,16.66980,15.42214,15.37711,15.43433,15.94261,15.69307,15.60601,14.43276,14.10077,12.98689,8.91800,7.74931,10.63237,12.48467,14.39870,13.16433,11.53236,11.75860,11.40293,11.70153,10.54309,10.81943,10.02039,10.01019,10.11952,11.02629,11.78864,10.76643,10.20799,11.39944,12.52351,13.92075,15.26997,16.58953,17.81970,18.90854,19.48814,20.52402,21.08997,21.44764,21.30770,21.02275,20.72583,20.37776,19.83660,19.40731,19.25545,18.97550,18.88847,18.53900,18.25228,17.91794,17.75746,17.46100,16.94599,16.38259,16.34746,16.02057,17.23914,16.78454,17.03027,17.09319,17.97012,18.25533
2023,Charmhaven 132_11kV,03MAY2022,MW,17.77587,18.29790,18.41186,17.27596,16.25875,15.30181,16.00764,15.37801,14.40695,13.78691,13.06996,12.49829,12.11554,11.84170,11.72480,11.57187,11.60520,11.55426,11.61283,12.10809,12.51230,12.83876,13.42594,13.73143,14.50842,15.26037,16.42586,17.31333,16.52576,16.21682,15.55744,14.46977,13.66283,12.60182,11.88845,10.76395,9.61695,8.58445,7.95757,7.19848,6.58250,6.08370,5.44405,5.38281,5.21226,5.29550,5.01183,4.98214,4.89216,4.32173,4.45632,4.75135,5.11777,5.78214,6.55604,7.53973,8.42071,8.83103,8.51042,9.26407,10.20389,11.13660,12.52263,13.63183,14.96742,16.40432,17.65593,18.79399,19.08224,20.00051,20.52047,21.02458,20.92539,20.64465,20.45139,19.84873,19.35218,18.84095,18.59505,18.21191,18.42051,18.33084,17.98763,17.87553,17.67583,17.21814,16.84045,16.29254,16.16953,16.02988,17.23280,16.65678,16.83818,16.90803,17.72186,17.67663
2023,Charmhaven 132_11kV,04MAY2022,MW,17.45064,18.05934,18.20220,17.18693,16.17651,15.16751,15.75900,15.18951,14.43598,13.62377,13.09586,12.54997,12.11361,11.75960,11.57817,11.51927,11.42696,11.55998,11.53095,11.76146,12.34954,12.82475,13.16028,13.82106,14.54857,15.00524,15.64948,16.12130,15.16781,14.55078,14.03475,13.34919,12.34510,11.34578,10.59581,9.69604,9.08914,8.09738,7.29820,6.69288,6.22509,5.50163,5.04227,4.77033,4.61222,4.40328,4.38392,4.36526,4.28379,4.62442,4.55856,4.70892,4.85592,5.28086,6.09801,6.78700,7.37590,8.35853,8.92974,10.01070,10.91306,11.83315,13.09733,14.53030,17.04370,17.15849,17.88367,18.62613,19.07787,19.78300,20.16304,20.65894,20.49342,20.46233,20.20007,19.69829,19.36153,18.83528,18.43564,18.01883,18.04253,17.68248,17.56788,17.35448,17.04560,16.77536,16.27458,15.73530,15.78529,15.69900,16.84551,16.41402,16.64389,16.76813,17.42946,17.50620
2023,Charmhaven 132_11kV,05MAY2022,MW,17.19063,17.59089,17.76039,16.74688,15.99922,14.75768,15.35246,14.78044,13.91810,13.18447,12.67094,12.27257,11.89694,11.52760,11.46954,11.23744,11.31322,11.34234,11.59731,11.60153,12.01804,12.34304,12.51515,12.88559,13.73252,14.51493,15.39491,16.20869,16.06565,16.77246,17.85816,17.75917,17.68630,17.78329,16.96755,16.83138,17.28950,16.98203,16.40605,13.47691,14.20612,13.42038,11.10823,9.74452,6.31767,5.36547,5.64198,5.53429,6.01459,6.17857,8.49657,9.31736,7.56948,11.17384,10.32445,14.25652,9.42075,9.30290,9.61429,10.66282,14.68892,17.55181,18.04639,18.43484,17.94709,16.53584,17.16752,18.38406,18.92670,19.66883,20.68816,21.10614,20.96697,20.93452,20.71124,20.46589,19.90532,19.41235,19.10095,18.65835,18.58655,18.37956,18.32194,18.18756,17.77021,17.44089,17.00240,16.38883,16.20305,16.26504,17.40283,16.64314,16.98342,17.15843,17.76569,17.82204
2023,Charmhaven 132_11kV,06MAY2022,MW,17.62165,18.11602,18.33597,17.16339,16.29483,15.27063,15.80750,15.40059,14.36589,13.64474,12.92052,12.46212,12.04065,11.81975,11.62023,11.62339,11.51786,11.52267,11.64565,11.91757,12.45736,12.79417,13.01001,13.40059,14.17355,14.77774,16.11797,17.12195,16.12154,15.75325,14.85014,13.80896,13.18149,12.34145,11.20654,10.56908,9.54569,8.55876,7.69915,7.00997,5.84660,5.35913,5.07848,4.21582,3.91451,3.57675,3.52657,3.35010,3.22012,3.20197,3.39448,3.56276,3.77843,4.20582,4.55694,5.04894,5.64961,6.47978,7.07403,7.96612,9.02085,10.15112,11.34709,12.78147,14.12888,15.41459,16.73034,17.79812,18.42203,19.37994,20.11589,20.61539,20.60968,20.65838,20.55795,20.38184,20.16954,19.90226,19.76658,19.53230,19.67411,19.65861,19.48220,19.19947,19.05468,18.81659,18.52665,18.02325,17.96157,17.97223,19.02873,18.44827,18.67383,18.85122,19.60883,19.54398
2023,Charmhaven 132_11kV,07MAY2022,MW,19.04929,19.30635,19.54983,18.54165,17.48059,16.47072,17.02514,16.51256,15.72354,14.86276,14.16516,13.48366,13.16074,12.84425,12.74883,12.45685,12.27487,12.44286,12.38894,12.33303,12.60250,12.89641,13.42164,13.91357,14.52878,15.29984,16.32218,17.31478,16.83155,16.67702,16.06478,15.78039,14.87104,14.45655,13.30477,12.07425,11.56054,10.64421,10.51578,10.51945,11.77249,10.74129,7.66609,8.44342,6.16763,7.51084,8.24968,5.15427,6.22616,3.56707,3.52799,6.80149,7.40015,8.52369,8.44704,8.75683,9.72031,7.74866,7.31632,8.01940,9.29886,10.55424,12.24608,13.60054,15.43576,16.64960,17.98791,19.13084,19.80087,20.93516,21.87074,22.36177,22.39608,22.26125,21.92216,21.61840,21.26863,20.87201,20.64437,20.45293,20.47958,20.42220,20.35943,19.94247,19.69810,19.73800,19.14820,18.71592,18.59825,18.72448,19.64616,19.18899,19.36784,19.51007,20.20690,20.38114
2023,Charmhaven 132_11kV,08MAY2022,MW,19.93130,20.37945,20.30352,19.27330,18.26171,17.16257,17.62657,17.02381,15.91006,15.14013,14.51066,13.79478,13.29909,13.00630,12.84308,12.75675,12.67042,12.53969,12.52019,12.57374,12.78843,13.05070,13.35415,13.76725,14.40174,15.00431,15.78910,16.35189,15.96339,16.09506,15.81743,15.19092,14.73750,14.27269,13.45559,12.53677,11.32150,10.13765,9.20719,8.34790,7.49345,6.77412,5.95070,5.26409,4.75918,4.41898,4.19228,3.82522,3.74721,3.67684,3.66304,3.67393,3.85686,4.13742,4.52360,4.89280,5.46874,6.25743,7.10787,8.09107,9.05830,10.27253,11.66228,13.10079,14.39191,15.77243,17.30078,18.69254,19.29083,20.51633,21.69401,22.29075,22.52080,22.64193,22.52979,22.32980,21.86583,21.57301,21.30488,20.95874,21.14978,20.82688,20.71581,20.19634,19.86668,19.53194,18.91379,18.08681,17.67205,17.46033,18.32692,17.72312,17.92475,18.16028,18.98729,19.20476
2023,Charmhaven 132_11kV,09MAY2022,MW,18.90106,19.29404,19.39521,18.28577,17.53397,16.39958,17.01084,16.38775,15.47942,14.71159,14.00444,13.47402,12.94059,12.63263,12.37724,12.33084,12.27230,12.30448,12.32584,12.82228,13.32341,13.65375,14.07523,14.66083,15.50902,16.30964,17.77494,19.13166,18.59754,17.66132,17.21400,17.95081,18.55683,18.58598,14.30755,12.37262,14.75280,14.33865,15.12649,12.89921,9.79656,8.24018,7.04972,8.06069,10.08434,12.51411,13.58801,12.80609,10.56777,9.37440,8.72437,13.90579,14.55055,12.74813,13.44444,14.40743,14.51577,12.52907,14.02700,15.05533,14.68668,15.41113,16.46760,17.95226,18.10657,18.71349,19.74410,21.13156,21.99826,23.22131,23.72156,24.05811,23.63154,23.51505,23.20856,22.70892,21.99127,21.54558,21.09738,20.64229,20.65419,20.38892,20.07421,19.70137,19.17552,18.99214,18.21597,17.59098,17.38602,17.16447,18.15414,17.71841,17.87250,18.09098,18.87181,18.96531
2023,Charmhaven 132_11kV,10MAY2022,MW,18.46010,19.00976,19.25200,18.19787,17.13087,16.09885,16.80286,16.39630,15.33353,14.49125,13.75614,13.43635,13.06312,12.80314,12.35942,12.39507,12.50629,12.31663,12.38606,12.69028,13.57222,13.91159,14.41735,14.70787,15.49962,16.22452,17.55483,19.09044,18.45564,19.34623,19.93996,19.45527,19.01986,15.84948,14.84635,15.24302,12.08904,14.35796,15.88126,9.59322,9.04878,12.47088,14.00465,14.73283,11.56153,12.39007,13.03849,13.47665,7.15353,7.55723,6.16860,9.09537,10.75720,12.44796,14.06854,10.73702,13.97493,16.61480,14.14459,16.39090,17.29613,17.17163,17.85043,18.58020,18.64001,19.24201,20.01723,21.13826,21.91950,23.00201,23.64057,24.00626,23.76730,23.43985,22.87375,22.50514,22.06124,21.54579,20.98876,20.60574,20.41947,20.00487,19.94549,19.76720,19.16967,19.01601,18.44164,17.60613,17.08188,16.92179,18.10705,17.51892,17.63530,17.82581,18.59005,18.59839
