year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2023,City Central 132_11kV,01MAY2022,MW,29.95756,29.43273,29.43273,28.69764,28.54907,28.54907,27.90679,27.59743,27.59743,27.59743,27.59743,27.45834,26.71377,26.71377,26.71377,26.71377,26.71377,26.71377,26.71377,26.71377,26.71377,26.71377,26.71377,26.71377,26.71377,27.57292,27.59743,27.59743,28.17313,28.59438,28.59438,28.59438,29.56225,29.59133,29.95806,30.49765,31.36779,32.21966,32.21966,33.02675,34.00964,34.00964,34.00964,34.00964,34.68185,34.93862,34.93862,34.93862,34.93862,34.93862,35.67101,35.82228,35.82228,35.82228,35.82228,35.82228,35.82228,35.82228,35.82228,36.27603,36.23012,36.23012,36.23012,36.23012,36.23012,36.23012,36.23012,36.23012,35.39913,35.36912,35.36912,35.36912,35.36912,34.55531,33.66241,33.55648,33.55648,33.55648,33.52460,32.71814,32.71814,32.71814,32.47683,31.78916,31.78916,31.78916,31.78916,31.23573,30.23695,30.02183,30.02183,30.02183,29.44705,29.07020,29.07020,28.27609
2023,City Central 132_11kV,02MAY2022,MW,28.16388,27.67456,27.32553,27.32553,27.32553,27.32553,27.32553,26.84280,26.37390,26.37390,26.37390,26.37390,26.37390,26.37390,26.37390,26.37390,26.37390,26.37390,26.37390,26.37390,27.09889,27.76810,28.24212,29.38137,32.40564,33.73774,34.06143,35.20081,40.38877,42.68952,43.99970,45.81603,49.20127,50.88284,52.19891,53.07962,54.38674,54.62678,55.39800,56.14061,56.86098,57.09813,56.79076,57.42797,57.02440,58.04640,57.95718,57.69959,58.10554,58.35063,58.99967,59.08786,59.31373,58.84145,58.48538,58.10632,58.28838,58.72951,58.08209,57.68691,57.21035,56.82623,57.39235,57.47383,57.49668,57.22517,56.69029,55.79539,53.42721,52.50203,51.89925,50.63274,46.05450,43.80529,42.20956,40.87138,39.41350,38.88111,37.84501,37.13644,36.96483,36.25278,35.80441,35.32380,34.63775,34.16700,33.42053,33.22188,32.55953,32.40523,31.51726,30.52094,30.49282,29.65931,29.65931,28.91983
2023,City Central 132_11kV,03MAY2022,MW,28.28638,27.57477,27.57477,27.35013,26.75908,26.75908,26.75908,26.75908,26.75908,26.75908,26.49679,25.83011,25.83011,25.83011,25.90079,26.69111,26.69111,26.69111,26.69111,26.69111,26.93050,27.89548,28.35558,29.26079,31.75385,32.80877,34.26589,35.58681,40.01425,42.52589,45.26148,46.87135,50.47021,52.29119,54.18174,55.32082,56.47942,57.05416,57.33167,58.09246,58.67337,59.86516,60.47041,60.10733,60.82056,60.98025,61.31132,63.28307,62.80737,62.46028,61.48457,61.59691,62.33656,61.44393,61.59278,61.18457,61.56559,61.64698,61.56175,61.56175,61.13698,60.30166,59.84647,59.54887,58.67475,58.51524,58.15584,57.88262,56.09361,54.79181,53.23915,52.08247,47.31687,45.21633,43.83136,42.20483,41.16481,39.90072,39.31635,38.99440,38.28145,38.01934,37.18176,36.44935,36.32076,35.44071,35.16805,34.30259,33.35256,32.69031,32.13391,31.53992,31.23527,30.64000,29.86323,28.99745
2023,City Central 132_11kV,04MAY2022,MW,28.37099,28.07325,28.05560,27.25756,27.25756,27.25756,27.00300,26.41921,26.41921,26.41921,26.41921,26.41921,26.41921,26.41921,26.41921,26.41921,25.62167,25.53555,25.53555,25.98722,27.17512,28.10189,28.29983,28.79177,31.73199,33.12322,34.21089,35.53685,40.11689,42.08184,45.01962,46.10855,49.45255,50.75452,52.48285,53.74141,55.54803,55.66855,55.91992,55.91992,55.91992,55.91992,55.91992,55.91992,55.91992,55.91992,58.38444,60.40145,61.12560,61.54259,61.36666,61.81572,61.79321,61.87897,62.26676,63.08989,63.08868,63.46419,63.23084,63.10250,63.00291,62.12820,61.94014,61.41488,60.55708,60.09120,59.59903,58.94670,57.10491,55.81084,54.55279,53.36379,48.55741,46.69507,44.64203,42.91630,41.35009,40.96564,40.35939,39.23677,38.86187,38.22403,37.70329,37.06681,36.54734,36.06783,35.73165,35.21218,34.23425,33.61569,32.87674,32.67188,31.99308,31.26665,31.17739,30.88961
2023,City Central 132_11kV,05MAY2022,MW,29.41530,29.29678,29.22120,28.36780,28.36780,28.36780,28.36780,27.48982,27.48414,27.48414,27.48414,27.48414,27.04772,26.62314,26.62314,26.62314,26.62314,26.62314,26.62314,26.62314,27.52235,28.48109,28.80750,29.36343,31.99510,33.26193,34.15666,35.43463,40.41624,43.35072,46.18428,48.04663,50.94721,53.50646,54.43556,55.50195,57.37278,57.50639,58.23855,59.28151,59.58573,59.67521,60.33372,60.44467,60.84424,59.88033,60.26160,60.31556,60.26578,60.55516,61.06761,61.30772,61.47677,61.04891,61.64395,61.48696,61.53554,61.08913,60.84544,59.95304,60.29262,59.97569,59.97569,59.98427,59.48588,58.53779,58.82657,58.03164,56.80396,55.78110,53.99587,52.79155,48.64218,47.11329,45.71893,44.07327,42.97470,41.40569,42.19729,41.99514,40.72394,39.97197,39.35693,38.98616,37.77888,37.34036,36.44200,36.02931,34.14408,33.73774,33.62945,32.80877,31.78269,30.95081,30.95081,30.71237
2023,City Central 132_11kV,06MAY2022,MW,29.94305,28.75299,28.40096,27.82401,27.82401,27.82401,27.00428,26.94035,26.94035,26.94035,26.94035,26.94035,26.94035,26.94035,26.94035,26.16320,25.94340,25.94340,25.94340,25.94340,26.78252,26.99821,28.68070,28.86430,31.59790,32.06105,32.63199,34.52828,38.90284,41.09362,43.03415,44.22863,47.35184,49.07320,50.51440,50.66480,51.88021,52.77534,52.37046,53.47582,53.95618,54.44059,54.90542,54.89854,55.02228,55.35303,55.04142,54.56700,55.26519,55.65538,55.88826,55.69688,55.46363,55.63637,55.48129,56.27850,56.07852,55.86859,55.34393,55.71599,55.25819,54.83519,54.19791,54.19791,54.53529,53.24627,52.79702,52.69269,52.30339,51.11202,50.05085,48.93932,44.40546,43.74152,42.36365,40.88294,39.81836,39.58351,38.89429,37.79450,36.84189,36.84189,36.64730,35.70899,35.68973,34.68938,34.53304,33.82838,33.67939,32.83143,32.83143,31.94402,31.34309,30.74256,30.08981,30.08981
2023,City Central 132_11kV,07MAY2022,MW,29.31292,29.11551,28.98866,28.18654,28.18654,27.56273,27.23490,27.23490,27.23490,27.00342,26.41921,26.41921,26.41921,26.41921,26.41921,26.41921,26.41921,26.41921,26.41921,26.41921,26.41921,26.41921,26.41921,26.41921,26.81316,27.32553,27.32553,27.61599,28.79983,29.76983,30.04449,30.23196,31.75563,31.81182,32.31385,32.98730,34.18466,34.53077,34.63041,35.45975,35.45975,35.45975,35.45975,36.29505,36.47936,36.47936,36.47936,36.47936,36.47936,36.47936,36.47936,36.71206,37.31771,37.31771,37.11953,36.53053,37.24973,37.24973,36.85508,37.70289,37.70289,37.70289,37.02518,36.88720,36.88720,36.88720,36.88720,36.88720,36.88720,36.88720,36.88720,36.88720,36.06483,35.82228,35.82228,35.31438,34.98393,34.98393,34.98393,34.98393,34.21413,34.10027,34.10027,34.10027,33.97633,33.14864,33.14864,33.14864,32.56896,31.60010,31.31334,31.31334,30.71344,30.18044,30.18044,30.18044
2023,City Central 132_11kV,08MAY2022,MW,29.35792,28.98615,28.36780,28.36780,28.36780,27.59261,27.55211,27.55211,27.49325,26.64579,26.64579,26.64579,26.64579,26.64579,25.78521,25.78479,25.78479,25.78479,25.78479,25.78479,25.78479,25.78479,25.78479,25.78479,26.33096,26.69111,26.69111,26.71939,27.66540,27.92588,28.54907,28.54907,29.37331,29.75398,30.54297,30.58492,31.78315,32.35561,32.35561,33.10344,33.23927,33.23927,33.89276,34.21356,34.21356,34.21356,34.35756,35.07457,35.07457,35.07457,35.07457,35.07457,35.07457,35.07457,35.07457,35.07457,35.07457,35.07457,35.07457,35.07457,35.07457,35.07457,35.07457,35.07457,35.07457,35.07457,35.07457,35.07457,34.41359,34.14559,34.14559,34.14559,34.14559,34.14559,33.62377,33.14864,33.14864,32.96516,32.01375,31.24537,31.24537,31.24537,31.24537,31.24537,31.24537,30.56265,30.27107,30.27107,30.27107,29.89954,29.43273,29.12120,28.52641,28.50871,27.68806,27.68806
2023,City Central 132_11kV,09MAY2022,MW,27.68806,26.79038,26.73643,26.73643,26.73643,26.34977,25.89808,25.89808,25.89808,25.89808,25.89808,25.89808,25.89808,25.89808,25.89808,25.89808,25.89808,25.89808,25.89808,25.89808,25.89808,26.74697,28.10997,29.01630,32.02107,32.92206,33.97038,35.07287,40.26479,42.47660,43.99323,45.37383,48.70791,49.97292,51.03824,52.13248,52.59409,52.76472,53.04235,53.34984,53.59306,53.42754,53.54067,53.72043,53.89292,53.94390,53.70685,54.07913,54.75160,54.89910,54.85760,55.96523,55.60973,55.14954,54.77556,54.86766,54.80808,53.93444,54.31314,53.88070,53.88070,53.55289,53.69943,53.24909,52.81577,52.81577,52.69251,51.97743,51.66736,50.74202,50.02884,49.78305,45.15995,43.44066,41.80025,40.89803,39.52007,38.64068,37.95213,37.38568,36.46307,36.45670,35.63157,35.50507,34.79813,34.37351,33.57914,33.25329,32.45850,31.83447,31.55399,30.97347,30.13495,29.33445,29.20615,29.20615
2023,City Central 132_11kV,10MAY2022,MW,28.31429,28.27717,27.97620,27.34819,27.34819,27.11986,26.44187,26.44187,26.44187,26.44187,26.44187,26.44187,26.44187,26.44187,26.44187,26.44187,26.44187,26.44187,26.44187,26.44187,26.88397,27.39351,27.94304,29.13507,31.76645,32.89940,34.27172,35.81196,40.24811,43.08098,44.71980,46.14144,49.38419,50.96744,51.67551,52.92372,53.52660,53.86546,54.49613,55.60270,55.94188,56.40358,56.44105,56.85841,56.72502,56.26642,56.31319,56.74673,56.62155,57.14345,56.62180,56.39318,56.70066,56.27426,56.67211,56.76528,57.15518,56.93679,56.57696,57.10879,56.73560,56.46155,55.74585,55.12399,55.30253,54.65649,54.51687,54.19044,52.78569,52.21736,51.43827,49.92950,45.83026,43.98471,42.58289,41.51620,39.97967,38.92897,38.26934,37.72375,37.45365,36.48863,36.43405,36.01053,35.11775,34.59875,34.59875,33.86655,32.97994,32.05233,31.05659,30.97347,30.48044,30.13512,30.01752,29.22880
