year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2019,Darling Harbour 132_11kV,01MAY2018,MW,24.86844,24.77388,24.20654,23.99852,23.58247,23.58247,23.58247,23.35553,23.22315,22.80710,22.80710,22.80710,22.80710,22.80710,22.52343,22.16412,22.48561,22.80710,22.90166,22.90166,23.16642,23.60138,23.60138,24.16872,25.37905,26.62720,27.55385,28.46160,30.37165,31.35504,31.77109,32.41407,32.94359,33.30291,33.13271,33.09488,33.58658,33.58658,33.58658,33.83243,34.07827,34.04045,34.17283,35.00493,35.00493,34.75908,35.25078,35.43989,35.43989,35.57227,35.89376,35.78030,36.36655,36.40437,35.98832,35.89376,36.00723,36.42328,36.30981,35.98832,35.91268,35.91268,36.10179,36.08288,36.04506,35.89376,35.98832,36.08288,35.64792,35.96941,36.42328,36.25308,35.49663,35.26969,35.32642,35.26969,34.47541,34.09719,33.96481,33.81351,33.73787,33.05706,32.65992,32.43299,32.18714,31.63871,31.01463,30.12580,29.40717,28.51833,28.00773,27.57277,27.06216,26.79740,26.13550,25.64381
2019,Darling Harbour 132_11kV,02MAY2018,MW,25.32231,24.96300,24.66042,24.28219,24.28219,24.20654,23.54465,23.39335,22.92057,22.92057,22.92057,22.92057,22.92057,22.92057,22.92057,22.92057,22.52343,22.33432,22.29650,22.29650,23.27989,23.48791,23.75267,24.54695,25.92748,26.83522,28.04555,28.72636,30.27709,31.46851,31.84673,32.50863,33.70005,33.90807,33.88916,33.81351,34.56997,34.55106,34.56997,34.68344,34.62670,35.11840,35.34534,35.28860,35.47771,36.12070,36.25308,36.15852,35.95050,35.95050,36.08288,36.46111,36.85824,36.76369,36.80151,36.40437,36.44219,36.42328,36.21526,35.74247,36.34764,36.40437,36.36655,35.02384,35.11840,35.30751,35.51554,35.51554,35.98832,36.74478,37.53905,37.00953,36.76369,36.34764,36.13961,35.51554,35.09949,34.83473,34.74017,34.00263,34.07827,33.73787,33.41638,33.35964,32.81121,32.47081,31.86564,31.39286,30.18253,29.78539,29.01003,28.27249,27.47821,27.21345,26.70284,26.34353
2019,Darling Harbour 132_11kV,03MAY2018,MW,25.85183,25.64381,25.18993,24.88735,24.49021,24.49021,23.69594,23.65811,23.65811,23.24206,23.03404,23.46900,23.07186,23.07186,23.03404,22.46670,22.29650,22.29650,22.29650,22.29650,22.86384,22.97730,24.09307,24.67933,25.87074,26.83522,27.70514,28.48051,30.50403,31.24157,31.82782,32.71666,33.13271,33.45420,33.81351,33.85134,34.04045,34.22956,34.30521,34.49432,35.11840,35.42098,35.83703,36.00723,36.89607,36.59349,36.76369,37.63361,37.31212,36.97171,37.34994,37.63361,37.70926,37.55796,38.31442,38.46571,38.23877,38.80611,38.12531,38.06857,37.89837,38.01184,37.72817,37.10409,37.61470,37.27429,37.17974,36.55566,36.95280,37.14191,37.12300,37.02845,36.74478,36.38546,35.91268,35.91268,34.75908,34.32412,34.21065,34.02154,33.51093,33.75678,33.81351,33.41638,32.86795,32.73557,32.16823,31.77109,31.14701,30.06907,29.40717,29.33152,28.59398,28.29140,27.59168,26.85413
2019,Darling Harbour 132_11kV,04MAY2018,MW,25.87074,25.64381,25.39796,25.00082,25.00082,24.54695,24.37675,24.37675,24.05525,23.75267,23.75267,23.75267,23.52573,23.01513,23.01513,23.01513,23.27989,23.56356,23.69594,23.12860,23.54465,23.54465,23.90396,25.26558,26.58937,27.40256,28.40487,29.69084,31.16592,32.77339,33.18944,34.04045,34.43759,34.79691,34.94820,35.15622,35.57227,35.91268,36.12070,36.36655,36.89607,38.08748,37.97401,38.12531,38.33333,38.57918,38.73047,39.12761,39.22216,38.93849,39.29781,38.80611,39.39237,39.10870,38.86285,38.91958,38.57918,38.35224,38.35224,37.84163,37.80381,37.67143,37.16083,36.72586,36.13961,36.27199,36.32873,36.38546,36.36655,36.15852,36.12070,35.98832,35.53445,35.11840,34.68344,34.55106,33.64331,33.51093,33.49202,33.22726,32.79230,32.39516,32.30061,31.75218,31.29830,31.14701,30.71205,30.69314,30.61749,29.89886,29.31261,28.82092,28.14011,27.85644,27.51603,27.08107
2019,Darling Harbour 132_11kV,05MAY2018,MW,26.55155,26.55155,25.88965,25.56816,24.94409,24.86844,24.11199,24.11199,23.60138,23.46900,23.46900,23.24206,22.84493,22.84493,22.69363,22.75037,23.12860,23.37444,23.18533,22.69363,22.69363,23.29880,23.62029,23.52573,24.39566,24.67933,24.83062,25.22776,25.90857,26.21115,26.91087,26.96760,27.32692,27.62950,28.19684,28.29140,28.70745,28.95329,28.99112,29.46390,29.91777,30.25818,29.97451,30.01233,30.14471,30.06907,30.03124,29.99342,30.61749,30.76879,31.07137,30.88225,30.63641,30.50403,30.40947,30.25818,30.56076,30.35274,30.59858,31.03354,31.03354,30.73096,30.54185,30.57967,30.86334,30.65532,30.74987,31.10919,31.90347,32.41407,32.77339,32.79230,32.86795,33.00033,33.00033,32.67883,32.39516,32.45190,32.39516,31.80891,31.67653,31.44959,31.50633,31.24157,31.37395,31.16592,30.86334,30.69314,30.18253,29.99342,29.21805,28.68854,28.68854,28.04555,27.96990,27.15672
2019,Darling Harbour 132_11kV,06MAY2018,MW,26.92978,26.07877,25.68163,25.20885,25.01973,24.39566,24.28219,24.28219,24.03634,23.65811,23.65811,23.65811,23.48791,22.92057,22.92057,22.92057,22.92057,22.95839,23.39335,22.82601,22.84493,22.84493,23.24206,23.60138,23.82832,24.09307,24.45239,24.45239,24.94409,25.60598,25.92748,26.07877,26.58937,26.58937,26.87305,27.45930,27.38365,27.55385,27.66732,27.95099,28.59398,28.89656,29.18023,29.25588,29.35043,29.78539,29.25588,29.63410,30.23927,30.01233,30.01233,30.01233,30.14471,30.35274,30.29600,30.18253,30.35274,30.05015,30.27709,30.48512,30.50403,30.56076,30.50403,30.29600,30.50403,30.52294,30.73096,31.31722,31.43068,32.11149,32.69774,32.96250,33.17053,33.17053,33.11379,33.22726,32.69774,32.65992,32.09258,31.86564,31.80891,31.71435,31.31722,31.37395,30.65532,30.61749,30.33382,29.93669,29.48281,28.99112,28.21575,27.62950,27.38365,26.72175,26.24897,25.70054
2019,Darling Harbour 132_11kV,07MAY2018,MW,25.15211,24.79280,24.71715,24.71715,24.03634,24.03634,23.58247,23.37444,23.37444,23.37444,23.37444,23.18533,22.75037,22.75037,22.75037,22.75037,22.75037,22.75037,22.75037,22.75037,22.97730,23.75267,23.94178,24.77388,25.94639,27.13780,28.12119,28.93438,30.82552,31.84673,32.41407,32.94359,33.41638,33.41638,33.52984,33.30291,33.35964,33.51093,34.00263,34.09719,34.75908,35.09949,35.55336,35.51554,35.51554,35.51554,35.68574,35.57227,36.13961,36.44219,36.66913,36.68804,36.91498,36.74478,36.87716,36.72586,37.53905,36.97171,36.80151,36.80151,36.99062,36.93389,36.40437,36.38546,36.66913,36.27199,36.12070,36.40437,36.17744,36.32873,36.61240,36.82042,36.15852,35.95050,35.95050,35.91268,34.85364,34.47541,34.39977,33.85134,33.41638,33.13271,32.81121,32.24387,31.75218,31.69544,30.99572,30.56076,29.97451,28.97221,28.53724,27.83752,27.15672,26.62720,26.23006,25.79510
2019,Darling Harbour 132_11kV,08MAY2018,MW,25.49252,25.01973,24.94409,24.79280,24.39566,24.11199,23.92287,23.37444,23.37444,23.37444,22.82601,22.69363,22.69363,22.69363,22.69363,22.69363,22.59908,22.58017,22.58017,22.58017,23.50682,23.54465,24.20654,24.83062,25.83292,26.89196,27.95099,28.95329,30.69314,31.43068,32.09258,33.03815,33.18944,33.54876,33.88916,33.98372,33.96481,33.90807,33.98372,33.87025,34.24848,34.34303,34.70235,35.11840,35.19404,35.70465,35.74247,35.68574,36.23417,36.29090,36.13961,36.10179,36.30981,36.44219,36.49893,36.57457,36.89607,37.19865,36.76369,36.91498,37.42558,37.63361,37.17974,37.17974,36.70695,36.78260,36.32873,36.38546,36.68804,36.95280,37.10409,36.93389,36.32873,36.17744,36.17744,35.96941,35.23187,34.53215,34.28630,34.19174,33.79460,33.41638,32.83012,32.86795,32.65992,32.14931,31.88456,31.37395,30.40947,29.70975,28.93438,28.36704,27.62950,27.08107,26.79740,26.41917
2019,Darling Harbour 132_11kV,09MAY2018,MW,25.71945,25.30340,24.69824,24.67933,24.16872,24.16872,24.16872,23.94178,23.52573,23.52573,23.43118,23.20424,22.90166,22.69363,22.86384,22.23976,22.23976,22.23976,22.23976,22.39105,22.95839,23.54465,23.97961,24.54695,25.94639,26.92978,27.96990,29.27479,30.42838,31.56306,31.88456,32.60319,33.28400,33.54876,33.68114,33.83243,33.85134,34.02154,34.04045,34.32412,35.21296,35.89376,35.91268,36.38546,36.44219,36.49893,36.68804,36.76369,36.97171,37.29321,37.38776,37.55796,37.55796,37.55796,37.46341,37.63361,37.65252,37.25538,37.84163,38.01184,37.78490,37.80381,37.25538,37.17974,37.06627,36.89607,36.93389,37.06627,36.95280,37.25538,37.53905,37.55796,36.80151,36.46111,36.46111,36.08288,35.38316,34.91037,34.34303,34.22956,33.85134,33.51093,33.20835,33.15162,32.56536,32.14931,31.79000,30.82552,30.14471,29.33152,28.89656,28.10228,27.51603,27.32692,26.68393,26.28679
2019,Darling Harbour 132_11kV,10MAY2018,MW,25.87074,25.37905,24.98191,24.45239,24.45239,24.07416,23.82832,23.82832,23.82832,23.26097,23.09077,23.09077,22.56125,22.46670,22.46670,22.46670,22.52343,22.52343,22.52343,22.52343,23.01513,23.29880,23.84723,24.26328,25.77619,26.57046,27.68623,28.55616,30.14471,31.48742,31.75218,32.52754,33.07597,33.17053,33.66222,33.90807,33.98372,34.13501,34.32412,34.55106,34.43759,34.64561,34.85364,35.42098,35.49663,35.96941,36.00723,36.27199,36.48002,36.85824,37.08518,37.52014,37.14191,36.76369,37.06627,37.57688,37.91728,37.31212,37.29321,37.33103,37.25538,37.50123,37.17974,37.14191,36.63131,36.23417,36.10179,35.87485,35.81812,35.72356,35.66683,35.62901,35.23187,34.64561,34.43759,34.58888,34.04045,33.56767,33.54876,33.30291,33.30291,32.71666,32.33843,31.88456,31.77109,31.37395,31.07137,30.50403,30.03124,29.35043,28.72636,28.06446,27.68623,27.08107,26.64611,26.34353
