year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2020,Double Bay 132_11kV,01MAY2019,MW,22.39141,21.73062,21.29638,20.59783,20.57895,20.33351,20.18247,19.78600,19.31401,18.82313,18.82313,18.72873,18.63433,18.63433,18.63433,18.63433,18.42666,18.42666,18.42666,18.91753,19.65384,20.42791,20.89991,21.63622,23.37316,24.39266,26.35616,28.16862,31.07610,33.07736,34.19126,35.15413,35.51285,35.51285,36.30580,36.45684,36.68339,37.24979,38.42033,38.04274,37.66514,37.43858,37.87282,37.53298,37.17427,37.79730,37.47634,37.21203,37.17427,36.87219,36.90995,36.70227,36.38132,36.58899,36.70227,36.30580,36.06036,36.24916,36.23028,35.92820,35.51285,35.34293,35.58837,35.87156,35.77716,36.02260,36.47572,37.09875,37.81618,38.72241,39.59088,40.00623,38.81681,38.30705,38.17490,38.47697,37.81618,36.83443,35.68277,35.39957,34.66326,33.73815,32.94520,32.58648,31.47258,30.83067,30.05659,29.28252,28.47069,27.77214,26.67712,25.82753,24.86466,24.10947,23.76963,23.18436
2020,Double Bay 132_11kV,02MAY2019,MW,22.56133,22.18373,21.44742,21.01318,20.91879,20.67335,20.25799,19.74824,19.65384,19.65384,19.23849,19.12521,18.69097,18.69097,18.69097,18.87977,19.01193,19.03081,19.03081,19.03081,19.84264,20.46567,21.10758,22.05157,23.59971,24.67586,26.65824,28.54621,30.86842,32.96408,34.30454,34.58774,35.15413,35.98484,36.47572,36.92883,36.85331,37.85394,38.72241,38.66577,38.40145,38.08050,38.28817,38.42033,38.23154,38.43921,38.43921,38.04274,38.04274,37.64626,37.96722,37.49522,37.70290,37.70290,37.60850,37.40083,37.43858,37.21203,36.62675,36.81555,36.81555,36.79667,36.75891,36.21140,36.58899,36.85331,37.26867,37.43858,38.23154,39.23216,39.93071,40.38383,40.00623,40.44047,40.19503,40.27055,39.64752,39.02449,38.66577,38.32593,37.68402,36.64563,35.98484,35.07861,33.34167,31.56698,30.52859,30.11323,29.37692,28.60285,27.35679,26.24288,25.07234,24.50594,23.80739,23.31652
2020,Double Bay 132_11kV,03MAY2019,MW,22.92004,22.31589,21.74950,20.97542,20.89991,20.48455,20.42791,19.69160,19.18185,19.16297,19.16297,19.14409,18.78537,18.78537,18.78537,18.78537,18.80425,19.01193,19.37064,19.52168,19.86152,20.40903,21.25862,21.91941,23.48643,25.05346,26.62048,28.64061,31.07610,32.81304,34.24790,34.88982,35.62613,36.17364,36.38132,36.70227,37.07987,38.43921,38.98673,39.28880,38.94897,39.30768,39.25104,39.21328,39.25104,39.32656,39.00561,39.11888,39.26992,39.21328,38.96785,38.36369,38.57137,38.59025,38.49585,38.17490,37.79730,37.79730,37.70290,37.41970,36.89107,36.68339,36.98547,37.57074,37.74066,37.58962,37.87282,38.04274,38.98673,39.66640,39.81744,40.04399,39.47760,38.55249,38.62801,37.24979,36.30580,35.19189,34.19126,33.58711,32.32217,31.90681,31.47258,30.81179,29.88668,29.24476,28.58397,28.26302,27.79102,27.28127,26.45056,25.78977,24.88354,24.24163,24.05283,23.50531
2020,Double Bay 132_11kV,04MAY2019,MW,22.95780,22.27813,21.86277,21.48518,21.22086,20.74887,20.42791,19.84264,19.67272,19.65384,19.27625,18.87977,18.87977,18.72873,18.53993,18.53993,18.53993,18.53993,18.53993,19.10633,19.37064,19.55944,19.88040,20.10696,20.95655,22.18373,22.88228,23.46755,24.20387,25.48769,27.09247,28.16862,29.22588,30.18875,31.45370,32.28441,33.71927,34.34230,34.88982,34.96533,34.96533,35.28629,35.15413,35.02197,34.54998,33.85143,33.81367,34.05911,33.71927,33.68151,33.41719,33.53047,33.32279,33.26616,33.02072,32.71864,32.52984,32.43545,32.62424,32.64312,32.51096,32.47321,32.49208,32.56760,32.28441,32.92632,32.77528,33.39831,34.13462,35.04085,35.92820,36.47572,36.06036,35.56949,35.11637,34.75766,33.62487,32.77528,31.88793,31.13274,30.54747,29.83004,29.35804,28.92381,28.11198,27.50783,27.22463,26.97919,26.54496,26.16736,25.56321,25.14785,24.58146,24.29826,23.80739,23.46755
2020,Double Bay 132_11kV,05MAY2019,MW,22.84452,22.39141,21.78726,21.42854,21.25862,20.76775,20.40903,20.06920,19.84264,19.42728,18.95529,18.89865,18.44554,18.44554,18.44554,18.44554,18.44554,18.44554,18.44554,18.44554,18.61545,18.97417,18.97417,18.99305,19.95592,20.48455,20.93767,21.74950,22.93892,23.88291,24.90242,25.69537,26.50720,27.37567,28.33854,29.37692,29.88668,30.28315,31.81241,32.62424,34.04023,34.49334,34.15350,34.26678,33.60599,33.19064,33.03960,33.43607,33.05848,33.24728,33.15288,33.77591,33.68151,34.17238,34.05911,33.60599,33.45495,33.15288,32.71864,32.98296,33.41719,33.26616,33.49271,33.47383,33.41719,33.37943,34.07799,34.92758,35.47509,37.00435,38.47697,39.10000,39.17552,38.74129,38.53361,38.40145,37.38195,36.77779,36.24916,35.36181,34.51222,33.96471,33.47383,32.68088,31.56698,30.75515,29.71676,28.75389,28.07422,27.07359,26.12960,25.37441,24.16611,23.37316,23.18436,22.52357
2020,Double Bay 132_11kV,06MAY2019,MW,22.24037,21.35302,20.82439,20.82439,20.67335,20.14471,19.65384,19.38952,19.52168,19.10633,19.21961,19.03081,19.03081,19.03081,18.87977,18.72873,18.82313,19.14409,19.29513,19.29513,19.91816,20.35239,21.20198,21.91941,23.61859,25.31777,27.28127,29.75452,32.51096,34.75766,35.77716,36.32468,36.60787,36.72115,36.66451,36.51348,36.64563,36.96659,37.23091,37.11763,37.11763,36.38132,36.34356,36.09812,35.85268,35.94708,35.83380,35.75829,35.36181,35.38069,35.41845,35.19189,35.45621,34.88982,34.88982,34.66326,34.58774,34.79542,34.71990,34.43670,34.02135,34.00247,33.98359,34.39894,34.75766,34.54998,35.32405,35.73941,36.81555,38.19378,39.68528,40.91246,40.64815,40.36495,40.53487,40.40271,39.62864,39.30768,38.34481,37.74066,36.53236,35.94708,35.15413,34.73878,33.60599,32.22777,31.73689,30.33979,29.56572,28.41405,27.30015,26.26176,25.52545,24.52482,23.88291,23.24100
2020,Double Bay 132_11kV,07MAY2019,MW,22.63684,22.50469,21.69286,20.95655,20.76775,20.76775,20.69223,20.29575,20.01256,19.91816,19.54056,19.21961,19.21961,19.27625,19.46504,19.06857,19.01193,19.14409,19.37064,19.69160,20.05032,20.95655,21.88165,22.76900,24.43042,26.07296,28.09310,30.41531,33.22840,35.19189,36.21140,36.70227,36.94771,37.19315,37.11763,36.79667,37.15539,37.49522,37.72178,37.64626,37.28755,37.02323,36.87219,36.89107,36.43796,36.09812,35.87156,36.00372,35.38069,35.41845,35.75829,35.41845,34.94645,35.04085,35.02197,34.81430,34.87094,34.75766,34.56886,34.73878,34.66326,34.66326,34.90870,35.11637,34.94645,35.43733,35.81492,36.49460,37.43858,38.57137,39.60976,40.79918,40.30831,40.68591,40.53487,40.78030,39.79856,39.17552,39.04337,38.19378,37.55186,36.77779,35.72053,34.94645,34.00247,32.75640,32.00121,30.88730,29.88668,28.67837,27.88542,26.88479,25.61985,24.41154,23.97731,23.75075
2020,Double Bay 132_11kV,08MAY2019,MW,23.10884,22.44805,21.93829,21.01318,21.01318,20.67335,20.52231,20.22023,20.06920,19.82376,19.84264,19.61608,19.38952,19.38952,19.38952,19.16297,19.40840,19.65384,19.48392,19.88040,20.42791,21.12646,21.65510,22.48581,24.14723,26.24288,28.09310,29.94332,32.96408,34.96533,36.09812,36.32468,36.96659,36.64563,36.43796,36.23028,36.66451,36.75891,37.58962,37.17427,36.87219,36.83443,36.66451,36.36244,36.23028,36.24916,36.09812,35.94708,35.81492,35.87156,36.19252,36.11700,35.55061,35.68277,35.53173,35.22965,34.96533,35.00309,35.41845,34.79542,34.77654,34.51222,34.73878,34.66326,35.36181,35.89044,36.04148,36.75891,37.83506,39.13776,40.76142,41.53549,41.44110,40.95022,40.85582,40.72366,40.13839,39.72304,39.00561,38.72241,37.87282,36.70227,36.15476,35.64501,34.47446,33.47383,32.34105,31.39706,30.33979,29.32028,28.16862,26.97919,25.44993,25.01570,24.44930,24.01507
2020,Double Bay 132_11kV,09MAY2019,MW,23.75075,22.95780,22.22149,21.74950,21.54182,21.33414,21.33414,20.69223,20.05032,19.97480,19.84264,19.74824,19.74824,19.74824,19.69160,19.76712,19.76712,20.01256,20.16359,20.16359,20.44679,21.42854,22.03269,22.88228,24.69474,26.39392,28.47069,31.15162,33.75703,36.00372,36.89107,37.19315,37.68402,37.68402,37.47634,37.06099,37.40083,37.47634,37.91058,37.74066,37.81618,37.49522,37.49522,37.34419,36.96659,36.64563,36.34356,36.13588,35.83380,35.58837,35.72053,35.53173,35.34293,35.36181,35.41845,35.28629,34.64438,35.05973,34.98421,35.11637,35.07861,34.96533,35.11637,35.51285,35.81492,36.23028,36.79667,37.74066,39.02449,40.30831,41.61101,42.34732,42.13965,42.81932,42.83820,42.95148,42.12077,42.15853,41.47886,40.78030,39.94959,39.08112,38.09938,37.85394,36.38132,34.47446,33.22840,31.66137,30.75515,29.52796,28.24414,27.01695,26.16736,25.29889,24.92130,24.50594
2020,Double Bay 132_11kV,10MAY2019,MW,23.86403,23.05220,22.56133,22.05157,21.80613,21.46630,20.97542,20.44679,20.27687,19.95592,19.95592,19.61608,19.48392,19.55944,19.33288,19.61608,19.86152,19.88040,20.01256,20.10696,20.50343,21.16422,21.80613,22.84452,24.60034,26.41280,28.07422,30.50971,33.13400,35.05973,35.92820,36.28692,36.68339,37.24979,37.83506,37.36307,37.53298,37.98610,38.77905,38.59025,38.66577,37.89170,38.23154,37.83506,37.85394,37.98610,37.89170,37.96722,38.42033,38.49585,38.32593,37.75954,37.32531,37.96722,38.02386,37.94834,37.75954,37.74066,37.30643,36.75891,36.58899,36.58899,36.53236,36.66451,37.17427,37.38195,37.75954,38.64689,39.89295,41.59213,42.25293,43.32907,42.68716,42.85708,42.61164,42.36620,41.23342,40.00623,38.91121,38.62801,38.06162,37.06099,36.75891,36.07924,35.24853,34.11575,33.37943,32.73752,32.02009,31.30266,30.24539,29.37692,28.16862,27.67774,26.97919,26.26176
