year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2023,Homebush Bay 132_11kV,01MAY2022,MW,17.52204,17.05110,17.00257,16.95664,16.93245,16.74973,16.51033,16.28126,16.37350,16.24189,16.14267,16.07787,16.13591,16.02813,15.81921,15.88656,15.77785,15.84044,15.90687,15.88157,15.87577,15.89967,16.00627,16.08961,16.34078,16.35699,16.38074,16.56249,16.86857,17.06090,17.12344,17.13808,17.46688,17.47739,17.73642,17.96495,18.14635,18.01004,18.12765,18.25138,18.64443,18.94371,19.28228,19.08312,18.95100,18.99241,19.27797,18.98872,19.11627,19.02094,18.98093,18.88171,19.19013,19.15526,19.22039,19.13196,19.46150,19.49924,19.81670,19.61164,19.67257,19.62562,19.87714,19.84508,19.85307,19.87061,20.05705,20.09475,20.50470,20.53177,20.95946,21.39765,21.56511,21.09361,21.00450,21.07974,21.30797,21.10377,20.83340,20.78170,20.71321,20.72878,20.50062,20.32733,19.91924,19.68558,19.48308,19.26296,19.06238,18.71638,18.40372,18.16086,17.89682,17.64329,17.32084,17.10947
2023,Homebush Bay 132_11kV,02MAY2022,MW,16.88520,16.81937,16.65868,16.59289,16.47616,16.27889,16.20911,16.02577,15.98955,15.91445,15.91453,16.13176,16.97786,17.24742,17.16525,17.25975,17.62672,18.64023,18.87580,17.94032,18.44054,18.33643,18.52970,19.90520,21.66298,22.31382,22.15635,22.46569,23.27855,24.98373,24.56295,25.02607,25.00227,25.58524,23.96892,25.15932,24.76355,25.12356,25.49548,25.56971,25.46410,24.52307,24.33277,25.63111,25.82658,25.79507,25.36774,26.70455,28.36145,27.77397,26.92590,26.98467,27.30402,28.05373,28.08098,27.93270,27.52709,26.72439,26.61052,26.52306,26.91507,26.64985,26.19063,26.27993,25.86720,25.87228,25.90962,25.47404,25.07989,25.01055,25.13959,25.21371,24.60977,24.33531,24.30083,24.34160,23.96550,23.55828,23.43849,23.43039,22.94880,22.74636,22.33659,22.30253,21.94106,21.81869,21.49874,21.20271,20.74133,20.31560,19.98382,19.65485,19.45988,19.02842,18.44438,18.43224
2023,Homebush Bay 132_11kV,03MAY2022,MW,18.41747,18.17273,18.02891,17.95216,17.80035,17.70724,17.52500,17.39658,17.36067,17.11614,17.03776,17.15545,17.66370,17.83623,17.80008,17.87972,18.36037,19.22182,19.48788,19.19384,20.24648,20.46271,21.38290,22.18550,23.49672,23.64132,23.81219,24.36519,25.64737,26.69839,26.87661,26.70402,27.47309,26.66962,27.36237,27.48046,28.07673,27.65372,27.46432,27.79907,27.23000,27.73777,28.57424,27.90044,27.88973,28.20323,28.44580,28.35386,27.64610,28.37129,29.03621,28.93816,28.14488,28.08443,27.96415,27.35190,27.23033,27.39273,27.32148,27.18904,26.83763,26.56063,26.40552,26.46919,26.33536,25.83719,25.41729,25.42959,25.03972,24.87552,24.92532,25.11127,24.36840,24.18663,24.15236,24.01222,23.58371,23.32826,23.20579,23.11654,22.77580,22.60448,22.21693,21.99439,21.86183,21.81089,21.40343,21.00686,20.65210,20.41442,20.13729,19.96333,19.60218,19.23459,18.78878,18.66736
2023,Homebush Bay 132_11kV,04MAY2022,MW,18.46435,18.08565,18.04344,17.77204,17.78830,17.67911,17.49427,17.30727,17.33255,17.15724,16.98639,17.28379,18.25894,18.56113,18.46210,18.47993,18.62162,19.78239,20.14822,19.92556,19.62181,20.24979,20.85083,22.11798,23.54544,22.59843,23.38905,24.20778,25.14510,25.98067,26.12975,26.54280,26.79767,27.07616,26.74752,27.43177,26.78102,27.19502,27.66747,28.42165,28.00128,28.06521,27.71538,28.29448,28.55723,28.31162,28.40150,28.39609,27.92371,28.71681,28.76075,28.24498,28.37249,28.93052,27.99296,28.11675,28.19189,27.87010,28.09785,28.10236,28.24226,27.47715,27.26308,27.02177,26.44975,26.11403,26.28276,26.23793,25.86668,25.64163,25.77799,25.61995,24.96111,24.63519,24.32495,24.43661,23.74627,23.50691,23.31556,22.99747,22.89066,22.71689,22.56173,22.34524,22.07828,21.74955,21.38180,21.16173,20.78623,20.40121,19.96893,19.95042,19.62964,19.35080,18.93584,18.69480
2023,Homebush Bay 132_11kV,05MAY2022,MW,18.43215,18.29845,18.01635,17.92573,17.82481,17.77818,17.61319,17.46232,17.44556,17.41941,17.46027,17.34762,18.39515,18.67540,18.68422,18.69343,18.19857,20.58704,20.61217,19.91455,19.46385,20.19003,21.22188,22.37964,23.67953,23.61840,24.06842,24.61973,25.46241,26.72200,27.08986,27.83646,28.32061,27.92291,28.04702,27.45739,27.64979,27.64724,27.05549,28.20499,28.55330,28.26427,28.85734,29.72067,28.63987,29.39067,28.69148,28.85890,28.56854,28.74264,28.36481,29.14239,28.96448,27.97948,28.29438,28.43292,27.15241,28.05188,27.38032,26.96153,26.85519,26.60245,26.75955,26.44855,26.60907,26.49202,26.18237,25.82619,25.56533,25.93209,26.17475,25.83949,25.31997,25.29107,24.82514,24.87217,24.26663,24.00126,24.07563,23.87154,23.74546,23.43366,23.20164,23.13798,22.63257,22.57326,22.07077,21.90234,21.31195,21.04638,20.31000,20.14015,19.52078,19.09902,18.70988,18.40972
2023,Homebush Bay 132_11kV,06MAY2022,MW,18.41266,18.25283,17.99256,17.96103,17.77348,17.59881,17.46876,17.31332,17.21374,17.12769,16.98464,17.06635,17.21079,17.16674,17.11750,17.23483,17.36894,17.47115,17.63023,17.74014,18.08158,18.36337,18.65722,19.10023,20.38186,20.90435,21.45455,21.93579,23.17463,23.84801,24.49042,24.45312,24.77130,24.63748,24.84159,24.97151,25.08103,24.92517,25.20991,25.07991,24.90265,25.40658,25.76520,25.44518,25.13922,25.23753,25.18827,24.92372,24.80845,24.72550,24.86046,24.94836,24.76788,25.15234,25.18269,24.89105,24.80560,25.27970,24.96373,24.87613,24.98570,25.52846,25.26726,25.27563,25.30133,25.21868,24.90800,24.83434,24.95475,24.96442,25.13152,25.32225,24.93143,24.38910,24.38755,24.29090,23.69668,23.62817,23.52163,23.39816,23.20746,23.04248,22.88743,22.76773,22.46029,21.93154,21.36429,21.17070,20.96832,20.58398,20.33706,20.14318,19.80071,19.37376,18.97333,18.74681
2023,Homebush Bay 132_11kV,07MAY2022,MW,18.58844,18.41036,18.21512,18.03015,17.92897,17.71087,17.48367,17.40888,17.35820,17.04274,16.89435,16.94908,16.94687,17.02244,16.70317,16.86717,16.87485,16.91121,16.80686,16.96314,17.12095,17.30324,17.35603,17.74027,18.22216,18.43721,18.71995,18.66915,19.29542,19.54801,19.72308,19.93465,20.19789,20.37718,20.34325,20.57979,20.80808,20.93474,20.78699,20.86231,20.84467,21.25735,20.96164,20.58787,20.80229,20.51658,20.19648,20.26661,20.25589,20.30610,20.04996,19.97490,20.27121,20.14549,20.20697,19.94455,19.82462,19.65952,19.79219,19.83669,20.25017,19.99940,19.85108,20.11164,20.13235,20.44285,20.68162,20.81611,20.97970,21.31765,21.76294,21.83428,21.83639,21.94964,21.92046,21.90852,21.90062,21.66588,21.71172,21.64784,21.45316,21.32330,21.28317,21.32511,21.10526,20.75013,20.64319,20.50872,20.21251,20.04356,19.71411,19.43655,19.23978,19.05454,18.62284,18.40182
2023,Homebush Bay 132_11kV,08MAY2022,MW,18.30142,18.25131,17.89206,17.67831,17.58554,17.37951,17.21041,17.10983,17.04234,17.07014,16.92615,16.95285,16.99472,16.94291,16.84134,16.81285,16.84972,16.92679,16.91805,17.03176,17.04473,16.95287,17.12638,17.40799,17.49538,17.61212,17.84056,17.86345,18.40278,18.51990,18.72854,18.80940,19.19643,19.34511,19.37042,19.43700,19.31178,19.49958,19.71530,19.48541,19.41702,19.39655,19.32619,19.49376,19.43138,19.31622,19.23696,19.08826,18.85337,18.89275,18.93097,18.91050,18.83665,19.04757,19.17820,19.31009,19.36045,19.29967,19.26223,19.33080,19.39402,19.51132,19.51840,19.66856,19.93267,20.00531,20.22779,20.72470,20.79163,20.92878,21.27362,21.43714,21.64101,21.80637,21.73873,21.77582,21.78446,21.60033,21.63238,21.53042,21.51199,21.23915,21.45940,21.48842,21.29352,20.83952,20.59652,20.46820,20.03007,19.66510,19.35806,19.17131,18.90221,18.56503,18.17078,17.97704
2023,Homebush Bay 132_11kV,09MAY2022,MW,17.89694,17.71566,17.59539,17.34315,17.23504,17.02070,17.12705,17.14766,16.99150,16.95290,16.86428,16.98101,17.94455,18.14294,18.17778,18.20863,17.77533,19.82683,19.85881,19.63587,18.29617,19.52003,20.74727,21.86358,23.58055,23.79991,24.34001,25.39580,26.42155,27.07378,28.30667,28.02032,28.07611,27.61240,28.22150,28.66885,28.84642,28.23284,28.33211,28.82862,28.57303,29.28234,28.74047,29.08562,28.25562,28.27857,28.56831,29.19060,28.79312,28.84288,28.90455,28.67344,29.92947,29.19798,28.38151,27.83197,27.49171,27.52867,27.19722,27.12493,26.52476,26.66939,26.39824,26.66842,26.28290,26.42353,26.58500,26.76970,26.59052,26.57129,26.74301,26.73054,25.87864,25.67303,25.39554,25.25018,24.92154,24.69078,24.45305,24.29240,23.98024,23.88732,23.42079,23.19289,22.68005,22.32838,22.06772,21.73422,21.40540,21.05487,20.55731,20.09730,19.93490,19.46902,19.00357,18.81216
2023,Homebush Bay 132_11kV,10MAY2022,MW,18.52830,18.35647,18.26324,18.10811,17.99150,17.93926,17.72045,17.56950,17.41480,17.28325,17.31849,17.55519,18.13633,18.30972,18.26374,18.26108,18.34370,19.39847,19.97618,19.75336,20.70332,21.05432,21.73460,22.17360,23.52403,23.04386,22.56990,23.00791,24.34230,25.10990,25.53230,25.70990,25.98901,26.17114,26.92914,27.85908,27.60255,26.50220,27.79141,28.97123,29.06058,28.71641,28.69941,29.06203,29.44406,28.86965,28.63676,28.58424,29.97424,27.69926,28.84184,28.76479,28.59023,28.52403,27.31486,27.60626,26.73593,26.55025,26.47858,26.56941,26.35192,26.44721,25.86781,25.82275,25.67406,25.68333,25.37703,25.33063,25.25525,25.31276,25.48440,25.56664,24.78063,24.55237,24.44616,24.29560,24.11721,23.91039,23.65633,23.66941,23.23281,23.01998,22.79513,22.56494,22.41225,22.15805,21.69058,21.07953,20.80408,20.57431,20.18636,19.84570,19.51161,19.09669,18.80451,18.60509
