year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2023,Hurstville North 132_11kV,01MAY2022,MW,11.01019,10.50051,10.13518,9.88729,9.70318,9.23898,8.87942,8.56572,8.25067,7.99203,7.87117,7.74549,7.65511,7.75734,6.95693,6.90643,6.82008,6.84816,6.80367,6.78006,6.86647,6.90545,7.04878,6.90073,6.88380,7.05769,7.14412,7.43958,7.58480,7.79177,7.71477,7.57425,7.59417,7.73358,7.78934,7.99683,7.87207,8.60772,7.96578,8.27442,8.56200,7.89458,7.62285,7.93839,8.60439,8.47561,8.43741,8.43509,8.41399,8.40915,8.35113,8.16987,8.13272,8.16627,8.12366,7.85621,7.65022,8.05993,8.70009,9.52493,9.62359,8.72370,9.44842,9.88627,9.80392,10.00980,10.26576,10.84318,11.08336,11.45584,11.77711,11.95956,11.83003,11.67838,11.65317,11.51649,11.29419,11.08010,11.19750,11.05451,11.13375,11.02319,10.94935,10.85164,11.54086,11.51159,11.52228,11.33195,11.60148,11.32816,11.20573,10.85064,10.60220,10.18008,10.55160,10.19967
2023,Hurstville North 132_11kV,02MAY2022,MW,10.36815,10.00108,9.77542,9.36737,9.12391,8.76694,8.36405,8.18154,7.81468,7.58066,7.49481,6.71670,6.70185,6.57342,6.50991,6.52611,6.54043,6.52548,6.56694,6.64443,6.87470,7.12058,7.32419,7.62092,8.21862,8.74918,9.31167,9.77699,10.16832,10.52290,10.86880,10.63973,10.63171,10.47781,10.38046,11.12349,11.04744,10.93992,10.88778,10.69684,10.59005,10.49999,10.45129,10.27907,10.03681,10.02531,10.19928,10.85425,10.47092,10.65800,11.22031,12.26561,12.16165,11.82515,10.58211,10.03971,10.14219,10.28683,10.74263,10.74436,10.45826,10.45387,10.72629,11.08290,11.46159,11.70696,12.05020,12.28892,12.13442,12.41746,12.80318,13.09864,12.83298,12.73570,12.72633,12.70043,12.39943,12.31533,12.11291,11.93352,11.85396,11.68498,11.54806,11.60975,12.34532,12.28856,12.33634,12.10463,12.35395,11.94335,11.67075,11.43154,10.96112,10.84274,11.44044,11.00658
2023,Hurstville North 132_11kV,03MAY2022,MW,11.00847,10.53596,10.23005,10.05593,9.69660,9.25039,9.02993,8.67654,8.48463,8.22490,8.12269,8.09636,7.89408,7.50084,7.03267,7.18444,6.96555,6.95075,7.06711,7.16149,7.31275,7.58225,8.54406,8.86514,9.41306,9.82556,10.19895,10.68099,10.87813,11.24748,11.16792,11.27387,10.92135,10.30298,10.16978,10.13316,10.08698,9.94014,9.73580,9.90105,9.80233,9.84047,9.82142,9.60978,9.52379,9.50986,9.68976,9.51406,9.29251,9.63820,9.88211,9.98855,9.67541,9.76016,9.67397,9.71283,9.88154,9.99265,10.05670,10.32811,10.48845,10.61846,11.04133,11.44528,11.96994,11.98098,12.12326,12.45652,12.60043,12.92284,13.03268,13.27001,13.07406,12.84822,12.74506,12.61828,12.43906,12.22933,12.01876,11.91861,12.54007,12.27919,12.10167,12.23076,12.23556,12.27819,12.18910,11.81981,12.28297,11.99029,11.63604,11.37142,11.17358,10.87102,11.26300,10.79405
2023,Hurstville North 132_11kV,04MAY2022,MW,10.74208,10.41160,10.40965,9.96408,9.72889,9.26560,8.85707,8.67351,8.41835,8.17950,8.12418,8.09610,7.96711,7.89360,7.82446,7.78190,8.04241,7.83944,7.88394,8.04747,8.27357,8.51061,8.58890,8.76300,9.35659,9.48177,9.97301,10.44021,10.62728,10.74429,11.01283,11.16616,11.22987,11.18988,11.13639,10.91565,10.94714,10.88798,10.79632,9.95554,9.90844,9.86904,9.79029,9.84087,9.76378,9.59267,9.46467,9.57980,9.69656,9.67466,9.82657,9.80145,10.04750,10.28171,10.13030,10.25700,10.64695,10.66888,10.65669,10.81097,11.09735,11.27595,12.00444,12.18697,11.44489,11.83137,12.02377,12.15157,12.18810,12.62883,12.69746,12.88702,12.61825,12.53992,12.32414,12.07134,11.98489,11.84652,11.67722,11.63134,11.56590,11.31927,11.40796,11.07608,10.82566,10.63560,10.80536,10.38068,10.49785,10.36423,10.11186,9.78218,9.59246,9.29876,9.72058,9.43713
2023,Hurstville North 132_11kV,05MAY2022,MW,9.56188,9.29907,8.85227,8.58200,8.42092,7.98182,7.55734,7.42613,7.22653,7.02291,6.94341,6.82695,6.66721,6.55183,6.57683,6.59012,6.56215,6.55500,6.53953,6.65142,6.81599,7.16456,7.09511,7.38781,7.87443,8.35303,8.68993,8.89168,9.38849,9.65328,10.01831,10.43070,10.62642,10.73070,10.68327,10.60567,10.61785,9.64178,10.15849,9.52298,9.50259,10.30477,10.51473,10.28961,10.58762,10.12518,9.70736,9.83464,9.28968,10.65869,11.03537,10.78553,10.58113,9.89862,9.91431,10.77605,10.22257,10.12261,11.24280,11.38333,10.37866,10.83733,11.33577,10.82959,11.26348,11.20225,11.53445,11.86802,11.80416,12.13694,12.38940,12.60273,12.24742,12.14879,12.02497,12.07122,11.92614,11.81232,11.67832,11.48773,11.54311,11.36255,11.41271,11.14359,10.98695,10.85831,10.69783,10.34068,10.49615,10.24628,10.17749,9.84568,9.68810,9.34836,9.79796,9.49114
2023,Hurstville North 132_11kV,06MAY2022,MW,9.50096,9.14875,8.92766,8.54309,8.22650,7.88673,7.66772,7.46195,7.06797,7.06597,6.94205,6.70430,6.75779,6.68167,6.67885,6.69931,6.76787,6.80855,6.84441,6.97951,7.13928,7.35246,7.55936,7.56464,8.16085,8.54441,8.78709,9.13063,9.34893,9.55752,9.80677,9.76597,9.71259,9.79396,9.55810,9.42534,9.35370,9.14779,9.05794,8.89899,9.01729,8.97539,8.86838,8.80364,8.65580,8.65323,8.71644,8.75314,8.69708,8.51155,8.70595,8.80278,8.62685,8.73028,8.78807,8.98394,9.31316,9.21148,9.14295,9.29390,9.49082,9.69264,9.91807,10.31401,10.57966,10.92310,11.29945,11.59157,11.74959,12.08617,12.54708,12.68635,12.51490,12.49433,12.37383,12.28072,12.01491,12.01023,11.74643,11.67582,11.66541,11.10355,11.04501,11.04795,10.96439,10.83089,10.88659,10.61956,10.94810,10.69056,10.53673,10.28611,10.07411,9.90976,10.13321,9.79252
2023,Hurstville North 132_11kV,07MAY2022,MW,9.81873,9.56582,9.35021,9.00165,8.81202,8.48745,8.02792,7.79284,7.49232,7.29618,7.18230,7.04302,6.99229,6.87741,6.98784,6.97176,6.91665,6.89099,6.78844,6.93467,7.03883,7.12086,7.20722,7.31891,7.54545,7.69627,7.84761,7.98948,8.24631,8.38753,8.48311,8.49837,8.62668,8.77385,8.71163,8.65187,8.46239,8.31489,8.19887,8.04659,8.46028,8.66967,8.64124,8.25789,7.71043,7.59418,7.45884,7.68235,7.55002,7.45287,7.49334,7.54829,7.82737,7.76418,7.71266,7.90247,7.60201,7.88422,8.09549,7.96968,8.27982,8.38771,8.66906,9.05797,9.31816,9.65645,10.06127,10.45701,10.71724,11.18241,11.58975,11.97101,12.05655,11.99120,11.91785,11.86554,11.69591,11.52519,11.41799,11.25330,11.26503,11.26579,11.26905,11.07969,10.99188,10.89047,10.89812,10.71852,11.00278,10.79754,10.74116,10.46654,10.33178,10.12497,10.45986,10.16807
2023,Hurstville North 132_11kV,08MAY2022,MW,10.13338,9.86126,9.63450,9.24841,8.95658,8.58525,8.23846,7.97882,7.70513,7.53253,7.38393,7.11403,7.00194,6.84402,6.88343,6.83573,6.68580,6.78358,6.65165,6.61529,6.71949,6.70198,6.76209,6.95074,7.10425,7.23954,7.53801,7.61601,7.75069,7.95432,7.97535,7.94754,8.05327,8.10385,8.03601,7.92679,7.95986,7.77126,7.72805,7.72197,7.61731,7.44691,7.25584,7.15748,7.26270,7.12652,7.10018,7.15359,7.01834,7.02763,6.99946,6.84024,6.63792,6.67959,6.63801,6.69810,6.85608,7.07651,7.15093,7.36200,7.55608,7.78101,8.07062,8.46878,9.07859,9.50793,9.82152,10.01684,10.30986,10.74881,11.30239,11.55395,11.60230,11.62150,11.71774,11.59358,11.43379,11.39926,11.38516,11.39303,11.37360,11.19159,11.22246,11.12109,11.03281,11.00553,10.95992,10.71399,11.00154,10.64214,10.53558,10.22579,9.96858,9.70414,10.11225,9.66156
2023,Hurstville North 132_11kV,09MAY2022,MW,9.79292,9.61699,9.35247,8.87781,8.59372,8.25583,7.82461,7.56996,7.34930,7.15958,6.95093,6.82524,6.73123,6.61525,6.63893,6.68333,6.66768,6.63918,6.60342,6.69803,6.95377,7.13915,7.27766,7.56473,8.12112,8.55200,9.10913,9.56656,9.93979,10.44395,10.65393,10.41237,10.88445,11.25069,11.12957,11.22153,11.02270,9.64024,10.70688,11.29045,11.52160,11.71562,11.57876,11.06317,10.96556,11.45619,11.48554,11.53260,11.70555,11.62826,11.39851,11.55520,11.59654,11.39836,11.58917,11.44264,11.19314,10.32892,10.25036,10.86646,11.35149,11.68701,12.05692,12.50051,12.48844,12.78117,12.89377,13.38369,13.40349,13.65768,13.88832,14.13557,14.05363,13.95516,13.87557,13.70671,13.48500,13.19671,13.08437,12.88776,12.64723,12.35246,12.33391,12.17189,11.98639,11.77229,11.71675,11.35723,11.37635,11.16082,10.91920,10.55040,10.26044,9.97773,10.44273,10.03028
2023,Hurstville North 132_11kV,10MAY2022,MW,10.07087,9.76086,9.38460,9.04868,8.82540,8.55785,8.05752,7.87224,7.59441,7.38317,7.29247,7.24211,7.17352,7.29237,7.25164,7.17371,7.04932,7.02073,7.08941,7.04274,7.31357,7.53842,7.68809,7.94742,8.47810,8.71974,9.26357,9.70816,9.98017,10.26722,10.40490,10.47280,10.99307,10.97965,11.22857,10.87181,9.97941,9.91671,9.79744,10.15822,10.72897,10.12884,10.56582,10.38200,10.26012,10.74994,10.64707,10.94604,10.78115,11.08059,11.00867,10.89505,10.25375,9.84517,11.23426,10.66908,10.37328,9.57121,10.15781,10.17649,10.43550,10.83524,10.93931,11.51345,11.54496,11.67419,11.88938,12.19517,12.53553,12.97770,13.40611,13.43704,13.35205,13.11195,12.95232,12.77694,12.56415,12.49459,12.37745,12.15958,12.01131,11.82771,11.73013,11.66968,11.59996,11.43851,11.41162,11.02852,11.15110,10.90435,10.67733,10.49145,10.20291,9.96019,10.26794,9.89443
