year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2020,Kingsford 132_11kV,01MAY2019,MW,24.89447,24.13317,23.10542,22.83896,22.80090,21.96347,21.37346,20.89765,20.47894,20.30764,20.04119,20.04119,20.04119,19.62247,19.39408,19.39408,19.69860,19.69860,19.73667,20.00312,20.53603,21.03088,21.04991,21.92540,23.04832,24.60898,26.55029,27.92063,29.53839,31.00389,31.78422,31.51777,31.17518,31.17518,31.17518,30.94679,30.88970,31.17518,31.53680,31.40357,31.61293,31.68906,31.76519,31.91745,32.27907,32.24100,32.37423,32.67875,32.39326,32.48842,32.16487,31.84132,31.65099,31.80325,31.84132,31.70809,31.61293,32.33616,32.22197,32.08874,31.70809,31.78422,32.08874,32.37423,32.39326,31.76519,33.51618,34.54393,35.51459,36.40911,37.68429,38.82623,39.34011,39.32108,39.22592,39.24495,39.05462,38.57881,37.98881,37.36073,36.96105,36.00943,35.32426,34.67716,33.95392,33.34488,32.62165,31.84132,30.10936,30.01420,29.61452,28.41547,27.31159,26.94997,26.74062,25.48447
2020,Kingsford 132_11kV,02MAY2019,MW,25.16092,24.41866,23.73349,23.33381,22.99122,22.22992,21.81121,21.18314,21.03088,20.47894,20.38377,20.04119,20.04119,20.04119,20.04119,20.04119,19.83183,19.83183,19.83183,20.00312,20.57410,21.10701,21.54475,22.42025,23.82865,25.31318,26.56933,27.73031,29.59549,30.66131,31.47970,31.86035,31.47970,31.63196,31.51777,31.70809,31.74616,31.89842,31.78422,31.82229,31.30841,31.61293,31.49873,31.99358,32.22197,32.29810,31.63196,32.75488,33.24972,33.32585,33.28779,32.83101,33.28779,33.19262,33.38295,33.28779,33.38295,33.07843,32.81197,32.60262,32.43133,32.69778,33.05940,32.05068,33.30682,33.72553,33.93489,34.37264,34.90555,36.08556,37.07525,38.38849,38.35042,38.35042,38.42655,38.44559,38.12203,37.66525,37.24654,36.82783,36.21879,35.41942,34.82942,34.62006,33.72553,33.05940,32.67875,31.78422,30.87066,30.62324,29.76678,28.87225,28.11096,27.74934,27.15933,26.30287
2020,Kingsford 132_11kV,03MAY2019,MW,25.76996,25.10383,23.84768,23.46703,23.29574,22.45831,22.00153,21.29733,20.85959,20.63120,20.21248,20.13635,20.15538,20.21248,20.21248,20.21248,19.86990,19.86990,19.86990,19.86990,20.44087,20.87862,21.48766,21.69701,23.06735,24.41866,26.11255,27.52095,29.40516,30.96583,31.65099,32.03164,32.06971,31.93648,31.61293,30.79453,30.94679,31.72712,31.70809,31.86035,31.63196,32.45036,32.86907,33.19262,33.36392,33.42101,33.82070,33.80166,34.23941,34.35360,34.03005,34.10618,33.95392,33.40198,33.09746,33.02133,33.19262,32.73585,32.79294,32.58359,32.18390,32.45036,32.81197,32.85004,33.19262,33.28779,33.68747,34.33457,34.79135,35.97136,36.71363,37.28461,37.09428,37.11331,36.88492,36.75170,36.33298,35.76201,35.30523,34.71522,34.25844,33.59231,32.92617,32.73585,31.84132,31.23228,31.13712,30.52808,29.95710,29.70968,29.32903,28.56773,27.73031,27.08320,26.85481,26.47416
2020,Kingsford 132_11kV,04MAY2019,MW,25.94125,25.04673,23.96188,23.40994,23.31477,22.74380,21.96347,21.29733,21.06894,20.78346,20.42184,19.92699,19.79377,19.79377,19.29892,19.18473,19.18473,19.18473,19.18473,19.16570,18.80408,18.80408,18.80408,19.39408,19.92699,20.63120,21.27830,21.84927,22.64864,23.37187,24.26640,25.14189,26.34094,26.83578,27.19740,27.92063,23.29574,28.81516,29.48129,29.27194,30.28066,30.26162,30.03323,29.55742,28.87225,28.75806,28.33934,28.35838,28.03483,28.30128,28.12999,27.99676,28.03483,27.74934,27.34966,27.88257,27.88257,28.14902,28.14902,28.09192,28.28225,28.56773,28.77709,29.11968,29.19581,29.55742,30.07130,30.69937,31.74616,33.02133,34.48683,35.62878,35.76201,35.66685,35.34329,34.69619,33.95392,33.45908,33.17359,32.48842,32.18390,31.55583,30.96583,30.24259,30.10936,29.82388,29.31000,28.77709,28.70096,28.56773,28.54870,27.50192,27.15933,27.00707,26.91191,26.03642
2020,Kingsford 132_11kV,05MAY2019,MW,25.63673,24.98963,24.05704,23.67639,23.18155,22.61057,22.19186,21.35443,20.74539,20.47894,19.90796,19.90796,19.60344,19.52731,19.16570,18.93731,18.93731,18.93731,18.93731,18.93731,18.93731,18.93731,18.93731,19.29892,19.52731,20.11732,20.72636,21.41153,22.19186,23.08638,23.79059,24.53285,25.02770,25.90319,26.87384,27.82547,27.55901,28.56773,29.63355,29.53839,30.92776,31.44164,31.47970,30.83260,29.29097,29.15774,29.65259,29.34807,28.77709,29.38613,30.45195,30.52808,31.32744,31.59390,31.17518,30.49001,30.87066,29.08161,29.27194,29.84291,29.93807,30.24259,30.28066,30.41388,30.66131,30.71840,31.36551,32.22197,33.42101,35.38136,37.32267,37.87461,38.86430,38.95946,39.54947,38.78817,38.50268,37.79848,37.17041,36.78976,36.16169,35.22910,34.52490,34.16328,33.21166,32.65972,32.16487,31.13712,30.39485,30.24259,29.46226,28.45354,27.59708,26.85481,26.55029,25.94125
2020,Kingsford 132_11kV,06MAY2019,MW,25.19899,24.74221,23.99994,23.29574,22.95316,22.26799,21.67798,21.12604,20.68829,20.30764,20.07925,20.07925,19.96506,19.48925,19.48925,19.48925,19.48925,19.48925,20.00312,20.07925,20.44087,20.91668,21.46862,22.07766,23.69542,25.23705,27.40675,29.15774,31.06099,32.14584,32.64068,32.64068,32.03164,31.55583,31.21325,30.83260,30.43292,30.41388,30.41388,30.41388,30.41388,30.41388,30.05227,30.07130,30.16646,30.07130,30.07130,30.07130,29.95710,30.28066,30.33775,29.90001,30.45195,30.39485,29.84291,29.84291,30.05227,29.99517,29.88097,29.84291,29.84291,30.22356,30.28066,30.75647,31.23228,31.76519,32.50746,33.57327,34.48683,36.31395,37.74138,38.84527,38.54075,40.10141,40.32980,40.63432,40.63432,39.66366,39.18785,38.40752,37.74138,37.01815,36.27588,35.83814,35.26716,34.39167,33.42101,32.37423,31.74616,31.09905,30.52808,29.46226,28.26322,27.46385,27.44482,26.68352
2020,Kingsford 132_11kV,07MAY2019,MW,26.13158,25.21802,24.36156,23.84768,23.63833,22.93412,22.51541,21.96347,21.50669,21.18314,20.76442,20.59313,20.13635,20.13635,20.13635,20.13635,20.13635,20.13635,20.65023,20.68829,21.06894,21.41153,22.03960,22.81993,24.64705,26.56933,28.39644,30.12840,31.84132,32.96423,33.40198,33.15456,32.73585,32.16487,31.72712,31.11809,30.96583,30.75647,30.88970,30.77550,30.75647,30.87066,30.81357,30.41388,30.37582,30.35679,30.35679,30.31872,30.43292,30.35679,30.16646,29.99517,30.41388,30.41388,29.78581,29.84291,30.10936,30.10936,30.10936,29.72872,30.31872,30.31872,30.47098,31.28938,31.55583,32.22197,32.73585,33.72553,34.52490,36.18072,37.85558,39.26398,40.04431,40.69142,40.76755,40.88174,40.34883,39.68270,39.11172,38.48365,37.81751,37.32267,37.07525,36.65653,35.51459,34.81038,34.01102,33.04036,32.43133,31.38454,30.64227,29.57646,28.30128,27.84450,27.67321,26.81675
2020,Kingsford 132_11kV,08MAY2019,MW,26.20771,25.61770,24.43769,23.86671,23.71446,23.12445,22.28702,21.67798,21.41153,20.78346,20.76442,20.44087,20.07925,20.07925,20.07925,20.44087,20.13635,20.13635,20.13635,20.13635,21.22120,21.75411,21.92540,22.89606,24.74221,26.34094,28.41547,29.63355,31.32744,32.60262,32.58359,32.62165,32.27907,31.78422,31.65099,31.21325,30.77550,30.75647,30.81357,30.58518,30.58518,30.31872,30.07130,29.80485,30.24259,30.28066,30.88970,30.45195,27.88257,30.85163,30.83260,30.66131,30.26162,29.78581,29.84291,29.63355,29.63355,29.63355,30.01420,30.01420,30.01420,30.01420,30.01420,30.77550,31.30841,31.68906,32.60262,33.53521,34.54393,35.74298,37.85558,39.47334,40.17754,41.03400,40.72948,41.11013,40.63432,40.38690,40.02528,39.37818,38.78817,38.06494,37.36073,37.01815,36.37105,35.45749,34.46780,33.55424,32.90714,32.18390,31.11809,29.93807,29.02451,28.39644,27.95870,27.12127
2020,Kingsford 132_11kV,09MAY2019,MW,26.37900,25.90319,24.97060,24.32349,24.03801,23.58123,22.62960,22.22992,21.84927,21.39249,20.66926,20.47894,20.47894,20.47894,20.47894,20.47894,20.47894,20.47894,20.93571,21.10701,21.67798,22.02057,22.74380,23.63833,25.48447,27.15933,28.85322,30.58518,32.35520,33.72553,34.22038,33.93489,33.64940,33.09746,32.08874,31.68906,31.42260,31.11809,30.83260,30.96583,31.17518,31.13712,30.87066,30.56614,30.60421,30.66131,30.43292,30.47098,30.22356,30.31872,29.97614,29.97614,30.26162,30.33775,30.35679,29.88097,30.03323,29.95710,30.03323,30.52808,30.47098,30.79453,30.56614,31.00389,31.40357,32.41229,32.83101,33.93489,35.55265,36.75170,38.27429,39.30205,39.68270,40.23464,40.59625,40.80561,40.53916,39.72076,39.53044,39.39721,38.55978,37.98881,37.47493,37.13235,36.46621,35.59072,34.88651,33.95392,33.13553,32.26003,31.46067,30.35679,29.04355,28.33934,27.78740,27.15933
2020,Kingsford 132_11kV,10MAY2019,MW,26.37900,25.67480,24.76124,23.92381,23.77155,23.25768,22.62960,22.07766,21.65895,21.33540,21.08797,20.65023,20.65023,20.65023,20.65023,20.26958,20.42184,20.63120,20.72636,20.72636,21.48766,22.02057,22.47734,23.18155,24.72318,26.47416,28.14902,29.80485,31.65099,32.65972,33.11649,33.09746,32.88810,32.62165,31.74616,31.51777,31.57486,31.46067,31.27035,31.70809,32.33616,32.03164,31.72712,31.93648,31.93648,32.37423,33.11649,33.68747,33.85876,34.03005,33.64940,33.17359,33.26875,32.85004,32.90714,33.23069,33.40198,33.15456,32.39326,32.33616,31.99358,31.25131,31.78422,31.84132,32.45036,33.24972,34.14425,34.92458,36.54234,38.17913,39.54947,40.50109,40.61529,41.03400,41.01497,40.90077,40.32980,39.94915,39.39721,39.39721,38.86430,38.33139,37.89364,37.03718,36.31395,35.55265,35.74298,35.05781,33.87779,33.09746,33.23069,32.05068,31.15615,30.43292,30.14743,29.57646
