year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
2022,Kingsford 132_11kV,01MAY2021,MW,27.184078634,26.357019295,25.785357369,25.343861775,25.091790605,24.474063127,24.067781113,23.56921283,23.182071449,22.758829843,22.766934618,22.553544127,22.251991204,22.044932006,22.010244722,21.891900417,21.881784769,21.865710689,21.919238538,21.842104459,22.054963593,22.245674731,22.551021171,22.789157933,23.610191319,24.020099305,24.748002202,25.222970245,26.330402209,26.949862802,27.709447177,28.215639053,28.795469483,28.92172848,29.329034192,29.807290615,29.858261441,29.814467559,30.268259375,30.884271446,31.017903268,30.558874862,31.059895626,30.6554181,30.261806878,30.524531465,30.626729362,30.240825148,30.284209734,29.961003666,29.957123993,29.769537383,30.095391939,29.92491188,29.889843137,30.075631286,30.189230636,30.550516674,30.974185946,30.992033707,31.143003803,31.8530819,32.124667917,32.521244136,32.766828514,33.149636945,33.534119262,33.988259793,34.601050704,35.63177173,36.830278478,37.346417357,37.281879625,37.09110469,36.89191789,36.594917378,36.215438084,35.754053684,35.183195441,34.60180258,33.918966675,33.565440068,33.205037946,32.782380746,32.041879389,31.479342212,30.94040719,30.606158229,30.492311589,30.401272412,30.217956616,29.432210885,28.781297548,28.446051727,28.34198409,27.695824264
2022,Kingsford 132_11kV,02MAY2021,MW,27.32389747,26.749628109,26.113906928,25.828855647,25.57021955,24.915614973,24.34617914,23.662639252,23.26464131,22.827832792,22.664410407,22.496287033,22.474725945,22.073652525,21.942557721,21.85481953,21.571623825,21.699435656,21.764158509,21.667237861,21.924484538,21.97158607,22.358046734,22.503171978,22.855292784,23.251101199,23.627174779,23.953612968,24.864983887,25.622442405,26.587650198,26.805765271,27.463770819,27.697724381,28.917147882,28.951387134,29.153118444,29.493673601,29.72442225,29.545828868,29.760701541,31.016359271,30.418704416,30.687636307,30.124892002,30.838046937,31.131562873,31.08572247,30.67830217,29.653809127,29.94436379,29.832610472,29.902206522,29.359764221,29.430060797,30.488625406,30.169713862,29.703558584,30.286378499,30.864467339,29.986777779,30.561680449,30.493809469,31.016607286,31.394728399,32.322736037,33.130580045,33.897630241,34.934469697,36.377132552,37.297192373,38.098349405,38.405354717,38.648528994,38.641708285,38.297441272,37.887656885,37.168330328,36.470322768,35.863306644,34.931468013,34.212618556,33.836385735,33.30334058,32.44045069,31.703455608,30.913965056,30.188748689,29.741691133,29.490594196,28.945276116,27.889885991,27.196841073,26.960031811,26.588999822,25.782679816
2022,Kingsford 132_11kV,03MAY2021,MW,25.77116269,25.332963835,24.681966979,24.215287855,24.048117564,23.637007719,23.225450873,22.638315615,22.246749721,22.096996992,21.926837533,21.783566462,21.600060359,21.538634773,21.466418245,21.365564005,21.610254451,21.630411317,21.896064319,21.992491083,22.544655797,22.910270751,23.468546957,24.071709722,25.432903557,26.59037948,27.863017523,29.056313156,30.600325652,31.618336641,32.171185134,31.998090573,32.15975184,31.999035779,31.715862071,31.411603527,31.25015162,31.334738298,31.134489834,30.962150349,31.067068373,30.976816379,30.963961532,30.969874051,31.040698685,30.919158315,30.919881795,31.249926059,31.286037817,31.417186856,31.63931659,31.634138686,31.633538074,31.698994904,31.581006605,31.602233387,31.735710952,31.768727141,32.243311651,32.51995255,32.579981132,32.912531861,33.273070096,33.615923574,34.144661795,34.986527476,35.565664724,35.82642349,36.408160712,37.679832039,39.118580345,40.184109472,40.023374294,39.808094225,39.750185382,39.71933769,39.216014357,38.650125087,37.830237989,37.356102978,36.382370235,35.768388433,35.168119679,34.368794857,33.827223664,33.307345117,32.588080338,31.616079931,31.022375496,30.345961677,29.783799176,28.807148779,27.954591833,27.496899434,27.295831074,26.407695601
2022,Kingsford 132_11kV,04MAY2021,MW,26.21461032,25.567120299,25.032800753,24.826794278,24.560726998,23.949304503,23.337724261,22.886266603,22.342360013,22.199348367,21.856170397,21.656340262,21.747697786,21.760375256,21.782795138,21.770453049,21.779324468,21.860646441,21.977055,22.256641591,22.584892601,23.009663945,23.71585513,24.285444006,25.745337512,26.916953383,28.170733156,29.182500968,30.948363795,31.702734333,32.304409044,32.404193984,33.075532252,33.015283111,32.658907415,32.730752118,33.193538166,33.443721016,33.434663552,32.910541778,32.847444933,32.920854362,33.490729584,33.882937219,34.286013212,34.397667031,34.298112709,34.283604162,34.654803191,34.551241862,34.792586298,34.862547624,34.70318815,33.898873259,34.241410341,34.234789165,34.424704861,34.639272183,34.643356096,34.81799647,34.509020517,34.995022962,35.321342392,35.602473404,35.569417813,35.994173553,36.476531579,37.253697953,38.019897052,39.114244113,40.006977039,40.894215066,41.017007246,41.109383361,40.943725023,41.085959867,40.282910896,39.396192809,38.543775068,37.97514468,37.252077475,36.427408137,35.848467937,35.31125234,34.98769951,34.348275598,33.51569736,32.571282891,32.204966763,31.55028838,30.926887437,29.877651178,28.759576466,28.26584912,27.969653761,27.131218305
2022,Kingsford 132_11kV,05MAY2021,MW,26.790615042,26.295258245,25.536906623,25.379312478,24.999990579,24.33185041,23.751134129,23.421055956,23.029749441,22.856857072,22.523903515,22.325108667,22.272510671,22.172318155,22.18093853,22.114238438,22.199779657,22.226276016,22.320749403,22.629732896,23.127313532,23.569311816,24.338536324,25.181196791,26.698414186,28.043731733,29.493318227,30.58521172,32.596993159,33.511916305,34.16774692,34.286786858,34.986650638,34.925570142,34.758275182,34.916469518,34.858189358,34.442373733,34.218146402,34.500609257,34.915252675,34.810534133,34.375737553,34.20783427,33.648942839,34.377562734,34.446240035,34.4608319,34.639388309,33.311194336,32.846424184,34.558083902,34.941083511,34.931589977,34.521101624,33.342012272,32.719781025,33.585228893,33.842750414,34.48090877,34.507984306,34.083875771,34.601682367,35.399811358,35.453156763,35.661882299,36.23872058,36.795381753,37.911907862,39.208117871,40.271750885,41.020535764,41.214949503,41.404343855,41.206031166,41.037936861,40.496621103,40.031901964,39.600482959,39.166167836,38.338547095,37.756238792,36.821499447,35.827821103,35.351990033,34.829627504,34.010717337,33.080576342,32.537652723,31.829321589,31.093903052,30.296457332,29.334826071,28.77920323,28.14064223,27.570038498
2022,Kingsford 132_11kV,06MAY2021,MW,27.230408967,26.665540924,26.009961107,25.682532529,25.38593416,24.672303346,24.377905982,23.819153985,23.53192904,23.258119334,23.118362022,22.962138079,22.822497858,22.807987518,22.893454418,22.89423019,22.769369404,22.737901793,22.846854438,23.069716239,23.40807484,23.957997899,24.576561757,25.581927968,26.905360476,28.150570975,29.245050453,30.654904217,32.958261858,34.556071312,35.173532973,35.380377488,36.018733696,35.799348138,35.167345151,35.150432053,35.204958943,35.19695179,34.534637671,35.13876239,34.719787467,35.020445338,35.037065876,35.065757183,35.796187064,35.867269873,35.934995502,36.095201503,36.053757158,35.505196665,35.549263574,36.381253523,35.777325789,35.090741692,33.829826957,35.253865275,34.865926532,34.696336573,34.477844496,34.106396078,34.914138374,35.272285767,35.534009229,36.049727002,36.528355465,36.796360856,36.881081737,37.40064847,37.99540068,39.26232316,40.386404862,40.808199308,40.981460955,40.841239441,40.728450609,40.314866252,39.696448993,39.362414765,38.523113144,38.395736095,37.748660536,37.028070662,36.427591343,36.066039489,35.386433452,34.697474108,34.194801144,33.319787566,33.00055079,32.334719983,31.50225607,30.522744086,29.88977368,29.428358825,28.864502074,27.891495933
2022,Kingsford 132_11kV,07MAY2021,MW,27.717768469,27.160135778,26.49041403,26.010728397,25.530071069,24.886033039,24.424899584,24.063784024,23.662540017,23.497958318,23.121264486,23.027425164,22.951798504,22.804867213,22.906168753,22.916736116,22.927263062,22.950029134,22.938854824,22.90681865,22.963311684,22.481301127,22.907389686,23.474815097,24.720834264,26.531880201,29.289607183,29.825180726,31.323566414,32.159128651,33.026005532,32.991873738,34.148213782,34.696837534,35.155408076,34.707027033,32.923705419,33.339213658,34.313355965,33.229966937,33.878658158,33.578563096,33.898694199,34.732832068,35.269320721,34.758931607,33.664742729,34.556770523,34.631355319,33.912319027,33.905259613,34.587598338,34.381017742,34.45689926,34.231290093,33.574923897,33.610181571,33.858939369,33.950481641,33.96416141,33.986632938,34.266153551,34.13191718,34.361592662,35.001355762,35.517785498,36.241644385,37.201267462,37.668552739,38.558486383,38.883766476,39.432414242,38.997268134,38.622569953,38.580432551,38.047005148,37.415895524,36.996225314,36.47292452,35.906424013,35.408085819,34.636674449,33.920709841,33.408724242,33.246810425,32.739544519,32.245666448,31.629175654,31.079571569,30.969738242,30.482158284,29.720198269,28.863486531,28.495714546,28.096463195,27.394527497
2022,Kingsford 132_11kV,08MAY2021,MW,27.211782236,26.574980381,25.960622661,25.534463963,25.076393191,24.574791036,24.084734446,23.845452783,23.133269749,22.851291253,22.461704175,22.302440402,22.286683609,22.151752161,22.000050016,21.91253785,21.8388637,21.835062314,21.830387307,21.935696764,22.152581484,22.399949034,22.670854868,23.04176376,23.759313133,24.210645601,24.650303075,25.212522841,26.125986665,26.879006963,27.728251758,28.099927688,28.971342956,29.334610971,29.393023867,30.062144839,30.002751068,30.25813466,30.511153764,29.922009014,30.266521405,30.563599333,30.081217539,30.682837528,30.845890115,30.732273311,31.79337914,31.280965158,31.197104992,30.905742042,30.349517598,30.862617641,29.725107715,31.898372197,29.703966621,30.119933453,30.285617617,31.378956429,32.06022593,31.769669667,31.281027014,31.816668362,31.541731362,31.839035286,31.980284433,32.692540002,33.408311133,33.75355374,34.301919193,35.186519733,36.125684634,36.581617452,36.480917965,36.131358555,35.854719973,35.549394435,34.998951532,34.419093616,33.943700937,33.687374022,32.976036979,32.452955072,32.164003683,31.588668828,30.758822096,30.378915249,29.969784532,29.498909406,29.275236349,29.245233822,28.926517001,28.136509478,27.49037787,27.240887186,27.008553309,26.381220015
2022,Kingsford 132_11kV,09MAY2021,MW,26.389552144,26.039524882,25.272762974,24.899709916,24.625754859,24.03331417,23.604097226,22.947250726,22.572656219,22.390842254,22.050420795,21.754976016,21.682960968,21.539373427,21.504882543,21.410775612,21.453181596,21.261045655,21.371695163,21.234007533,21.415220681,21.619721689,21.687719313,21.954819063,22.441497067,22.998216394,23.467181489,23.772830542,24.81099261,25.332634075,25.884807287,26.266047427,27.003664696,27.457326921,27.913183427,29.144004386,29.940135415,30.457370561,30.679910994,31.046245664,31.249901253,31.318244847,31.535139822,31.711045341,31.644455431,31.914175583,31.530301117,31.319065124,31.479814719,31.338225523,31.170557547,30.673044097,31.106109692,31.105099823,31.237904346,30.745844686,30.787708504,30.942609765,31.059184863,31.054343372,31.129709518,30.859844736,31.102743356,31.637771664,32.000583661,32.57243211,32.91952083,33.588423501,34.369436658,35.506013938,36.6842842,37.132927894,37.336907614,37.529095472,37.556784548,37.251896836,37.121644188,36.653662123,35.995250181,35.577975628,34.826944868,34.250794149,33.745442566,33.387428896,32.444032102,31.834310726,30.958310137,30.320657425,29.938010992,29.309614831,28.750535807,27.76728636,27.144005316,26.732378583,26.463882768,25.924605963
2022,Kingsford 132_11kV,10MAY2021,MW,25.904979195,25.433483228,24.654554255,24.279042657,24.081377032,23.50878413,22.971129866,22.545151081,22.312059374,22.007241717,21.848087784,21.578978353,21.548089881,21.328659271,21.366154387,21.418294814,21.520277747,21.568703811,21.797595482,21.961076177,22.534297312,22.86939247,23.478302698,24.194977702,25.442143094,26.864747642,27.980325616,29.016863465,30.471181201,31.019537945,31.787105418,31.811948828,32.060572139,31.941646121,31.635516606,31.476305435,31.32615742,31.362673638,31.269484523,31.013483206,30.878687889,30.990468774,31.183757408,31.041989182,30.887848149,30.744206145,30.682157272,30.765238934,30.919523586,30.820032703,31.033673969,31.14178271,31.0484724,31.322013731,31.415800956,31.186462253,31.745511927,31.746510052,31.640665054,32.441781414,31.51586624,31.779450285,32.671774927,32.731313585,33.192186635,33.591392945,34.128550013,34.801179246,35.72200212,36.9598482,38.10975523,38.868755733,39.253883764,39.431333203,39.14918228,39.044160694,38.560663765,38.155344834,37.548760979,36.693888122,35.973864289,35.262261586,34.813757874,33.948571615,33.616581817,32.799293886,31.966619758,31.156993347,30.603941556,30.007949158,29.257825442,28.085648216,27.423143647,26.997052057,26.600556579,25.733366842
