year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2019,Kirrawee 132_11kV,01MAY2018,MW,15.01045,14.25650,13.50255,14.34217,15.57591,15.66159,14.71915,13.65677,12.68006,13.19411,11.85757,11.68622,10.89800,10.28113,9.71567,9.42437,9.30442,9.30442,9.39010,9.56145,10.22972,10.88086,11.46346,12.49157,13.79385,14.97618,16.43267,16.19278,16.72397,17.49505,17.42651,17.56359,17.39224,17.03240,16.58689,15.97002,15.78153,15.93575,15.59304,15.35315,15.28461,15.30175,15.31888,15.25034,14.94191,14.59920,14.56493,14.73628,14.78769,14.56493,14.66774,14.73628,14.59920,14.56493,14.42785,14.70201,14.85623,14.87337,14.61634,14.66774,14.59920,14.44499,14.65061,14.70201,14.90764,15.38742,15.50737,16.02143,16.44981,17.39224,19.03722,19.94539,20.04820,20.21955,20.27096,20.04820,19.53414,19.12290,18.67738,17.99197,17.49505,16.75824,16.34699,15.95288,15.57591,15.02758,14.70201,14.29077,14.25650,13.58822,13.24552,12.83428,16.12424,15.97002,16.20991,15.26748
2019,Kirrawee 132_11kV,02MAY2018,MW,14.49639,14.05088,13.10844,14.15369,15.37029,15.45596,14.63347,13.48541,12.42303,12.78287,11.54913,11.27497,10.62383,10.10978,9.83561,9.35583,9.28729,9.30442,9.40723,9.51004,10.17832,10.74378,11.58340,12.26881,13.60536,14.77055,16.03856,15.93575,16.58689,17.25516,17.18662,17.34084,17.35797,16.75824,16.44981,16.22705,15.88434,15.54164,15.57591,15.28461,15.61018,15.19893,15.38742,15.62732,14.89050,14.83910,15.25034,15.02758,14.59920,14.77055,14.95904,14.94191,15.26748,15.25034,15.38742,15.50737,15.33602,15.35315,15.09612,14.99331,14.92477,14.80482,14.95904,14.83910,15.13039,15.35315,15.64445,16.02143,16.58689,17.82062,19.15717,20.09961,20.11674,20.13388,20.13388,19.68836,19.27712,18.83160,18.50603,17.97484,17.51219,17.03240,16.56975,15.93575,15.47310,15.30175,14.75342,14.23936,14.34217,13.55395,13.45114,12.71433,16.34699,16.20991,16.62116,15.78153
2019,Kirrawee 132_11kV,03MAY2018,MW,15.11326,14.46212,13.55395,14.39358,15.66159,15.71299,14.78769,13.62250,12.69719,13.00563,11.78903,11.51486,10.79518,10.22972,9.97269,9.62999,9.52718,9.42437,9.56145,9.85275,10.31540,11.06935,11.78903,12.50871,13.84525,15.02758,16.14137,16.07283,16.46694,17.47792,17.75208,17.85489,17.87203,17.58073,16.79251,16.36413,16.24418,15.83294,15.71299,15.57591,15.81580,15.71299,15.13039,15.25034,15.06185,15.11326,14.97618,15.04472,14.87337,15.07899,15.02758,14.95904,14.95904,15.19893,15.31888,15.43883,15.62732,15.71299,15.69586,15.64445,15.37029,15.43883,15.49023,15.38742,15.52450,15.78153,15.78153,16.15851,16.67256,17.63214,18.50603,18.91728,18.84874,18.90014,18.95155,18.78019,18.33468,18.06052,17.71781,17.27230,16.84392,16.46694,15.90148,15.43883,15.13039,14.47926,14.15369,13.81098,13.79385,13.46828,13.07417,12.74860,16.19278,15.76440,15.86721,15.07899
2019,Kirrawee 132_11kV,04MAY2018,MW,14.66774,14.03374,13.22839,14.05088,15.38742,15.38742,14.46212,13.22839,12.11460,12.64579,11.56627,11.25784,10.45248,10.00696,9.61286,9.28729,9.33869,9.45864,9.45864,9.56145,10.14405,10.81232,11.39492,12.09746,13.19411,14.34217,15.59304,15.43883,16.20991,16.92959,17.03240,17.40938,17.70068,17.52932,16.98100,16.87819,16.62116,16.38126,15.85007,15.30175,15.26748,15.78153,15.45596,15.74726,15.95288,15.21607,15.40456,15.93575,15.73013,14.97618,14.83910,15.01045,14.89050,14.94191,14.65061,14.77055,14.65061,14.49639,14.49639,14.49639,14.44499,14.37644,14.46212,14.53066,14.75342,15.01045,15.35315,15.67872,16.05570,16.74110,17.95770,18.69452,18.45463,18.52317,18.23187,17.83776,17.34084,16.92959,16.62116,16.24418,16.10710,15.66159,15.16466,14.85623,14.51353,14.11942,13.91379,13.65677,13.98233,13.62250,13.19411,12.71433,16.43267,16.14137,16.38126,15.66159
2019,Kirrawee 132_11kV,05MAY2018,MW,15.06185,14.22223,13.43401,14.17082,15.50737,15.42169,14.53066,13.31406,12.26881,12.85141,11.56627,11.25784,10.45248,9.92129,9.57858,9.09880,9.09880,9.16734,9.27015,9.09880,9.15020,9.59572,9.68140,10.19545,10.93227,11.30924,11.78903,11.97751,12.33735,13.22839,13.58822,14.11942,14.39358,14.58207,14.68488,14.56493,14.61634,14.58207,14.51353,14.41072,14.32504,13.93093,13.74244,13.31406,13.17698,12.74860,12.76573,12.68006,12.42303,12.35449,12.40589,12.42303,12.33735,12.30308,12.11460,12.23454,12.06319,11.85757,11.87470,12.06319,12.42303,12.35449,12.64579,12.88568,13.24552,13.79385,14.39358,14.94191,15.59304,16.43267,17.70068,18.07765,18.28327,17.83776,17.70068,17.35797,17.08381,16.53548,16.08997,15.74726,15.14753,14.82196,14.78769,14.54780,14.23936,13.84525,13.81098,13.39974,13.62250,13.36547,13.29693,12.78287,16.46694,16.32986,16.82678,16.08997
2019,Kirrawee 132_11kV,06MAY2018,MW,15.43883,14.99331,14.08515,14.78769,16.03856,16.34699,15.26748,14.17082,13.10844,13.74244,12.38876,12.20027,11.18929,10.81232,10.17832,9.76707,9.45864,9.45864,9.32156,9.23588,9.23588,9.23588,9.45864,9.59572,10.10978,10.45248,10.93227,10.91513,11.25784,11.80616,12.28595,13.07417,13.51968,13.86239,14.15369,14.34217,14.25650,14.23936,14.10228,13.75958,13.55395,13.51968,13.15984,13.07417,12.66292,12.57725,12.59438,12.37162,12.40589,12.28595,12.23454,12.20027,11.96038,12.02892,11.92611,11.77189,11.60054,11.80616,11.89184,11.89184,12.14887,12.35449,12.62865,12.90282,13.34833,13.94806,14.58207,15.35315,16.14137,17.59786,18.78019,19.73977,20.08247,19.72263,19.39706,18.84874,18.45463,17.83776,17.32370,16.96386,16.60402,15.93575,15.64445,15.18180,14.73628,14.37644,13.94806,13.57109,13.53682,13.09130,12.85141,12.20027,15.98715,15.91861,15.95288,15.38742
2019,Kirrawee 132_11kV,07MAY2018,MW,14.94191,14.17082,12.49157,13.00563,14.23936,14.30790,13.74244,14.92477,13.41687,14.23936,13.02276,12.71433,11.78903,11.22357,10.57243,10.12691,9.66426,9.76707,9.59572,9.90415,10.43535,11.01794,11.68622,12.38876,13.65677,15.09612,16.27845,16.22705,16.70683,17.52932,17.88916,18.11192,18.16333,17.73495,17.20375,16.75824,16.41554,16.19278,15.81580,15.66159,15.76440,15.35315,15.19893,15.18180,14.75342,14.78769,14.94191,14.85623,15.21607,14.71915,14.99331,14.99331,15.02758,14.99331,15.01045,14.94191,15.14753,15.21607,15.21607,15.13039,14.99331,14.97618,15.19893,15.40456,15.57591,15.79867,16.14137,16.96386,17.40938,18.26614,19.63696,20.44231,20.68220,20.95637,20.51085,20.11674,19.58555,19.20857,18.60884,17.87203,17.51219,17.08381,16.36413,15.93575,15.30175,14.89050,14.54780,14.10228,14.18796,13.53682,13.24552,12.66292,16.08997,15.79867,16.15851,15.25034
2019,Kirrawee 132_11kV,08MAY2018,MW,14.87337,14.32504,13.38260,14.11942,15.45596,15.62732,14.59920,13.50255,12.56011,13.10844,11.75476,11.48059,10.65810,10.07551,9.83561,9.49291,9.44150,9.59572,9.66426,9.92129,10.40107,11.03508,11.56627,12.57725,13.99947,15.04472,16.53548,16.48408,17.01527,17.64927,17.78635,17.87203,18.33468,18.31754,18.00911,17.97484,17.70068,17.03240,16.27845,16.19278,15.50737,15.74726,15.67872,15.64445,15.71299,15.67872,15.18180,15.11326,15.11326,15.18180,14.83910,14.47926,14.71915,14.94191,14.97618,15.26748,15.35315,15.21607,15.40456,15.23321,15.01045,15.31888,15.30175,15.50737,15.90148,15.91861,16.00429,16.79251,17.18662,18.30041,19.70550,20.40804,20.76788,20.71647,20.45945,20.32236,20.06534,19.55128,19.02009,18.21473,17.80349,17.47792,16.98100,16.43267,15.85007,15.45596,15.26748,14.68488,14.71915,13.98233,13.50255,12.97136,16.48408,16.26132,16.50121,15.71299
2019,Kirrawee 132_11kV,09MAY2018,MW,15.14753,14.53066,13.75958,14.37644,15.55877,15.85007,14.89050,13.93093,12.85141,13.38260,12.04606,11.75476,11.01794,10.31540,10.02410,9.83561,9.76707,9.76707,9.76707,10.05837,10.67524,11.15502,11.70335,12.52584,13.86239,15.31888,16.77537,16.55262,16.98100,17.34084,17.99197,18.11192,18.09479,17.71781,17.23803,16.91246,16.36413,16.14137,15.76440,15.55877,15.47310,15.37029,15.42169,15.43883,15.49023,15.66159,15.95288,15.64445,15.74726,15.76440,15.37029,15.13039,15.49023,15.19893,15.14753,15.45596,15.30175,15.43883,15.30175,15.13039,15.09612,15.09612,15.31888,15.42169,15.71299,15.93575,16.17564,16.87819,17.25516,18.50603,19.61982,20.54512,20.64793,20.51085,20.18528,19.94539,19.39706,19.07149,18.55744,18.04338,17.42651,17.11808,16.70683,16.08997,15.66159,15.09612,14.90764,14.44499,14.39358,13.79385,13.58822,13.00563,16.50121,16.15851,16.36413,15.47310
2019,Kirrawee 132_11kV,10MAY2018,MW,14.83910,14.30790,13.51968,14.35931,15.64445,15.66159,14.59920,13.45114,12.32022,12.93709,11.70335,11.42919,10.60670,10.14405,9.57858,9.35583,9.35583,9.40723,9.62999,9.81848,10.28113,11.15502,11.49773,12.28595,13.57109,15.19893,16.22705,16.50121,16.79251,17.34084,17.76922,18.02625,18.00911,17.87203,17.59786,17.03240,16.96386,16.39840,16.14137,15.86721,15.52450,15.26748,15.28461,15.30175,14.99331,15.07899,14.82196,14.85623,14.65061,14.54780,14.59920,14.61634,14.66774,14.97618,15.16466,15.25034,14.99331,15.26748,15.14753,15.23321,14.97618,14.70201,14.77055,14.70201,15.02758,15.45596,15.88434,16.53548,17.15235,18.18046,19.46560,20.33950,20.42518,20.51085,20.51085,20.56226,20.21955,19.92825,19.65409,19.34566,18.88301,18.50603,18.12906,17.83776,17.40938,16.63829,16.20991,15.67872,15.49023,14.92477,14.49639,13.91379,17.40938,17.10094,17.06667,16.31272
