year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2019,Macquarie Park 132_11kV,01MAY2018,MW,41.45472,41.11739,40.36775,40.38650,40.61139,40.40524,40.19909,39.74931,39.39323,38.99967,38.81227,38.81227,38.81227,38.81227,38.81227,38.60612,38.71856,38.83101,38.83101,38.86849,39.54316,39.86175,40.74257,41.99821,44.02222,45.39030,46.85208,47.84535,50.56277,51.93085,53.24271,53.37389,54.27345,54.29219,54.87316,54.83568,55.99761,56.63480,56.91591,57.19702,57.92792,58.47140,58.88370,59.07111,60.17682,59.95193,60.02689,60.32674,60.43919,59.70829,59.20229,59.38970,60.81400,60.66408,60.88897,60.62660,60.90771,61.20756,60.75778,60.30800,60.49541,60.55163,60.25178,60.25178,59.67081,58.78999,58.11532,57.34695,56.18502,55.28546,54.91064,54.27345,51.85589,50.48780,49.25091,48.87609,47.78912,47.58298,46.98327,46.96453,46.55223,46.06497,45.61519,45.72763,44.99674,44.11592,43.98474,43.85355,43.60992,43.75985,43.77859,42.95399,42.11065,42.18562,42.24184,41.58591
2019,Macquarie Park 132_11kV,02MAY2018,MW,41.41724,41.41724,41.09865,40.63013,40.76131,40.31153,40.23657,39.89923,39.65560,39.48694,39.41197,38.73730,38.66234,38.96219,38.86849,38.88723,38.99967,38.99967,39.29953,39.44945,40.29279,41.13613,41.26731,42.12939,44.35955,45.89630,47.17068,48.03276,49.73817,51.59351,52.81167,53.14900,54.16101,54.55457,54.47960,55.04183,56.03509,56.37243,57.30947,57.12206,58.30273,59.35222,58.77125,59.03362,59.42718,59.95193,59.74578,59.80200,61.28252,61.09512,61.67608,61.35749,61.26378,60.75778,60.60785,59.67081,59.80200,60.00815,59.52089,59.65207,59.50215,58.88370,58.43392,58.26525,58.65881,57.79673,57.45939,57.06584,56.52235,56.42865,55.96013,55.64153,53.74871,52.26818,51.19996,50.22543,48.87609,48.31387,47.67668,47.88283,47.54549,46.94579,46.27112,46.27112,45.74637,45.01548,44.71563,44.45326,44.13466,44.07844,43.45999,42.89777,42.63540,41.64213,41.82954,42.14813
2019,Macquarie Park 132_11kV,03MAY2018,MW,42.07317,41.77332,41.13613,40.92998,40.83628,40.55516,39.88049,39.69308,39.52442,39.46819,39.13086,39.01841,39.26205,39.20582,39.03716,38.75604,38.88723,39.24330,39.05590,39.71183,39.97420,40.76131,41.24857,42.44799,44.28459,45.33408,46.81460,47.95779,49.77565,50.95633,52.56804,53.24271,54.42338,54.92938,55.28546,55.90391,56.80347,57.74051,58.37770,59.22103,60.55163,60.49541,61.15134,61.91971,62.48194,62.14460,62.25705,62.14460,63.51268,62.87550,63.38150,62.83801,62.27579,62.10712,62.93172,63.10039,63.64387,63.32528,63.19409,62.98794,63.15661,62.14460,61.99468,61.80727,61.56364,60.92645,59.82074,59.50215,58.39644,58.30273,57.96540,56.99087,54.44212,53.11152,52.36189,51.74344,50.52529,49.56950,49.21343,48.78239,49.19469,48.52002,47.93905,47.63920,47.09571,45.95252,45.35282,44.88430,44.99674,44.41577,44.30333,43.60992,43.16014,43.01021,43.19762,42.97273
2019,Macquarie Park 132_11kV,04MAY2018,MW,42.65414,41.97947,41.49220,41.66087,41.86702,41.07991,41.24857,40.94872,40.48020,40.48020,40.12412,40.01168,39.82427,39.99294,39.73057,39.65560,40.01168,39.97420,40.08664,40.36775,41.06117,41.41724,41.97947,43.25384,44.97800,46.57097,47.97653,48.23890,49.92558,51.64974,53.09278,53.93612,55.67902,55.64153,56.20376,56.74724,57.51562,58.04036,58.84622,59.22103,59.55837,59.97067,60.62660,60.81400,61.78853,61.52616,61.86349,62.70683,61.97594,61.09512,61.09512,61.56364,61.90097,61.93845,61.61986,61.63860,61.28252,61.03889,60.58911,59.95193,59.67081,59.44592,59.18355,58.50888,58.09658,57.89043,57.75925,57.15954,56.07257,54.47960,54.42338,54.53582,51.83714,50.03802,48.91357,48.35135,47.26438,46.66467,46.32734,46.08371,45.44652,44.65941,44.71563,44.37829,44.22837,43.62866,43.04769,42.57917,43.08518,42.52295,41.82954,41.60465,41.52969,40.98620,41.02368,41.00494
2019,Macquarie Park 132_11kV,05MAY2018,MW,40.98620,40.87376,40.34901,40.06790,40.38650,39.69308,39.61812,39.61812,39.20582,38.88723,38.23130,38.84975,38.84975,38.66234,38.47493,38.26878,38.39997,38.73730,38.32500,37.89396,37.83774,38.32500,38.25004,38.19382,38.39997,38.75604,38.99967,39.13086,39.31827,39.97420,40.78005,41.71709,42.24184,42.18562,42.57917,42.82280,42.89777,43.38503,43.23510,43.14140,42.97273,42.97273,43.57244,43.70362,43.23510,42.44799,43.87229,44.26585,43.89103,43.81607,44.19088,44.35955,44.35955,44.24711,44.00348,44.11592,44.52822,44.07844,43.96599,44.37829,44.04096,44.64066,44.02222,44.28459,44.39703,44.35955,44.35955,43.87229,44.22837,44.34081,44.32207,44.26585,43.87229,43.53496,42.76658,42.76658,42.52295,40.70509,41.15487,41.15487,41.15487,40.91124,40.68635,40.81753,40.21783,40.42398,39.88049,39.52442,40.03042,40.40524,40.12412,39.73057,39.63686,39.61812,39.52442,39.09338
2019,Macquarie Park 132_11kV,06MAY2018,MW,38.92471,38.84975,38.58738,38.68108,38.94345,38.54989,38.39997,38.30626,37.95019,37.95019,37.59411,37.57537,37.48167,37.01315,36.93818,37.21929,37.21929,37.08811,36.86322,36.37596,36.80700,36.86322,36.86322,36.86322,37.18181,37.03189,37.31300,37.31300,37.31300,38.08137,38.51241,38.83101,39.13086,39.16834,39.67434,39.71183,39.84301,40.21783,40.48020,40.91124,41.24857,41.47346,41.39850,41.37976,41.58591,40.85502,41.04242,41.36102,41.34228,41.41724,41.47346,41.47346,41.09865,41.45472,41.94198,41.94198,41.88576,41.73584,42.24184,42.59791,42.93525,42.97273,42.87903,43.14140,42.87903,42.72910,42.37302,42.12939,41.86702,42.14813,42.69162,42.29806,41.92324,41.60465,41.41724,41.45472,41.04242,40.96746,40.87376,40.59264,40.59264,40.01168,39.99294,39.99294,40.06790,40.42398,39.88049,39.59938,39.37449,40.70509,40.91124,40.19909,39.93672,40.01168,40.33027,40.33027
2019,Macquarie Park 132_11kV,07MAY2018,MW,40.33027,39.84301,39.29953,38.99967,39.56190,38.98093,39.01841,38.83101,38.62486,38.41871,38.26878,38.19382,38.23130,38.23130,38.23130,37.80026,38.08137,38.08137,38.94345,38.81227,39.61812,40.01168,40.61139,41.49220,44.17214,45.72763,47.37683,48.23890,49.98180,51.74344,52.81167,53.26145,54.25471,54.98560,55.60405,55.69776,56.55983,57.00961,57.49688,57.64680,58.22777,58.02162,58.73377,59.57711,59.68955,59.59585,60.27052,60.40171,60.79526,60.60785,61.11386,60.51415,61.05763,60.98267,60.87023,60.77652,60.15807,60.47667,60.87023,60.60785,60.47667,60.12059,60.34548,60.04563,59.72704,58.78999,58.41518,58.17155,57.25325,56.93465,56.18502,55.79146,52.96159,51.34988,51.21870,50.61899,48.95106,48.23890,47.77038,47.37683,46.79586,46.51475,46.34608,45.65267,45.42778,44.45326,43.98474,44.02222,43.59118,43.31007,43.06643,42.67288,42.16687,41.71709,41.90450,41.39850
2019,Macquarie Park 132_11kV,08MAY2018,MW,41.66087,41.00494,40.72383,40.70509,40.46146,40.06790,39.80553,39.63686,39.26205,39.05590,38.98093,38.75604,38.90597,38.88723,38.62486,38.36249,38.84975,38.81227,38.71856,38.96219,40.01168,40.42398,41.41724,42.56043,44.49074,45.70889,46.81460,48.22016,50.31914,51.68722,52.62426,53.16774,54.23597,54.61079,55.06057,55.60405,56.39117,56.55983,57.02836,57.38443,57.30947,57.87169,58.00288,58.15281,58.02162,59.68955,59.63333,60.04563,60.81400,60.38296,60.08311,59.82074,60.62660,59.52089,59.67081,60.62660,61.82601,61.33875,61.71356,61.41371,61.39497,60.90771,60.66408,60.62660,59.76452,59.18355,58.32147,58.02162,57.02836,56.70976,56.65354,55.92265,52.69922,51.44359,50.60025,49.81313,48.50128,47.97653,47.62046,46.98327,46.68342,45.70889,45.55897,45.12793,44.80933,44.35955,43.98474,43.74110,43.72236,43.23510,42.87903,42.44799,41.66087,41.52969,41.54843,40.98620
2019,Macquarie Park 132_11kV,09MAY2018,MW,41.28606,40.96746,40.49894,40.44272,40.70509,40.01168,39.84301,39.63686,39.65560,39.24330,38.83101,38.60612,38.73730,38.79352,38.83101,38.64360,38.56863,38.56863,38.86849,39.26205,39.86175,40.31153,40.74257,41.69835,43.77859,45.09044,46.70216,47.37683,49.94432,51.06877,52.75545,53.05530,53.89864,54.27345,54.40464,54.59205,55.34168,56.01635,56.89717,57.34695,57.27199,57.77799,58.19029,58.92118,59.31474,59.48340,59.65207,59.95193,60.68282,61.26378,61.45119,61.69482,61.60112,61.35749,61.35749,61.24504,61.33875,61.20756,61.07638,61.24504,61.26378,61.28252,61.13260,60.66408,60.38296,59.72704,59.03362,58.17155,57.36569,56.57858,56.12880,55.52909,52.66174,51.21870,50.54403,50.00054,48.87609,48.38883,48.12646,47.71416,47.39557,46.66467,46.62719,45.69015,45.25911,44.84681,44.17214,43.87229,44.05970,43.72236,43.34755,42.93525,42.12939,41.79206,41.67961,41.43598
2019,Macquarie Park 132_11kV,10MAY2018,MW,41.34228,41.02368,40.42398,40.33027,40.18035,40.10538,39.71183,39.71183,39.33701,39.24330,39.05590,38.51241,38.51241,38.68108,38.90597,38.90597,38.84975,38.81227,39.01841,39.16834,39.63686,40.18035,41.11739,42.01695,43.90977,45.27785,46.72090,47.41431,49.79439,51.14373,52.19322,52.90537,53.72997,53.93612,54.17975,54.47960,54.94812,55.56657,56.01635,55.84768,56.22250,56.57858,57.70303,58.78999,63.70009,67.86056,60.47667,60.13933,60.66408,60.66408,61.02015,61.52616,61.32001,60.81400,61.20756,61.02015,,59.83948,59.63333,60.32674,60.40171,59.37096,59.08985,58.90244,58.04036,57.98414,57.59058,57.02836,56.22250,55.04183,54.25471,53.41137,51.23744,50.54403,49.88810,49.30713,48.31387,47.99527,47.41431,47.00201,46.88956,46.64593,46.23364,45.72763,45.22163,44.20963,43.83481,43.47873,43.49747,43.06643,42.59791,42.03569,41.97947,41.47346,41.47346,40.87376
