year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
2022,Maryland 132_11kV,01MAY2021,MW,5.3930402064,5.0913028756,5.2064305448,5.0808608142,4.771099386,4.4297429746,4.1406245664,3.9943008211,4.0285350831,3.7000147868,3.5450900658,3.4066638629,3.394683875,3.2662472794,3.1933814212,3.137189546,3.07232909,3.1366910227,3.1846192757,3.2366063618,3.2000198777,3.2787799154,3.3251482021,3.425502092,3.649632923,3.8744915636,4.1254079319,4.0641343442,3.8010542783,3.5079849968,2.9431191605,2.2901203887,1.7300602764,1.3550539713,0.9520550569,1.0512256784,1.5629922537,2.026202914,2.6316679694,3.1520474265,3.619575585,4.0790911841,4.4351904464,4.7220053444,4.9133776647,5.0261088141,4.4789490355,2.8832303607,1.7546474445,2.6543321576,2.9057730212,5.087431094,3.6457652979,2.3884432716,3.2567257321,1.151047523,2.6876909645,2.091078227,1.3338067621,1.1194181016,2.0051600542,3.1235563958,1.9543158268,3.0419034325,3.8951694973,5.2422542125,5.5133665456,6.1111313885,6.6193216275,7.021285086,7.4279893506,7.5769184261,7.5593190848,7.5079683482,7.4114120892,7.1798559567,7.0253736663,6.7501570133,6.6084048009,6.4487474152,6.3660071742,6.3520844621,6.2416248294,6.0118989595,5.3721527324,5.4344530127,5.8227252073,5.3296404228,5.2328204591,5.0941802323,5.1229486978,5.0427671635,5.4792884397,5.1689201025,4.8334540824,4.9393914329
2022,Maryland 132_11kV,02MAY2021,MW,4.5544851397,4.3304742064,4.7174578291,4.5364794238,4.1093993316,3.8073638584,3.5815704436,3.550045441,3.5238312451,3.3616917632,3.2237303196,3.1486523561,3.1506697473,3.0902487068,3.0691563153,3.0536502057,3.0063104069,3.030466216,3.0632042642,3.048472173,3.0613686901,3.1464001275,3.1585836303,3.3098546918,3.4805696908,3.6124585025,3.7075733638,3.5300334401,3.3147205812,3.2373718793,3.0035625225,2.6641713985,2.7832231847,3.309944522,2.313773529,2.0874009941,1.6190765571,1.485273131,1.4533555192,1.6736219041,1.5028670602,1.4015781802,1.5751151098,1.5165840607,1.5537722479,1.3530573543,1.4769073428,1.4429059464,2.1290973621,1.4977707942,1.6263903518,1.4506790685,1.3688519384,1.4740948674,2.0799062652,2.0630225974,2.223568033,3.02511039,2.3925238571,2.1326085805,2.619481617,2.8111993214,3.988066356,3.7594645539,4.2734165006,4.6227881423,5.2419449586,5.8247911606,6.3761138918,6.8700590782,7.4406994803,7.7624800602,7.6670668077,7.5517139945,7.313423602,6.9804132026,6.7487026423,6.5783778552,6.3763679044,6.2181349593,5.9598447065,5.7521790263,5.5940117388,5.4073785724,5.2100366417,5.3274441073,5.7122203861,5.2832890722,5.1591490897,4.9957233885,4.992817945,4.8646977991,5.2261711536,4.835004124,4.571512222,4.9506678697
2022,Maryland 132_11kV,03MAY2021,MW,6.6342401005,6.2922598345,6.6010941706,6.2922669724,5.2894323943,4.6999808536,4.7023632396,4.4444431964,3.516492497,3.2318312252,3.1549705878,3.1193990341,3.149112832,3.0319522465,3.0536680507,3.0283765299,3.0880291832,3.0866284659,3.0738857083,3.1554695692,3.3274492377,3.5407390835,3.7333777339,3.9563603565,4.5014384984,4.9311553109,5.5508675456,5.6857988448,5.5707433045,5.2115881105,4.810324288,4.1681314269,3.5954342361,2.8843207985,1.1448426993,0.9400581061,1.6725688524,2.2309936457,2.8896676437,3.307224793,3.6834670936,4.1068618389,4.4772668209,4.6652927433,5.0183841049,5.1854138543,5.1662972781,5.1111443482,5.2464779226,5.2661840731,5.0313556932,4.8327276613,4.7449372199,4.2918492465,4.0668944186,3.4886753595,3.0508483576,2.4261524634,1.9150315093,1.2602374029,0.6954495488,0.5899027746,1.2874819384,2.2580791478,3.2216636046,4.7166196766,5.2756492328,5.9020809969,6.4665359861,7.1253917502,7.5321710131,7.734273561,7.8186500314,7.6839554998,7.4247194707,7.1365527587,6.947860833,6.7200381004,6.529155205,6.389868145,6.0242018333,5.7740296342,5.7175781245,5.6454323806,5.3937133518,5.2464634567,5.1244992951,5.315525356,5.7191262507,5.3423552602,5.1231718698,4.8837835834,5.2271788071,5.1682978497,5.2080844806,5.3863719315
2022,Maryland 132_11kV,04MAY2021,MW,5.164412962,4.8583036877,4.9858540672,4.9264679866,4.5854784284,4.247041346,4.2522337657,4.0504020627,3.7022587814,3.4567591233,3.3160178643,3.2261561159,3.1608102678,3.0516219036,3.0999591,3.0995909643,3.1148430811,3.1085493523,3.1265772716,3.1487266027,3.3712522022,3.5532618272,3.7603309909,3.9907449589,4.3840997161,4.7364255586,5.1167254977,5.3501949096,5.1872661967,4.9313413869,5.0746173081,3.9768310355,3.0449926123,2.9729885877,1.6625309878,3.2334547069,3.1965274836,1.9410116703,2.2586267159,2.8837160001,3.3185228078,3.0523976447,2.7241820483,3.0083348929,3.7909202926,3.2978418606,3.0420546881,2.4571591781,2.0961352633,1.7960136194,0.6800904435,0.6883102046,2.3189130862,2.6948505719,3.2761299818,3.8232061439,4.4313336141,4.3769427095,4.0205579607,3.8455632749,3.7445186554,4.4424905719,5.0201002628,5.4019864244,5.9688450821,6.4113982025,6.810020523,7.1562290338,7.5095593318,8.0543431053,8.3638181833,8.5635887046,8.7416431306,8.5777144574,8.2757608419,8.0707840984,7.8035291683,7.6952877531,7.3792323615,7.1152595828,6.8884880142,6.6594030726,6.4628205601,6.3083785246,6.1106470833,5.8782402624,5.8399801119,5.9035609876,6.3426792387,5.9176746148,5.6290040108,5.4143376801,5.7099085132,5.5724410072,5.6022244057,5.8537913062
2022,Maryland 132_11kV,05MAY2021,MW,5.5768680062,5.3011574385,5.3752378127,5.2288923978,4.8008585042,4.4935529142,4.4926972773,4.1937956776,3.8975350043,3.6076060145,3.4112275737,3.352020846,3.3062499959,3.2013673906,3.1664987332,3.121656344,3.1892965854,3.2163317704,3.3406383996,3.3673063824,3.51829584,3.652758877,3.9142272186,4.2537929382,4.728863912,5.1933976715,5.5779766898,5.7076225255,5.8351087473,5.8311444564,5.4849628289,5.5322277901,5.7854522761,4.9292678017,3.9003650446,3.5614221433,5.0533976526,5.8162158848,4.9992401056,4.5160538174,3.8085564198,3.9365983687,3.9012417843,4.6361323638,6.3403378859,5.6761258214,4.2831799149,3.5371938761,1.121872664,2.7357497849,1.3190706566,2.1711504199,1.2210881497,2.0381689667,0.5995080532,2.2855751586,0.6427959661,2.5909070722,3.3664186835,3.7877563028,3.8404976598,2.5214948744,2.3863069479,2.3054070929,3.6169442385,4.4177932832,5.1021257897,5.9870715347,6.5953301118,7.2436455902,7.9350917212,8.3209593236,8.4234132781,8.3578664521,8.206839327,7.8916479945,7.7854489482,7.5792061034,7.2348133688,7.0686681102,6.8494921353,6.6474082875,6.4870795777,6.3466317287,6.1778046069,5.9862694831,6.0236523813,6.1269072453,6.5078137614,5.9869258432,5.7682967218,5.6569055817,5.8612671538,5.6492509482,5.5877496771,5.8082115459
2022,Maryland 132_11kV,06MAY2021,MW,5.5537321091,5.1653522764,5.3386712643,5.2329333592,4.8770973997,4.4437230506,4.4609529515,4.1709085192,3.9367930083,3.6640508058,3.4808571351,3.4208879886,3.3736256428,3.3043262027,3.2008534409,3.0631290497,3.0310279235,3.2203048681,3.2572474203,3.1760659493,3.3348490061,3.6044342102,3.8033780705,4.0280432124,4.5397646599,5.1448254049,5.4097803837,5.583856383,5.9127389642,6.2749639626,6.174798341,5.8778357025,5.6040964253,5.2217965823,4.3109786991,4.1666151642,4.446615505,4.604711523,4.7277116792,2.6368115026,1.1397964926,3.42345484,4.0677843702,1.3594303304,3.3161974513,2.5933542603,0.4402252004,1.5669402367,1.1489729409,0.8271831899,1.5201889401,1.6648561124,0.8151824036,1.2244422679,2.4251252564,0.9006890108,2.5816434431,3.2601952014,4.271291127,2.9131116191,0.7567446334,1.1922299194,3.8030918982,4.6084776884,5.2509538288,5.8481977151,6.1697750657,6.7596871471,6.9403947267,7.3983629554,7.7505722847,7.8510588409,7.7283876203,7.8452744859,7.7648256251,7.4529069022,7.2411742057,6.9990688696,6.7297968832,6.6158293906,6.4669886858,6.3497355636,6.2585587839,6.0651619366,5.8955987464,5.629463602,5.6604031349,5.8180531155,6.2276691566,5.8161830621,5.6800471613,5.4481095818,5.7143865988,5.4936301156,5.5039174684,5.6612404843
2022,Maryland 132_11kV,07MAY2021,MW,5.4674104804,5.0917427302,5.2451074869,5.0851805014,4.7872701475,4.4121945038,4.4033935971,4.0671984955,3.7647195653,3.5525653671,3.3949630632,3.2642482723,3.3084552597,3.1498676883,3.1389549672,3.149353317,3.1019875112,3.113711198,3.1204295175,3.1610032002,3.3592001934,3.5593921728,3.6494570486,3.8304091915,4.2655805712,4.6441784105,5.0721488633,5.1384518301,4.8393902636,5.6066726197,5.4429676715,3.7579180468,2.4245814234,3.2336070806,5.1546945757,5.3357509404,1.4762413043,0.5752269541,0.576066987,1.8251493959,1.3432472138,0.7357032874,0.7326898979,0.5098129393,1.1890334339,0.6101245966,1.9150189177,3.1410310122,2.3661538735,0.8944764066,2.7493238723,2.2075336496,3.8799733387,3.1417847174,0.560069961,4.4461734489,2.4065348664,0.9017354964,2.2161443813,3.7956373687,3.9135465313,4.0340919269,4.2538806142,4.8307804593,5.0839642167,5.4454679018,5.6981003604,6.0754475554,6.4513367821,6.9579452636,7.2613999313,7.2573853104,7.1339421111,7.0187305467,6.9615518307,6.7831830968,6.6754009746,6.5519909587,6.3233889479,6.0722019887,5.8561342373,5.8038133346,5.7380792086,5.5725943402,5.5040465961,5.4343251613,5.4517798809,5.514371909,5.9595141031,5.6274756353,5.4809726646,5.2912641852,5.5693646449,5.4173118871,5.4611533663,5.7150818786
2022,Maryland 132_11kV,08MAY2021,MW,5.4469709065,5.1080845202,5.2154003586,5.0045214328,4.6083590005,4.3035824111,4.0005746554,3.9388002667,3.931061015,3.5668649752,3.4035668748,3.3804708356,3.3021284552,3.2579887159,3.148305186,3.006889436,3.0292251277,3.0307864049,3.1021516759,3.0967865457,3.1216506302,3.2608258186,3.3094035015,3.4338925886,3.5778171269,3.7218349565,4.0492681252,4.0441605318,3.8635729988,3.6944675061,3.216769804,2.5309017493,1.9771820498,1.3488168095,0.9891764745,0.9165178687,1.1974837306,1.7184564515,2.3190349252,2.6911445298,3.220488535,3.6670428601,4.0638919303,4.4543386548,4.8311766079,4.1699679483,1.5770908825,0.8844369402,4.7116864981,1.3562262106,1.6735259677,1.8532659098,0.9886859839,3.6786561387,3.8517429306,3.3609315471,2.9923556983,2.684411213,0.883664633,0.8814723433,1.0516218998,1.5320239468,4.0398114314,3.1917218113,3.5058552075,3.9439691641,4.8078276514,5.4961330214,6.0793958282,6.464216062,6.7875772829,6.8114191145,6.7482911513,6.7038394925,6.5549904984,6.382897657,6.2199970099,6.1131208804,5.9534237045,5.7977762935,5.5848125175,5.4600916387,5.3593624404,5.2765085688,5.1058298,5.2591310534,5.6186126445,5.2840954063,5.1322839021,4.9912964287,5.0062018419,5.0319311683,5.5187035034,5.1486790321,4.8410311073,5.0248333943
2022,Maryland 132_11kV,09MAY2021,MW,4.685432394,4.3624928598,4.6129393528,4.3581483322,3.9504291073,3.7215633281,3.5369543247,3.5472162887,3.4543489548,3.2365707797,3.1461206136,3.1415713119,3.1426326367,3.0324270777,3.0115268773,2.9754017932,2.9413443238,2.9514679101,2.9940398603,2.9675670891,3.0044650103,3.0604699004,3.1330040342,3.1752238395,3.2852812951,3.4111166904,3.5561990009,3.6895546359,3.889203573,4.0033346661,3.7148589361,2.0434740805,1.7970287254,2.2478163881,2.8871110551,3.620633138,3.2170476117,3.7101319021,4.4228533579,4.4494133396,3.6179452634,3.3508713749,3.4098607398,2.6056846846,3.6687221384,4.5937328789,4.6856990178,4.6745731631,4.5985499285,4.419664043,4.8033608484,5.395700116,4.7692808392,4.4690346014,4.3405980257,4.357773122,4.2467001342,3.8152880953,3.5262442311,2.9064696454,4.1137970422,4.5781440949,3.6400801553,4.4869012021,5.6355922496,5.9472529125,6.2626608194,6.8456491818,7.1160360784,7.5539983484,7.8251207884,7.9988736148,7.9595604485,7.7292139206,7.5475885607,7.2901191456,7.0782211474,6.97620698,6.8246826023,6.6101769271,6.410442797,6.2334221662,6.070726278,5.8758938178,5.787080246,5.7816197846,6.1161460082,5.6086522907,5.4321231857,5.2612812435,5.1554188349,5.0593756393,5.4150925089,5.0687058926,4.7562777286,4.9339044221
2022,Maryland 132_11kV,10MAY2021,MW,4.5974496166,4.2648888401,4.5946786674,4.3921736858,3.9674808796,3.7995702713,3.7828077996,3.6127409155,3.4699925207,3.277182232,3.1976738553,3.1394900587,3.1426435601,3.0396367447,3.0322053044,3.039070168,3.0936452932,3.183795123,3.2822095643,3.3893066167,3.4960408256,3.6288322133,3.789341614,4.0933607011,4.4459820336,4.930487127,5.4083942082,5.5086647461,5.3964925855,5.0839154625,5.165358737,3.2661394273,2.3145037588,1.4101266353,0.5781153344,0.7864116451,1.4262823149,2.0103456094,2.5960032598,3.1208027887,3.5459990413,3.9393479728,4.3177854486,4.6828437518,4.7709696448,4.8466459402,4.9634914625,4.9501394337,5.0510064504,4.9605458201,4.6932252927,4.1301081396,2.9036584141,1.91091601,2.2131019004,3.1126704151,2.6690736751,1.9016214159,0.6055854783,0.4667259794,0.8378029332,0.7078804357,1.7236968993,2.8390010039,3.4208927082,5.0169318467,5.840240091,6.2023235122,6.6045797341,7.2357613888,7.619816973,7.8907399399,7.8797124256,7.7932842722,7.5596796121,7.4473287313,7.2211990154,6.9248835839,6.6947123574,6.6166213914,6.25763866,6.185456988,6.0733119378,5.7921050652,5.628969325,5.4869201497,5.5081096937,5.566292863,6.0224569416,5.6555396141,5.4269993843,5.2464311867,5.4912730549,5.3180821978,5.412300706,5.6201507221
