year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
2022,Meadowbank 132_11kV,01MAY2021,MW,31.39460532,31.109814603,30.306534146,29.905189451,29.631053146,28.842021714,27.922187242,26.936733187,26.297659723,26.057428616,25.622232639,25.437351675,25.241375236,25.180018809,24.81927866,24.297361009,24.087644595,24.087644595,24.087644595,24.087644595,25.670045056,25.916729757,26.280076981,26.45138542,26.876317359,27.71053515,28.584709165,29.418776782,29.552855216,30.182075951,28.035618043,26.816659167,27.538808853,28.554564622,28.616184156,29.422086301,27.235056189,26.526424811,26.981279383,27.764510046,28.648085333,28.355589478,28.602772816,28.708667298,29.864044941,30.376750493,30.477150497,31.112861014,31.271185425,28.887083693,28.865552753,28.933578213,28.131991264,27.624386233,29.016594216,28.394445025,29.102548875,28.679151698,28.067681849,28.710158331,29.424981208,29.5155473,28.970119976,28.514874093,30.884792742,32.369925305,31.646899028,32.000288655,32.590412442,34.162031881,35.501148088,35.962857302,35.924208526,35.458987037,34.9964961,34.956377284,34.471220361,33.997527263,33.820861499,33.392529112,33.723264254,33.739586297,32.950769627,32.689330756,32.107479537,31.676655073,31.629103417,31.284555944,33.341132963,33.94283137,34.842847056,34.064571732,33.017682777,32.444504949,32.761548759,32.129846903
2022,Meadowbank 132_11kV,02MAY2021,MW,31.976736098,32.343499246,31.336843936,30.583523093,30.197780607,29.167106014,28.608767919,28.048164873,26.723113374,26.329446409,26.323529741,25.982692665,25.907349834,25.720234196,25.46649341,24.847179056,24.594160486,24.594160486,24.594160486,24.811028886,24.582503867,24.533402498,24.480679897,24.378422237,23.502912952,23.648664119,22.092401041,21.178047616,21.695370755,22.583957792,24.157393034,24.278052792,24.927828205,25.98298333,25.687787595,26.279711239,24.681028656,24.695583784,24.039252067,25.481666206,25.912976043,26.304951226,26.288246388,26.469754144,26.949886448,27.375431928,26.879165949,25.842150189,26.391307233,26.483665509,25.842991024,25.186974923,24.302187111,25.740465135,26.774665661,25.864529618,26.514730935,28.345943389,26.536588128,26.045512061,26.776778733,27.230303306,28.936739791,30.123294988,31.418362941,32.321389452,33.00244843,33.802660413,35.725601788,37.578361953,38.732981285,39.174544955,39.14655892,39.027549541,38.672035417,38.401408479,38.821332683,38.617146729,38.233498649,37.933073137,38.476770708,37.765550472,37.406672238,36.568340883,35.911919925,35.512088475,35.025980484,34.799517698,34.49654897,34.377421122,33.919587337,32.819893781,33.541589948,32.797685141,32.886013221,32.565754216
2022,Meadowbank 132_11kV,03MAY2021,MW,32.037425106,31.903347723,29.565199758,28.893177061,29.021484571,28.403645492,27.519568153,26.456193569,26.073853332,25.674656921,24.4323946,24.003382319,23.284514518,21.290512828,21.67559266,21.798943162,21.773315503,21.902122325,21.902122325,22.689988621,24.350053032,23.918425009,23.881396634,24.698254192,24.054169185,24.750264838,26.02698174,27.592252396,28.406456542,29.578317263,30.564247537,30.989187074,31.112929338,30.657508856,30.297092371,29.400930539,30.14051484,30.287774299,28.750041223,28.538827792,28.76412002,28.487914128,28.166345911,27.827568329,28.145775532,27.783334615,26.459233921,26.321088372,26.534527002,26.246389566,26.27164895,27.537257827,28.043651291,27.887643871,27.573209593,26.046547173,26.016251501,26.207507399,26.714509864,26.671755645,27.003405667,27.109453323,27.835150984,28.727160775,29.419066453,29.984480894,30.29575652,31.374068895,32.275238125,33.323525495,34.715443939,35.417174432,35.370134901,35.563317998,35.576280922,35.04680611,34.486566011,34.424320742,33.428777847,32.909146552,33.59240955,33.899650571,34.43900475,34.252133329,34.38890455,33.66854401,32.779049353,31.91211964,33.893972865,34.146965772,33.305479666,32.544170805,31.692905941,30.923102621,30.944368972,30.54585602
2022,Meadowbank 132_11kV,04MAY2021,MW,29.947936485,30.210892784,29.181676975,28.726650525,28.674779884,27.837184289,27.098733177,26.272039699,26.7984339,27.05170055,26.534073483,26.185465515,26.038668768,25.795509249,25.616572192,25.616572192,25.616572192,25.616572192,25.616572192,25.949747033,24.583777361,24.509741171,25.640206487,26.336507691,27.446894379,27.729531522,28.983587315,30.003298653,31.363871774,32.195035217,32.808636053,33.000927213,33.753439563,33.798572867,33.685526174,33.513306457,33.231094975,33.456765495,30.894412698,30.28306614,30.617787786,31.315902412,30.384678086,30.03741852,30.369385396,30.134423874,30.688029684,31.3477057,31.3477057,31.502341531,31.832996137,30.832184032,29.535169951,29.979318315,30.494265482,30.512892472,30.453293074,30.522272396,30.425986746,30.006376581,29.762449296,29.621799701,30.191613438,30.564324115,31.000648516,31.242039525,31.898118509,33.266834811,34.144976684,35.292310761,36.677589213,37.538061804,37.44465624,37.44465624,37.323401964,37.227112824,36.874552907,36.600463089,36.23169532,35.799710822,36.340185283,36.829677832,36.184384222,35.233804179,35.096307589,34.78487892,33.826208506,33.081728616,34.888909911,34.764416954,34.603710661,33.408478472,32.159793717,31.520433941,32.127393134,31.638606744
2022,Meadowbank 132_11kV,05MAY2021,MW,31.316533849,31.067171893,30.427905991,29.911553524,29.945901886,29.045218686,28.005863986,27.463485307,27.596910222,26.871943689,26.695263442,26.369661088,26.081817825,25.502694101,25.325794551,26.409683273,24.703650781,24.143924139,24.143924139,24.143924139,24.968612395,25.579052497,26.455712717,27.051429471,28.560465644,30.27258959,30.186477968,31.188338636,30.913407569,32.08022266,32.690790572,32.656627557,33.148325401,33.308109797,32.611526219,32.498806642,32.547601343,31.555387046,31.484813699,31.514885078,30.583161084,29.787332659,29.318693651,29.120352177,31.029242913,30.438534289,30.379454857,33.044428486,33.881445396,30.742854551,30.875938319,31.391831376,29.052274434,30.72453496,30.078940761,29.318308699,27.455022983,26.674187053,27.357790917,28.20682486,28.989177918,29.433524799,29.30119484,30.267164223,30.778259693,31.196806624,32.17766191,32.873579381,33.767119037,34.996073797,36.349999216,36.944264971,37.077107149,36.765433438,36.956810469,36.713022175,36.492764678,35.982877811,35.544325172,35.14239472,34.464988903,34.193176642,33.685221571,33.46555182,33.80477054,34.365729516,33.557652298,32.638838907,32.416268508,32.05469212,31.087665526,30.124607577,30.521416178,29.992703916,31.108705445,30.951667209
2022,Meadowbank 132_11kV,06MAY2021,MW,32.305321511,32.072750368,31.56264675,31.19271906,31.348499335,30.18688046,29.490480766,28.825712127,27.962380948,27.59095519,26.953291548,26.770302833,26.770302833,26.508613537,25.132606764,24.740777758,25.663284983,26.629603974,26.629603974,26.629603974,26.940366294,27.658185325,28.169389771,28.440881876,29.455831834,30.932982701,30.685901492,31.313076015,31.78776755,33.275693174,33.372860593,33.883212986,35.082087456,34.93475791,32.547604232,31.652123495,31.535304178,31.735918014,31.121563595,30.571225,30.421221031,31.179471081,30.095109667,30.251768654,30.955919804,31.513667264,31.858832687,31.791204917,31.781552056,30.244052747,29.579558471,30.362860364,30.452845201,30.009816856,29.118878835,28.1803864,28.773487337,28.811519158,28.271177854,28.497813793,28.855839317,29.121074956,29.73191997,30.348465145,30.682788952,31.188246994,31.673585024,32.768945411,33.398794845,34.716672672,36.118949385,36.760027244,37.10697898,37.10697898,36.91191427,36.647362708,36.538543528,36.079600135,35.599219057,35.409212752,34.81486982,34.628440136,34.266943722,33.824005612,34.144424413,34.262932022,33.704954473,32.601289383,32.344700195,31.172300654,30.412014486,29.329098238,29.844745409,29.471720919,29.802133015,29.13514216
2022,Meadowbank 132_11kV,07MAY2021,MW,29.461199739,28.809370724,28.159788669,27.358689045,28.095542606,27.872779694,27.76793353,27.138658092,26.88286192,26.615402394,26.352157081,25.85107029,25.85107029,25.173730095,23.431049922,23.431049922,24.410223068,25.729131279,25.729131279,26.224744378,26.714169879,27.145499789,27.562933493,28.207270894,27.63363208,27.591230134,28.741499189,30.128943878,31.358178423,32.447992161,32.634458501,32.56268156,31.311758567,31.693837086,31.252194775,31.724224231,32.352759088,33.387214147,33.327795762,32.60803473,29.268505955,26.677706438,27.751222952,28.031432346,28.682376234,29.256429791,30.431280343,31.046878352,29.59695973,27.936674741,30.058790283,30.498914022,29.540765544,28.938612118,29.889514098,29.905692197,27.694288409,27.566761721,27.582175281,27.584576523,27.714155575,28.39341509,28.68863542,29.175234468,29.60752432,30.524545133,31.257310435,31.589938408,32.567062453,33.896051025,34.583689514,35.39730809,35.387552538,35.222282106,34.902696861,34.683630445,34.047231292,33.787340559,33.340873121,33.108073296,33.073929116,32.698414743,32.969677002,33.739586297,33.445249312,32.76407421,32.676279492,31.701974302,31.740442889,31.715740991,32.286797681,31.883869467,31.210000482,30.781958554,31.103443083,30.665446617
2022,Meadowbank 132_11kV,08MAY2021,MW,30.753287447,30.266944301,29.52200821,28.658655701,28.40091115,27.871183043,27.051489783,26.316441708,26.057428616,25.612531227,25.102403784,23.693431776,21.00417009,20.078292265,20.392797324,22.145647211,25.284823794,26.269028181,26.432625572,26.432625572,26.817958474,26.854722148,26.405932185,26.432625572,26.587004506,27.557730861,26.16603898,26.357586181,27.637069541,28.309774346,28.440690282,29.250757713,29.097960798,29.220823675,29.308173803,29.443581147,27.443444368,27.166460336,27.074912729,27.608824508,27.383822851,26.628736219,27.49615243,27.639135582,28.587830447,29.515507548,28.997559743,29.844075251,29.369295695,27.540348287,28.32148565,28.680127303,30.86521247,30.043429513,29.122998328,30.114267974,32.191575357,32.128282745,32.422783521,30.842948245,30.337670823,30.247406745,30.305595122,30.637610436,30.939285091,31.855989876,32.458284001,32.732202167,33.201417552,34.618656463,35.797106374,36.327351277,35.987496824,35.934488491,35.509799567,35.209306107,32.587589047,31.944656645,31.862216682,31.322313627,31.160107222,30.827602989,31.187986832,31.75180314,32.499765289,32.685361453,32.389231609,31.689396255,31.41555992,31.066307983,32.320825737,32.184280478,31.873015676,31.255456493,30.806645894,30.381328271
2022,Meadowbank 132_11kV,09MAY2021,MW,30.571684616,30.465156164,29.783457531,29.243245482,29.134043658,28.472170432,27.426175684,26.243937991,25.541532801,25.541532801,25.310954949,24.78405986,23.732021514,23.121512433,21.830854076,21.545685216,21.545685216,21.214971874,21.498055839,22.314727994,20.818591654,20.204356098,20.551984613,20.782682341,21.127116899,21.907997159,22.370657778,22.588624511,23.410149951,24.457753562,25.048952213,25.821939998,26.595406723,27.182671452,27.448718005,28.236463806,29.562164565,30.225023283,31.09627215,31.61034357,33.391094415,33.777105992,33.738239602,33.774225268,33.483121355,33.437817542,32.126380777,31.769802276,29.219057585,28.918305408,29.99334207,30.184288656,30.136901093,29.957171376,29.400593031,28.98511506,29.090522481,29.320129004,29.180943277,29.61758699,29.617037251,29.049624343,29.418953781,29.94381701,30.789477519,31.450598775,31.911580651,32.795410266,34.142925145,35.386013368,37.982057463,39.53113188,38.659348638,37.906776464,37.461800978,37.272826971,36.50418104,36.270600242,35.925108567,35.429988908,35.399832828,34.830900766,34.416673102,33.820860711,33.758669095,32.465969441,32.32522147,31.614624435,30.804318266,29.926421472,31.183656628,30.626794258,30.944502711,30.462281686,30.297154222,29.570979217
2022,Meadowbank 132_11kV,10MAY2021,MW,29.098188899,28.474716612,28.467946953,28.220511295,28.259925322,27.602475612,26.920820127,26.71402329,26.357996084,25.553528054,24.737474937,24.290991347,22.352358672,22.273948437,21.827082934,21.827082934,21.827082934,21.827082934,22.198593824,22.488052873,22.643136314,23.752038685,24.097265114,24.663446701,25.808883857,27.165784044,25.753068789,26.23971665,27.400450417,28.388122862,29.277076711,29.60817146,29.887179228,29.648048518,30.276753132,30.163432301,29.158186325,29.170495187,30.691205013,29.571155016,28.097878113,27.66759686,29.658617891,29.962422971,27.655676665,27.583654664,27.036217879,27.516913503,27.852905454,29.085979127,25.837903334,26.052390171,27.41553159,26.211065298,25.629404791,25.785918052,26.07867829,26.089875611,26.596255681,26.284006475,27.330554263,26.956922854,27.27527235,27.994396185,28.591605604,29.718594306,30.164954513,31.10960044,31.925951633,33.368081766,34.670721494,35.123522482,35.079072429,35.614342833,35.416454991,35.164161471,34.747660808,34.116941161,33.90172481,33.420940902,33.082867958,32.85161537,32.576475732,32.439786284,34.2960709,33.970686048,33.454911609,32.632050299,33.849177651,33.760061808,33.838604075,33.229004284,32.051766616,31.376874074,30.964708568,30.030694597
