year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2023,Meadowbank 132_11kV,01MAY2022,MW,29.43898,29.05415,28.35231,27.61471,27.48384,26.82483,25.60179,24.81947,26.04209,26.01703,25.57925,25.08091,24.56621,24.56621,24.56621,24.56621,24.08118,24.03155,23.96437,23.89109,24.40724,24.56621,24.56621,24.80063,25.18529,25.18529,25.91416,26.13267,25.34557,25.58863,25.20014,25.17454,25.92491,25.63452,25.34874,25.26971,26.07572,26.72361,26.34925,26.30151,27.50657,27.23170,26.39041,26.57662,26.32476,25.63717,25.39278,25.07579,25.36237,25.50421,25.65631,26.15502,24.37549,23.97300,24.07827,24.41426,24.49539,25.81720,26.06874,25.84303,26.80084,27.27334,26.98828,27.87174,28.94885,29.48034,30.35824,31.46149,32.67652,33.57927,34.94598,35.97046,35.62162,35.41009,35.14401,34.56625,34.08990,34.07663,35.04378,34.92173,35.83060,35.51994,35.25873,34.96686,34.48839,33.73993,34.06601,33.39894,33.57772,33.80950,33.24176,32.33503,31.14211,30.95399,30.95399,30.26018
2023,Meadowbank 132_11kV,02MAY2022,MW,31.85954,31.72851,30.81189,30.27305,30.23173,29.43981,28.47501,27.91575,27.52234,26.93703,26.49282,26.09515,24.86739,24.34400,23.87366,23.55317,23.93333,24.03155,24.26364,24.45365,24.81666,24.87575,25.37185,26.17019,27.10282,28.41014,29.48541,30.50762,29.71847,30.21001,29.54699,29.52186,32.22235,32.10743,31.42563,31.20725,31.36656,31.39485,29.04390,28.35361,28.22439,27.42767,27.39365,27.59419,29.04507,29.99553,30.26693,30.02050,31.77766,32.01916,32.61562,31.54472,30.16645,28.87506,27.46899,27.90288,28.19360,28.47767,27.13408,26.72917,27.46451,26.58798,27.38042,27.86797,28.52062,29.53139,30.28013,30.93504,31.75397,33.11854,34.30414,35.40011,35.40011,35.39715,34.95925,34.94382,34.22476,33.70233,33.70233,33.67958,33.75171,33.23298,32.96910,32.41976,31.88261,31.77328,31.82426,31.19269,32.33869,33.44907,33.72524,33.75066,32.59703,31.52681,31.73410,31.25385
2023,Meadowbank 132_11kV,03MAY2022,MW,30.89127,30.80639,30.85238,30.53107,30.46859,29.68012,29.06498,28.39849,27.72337,27.17367,26.68609,26.68609,26.04777,25.67305,25.48512,25.23219,24.67343,24.21915,24.23115,24.64125,25.57127,25.87396,25.32599,25.89130,25.70443,26.62580,26.21328,27.31007,25.73009,27.12431,27.35458,27.19851,27.23926,26.65527,26.02889,25.60837,25.32513,25.29785,24.95788,24.27543,24.45587,24.93514,25.21402,24.92951,24.41230,24.24951,23.50333,23.85709,23.75015,23.75015,23.75015,23.75015,23.75015,23.75015,23.79161,24.26605,24.40619,24.72430,25.03627,25.53186,25.84189,26.43734,27.27803,27.89176,28.53381,29.35799,30.22272,31.28261,32.17442,32.90432,34.17162,34.92952,35.15646,35.04709,34.64033,34.64033,34.01008,33.55297,33.20836,32.76662,32.62341,32.54940,32.96023,33.07126,33.07349,32.89528,33.03549,32.94318,33.65010,34.71800,34.60027,33.80652,32.63469,32.14804,32.21091,31.80012
2023,Meadowbank 132_11kV,04MAY2022,MW,30.98229,30.67681,29.78367,28.89620,28.75907,28.23624,27.30329,26.64541,26.22647,25.77392,25.23500,24.82278,23.64621,23.88338,23.55317,23.55317,23.38372,22.18767,23.16926,22.93409,23.24057,23.74781,24.38814,25.13558,26.44258,27.57261,28.43118,28.83539,29.27488,30.46711,31.03841,31.03841,31.41252,31.34095,30.79510,30.43809,30.09899,29.42317,28.88101,28.65368,29.07778,28.29407,27.95496,27.82469,27.75593,28.56887,26.57008,26.45159,26.60320,26.37655,27.42307,27.58657,25.89372,25.56840,25.00497,25.22273,25.31984,25.78223,25.92910,26.39299,27.44998,28.72201,28.22268,28.34976,29.31514,29.80738,30.79007,31.59327,32.19693,33.07955,34.23789,35.12304,34.70981,34.61809,34.24637,34.24637,34.12829,33.45061,33.30118,32.81123,32.39000,32.38410,32.33403,32.52796,33.01082,32.36870,32.79688,32.71743,32.80836,32.69466,33.38149,32.86277,33.67188,33.42974,33.17705,32.92233
2023,Meadowbank 132_11kV,05MAY2022,MW,32.22029,32.07506,31.45024,30.35534,29.50416,28.91265,27.98991,27.66227,26.77760,26.18380,25.70253,25.54173,25.52305,24.95079,24.95079,24.59494,24.52869,24.64457,24.52869,24.52869,23.87296,24.39605,24.46303,25.01690,26.30790,27.25216,28.26592,29.41163,30.53452,30.84989,30.54702,32.46038,31.16874,31.12104,30.85895,29.67355,29.66018,29.48225,27.04550,27.26987,27.31655,25.70353,25.53197,26.78655,27.28396,27.72004,27.73159,24.10658,24.48042,26.61626,27.94658,26.85258,28.34239,28.71315,26.40690,27.45372,25.36825,27.69827,28.55065,28.07914,28.02651,26.73210,27.09088,27.73328,28.52865,29.19209,30.08580,30.41827,30.83614,31.80585,32.74895,34.00338,34.35694,34.26119,34.26831,34.13381,33.74922,32.99883,32.80690,32.93317,32.58671,32.13602,32.45212,33.58642,33.20519,32.49917,33.38327,32.80338,33.42714,33.67407,34.05508,33.86432,33.41065,33.29582,33.15196,32.47633
2023,Meadowbank 132_11kV,06MAY2022,MW,31.99517,31.97214,31.18209,30.30939,30.22235,29.62390,28.98167,28.51702,27.55988,27.04453,26.91121,26.70862,26.13840,25.95445,24.53970,24.18163,24.18163,24.18163,24.18163,24.18163,24.18163,24.38488,22.91299,23.14269,23.55317,24.43643,24.76078,25.95939,27.47702,28.80586,29.32069,29.69707,29.57444,28.67669,28.74740,28.11960,27.33200,27.04072,27.33794,26.63723,26.85124,26.41068,26.16711,26.05763,25.49004,23.41615,24.14451,23.90558,24.22853,24.31720,24.37878,24.36923,24.36923,24.36923,23.75874,24.12592,24.39331,24.18420,24.63194,25.23049,25.79652,26.22208,26.69196,27.41075,28.46926,29.02751,29.78805,30.80799,31.27347,32.43010,33.56647,34.50293,34.41633,34.79337,34.75536,34.44335,34.16870,33.45204,33.50044,33.30347,34.07319,34.31203,34.07968,34.47259,35.06285,34.83299,34.22458,33.40167,33.84616,33.77269,35.20578,35.73361,34.73332,35.48237,35.25643,34.67586
2023,Meadowbank 132_11kV,07MAY2022,MW,31.84060,30.06915,32.63085,32.16525,31.92013,31.21567,30.58968,29.69682,28.50519,26.07889,26.51206,26.61002,27.83868,27.55634,26.92290,26.79777,26.48911,26.48911,25.78220,25.50421,25.90258,25.50020,23.03756,22.71316,23.82752,24.44427,24.70828,25.47741,26.44278,27.34755,28.17897,28.57336,29.24278,29.71583,29.27307,28.99266,29.06706,28.41768,28.58638,28.67983,29.27363,28.58202,28.07266,28.81047,27.68379,28.35042,27.22330,26.83782,25.82593,25.74008,24.46242,23.58287,23.46810,23.32214,24.40002,24.11255,24.23145,23.97527,25.69729,26.36705,25.99976,27.24240,27.43090,27.73866,28.20619,29.46440,30.41012,31.71998,32.51443,33.44739,35.04064,35.81618,37.16939,38.43923,38.33738,38.47675,38.35467,37.79238,37.16222,37.00409,36.83475,36.46943,37.48123,37.50159,38.78064,39.05831,38.61856,37.59438,37.69808,37.40238,37.29604,36.09037,36.57224,36.18459,36.41449,36.15381
2023,Meadowbank 132_11kV,08MAY2022,MW,35.98514,35.77827,34.90087,34.18071,34.10944,33.12578,32.36273,31.50330,31.04144,30.15574,29.13470,28.58471,28.26442,27.86204,27.80392,27.92425,27.81594,27.41773,26.38908,25.88879,25.88879,25.88879,25.90252,26.27337,25.18442,25.14968,25.00639,25.74069,26.24064,26.78702,27.51857,27.44513,28.92615,29.55637,29.34318,29.55637,29.44337,29.37126,27.23612,26.79865,26.79865,26.46436,25.80635,25.27849,24.61284,24.00341,24.00341,23.85185,23.55317,23.20515,23.73013,24.90480,24.98610,25.33537,25.33537,25.47617,25.46277,25.42509,25.76037,26.33554,24.96243,25.35457,26.25411,26.83424,27.95655,28.83396,29.91202,31.16561,32.52673,33.85826,36.45344,38.03589,39.03453,38.89110,39.21957,39.03110,38.82822,38.91185,38.66295,38.68156,38.13960,37.87643,38.10150,37.70951,38.44121,37.63191,38.05610,37.67950,37.36411,37.15615,37.65390,36.78259,36.33793,36.11802,35.94668,35.05033
2023,Meadowbank 132_11kV,09MAY2022,MW,34.57467,33.91796,33.48519,32.29184,32.12649,31.44384,30.35081,29.83781,29.39170,28.62360,28.39918,28.00636,27.58657,27.58657,27.10400,27.08005,27.08005,27.08005,25.97993,25.69181,26.49500,26.95431,25.78054,25.71822,27.08621,28.09972,29.12778,30.14502,31.26385,32.00482,32.23301,30.54100,30.70073,31.20332,30.94114,30.23221,30.56322,30.52417,29.17949,29.80045,30.35980,30.35002,29.37529,29.53258,30.56010,30.94273,31.95679,31.98980,31.93085,31.77943,30.51070,31.00710,32.31409,31.66670,31.46232,31.24374,31.40632,31.11723,30.84503,29.83588,29.35526,29.27395,30.17881,30.14776,32.25567,35.46806,36.68425,36.94002,37.52461,38.66403,39.64439,40.25895,40.33910,40.19833,39.67825,39.68451,39.22576,38.36004,38.06928,37.57793,37.85726,37.37021,37.47580,37.38192,37.62569,37.91315,37.06719,36.13638,37.31325,36.26542,36.56092,35.59849,34.24075,33.21849,33.22864,32.75591
2023,Meadowbank 132_11kV,10MAY2022,MW,32.88802,31.98235,31.02527,30.65711,30.23552,29.17915,28.30775,27.84982,27.47401,27.27141,26.88307,26.60547,26.46097,26.25145,26.03887,26.03887,26.03887,26.03887,26.03887,25.79423,24.88963,24.98831,24.43537,24.83810,26.03295,27.65860,28.78451,30.14558,32.26134,33.01759,33.52240,33.91539,33.72659,33.06712,32.42239,31.22010,31.96474,30.96546,29.67709,27.64944,27.21400,26.53467,26.14452,27.66645,27.31757,26.78466,26.80117,26.31848,26.89475,27.71876,27.95921,26.87973,28.00689,28.32036,28.87075,28.12486,28.48262,28.35965,27.50021,27.81166,28.43687,28.03277,27.95640,28.66033,29.39690,30.12847,31.23837,32.06607,33.47403,35.17832,36.89055,37.87295,37.73817,37.93089,37.76872,37.58125,37.24476,36.78835,36.58593,36.37298,36.05669,35.29070,35.33365,35.16561,34.47292,34.02103,32.93879,32.02184,32.02717,32.39847,31.74343,30.72409,29.24275,28.46707,28.04082,27.35613
