year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
2022,Morisset 132_11kV,01MAY2021,MW,11.27015088,10.902640024,10.715293556,10.563686812,9.8683709236,9.0755757876,8.473878218,8.0269772162,8.2325772597,7.9623464667,7.5501817098,7.1266596007,6.8981905721,6.6563780898,6.7003984133,6.6810514466,6.6483963563,6.6616637136,6.7253999532,6.7940785531,6.784285548,6.7446995599,6.9599476911,7.1341828874,7.6226148253,7.9612081489,8.347606076,8.5392572652,8.4992723726,8.6594861805,8.4004926433,8.2327004947,7.9369618752,7.6747476425,7.4314883359,6.9705013126,6.6173729172,5.9522314238,5.4254848231,5.1170401674,4.8294707351,4.4015062689,4.2069628068,3.848472985,4.3937049057,3.6906180826,4.0766813102,4.5719145273,4.7427177285,4.4289969088,4.5138269541,4.7574922009,4.9855291972,4.5174176013,4.3560742488,4.2308427304,4.0595113892,4.704192465,6.4865225787,7.3240702962,8.1849592124,8.3070931823,7.6660500378,7.5200984825,8.05085466,8.5428128122,9.1332433397,9.3288797334,9.729410884,10.201788247,10.692756297,10.842988588,11.02655831,10.932045349,10.728892646,10.667371762,10.242984638,10.158206216,10.001762988,9.792820442,9.5379069794,9.5096781784,9.3465925697,9.0056885204,8.8500762862,8.719482299,9.754521449,9.4279958915,9.2253665823,8.9904861648,9.1229624633,9.0786098805,10.292123366,9.771754993,9.3774061603,9.6919359339
2022,Morisset 132_11kV,02MAY2021,MW,9.9275559021,9.3954531496,9.2944035199,9.4725856087,8.6622574291,8.04546622,7.6837148785,7.3492254019,7.2602448346,7.0105526889,6.8657012211,6.6207246281,6.5682840889,6.5196938144,6.5382340295,6.3405767991,6.2892920163,6.3633872763,6.4369888813,6.5006131622,6.516568202,6.590391312,6.6850313154,6.9382569828,7.1939782054,7.4549926658,7.7713928655,7.8135477837,7.7501187141,7.9486928906,7.974926091,7.7494160109,7.7194417334,8.1926194645,7.1442527037,6.453569859,5.9164423995,5.5594931151,5.3409985252,4.8194493522,4.6429942119,4.7066533709,4.8101455085,4.6803531297,4.9013031689,4.1344248284,4.4224860335,4.3901983196,5.1913637346,5.3768918087,4.4953718201,4.9307068263,4.1338510977,3.5308115424,5.7388299515,6.6487037543,6.7255229444,5.9544553427,6.5495160257,7.2994767062,7.1097016835,6.3266875222,6.8777194641,7.6908862015,8.2978088052,8.666073281,9.1541569313,9.6131138463,10.487807635,11.069425697,11.617201387,11.841535094,12.135403259,12.120014594,11.859453537,11.537604069,11.27622357,10.979566194,10.691404895,10.346162701,10.018977178,9.8481090777,9.7448167939,9.5256223588,9.2475202708,8.8567522113,9.9941283991,9.5491554544,9.3688708163,9.0726183407,9.1002706436,8.9929806768,10.231112577,9.7651411877,9.3372201234,9.5954943479
2022,Morisset 132_11kV,03MAY2021,MW,9.7965895258,9.2832190665,9.2250408429,9.4000418361,8.7493620711,8.0300338539,7.5833311276,7.4721079883,7.1701845205,7.0512544041,6.829853833,6.6488490936,6.5944817466,6.5067219116,6.5459825199,6.5270352077,6.474705039,6.4890622517,6.6102302321,6.8204696818,7.0410031187,7.2112732639,7.4454333596,7.7447601209,8.5411336234,9.0979065905,9.8293451329,10.156727656,9.8833338905,9.8440742036,9.6583266843,9.2536586065,8.6955634454,8.0438103235,7.559265425,7.0239381581,6.4170936188,5.8186666648,5.3913155679,4.8680212662,4.519388573,4.1925783765,4.0109532922,3.6615528084,3.6515253845,3.5039653509,3.392881467,3.4463592567,3.4039762668,3.3774492903,3.4286245926,3.6070647334,3.6169630554,3.8867875164,4.0837995863,4.4053862928,4.4629867382,4.6254808901,5.2944476229,6.0177415558,6.2644516429,6.8503904493,7.73453385,8.1039122299,8.5361501877,9.1414620577,9.8990795764,10.616702599,11.105266472,11.767124417,12.342720706,12.447468524,12.502379107,12.468951637,12.22353068,11.990614227,11.553997757,11.361680878,11.058875337,10.857082022,10.650434368,10.359234038,10.049459835,9.8674202674,9.5389569505,9.0947803717,9.3256725654,9.0558639588,10.155557088,9.7760817972,9.4221373503,9.0819332144,9.8823453943,9.6975306987,9.9092999904,10.484486375
2022,Morisset 132_11kV,04MAY2021,MW,10.990830497,10.483683253,10.164088494,10.179936605,9.7214582414,8.8044111549,8.4118488616,8.3644849221,7.8931921131,7.4798539596,7.0099392719,6.7208141731,6.614642979,6.5150360408,6.3767965102,6.3233649191,6.2753195515,6.4609168283,6.5690886287,6.763450353,6.9608701878,7.289389677,7.4220261652,7.5874344983,8.1130055577,8.7703980779,9.0523307889,9.1546017198,8.7307036558,8.8757633801,8.8314404982,8.471701484,8.2419596877,8.0895497851,8.3369526597,8.5414266341,8.7512853705,8.5496089268,8.4618127396,8.6630978768,8.0804292572,7.0176662442,7.6375696997,8.4754408342,8.7312474344,8.6511199119,8.6383347062,8.7509394262,9.067792051,8.5624185645,7.9022957664,7.4659653727,7.4516857276,8.1956025855,8.4035422755,8.4796888873,8.8122023253,8.9522555527,9.4872521428,9.8825208108,9.8045769972,9.9693863712,10.466845361,10.893121749,11.126870151,11.506140368,11.911858481,12.567194364,12.873564498,13.522166818,14.059633111,14.234193816,14.176579352,14.130008924,13.820784415,13.485911155,13.108182939,12.919168813,12.675624148,12.419449961,12.100552885,11.828659787,11.461084966,11.1015001,10.559640531,10.091279409,10.33121096,9.8769938437,10.937201687,10.656175324,10.260877333,9.9328982265,10.833825132,10.353921616,10.679810038,11.05564075
2022,Morisset 132_11kV,05MAY2021,MW,11.704218149,11.200437553,11.064616484,10.957737064,10.338761341,9.5183809541,8.9802231715,9.0232972307,8.2821005514,7.728143946,7.4117917857,7.0141346911,6.9735367082,6.6593122358,6.5742962929,6.5905652379,6.5305272507,6.6776346902,6.8135415981,6.9349169148,7.1288613783,7.2649184186,7.5880229386,7.9460089749,8.5736605555,9.0359509037,9.4988906954,9.7040045519,9.6949069897,9.7471481437,9.8044092969,9.7570574852,9.7149870162,9.3919521743,8.763175111,8.0617885065,7.9605818788,8.0516488871,8.8741289343,9.5128752786,9.2616736522,8.8011833048,8.1345542239,7.9383262132,8.8235069991,8.7985994977,8.338531896,8.4841760622,8.4758395991,8.3893252897,9.0299330337,8.2910105832,5.8645138987,5.4738166665,5.88366477,5.1643128453,6.7795172223,7.4571084183,8.2639484439,8.2515732249,8.0293048187,8.1013049511,8.3180179169,8.5099658974,8.4470381034,8.6504244049,9.6062132795,10.496486535,11.142606905,12.040483588,12.917604743,13.367219184,13.458240236,13.369801033,13.212115463,12.802438443,12.477404221,12.449457401,12.289710238,11.893418968,11.567817012,11.267387689,11.02254144,10.780850917,10.471383003,10.260905731,10.417491319,10.031250948,11.291738132,10.894678141,10.467067793,10.189243116,10.848366519,10.463774486,10.758670429,11.126172407
2022,Morisset 132_11kV,06MAY2021,MW,11.656959696,11.142594353,10.83970153,10.943179738,10.263937289,9.5104060588,8.9794017187,8.9561464094,8.3956197548,7.9549444335,7.591518181,7.2903096979,6.8720463372,6.6594512226,6.6796005397,6.5581776387,6.5537461691,6.6083704458,6.5149908222,6.5818968685,6.8898291972,7.2296061082,7.4278484127,7.7110622919,8.3690575076,8.9024328413,9.6350569855,9.8979303357,9.8114279419,10.26294415,10.524286034,10.247595809,9.6496201009,8.9936624276,8.8567665224,8.6056440872,8.4931010906,8.965174006,9.6980692959,7.4610017288,8.0520307634,7.6765915992,6.1262226621,6.5157574669,7.7783505581,7.1796563143,5.1503416577,5.8097315058,6.4905858154,6.558830345,7.1574330085,7.7250460253,6.0634460673,6.0413658961,6.1342447388,7.4967565807,7.3180236449,7.2903953231,7.407786592,7.1135532319,7.7899658101,8.5592162991,9.050585261,8.5705858868,8.845412121,9.2497909108,9.5930542782,10.23551483,10.601924223,11.113710989,11.734945733,11.893944601,11.84476415,11.886673288,11.795470329,11.590459768,11.311669553,11.128657111,10.818115411,10.639693434,10.302047219,10.212947707,9.9461318663,9.7786821184,9.5832551541,9.3834424404,9.6722406498,9.3230731472,10.35231054,10.147594589,9.7420100572,9.6752955817,10.504950112,10.275195101,10.485124933,10.812024998
2022,Morisset 132_11kV,07MAY2021,MW,11.194391978,10.738973434,10.406787825,10.422809001,9.8499831087,9.038592933,8.6128041375,8.7840087796,7.9406393415,7.37845977,6.9180475892,6.7764466313,6.6725190009,6.5989940926,6.5809003958,6.5060165801,6.5118025253,6.41210608,6.4091077809,6.4957155839,6.6463872707,6.8790173574,7.1156985248,7.3817910662,7.893568251,8.4837413696,8.9379169494,9.0012439375,8.5806336809,8.7676009087,8.5425645578,8.9953246393,8.6872446099,7.994349572,7.582660424,7.2630558975,6.8523985873,6.1451600836,5.7740679121,6.2588899629,7.2058661612,7.4866200216,8.3416146657,6.2546608625,4.082436565,3.7425771056,4.5144862606,4.3555727781,3.9454835001,4.5724106166,4.4086358735,4.1832613442,7.5923197361,8.1351719494,7.3127301464,5.8411774022,6.476541124,6.9181956309,6.405171288,6.8577606158,6.8521448808,7.2902223146,7.9789554982,8.7723675162,8.8425557508,9.0081750179,9.2774173641,9.9966490318,10.498043444,10.907738502,11.334070036,11.369836162,11.431069277,11.380364416,11.186171559,10.94597807,10.698807247,10.660139568,10.36085152,10.073116448,9.8749976339,9.6676207631,9.5049283851,9.3864400113,9.2986191022,9.0934833811,9.3333445694,9.2186238406,10.346085883,10.130721803,9.8003121653,9.4364019928,10.325587068,10.078575786,10.25003593,10.619999963
2022,Morisset 132_11kV,08MAY2021,MW,10.940698488,10.57465012,10.37380722,10.343646511,9.6909906648,9.0297205726,8.4214581918,7.970811026,8.1785617794,7.7623112646,7.3657387307,7.0447590805,6.7587717146,6.5779214367,6.4813088001,6.4132292177,6.4333687397,6.2849228207,6.3605041722,6.4500744548,6.4959718398,6.6497822166,6.836651862,7.0016183122,7.3403648086,7.7217635523,8.1023795767,8.3227127841,8.1656432423,8.1984291643,8.1261266137,7.9141102849,7.8352670837,7.4598675574,7.1554729826,6.7663146715,6.6393169514,6.165986255,5.6052572242,5.2115117236,4.6593550899,4.5698901773,4.1473474905,3.8725669784,3.5469985489,3.4691634322,4.0111899757,5.5444767743,3.9161629378,5.3250142485,5.3012503468,5.1636979065,5.167952856,3.4073447721,3.6380358687,3.762183617,4.1421777637,5.1238698153,5.3433767152,5.7907443346,6.6364121226,7.7792071811,7.5206965286,8.008178792,8.2869658396,8.6894077892,9.2044585397,9.4442076333,9.8889177371,10.306752465,10.830159673,10.955142029,10.972045094,10.808652479,10.52284032,10.298715076,10.147621884,10.139837011,9.8635229174,9.3657287231,9.1874380258,9.2263370181,9.0887730733,8.9466914353,8.8658102705,8.6868479305,9.7571068485,9.4627714799,9.1946883475,8.9131043079,9.0167626097,8.8943735183,10.07422603,9.5991920041,9.0170227972,9.2838358552
2022,Morisset 132_11kV,09MAY2021,MW,9.8070156021,9.2128297709,9.139678957,9.3289354971,8.4456014565,7.7768060474,7.4294315665,7.2190562778,7.2042785137,6.9937240236,6.6677960944,6.5542650484,6.4784518894,6.3769503396,6.1572916472,6.2266537242,6.2640255389,6.1717322376,6.0688405808,6.1627540349,6.2137000631,6.2510882308,6.2957297568,6.4842360915,6.8328260912,6.9814064319,7.4016632208,7.6485118686,7.5999684495,7.6548858692,7.2717131566,7.204286174,7.3916305924,8.0884171989,8.5898650423,8.8267820569,9.1749687803,9.1578151944,8.9116474609,9.2294808465,9.6736170206,9.9369582901,9.9641437342,9.2138817863,8.6148012565,7.7948431487,8.0153568161,8.909830952,9.3988461009,9.2687185178,9.1373094506,9.1381268792,8.4685892002,9.0126556167,8.8377193491,8.5312760273,8.4846344075,8.4962261319,8.400148891,8.7561512936,8.9862229761,9.1222540917,9.0296172457,9.0249188773,9.5510325788,10.19400117,10.462029953,10.886386878,11.320802223,12.064257157,12.602489992,12.441484694,12.546172296,12.501942117,12.124253088,11.88819532,11.733069434,11.535696405,11.131844189,10.801858282,10.553796168,10.350229118,10.090701071,9.9484588344,9.8403824738,9.6763643092,10.613035827,10.041677734,9.8891909983,9.4260437019,9.3549552843,9.0620338178,10.290781674,9.79781835,9.3157381218,9.6153036544
2022,Morisset 132_11kV,10MAY2021,MW,9.8620941808,9.4788001966,9.3207354285,9.5904544651,8.7921355971,8.1693064232,7.896631728,7.648900408,7.2274715733,6.9864260049,6.7661419039,6.6573447433,6.4298565661,6.383059921,6.3795826677,6.3705867823,6.3561790115,6.4091858897,6.4138543975,6.6501362795,6.9404102949,7.1791956838,7.3521838362,7.7216683845,8.3966085615,8.8721940336,9.3385945175,9.3670102088,8.9340893742,9.1910765962,9.2043486554,8.8219922193,8.5917367766,7.9040291849,7.453034788,7.0283994302,6.5420556807,5.884603802,5.4041887224,5.0963655204,4.6901103897,4.2919774401,4.0872546564,3.869787085,3.7763409989,3.5044060324,3.3792333037,3.3397389522,3.3853659298,3.614198044,3.8627905069,4.0748602342,4.9082667686,5.5014191371,4.8749735494,4.7656260703,4.7817227937,5.1879116077,5.3276332777,5.6317160466,6.3601154627,6.4860247675,7.2026399085,7.9794968126,8.3996323716,8.9662419284,9.7902853228,10.424475654,10.87867308,11.657889915,12.105021704,12.081434307,12.247445069,12.070852181,11.921973749,11.542396733,11.132663501,10.914714696,10.614742482,10.437772908,10.193826409,10.026530106,9.8642126308,9.5977000786,9.4975464312,9.2774558827,9.4944439043,9.1388950886,10.186948774,9.8784715005,9.4931915492,9.3560380048,10.274671682,9.8676350822,10.12787516,10.495769281
