year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
2022,Mosman 132_11kV,01MAY2021,MW,25.781298408,25.412269764,24.773411735,24.079823304,23.473800981,23.087158859,22.67614755,22.173487457,21.906981741,21.906981741,21.138771426,21.137815932,20.846212374,20.368650123,20.368650123,20.368650123,20.368650123,20.368650123,20.368650123,20.368650123,20.368650123,20.839984676,21.137815932,21.685056343,23.288081738,24.241937798,25.364204612,26.84078927,27.537122369,29.173410102,30.596907144,30.880582844,31.422792683,31.763699143,31.763699143,31.763699143,32.19168522,32.50437733,32.68393113,34.201850303,34.161455766,33.359006006,33.185501514,33.256134087,32.093274063,31.452263452,31.189848216,30.453268506,30.299609138,29.59863983,29.210073501,29.337466769,29.456201717,29.003774742,29.484689339,29.484689339,29.484689339,29.484689339,30.07833039,30.25183925,29.869374856,30.541535126,31.108483825,31.108483825,31.712443586,32.744124603,33.869225404,34.948092426,35.456888088,37.496730854,39.111362068,40.007698333,40.679386923,40.588390392,40.338473531,39.871994125,39.229864595,38.025946577,37.48376477,36.769614827,35.889899704,35.63801581,34.931341305,34.339184497,33.330518384,32.981031661,32.092075969,31.338003757,31.023020957,30.351113164,29.408096739,28.658548286,27.607463608,26.55285148,26.094357761,25.610372673
2022,Mosman 132_11kV,02MAY2021,MW,25.610372673,25.106789562,24.674289337,24.072041055,23.382076287,23.093417153,22.363051486,21.793031251,21.42740572,21.023865442,21.023865442,21.023865442,21.023865442,20.259683828,20.254699633,20.254699633,20.254699633,20.254699633,20.254699633,20.254699633,20.254699633,20.254699633,20.297004702,21.10932831,22.068940636,22.67614755,23.56822068,24.271454413,25.160369918,26.868075247,27.376605271,28.105164822,28.54866013,29.471231217,30.033855476,30.567218996,30.567218996,30.567218996,30.567218996,30.567218996,31.026381281,31.193946692,31.09293528,29.64266916,29.570152207,30.081719639,30.400596108,29.684102697,29.059915091,29.852483899,29.667463666,29.025090624,27.946357722,28.027768282,29.141540808,30.367805639,29.241091622,29.599220028,30.353913346,29.929555092,29.301134016,29.655615075,29.655615075,29.834553543,30.922489543,31.689675766,32.64627055,34.198260407,35.960189285,38.165465316,40.098241322,41.497989089,42.083956676,42.941765065,43.272698654,42.613368716,41.358923208,40.56250971,39.469206205,38.58503668,37.208117603,37.008850178,36.193306235,35.52406532,34.935729557,33.730033076,32.968626194,31.511388544,30.349880277,29.66568298,28.845724405,27.046382277,26.182967068,25.066391265,24.584818261,24.584818261
2022,Mosman 132_11kV,03MAY2021,MW,24.130490838,23.815652452,23.734152668,23.017999021,22.965491489,22.248833212,22.248833212,21.35517879,20.710501594,20.710501594,20.710501594,20.710501594,20.710501594,20.710501594,20.710501594,19.97649179,19.941335785,19.941335785,19.941335785,19.941335785,20.702986825,21.405062574,21.97746895,22.718946499,25.024922782,26.836283592,29.113157413,30.6569348,32.460513076,34.63737787,34.982800492,34.982800492,34.842039806,34.625442923,33.571556602,33.223838068,32.61832782,32.552621157,31.626634081,31.023020957,30.760290896,30.282342771,29.639278126,29.484689339,29.484689339,29.484689339,29.484689339,28.94938792,28.772498776,28.772498776,28.772498776,28.772498776,28.772498776,28.772498776,28.772498776,28.772498776,28.772498776,28.772498776,29.215587394,29.427714094,29.427714094,29.427714094,30.16275836,30.746120126,31.16545907,31.625527052,32.657617645,34.223628635,35.992601989,37.663609543,39.973445689,41.82847736,43.376055547,43.842451105,44.042837334,43.700012992,43.015275096,42.076067864,41.020083487,40.414884742,39.597279168,38.436389576,37.495302561,36.74903309,35.755574258,34.610429092,33.36188582,31.745904635,31.108483825,30.710166202,28.983125716,27.827284872,26.392112918,25.15612587,24.955157354,24.401453709
2022,Mosman 132_11kV,04MAY2021,MW,24.185991545,24.099432607,23.445313359,22.788786774,22.67614755,22.558160933,21.809203693,21.137815932,21.044740032,20.368650123,20.368650123,20.368650123,20.368650123,19.665637702,19.599484315,19.599484315,19.599484315,19.599484315,19.599484315,19.599484315,20.389102584,20.966319172,21.925825582,22.837592851,24.485813555,26.689721914,28.496098738,30.270097461,32.405183846,34.419977921,35.068263359,35.068263359,35.068263359,35.064918798,34.327585173,34.327585173,34.327585173,34.327585173,34.086281564,33.615394609,33.615394609,33.615394609,34.256332881,34.470023286,34.470023286,34.672732586,34.583799736,34.526998531,34.526998531,34.784669077,35.381627207,35.356675165,34.726411889,34.726411889,34.726411889,34.726411889,34.726411889,34.935941581,35.353139585,34.885933763,34.758917785,35.381627207,35.957262333,35.729470708,36.057223711,36.280922311,37.103046496,38.826570318,40.715271794,42.791522673,44.416666655,46.148907613,46.900507175,47.602817281,47.782021957,48.167893964,47.275958524,46.564543849,45.296741976,44.235668342,43.500939207,42.284666163,41.563229638,40.441520118,39.344208917,38.014329571,36.762532823,35.604647062,34.460051782,33.290380482,31.989920209,30.440059669,28.91601486,27.656159723,27.192636496,26.222720102
2022,Mosman 132_11kV,05MAY2021,MW,25.866761276,25.771878767,24.690577135,24.35691728,24.342742409,23.587751472,22.997045804,22.818585663,22.378676662,22.049419854,22.049419854,22.020751506,21.308741668,21.308741668,21.308741668,21.308741668,21.308741668,21.308741668,21.308741668,21.308741668,21.799168244,22.106395099,22.947750177,24.132247936,25.947395966,28.003775209,30.481717955,33.140580522,35.648656222,37.545408377,38.254598529,38.380664862,38.126051532,38.258054059,38.857117159,38.857117159,38.673063567,38.105925653,37.375760786,37.375760786,36.852286478,36.6350826,35.834934811,34.917479323,35.72898733,35.720785363,35.29616434,35.612636035,35.395364832,34.672237832,34.45808777,34.174241372,33.728475695,34.367511659,33.466867799,33.188080271,32.462131325,31.502190175,31.476723095,32.38991862,33.22745459,34.042708948,34.376589258,34.297232485,35.038857486,35.723478678,36.333792945,37.764339193,40.01677259,42.115417361,44.17960979,45.524000712,46.489712543,47.422364108,47.773743017,47.195583564,46.701080029,45.668372109,44.772040972,43.984889218,43.404257173,41.825227757,40.87973836,40.203520826,39.30668956,37.987167003,36.620976042,35.467860684,34.413048041,33.470591758,32.092691586,30.46341838,28.671685068,27.4623872,26.907681056,25.873553883
2022,Mosman 132_11kV,06MAY2021,MW,25.69583554,25.301115885,24.839143239,24.1290163,24.019114471,23.316314852,22.590684682,22.454389375,21.821518873,21.778621661,21.052353065,21.052353065,21.052353065,21.052353065,21.052353065,21.052353065,20.295156615,20.254699633,20.40159283,21.052353065,21.372993791,21.850006496,22.748087913,23.919766337,25.720293456,28.096674144,30.341796743,32.6548115,35.044776853,37.350804261,38.990828772,39.968528992,40.537886889,39.843054954,38.971067649,38.971067649,38.971067649,38.117173801,36.598961396,37.404248408,36.741064247,35.224311149,34.764944342,35.224344195,35.837429168,35.837429168,35.646815694,35.584371832,34.624013718,34.998164721,34.460487054,34.442623606,34.191374455,33.380936595,32.499173572,32.869671246,33.273543139,32.74544415,32.50437733,32.309191421,31.678236276,32.018458254,33.198987308,33.302030761,33.590640119,34.654474071,36.291906379,37.092338303,38.671405967,40.612926287,42.461862708,43.792641048,44.342056887,44.839517894,44.839517894,44.714268662,43.439745514,43.265605521,42.532020467,42.129902938,40.931943561,39.8062355,39.312919119,38.599625515,37.979634287,36.539340258,35.445190804,34.088706202,33.131105026,32.505513435,31.338461553,30.023019677,28.497765188,27.153230974,26.949290933,26.252419873
2022,Mosman 132_11kV,07MAY2021,MW,25.410959315,25.353588415,24.698768751,24.131518406,23.422213885,23.131949511,22.950342645,22.279458166,21.565130271,21.565130271,21.556525033,20.795964462,20.795964462,20.795964462,20.795964462,20.795964462,20.795964462,20.795964462,20.795964462,20.795964462,21.404095761,21.422692158,22.088212,23.154805681,24.707946134,26.488100899,28.564597284,30.728436283,32.563216045,33.963353522,34.940542123,34.954312869,34.954312869,34.69784,35.289091718,36.783331333,36.474867831,35.042407157,33.415362766,33.484365827,34.733019137,32.816208544,32.703790688,32.703790688,32.583018608,34.232372701,34.101206704,33.576123472,33.045219041,33.961875262,33.453561971,32.371403812,32.477863178,32.883373489,32.996175776,32.656064899,32.039443662,31.364872428,31.364872428,31.848656945,31.822252584,31.364872428,31.694633865,32.397167866,32.874716423,33.34585612,33.777612362,35.701768185,37.774272713,39.270162464,40.644936234,41.327189725,41.591928923,41.591928923,42.0013744,41.620416546,41.061235567,40.140229058,39.058185381,38.221197076,37.558077715,37.062396938,36.359211881,35.894650261,34.774646561,34.533778015,33.588506738,32.725357812,32.418914462,31.822181099,30.653225997,29.501524119,28.172965364,27.313269594,27.0347538,26.487188079
2022,Mosman 132_11kV,08MAY2021,MW,26.265587991,25.68946134,24.789719759,24.116302274,23.986578187,23.537891295,22.574023127,21.736696408,21.679080761,21.602629098,20.909914952,20.909914952,20.909914952,20.909914952,20.909914952,20.638272879,20.169236766,20.169236766,20.169236766,20.169236766,20.839426128,21.023865442,21.24759781,21.848970952,23.100036157,23.990713773,25.346769864,26.085840893,27.570828184,28.659478976,29.465881184,30.498049036,31.20243401,31.534368369,32.048575369,32.845105875,32.8462288,32.8462288,33.097545372,32.388463473,32.105550614,31.434779287,31.829793846,31.554903653,31.931273215,32.43193623,31.877649634,32.343750155,32.703790688,32.174794092,30.384453235,29.776900938,30.783775864,31.258367653,29.801651459,30.082929413,30.481508761,32.576490594,31.649748653,31.117687435,30.909070467,31.401404765,31.535798163,31.820872226,32.162525859,32.403816896,33.308728201,34.433515999,35.939537847,37.897065344,39.595269917,40.196035418,40.648344892,41.022176472,40.837566252,39.887694128,38.929867463,38.370704981,37.212890856,36.6769708,35.57366229,35.127211942,34.599969291,33.84329559,33.500052917,32.757394708,32.228565733,31.478822918,31.385731521,30.652681864,29.934778411,28.774842737,27.84040798,26.936725232,26.749877575,26.392264738
2022,Mosman 132_11kV,09MAY2021,MW,25.632814082,25.211545957,24.868361266,23.886645886,23.673214339,23.087272391,22.482101279,21.841587834,21.365716913,21.139566782,20.596551104,20.596551104,20.596551104,20.596551104,20.596551104,20.4079209,19.827385295,19.827385295,19.827385295,19.827385295,20.546557605,20.625038726,20.625038726,20.821559736,21.701688804,22.556375614,22.979716784,24.075779771,25.545628967,26.776761325,27.549243663,28.76131218,29.908238241,30.357856032,31.108761864,32.553066361,33.754547226,34.669436644,34.669436644,35.071082058,35.381627207,35.381627207,35.381627207,35.381627207,35.381627207,35.381627207,34.763026783,34.640949021,34.640949021,34.138530181,33.84329559,33.84329559,33.84329559,33.291743349,32.613070714,32.247828892,31.706723898,31.816709462,32.475889707,31.824776321,31.706723898,31.747108902,32.561352575,32.676929139,33.330518384,34.132306243,35.272661291,36.898019064,38.335410507,40.138544775,41.580267192,42.829564379,43.187235786,43.187235786,43.187235786,43.067365416,42.319078926,41.569403779,40.936713605,40.567424945,39.391938979,38.387808209,37.669420904,37.000841263,36.176284577,35.260017611,33.779891524,32.450166695,31.763699143,30.820183501,29.803802009,28.3445466,26.946329663,26.04949684,25.667347918,25.667347918
2022,Mosman 132_11kV,10MAY2021,MW,25.324890515,24.898182109,24.133899572,23.416825736,23.416825736,23.348849445,22.358613399,21.878494119,21.878494119,21.260912943,21.10932831,21.10932831,21.10932831,20.503956379,20.340162501,20.340162501,20.340162501,20.340162501,20.340162501,20.593066783,21.447140786,21.878494119,22.184537502,23.385176235,25.185588016,27.286627951,29.449650551,32.023416221,33.790667898,35.378619693,36.293231129,36.203120031,35.667576201,35.77325624,35.026113852,34.147951474,33.945464169,33.129324872,32.317048307,31.735211521,31.255960297,31.023020957,30.3900238,30.139904658,30.139904658,29.401882924,29.342251227,29.342251227,29.336534616,28.965434333,29.342251227,29.342251227,29.598056023,30.630154479,30.282342771,29.78791129,29.541664585,29.541664585,29.541664585,29.541664585,29.541664585,29.943516116,30.45940814,31.323506558,31.401530889,31.748410824,32.577454615,33.754623591,35.883491926,38.320261777,40.388373305,42.415970041,43.796110346,44.565958965,45.12439412,45.12439412,44.433985192,43.345151509,42.759921448,41.978590247,40.696608812,39.568142597,38.857117159,38.231351603,36.887157037,36.343994819,35.181240105,33.625982319,33.078651602,31.859660954,30.20096989,28.959173893,27.46917523,26.392432245,25.638860295,25.092065468
