year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2023,Olympic Park 132_11kV,01MAY2022,MW,12.44435,12.39948,12.25700,11.98665,11.66792,11.60827,11.48762,11.26776,11.17852,10.89260,10.88662,10.88662,10.85460,10.67023,10.53129,10.68227,10.60987,10.68358,10.81726,10.74751,10.88447,10.92520,11.05444,11.14578,11.16656,11.33263,11.22221,11.41618,11.44896,11.65773,11.74810,11.74601,12.08343,12.36180,12.40634,12.43664,12.07692,12.06812,12.07123,12.17720,12.60121,12.86388,13.23739,13.19524,12.81780,12.87505,13.06626,13.20532,13.24684,13.30252,13.30303,13.33102,13.60706,13.66842,13.71998,13.81764,13.77094,13.97255,14.41376,14.64404,14.81359,14.73980,14.68890,14.91232,14.89829,15.15537,15.50471,15.76695,16.41606,16.51580,16.79025,16.48318,16.27309,15.95424,15.69097,15.40190,15.52352,15.37278,15.16219,15.21044,15.10416,15.11040,14.96517,14.62688,14.38251,14.18592,14.10429,13.86397,13.58908,13.49414,13.47159,13.22667,13.07893,12.62320,12.36136,12.17273
2023,Olympic Park 132_11kV,02MAY2022,MW,12.12758,11.93010,11.77089,11.34920,11.23695,11.18425,10.83366,10.82264,10.82264,10.74517,10.61411,10.61411,10.46907,10.40570,10.27712,10.37212,10.41604,10.64490,10.64865,10.86656,10.99641,11.39119,11.55275,12.02086,12.55545,12.71646,12.89364,13.11981,13.92529,14.32381,14.31482,14.72630,14.83213,14.67237,14.85038,14.62918,14.70529,14.72333,14.68029,14.86320,14.80249,15.12883,15.06971,15.03293,15.17914,15.10991,15.59255,16.14797,16.27891,16.59630,16.66012,16.19932,15.72486,15.49097,15.85524,15.97979,16.19389,16.22443,15.89598,16.05073,15.97613,16.11788,16.01708,16.11670,16.25799,16.52391,17.02675,17.07644,17.26089,17.64415,18.00806,18.05954,17.38078,17.29367,17.09589,16.90256,16.63302,16.51640,16.63512,16.65096,16.40110,16.26214,16.07846,15.82888,15.63646,15.32335,14.94405,14.79986,14.35091,14.07014,13.83141,13.60358,13.16428,12.76524,12.46420,12.21004
2023,Olympic Park 132_11kV,03MAY2022,MW,11.98888,12.00403,11.70994,11.49219,11.48801,11.29786,11.06246,10.85862,10.85862,10.85862,10.74955,10.64734,10.64734,10.64734,10.64734,10.64734,10.57053,10.65990,10.82516,10.98866,11.24613,11.40299,11.65005,12.06167,12.89161,13.08948,13.13848,13.26606,14.27078,14.42469,14.53880,14.70008,14.95805,15.06128,15.13630,15.06222,14.92178,15.02451,15.16153,15.20928,15.33790,15.45644,15.44563,15.62149,15.64449,15.58848,15.44726,15.57393,15.64139,15.38727,15.53183,15.72269,15.89404,15.90957,16.06675,16.12615,16.01916,16.25860,16.38212,16.40190,16.52614,16.55495,16.69036,16.66168,16.71898,16.83935,17.12052,17.42207,17.38368,17.36768,17.62075,17.68617,17.07271,16.87918,16.93273,16.93053,16.66513,16.49139,16.35631,16.28056,16.08227,15.86162,15.55378,15.53281,15.15005,14.86163,14.81631,14.53221,14.34874,14.08185,13.48134,13.21264,12.94744,12.59562,12.49398,12.21011
2023,Olympic Park 132_11kV,04MAY2022,MW,11.98252,11.82329,11.51206,11.23300,11.14839,11.14839,11.11938,10.93972,10.68880,10.52736,10.52736,10.73947,10.56361,10.56361,10.56361,10.56361,10.60839,10.81783,10.99628,11.18463,11.31762,11.53717,11.72483,12.22234,12.71055,13.00675,13.25354,13.49167,14.33575,14.41138,14.50149,14.69849,14.83882,15.13185,15.03635,15.04966,15.04148,15.09055,15.13230,15.21482,15.24091,15.66748,15.84104,16.16147,15.76984,15.94101,16.01239,16.06880,16.06595,16.25795,16.36493,16.61590,16.73064,16.89639,16.95094,16.98023,16.98695,17.28327,17.52339,17.55112,17.60018,17.55744,17.53910,17.64889,17.72375,17.59548,18.04343,17.95429,17.72772,18.08989,18.19044,18.25717,17.80720,17.42121,17.56709,17.31360,17.04556,16.87099,16.67922,16.77227,16.56289,16.35719,16.07697,15.81213,15.57780,15.64085,15.15795,14.89630,14.65184,14.36286,14.27711,13.85554,13.55425,13.16468,12.99352,12.73727
2023,Olympic Park 132_11kV,05MAY2022,MW,12.46058,12.14339,12.04830,11.80374,11.67548,11.27754,11.26625,11.35768,11.00579,11.00579,10.96617,10.74638,10.72213,10.77881,10.63064,10.52982,10.49549,10.58453,10.88185,11.16138,11.48314,11.78897,11.79953,12.26609,12.70320,12.88320,13.37191,13.69021,14.48145,14.68353,14.95171,15.18545,15.55547,15.75620,15.77432,15.78275,15.57699,15.19881,14.96393,15.29855,15.46483,15.53833,15.93653,16.37728,16.20113,16.14088,15.87908,15.57899,15.53496,15.82513,16.29236,16.36886,16.74033,16.84555,16.41200,16.30035,15.66660,16.75596,16.80549,16.34010,16.30373,16.14674,16.54439,16.62033,16.79132,16.70988,17.13325,17.34850,17.37440,17.87000,18.22035,18.27948,17.92012,17.66840,17.63183,17.53720,17.31418,17.10136,17.00784,17.04164,16.61372,16.30925,16.29925,15.88422,15.42734,15.37860,15.19608,15.01409,14.45455,14.05579,13.93824,13.55191,13.24697,12.93620,12.73157,12.43607
2023,Olympic Park 132_11kV,06MAY2022,MW,12.35350,11.95978,11.83593,11.67337,11.29213,11.28301,11.13376,11.05286,10.86345,10.86345,10.86345,10.86345,10.86345,10.64627,10.52353,10.53910,10.75213,10.66591,10.92695,11.23040,11.39487,11.66160,11.74076,12.09751,12.57150,12.94410,13.04287,13.24000,14.16100,14.38054,14.49768,14.53512,14.58282,14.75555,14.79600,14.78187,14.66240,14.51440,14.44263,14.37562,14.41778,14.30500,14.46330,14.67632,14.85686,15.00365,14.92580,14.53982,14.35152,14.53923,14.56015,14.60234,14.56766,14.78883,14.84000,14.91115,14.75969,14.90901,15.31649,15.56349,15.60095,15.71375,15.81006,16.04939,16.30223,16.31763,16.79793,16.98172,16.84881,17.14967,17.47066,17.45689,16.90146,16.93627,16.96800,16.90175,16.53871,16.63709,16.46461,16.36633,16.14232,16.00351,16.00033,15.92334,15.56300,15.39938,15.41914,15.70873,15.23766,14.66953,14.61502,13.89960,13.64761,13.12599,12.89668,12.68568
2023,Olympic Park 132_11kV,07MAY2022,MW,12.46498,12.28288,11.99727,11.95755,11.86625,11.63688,11.63688,11.30910,11.21144,10.95914,10.79424,10.79424,10.77156,10.54088,10.47376,10.59580,10.59580,10.79620,10.80721,10.80721,10.96587,11.01325,11.35157,11.59080,11.73564,11.92195,11.92195,11.92195,12.18369,12.37481,12.39595,12.60060,13.01569,13.27736,13.41785,13.30121,13.17338,12.98695,12.82249,12.99007,13.40319,13.59640,13.43863,13.25166,12.94988,12.98181,12.78098,12.85555,12.66897,12.75102,12.73795,12.87421,13.06928,13.29320,13.31599,12.80820,13.01598,13.09339,13.27537,13.22481,13.43708,13.56703,13.37883,13.59635,14.02168,14.18619,14.68503,14.99125,15.16799,15.45160,15.83044,16.01836,16.01734,15.94046,15.91004,15.91228,15.67873,15.58400,15.53464,15.40883,15.33761,14.93887,14.78937,14.49892,14.47140,14.25270,14.25270,14.15560,13.96634,13.78134,13.68999,13.62054,13.21156,13.00974,12.85970,12.71590
2023,Olympic Park 132_11kV,08MAY2022,MW,12.50050,12.43138,11.94537,11.77936,11.77936,11.56865,11.25117,11.11699,10.94368,10.91095,10.91095,10.91095,10.71076,10.69299,10.50502,10.47975,10.47975,10.47975,10.79427,10.70503,10.76965,11.11502,11.24007,11.43472,11.55996,11.55996,11.60199,11.93107,11.71785,11.98278,12.09988,12.25877,12.30807,12.78103,12.63301,12.68165,12.66471,12.41290,12.52193,12.53535,12.45806,12.26996,12.07913,12.14533,12.38413,12.21226,11.90873,12.15070,12.34587,12.03903,12.23751,12.02888,12.04184,12.40192,12.49084,12.77106,12.74002,12.73411,12.91284,12.73688,12.87476,13.17216,13.20705,13.40134,13.68195,13.98879,14.43920,14.46619,14.89515,15.57700,15.68756,15.86581,15.72644,15.56510,15.56477,15.49791,15.16326,15.13052,15.07719,14.96762,14.92146,14.80848,14.71398,14.69571,14.43084,14.31678,14.30172,14.11146,13.88369,13.88236,13.58716,13.43486,12.93958,12.70628,12.50150,12.39258
2023,Olympic Park 132_11kV,09MAY2022,MW,12.13856,11.86556,11.66776,11.64643,11.44372,11.32904,11.13028,10.94902,10.79255,10.73420,10.53345,10.54032,10.43890,10.63085,10.63085,10.63085,10.63990,10.84527,10.90240,11.05315,11.24975,11.71385,11.91594,11.97646,12.52142,12.74304,13.25575,13.72035,14.74773,15.26891,15.26692,15.40094,15.26367,15.66584,15.82968,15.98829,15.41134,15.67168,15.86886,15.62994,16.03324,16.06140,15.88826,16.01237,15.86581,15.90753,16.12026,16.47118,16.31078,16.12459,15.95033,16.43335,16.60641,16.39082,16.25299,16.54801,16.27005,16.13298,16.12622,16.34313,16.01915,16.23747,16.31750,16.41519,16.70247,17.08316,17.36595,17.57042,17.48253,17.75425,18.00996,18.11117,17.65252,17.55244,17.38913,17.44823,17.27591,17.08446,16.92749,16.68746,16.59375,16.50294,16.39396,16.33023,15.74284,15.63848,15.33426,15.05734,14.59903,14.31029,14.08595,13.99234,13.45381,13.34712,12.76840,12.67977
2023,Olympic Park 132_11kV,10MAY2022,MW,12.44455,12.28891,11.80227,11.63204,11.54396,11.42324,11.42324,11.31376,11.21459,11.01713,10.95465,10.84544,10.82093,10.85625,10.77084,10.59286,10.55144,10.74985,11.01809,11.18044,11.37093,11.75486,12.01913,12.06669,12.63635,13.10155,13.62491,13.90877,14.72551,15.29594,15.23627,15.35132,15.38609,15.46690,15.48301,15.50436,15.55668,15.53187,15.41511,15.38734,15.58708,15.85950,15.53847,15.56088,15.54240,15.68344,15.87107,15.97769,16.07799,15.77885,16.18647,16.08236,15.98452,16.22489,15.77561,15.78072,15.85675,16.19195,15.90357,15.94233,15.85693,16.02882,15.90502,15.98906,16.19198,16.24375,16.59683,16.65934,16.79017,17.83147,17.96735,17.68881,17.17252,17.26664,17.30111,17.14441,17.01408,16.87508,16.81515,16.85222,16.71647,16.31785,16.04720,15.91319,15.80624,15.58125,15.25867,15.04898,14.71261,14.34842,14.03494,13.74197,13.37258,12.97469,12.80563,12.41293
