year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2023,Revesby 132_11kV,01MAY2022,MW,21.12348,20.07246,19.00330,19.30342,19.23584,17.73056,16.61052,15.46336,14.76307,13.85175,13.16296,12.77370,12.40747,12.05368,11.81482,11.56834,11.50799,11.56493,11.39939,11.39654,11.39654,11.39654,11.44695,11.58405,11.45227,11.92431,12.48299,12.65674,12.10252,12.37179,12.09548,12.58986,12.84744,12.42752,12.42752,12.32980,12.00200,11.54540,11.99008,10.77672,10.34211,9.91156,9.88300,10.61835,9.57261,8.89445,8.94440,8.76877,8.55437,8.48113,8.41291,8.65836,8.95032,8.89286,8.97233,9.46773,9.54284,10.05723,10.86772,11.07034,10.95488,11.60417,11.77489,12.03876,13.07840,13.48656,14.25062,15.23633,15.68427,16.45034,17.00717,17.44374,17.76463,17.79919,17.70031,17.52670,17.00339,16.77437,16.52331,16.74687,18.13825,18.61342,18.15669,17.71264,17.35198,17.07995,16.46052,16.29315,16.21691,17.15146,17.61662,19.81532,19.37319,18.93519,20.48342,20.74634
2023,Revesby 132_11kV,02MAY2022,MW,20.29763,19.45506,18.53309,18.83092,18.76226,17.44029,16.27387,15.27368,14.31262,13.55780,12.91130,12.45579,12.10700,11.88826,11.70952,11.44407,11.42440,11.27113,11.25078,11.54467,11.77707,11.92596,12.22780,12.69163,13.32296,14.32862,15.50219,15.98984,15.45472,15.55737,15.73035,15.22435,14.72987,14.08421,13.58743,13.04862,12.42016,11.96777,11.43979,11.06342,10.62008,10.17665,9.81277,9.54280,9.32486,8.94586,9.11737,9.69634,10.64149,10.56126,11.78202,11.85720,11.83762,11.93366,12.78323,12.36494,11.88352,10.92754,10.47301,10.70350,11.60531,12.21406,12.96480,13.99063,14.69446,15.39171,15.95671,17.07843,18.05597,19.40701,20.61082,21.48715,21.30048,21.21193,21.55524,21.13258,20.45751,19.84732,19.59379,19.34065,18.86354,18.78353,18.57666,18.24457,18.10208,17.97350,17.75569,17.35959,16.88417,17.75725,18.32285,20.89257,20.20210,19.51064,21.26673,21.52361
2023,Revesby 132_11kV,03MAY2022,MW,20.94156,19.99178,19.11993,19.47217,19.01200,17.59717,16.59591,15.54978,14.50417,14.00366,13.06089,12.72743,12.38300,12.30229,12.09446,11.92471,11.44341,11.72428,12.08893,12.23127,12.48659,12.46017,12.96919,13.20861,14.05643,14.92866,15.70698,16.87703,15.74439,16.05552,15.80939,15.33121,15.02874,14.16491,13.50976,12.79650,11.78464,11.66384,11.29947,10.86602,10.45882,10.08449,9.66162,9.39892,9.15382,9.12616,9.51560,9.03436,8.75436,8.63818,9.56478,9.26337,9.35469,9.18736,9.21498,9.44612,9.49703,9.95517,10.83855,11.27498,11.89994,12.56899,13.34384,14.18703,14.87016,15.86585,16.56144,17.47323,18.19613,19.22362,20.66200,21.09742,20.23864,20.28484,20.49039,20.34645,20.13238,20.21733,19.96043,19.64454,18.84299,18.75153,18.58218,18.32748,17.84428,17.66648,17.65149,17.15643,16.88125,17.75686,18.56845,21.10300,20.51448,19.77674,21.02272,21.27809
2023,Revesby 132_11kV,04MAY2022,MW,20.81034,19.97902,18.96672,19.20764,18.69590,17.33264,16.75286,15.81169,14.75177,13.82892,13.29363,13.03537,12.85817,12.42620,12.09881,11.77890,11.89674,11.90481,12.04249,12.32539,12.38288,12.66154,13.23980,13.51287,13.72105,15.00776,15.51411,16.64813,15.68665,15.96979,15.73505,15.23046,15.05125,14.35220,13.90176,13.08552,12.23070,11.79186,11.50874,10.95735,10.39283,10.07479,9.90448,9.60180,9.34865,9.06084,9.13808,9.00943,8.73984,8.87795,9.10948,9.31455,9.48672,9.39632,9.46509,9.81704,9.94968,11.17431,11.14985,13.46400,13.57080,14.23576,14.42661,15.17945,15.57286,16.27690,16.75050,17.60993,18.22003,19.18249,19.51897,20.12698,20.28528,20.21730,20.02669,19.80387,19.34730,18.82732,19.29690,19.08239,18.61615,18.91615,18.59143,18.17097,17.95759,17.66023,17.55927,16.74252,16.26796,17.34545,17.69880,19.94881,19.58276,18.82692,20.21372,20.42673
2023,Revesby 132_11kV,05MAY2022,MW,20.35523,19.46994,18.43819,18.92718,18.43195,17.09497,16.05911,15.24459,14.40175,13.71582,13.17436,12.57137,12.07611,11.94745,11.66353,11.38688,11.38182,11.60702,11.83385,11.95383,11.99460,12.47056,12.74140,12.85139,13.25514,14.27619,15.47524,16.38401,15.48950,16.25311,16.12399,16.26257,16.60406,16.59916,16.18294,15.61367,14.68107,13.55118,13.80990,11.09320,12.64287,12.75447,11.63049,12.22423,12.23245,10.97146,10.85107,11.79809,9.63978,9.36817,10.93783,10.56447,11.23492,10.28085,9.27400,9.33886,9.94481,12.11813,14.45316,13.82036,13.95417,14.94765,13.28717,14.34703,14.83923,16.29069,17.21237,17.63782,17.70067,18.72438,19.65741,20.49025,19.88960,19.91005,19.98112,19.93233,19.47562,19.24260,19.60378,19.54362,19.06861,19.17665,19.07630,18.94719,18.49882,18.19643,17.69054,16.97277,16.62019,17.97361,18.62346,20.84768,20.39858,19.60059,20.91614,21.13697
2023,Revesby 132_11kV,06MAY2022,MW,20.69117,19.78489,18.95693,18.89481,18.57061,17.25288,16.32547,15.39977,14.54992,14.01828,13.40602,12.86153,12.85949,12.39591,12.30316,12.08361,11.93008,12.14028,12.23405,12.17639,12.36586,12.75242,13.10020,13.50075,14.19605,15.30516,16.23249,17.35098,16.72692,17.07017,16.85125,16.26520,15.86518,15.39010,14.67701,13.61518,12.74823,12.60582,12.03615,11.66883,11.09351,10.36534,10.11873,9.86488,9.33399,9.16136,8.93210,8.64252,8.41678,8.51950,8.97859,9.29585,9.13632,9.35488,9.47713,9.34320,9.41696,10.03471,10.68902,11.15938,11.78832,12.64453,13.41433,14.32665,15.48627,16.31648,17.14505,18.26202,18.42539,19.19563,20.52371,21.24873,20.98189,21.02650,21.27704,21.31047,21.96932,21.79864,21.48371,21.05663,20.38688,20.54004,20.50837,20.52302,20.37962,20.21118,19.92338,19.34586,19.07727,20.13313,20.52108,22.77106,22.51902,21.76275,23.21643,23.44257
2023,Revesby 132_11kV,07MAY2022,MW,23.09609,21.99861,21.01079,21.21457,20.79310,19.32752,18.32844,17.38934,16.25821,15.28944,14.59652,14.08436,13.66314,13.35523,12.99244,12.70616,12.70616,12.53228,12.78455,12.97229,12.96614,13.00311,13.28769,13.73545,13.85970,14.48352,15.49463,16.07451,15.94479,16.60745,16.84728,17.16149,17.23078,16.91583,16.68808,16.20785,15.63794,14.99617,14.96693,14.28177,14.66905,13.93090,12.92073,11.74391,11.54650,11.11058,10.56167,10.31209,10.10949,10.23213,10.86498,10.47194,10.22941,12.02233,11.61521,10.85009,10.71650,12.87167,11.76755,12.30885,12.92410,13.59040,14.15645,14.97721,15.72631,16.56255,18.08881,19.52246,20.46007,21.67358,22.61626,23.47694,23.76329,23.72257,23.66457,23.79115,23.12797,22.61685,22.02427,21.91571,21.57088,21.43991,21.18424,20.87989,20.81068,20.49989,20.46091,20.13779,20.08081,21.18287,21.45735,23.74704,23.06169,22.47527,23.64538,24.05351
2023,Revesby 132_11kV,08MAY2022,MW,23.49577,22.34086,21.36304,21.82237,21.62642,20.10296,19.03664,17.59742,16.68135,15.82153,15.19484,14.49043,13.93818,13.45611,13.22140,12.82263,12.76189,12.72882,12.45538,12.46804,12.64518,12.88070,12.85293,13.04029,13.45963,13.93395,14.51129,15.35147,15.10186,15.86546,16.21623,16.41645,16.74633,16.72384,16.68921,16.43999,15.97099,15.37445,14.68688,14.03021,13.31753,12.74823,11.87149,11.46308,11.17848,10.70210,10.21465,9.94980,9.75254,9.46990,9.29476,9.30321,9.42740,9.22863,9.09585,9.12461,9.52364,9.80943,10.27657,10.71890,11.65909,13.14133,14.73143,14.34283,15.41555,16.23165,16.81790,17.64443,18.59784,19.98183,21.06783,21.67167,22.07121,22.17747,22.33358,22.17566,21.92007,21.75769,21.62577,21.46167,21.37067,21.26024,21.00975,20.68685,20.48814,20.41971,20.05914,19.41743,19.19470,19.82084,20.29386,22.69056,22.05876,21.51101,22.66810,22.49904
2023,Revesby 132_11kV,09MAY2022,MW,22.30546,21.26151,20.69060,20.94404,20.78355,19.30054,18.56532,17.14566,16.11366,15.39697,14.66587,14.39116,13.47061,13.24178,13.12666,12.85674,12.40113,12.48093,12.61408,12.59471,12.67560,13.23467,13.75409,14.08623,14.50467,15.60346,16.73752,18.24980,17.76308,17.84884,18.41694,18.22991,17.54079,16.84716,15.36659,16.88783,16.46120,16.10177,14.20112,13.60139,15.51867,16.70423,17.15161,17.49498,16.65065,16.15103,16.08451,15.94584,16.11218,16.35263,16.70553,16.04895,16.47673,17.26161,16.87132,16.38628,15.96923,15.62379,14.79225,14.32178,15.55038,16.44698,17.75621,19.19687,20.08577,20.52175,21.49583,22.32283,22.43944,23.96554,25.43710,26.04528,25.48080,26.17153,26.73530,26.22644,25.50700,25.10660,24.49963,24.01207,22.84056,23.05557,22.93517,22.14496,21.69337,20.94316,20.37364,19.63665,19.34589,20.20206,20.40184,22.83153,22.16543,21.34621,22.67160,22.72612
2023,Revesby 132_11kV,10MAY2022,MW,22.16326,21.49532,20.56584,20.63289,20.13799,18.80125,17.81259,16.69269,16.06076,15.29816,14.21287,13.78219,13.50954,13.32264,12.84934,12.77870,12.48982,12.46029,12.88711,12.89027,13.33385,13.52302,14.19818,14.39724,14.91960,16.03622,17.17280,18.54195,17.62023,17.71421,17.63922,16.96500,16.53149,17.20045,16.14691,17.32742,15.90161,13.78795,12.85774,12.68473,13.48470,11.65277,11.02852,11.68435,10.45425,9.56007,13.00037,10.76762,11.46204,9.27394,12.77654,11.31574,10.99009,11.36422,12.37189,14.25926,12.55956,10.83304,12.65680,12.88638,12.20587,13.28958,14.62190,15.42293,15.99657,16.86258,17.71254,18.90480,19.73855,21.06209,22.48978,23.19841,22.97567,23.25445,23.64989,23.12751,22.71372,22.41983,22.44744,22.23752,21.25715,21.00020,20.92642,20.79489,20.15148,19.52440,19.28072,18.71168,18.14689,19.16323,19.51995,21.95872,21.34725,20.51379,21.70719,22.01815
2023,Revesby 132_11kV,11MAY2022,MW,21.42554,20.59108,19.89840,20.03078,19.52117,18.32364,17.66212,16.90571,15.64613,14.93395,14.11146,13.38751,12.92735,12.65869,12.55052,12.44295,12.03165,12.00612,12.02887,12.28823,12.82777,13.28105,13.42525,13.76269,14.42442,15.48359,16.22745,17.32932,16.18926,16.88810,17.63935,17.92739,18.35625,18.14165,17.12893,16.64290,15.88933,15.85055,15.54367,16.07177,16.73046,16.93335,17.06894,16.65395,17.07429,17.06723,17.73401,17.85548,17.44927,17.42464,18.17462,17.90717,16.96368,17.05255,16.60209,16.76005,16.51986,16.82258,16.91293,16.99335,17.17862,17.50854,18.07077,19.03899,20.02228,20.65225,21.70496,22.41855,23.01391,24.10225,24.65206,25.30381,24.86513,24.89718,24.88064,24.46756,23.78885,23.31445,22.93766,22.87439,21.96496,21.85709,21.72944,21.23603,20.73003,20.40924,19.70919,19.13699,18.46928,19.33525,19.70319,21.90899,21.40326,20.56105,22.08384,22.20216
2023,Revesby 132_11kV,12MAY2022,MW,21.64428,20.83099,20.20718,20.05859,19.87795,18.77303,17.67859,16.31466,15.29413,14.68312,14.12060,13.51729,13.08647,13.00954,12.64545,12.44032,12.30568,12.44696,12.55994,12.51026,12.60950,12.72325,13.30705,13.75984,14.26214,15.24473,16.30543,17.19563,16.47813,17.27645,17.59036,17.71846,18.08537,17.60385,18.00820,17.60148,16.75447,16.96709,17.49337,17.73243,17.28363,16.70088,17.29075,17.31625,16.86034,16.53713,15.33742,15.37658,14.55077,13.91964,15.86999,16.73814,17.27285,16.26564,15.98478,15.93752,15.89973,16.45741,16.46905,16.30579,17.38200,17.58489,18.39538,18.84930,18.96862,19.75385,19.83631,20.47007,20.90992,21.84266,22.83552,23.22739,22.44421,22.42385,22.68119,22.42124,21.97796,21.47428,21.25116,20.90480,20.09750,20.09151,19.82019,19.64708,19.04798,18.57991,18.66817,18.02952,17.62776,18.75033,19.08158,21.47814,21.16982,20.30417,21.42532,21.33728
