year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2020,Sefton 132_11kV,01MAY2019,MW,20.86251,20.08572,19.27193,19.27193,19.21644,18.21771,17.42242,16.46067,15.60989,14.88858,14.46319,14.05630,13.57543,13.50145,12.89111,13.00208,13.07606,13.50145,13.85286,13.85286,13.85286,14.38921,15.07353,15.77635,16.94154,17.62586,18.19921,19.27193,19.45688,19.88227,20.03023,20.60358,20.51110,20.23368,20.49261,20.52960,20.78853,20.60358,20.36314,20.40013,20.80703,20.80703,21.21392,21.67630,21.39887,21.56533,21.32489,21.36188,20.93649,20.34465,20.32615,19.97474,19.23494,20.12271,20.30766,19.69732,20.23368,20.89950,21.36188,20.12271,19.58635,20.36314,21.12144,21.41737,21.41737,21.56533,21.91673,22.82300,23.00795,23.39634,24.04367,23.95120,23.65528,23.22989,23.11892,22.61955,22.19416,21.89824,21.95372,21.49135,21.21392,20.91800,20.65906,20.25217,19.77130,19.41989,19.08698,18.71708,18.82805,19.91926,19.95625,21.97222,21.13994,19.97474,21.08445,21.08445
2020,Sefton 132_11kV,02MAY2019,MW,20.97348,20.06722,19.10547,19.10547,19.04999,18.01426,16.97853,16.25722,15.51742,14.79611,14.48169,13.81587,13.61242,13.18703,13.15004,13.15004,13.15004,13.42747,13.76038,13.76038,13.96383,14.74062,15.62839,15.92431,17.05251,18.21771,18.82805,19.60484,19.21644,20.62207,20.91800,21.75028,21.65780,21.43586,21.25091,21.28790,20.78853,20.14120,20.45562,19.84528,19.08698,20.06722,20.69606,20.67756,21.47285,20.82552,20.27067,20.08572,20.36314,21.17693,21.58382,21.63931,21.99071,22.30513,22.28664,22.47159,22.08319,22.13868,21.63931,20.99198,20.93649,21.19542,21.52834,21.62081,21.97222,22.24965,22.23115,22.32363,21.93523,22.63804,23.21139,23.22989,23.45183,23.58130,23.17440,22.73052,22.67503,21.99071,21.56533,21.47285,21.17693,21.17693,20.88101,20.62207,20.62207,20.17819,19.62334,19.45688,19.56785,19.97474,20.01174,22.17567,21.45436,20.51110,21.26940,21.50984
2020,Sefton 132_11kV,03MAY2019,MW,20.86251,19.97474,19.30892,19.47538,19.01300,18.31018,17.12649,16.07227,15.38795,15.18451,14.40771,13.96383,13.79737,13.72339,13.40897,13.24252,13.61242,13.57543,13.85286,13.77887,14.27824,14.85159,15.66538,16.36819,17.10800,17.99577,18.66159,19.32742,19.17945,19.93775,20.60358,20.97348,21.10295,21.26940,20.60358,20.49261,21.01047,21.10295,19.75280,20.75154,21.45436,21.28790,21.69479,21.86125,22.17567,22.61955,22.87848,23.13741,22.71202,22.73052,22.39761,22.15717,21.65780,21.63931,21.26940,21.10295,21.08445,21.08445,21.08445,20.97348,20.56659,21.10295,21.25091,21.50984,21.58382,21.43586,21.78727,21.76877,21.99071,22.56406,22.65654,23.11892,22.65654,22.13868,22.12018,21.65780,21.39887,20.95499,20.75154,20.34465,20.28916,19.84528,19.58635,19.34591,18.95751,19.10547,18.84654,18.51363,18.51363,19.19795,19.14246,20.91800,20.51110,19.80829,20.36314,20.52960
2020,Sefton 132_11kV,04MAY2019,MW,20.19669,19.41989,18.60610,18.82805,18.69858,17.92178,16.59014,15.70237,15.01805,14.18577,13.70489,13.44596,13.03907,12.85412,12.55820,12.29926,12.46572,12.46572,12.41023,11.98485,12.31776,12.79863,13.16854,13.37198,13.70489,13.87135,14.20426,14.25975,14.00082,14.37072,14.37072,15.20300,15.53591,15.53591,15.85033,15.81334,16.47916,16.92305,16.88606,17.10800,16.99703,16.75659,14.92557,15.29548,14.16727,14.35222,14.35222,14.16727,13.90834,13.74188,13.88985,13.94533,13.87135,13.87135,13.87135,14.14878,15.09203,15.70237,15.40645,14.99955,14.96256,16.55315,16.70111,17.07101,17.68135,17.69984,17.75533,18.19921,18.25470,18.84654,19.56785,19.73431,19.30892,19.41989,19.51237,18.95751,18.95751,18.58761,18.01426,18.01426,18.23620,17.95878,17.84780,17.57038,17.03402,16.81208,16.84907,16.57164,16.97853,17.99577,18.03276,20.10421,19.84528,19.16096,20.30766,20.75154
2020,Sefton 132_11kV,05MAY2019,MW,20.14120,19.32742,18.29169,18.42115,18.34717,17.62586,16.92305,15.88732,15.09203,14.20426,13.59392,13.02057,12.76164,12.46572,12.33625,12.04033,12.04033,12.04033,12.04033,12.04033,12.04033,12.04033,12.13281,12.42873,12.48422,12.85412,12.87261,13.35349,12.89111,12.89111,13.42747,13.61242,13.96383,13.96383,14.29674,14.16727,14.94407,14.31523,14.33373,14.18577,15.23999,16.27572,15.66538,16.20174,14.31523,13.85286,14.38921,15.42494,14.33373,14.68514,15.18451,15.40645,15.46193,16.51615,16.96004,17.31145,15.79484,15.20300,15.59140,15.66538,15.22150,15.40645,15.09203,15.92431,16.14625,16.71960,16.97853,17.47790,17.69984,18.68009,19.51237,20.28916,20.86251,20.78853,20.45562,20.60358,20.56659,20.27067,20.12271,20.12271,19.75280,19.71581,19.32742,19.10547,19.04999,18.88353,18.68009,18.68009,18.90203,19.49387,19.66033,21.73178,21.32489,20.65906,21.36188,21.58382
2020,Sefton 132_11kV,06MAY2019,MW,21.28790,20.34465,19.32742,19.58635,19.75280,18.71708,17.71834,16.94154,15.68387,15.11052,14.74062,13.77887,13.74188,13.70489,13.24252,13.39048,14.18577,14.61116,15.35096,15.40645,15.72086,16.34970,16.55315,16.90455,17.25596,18.12523,18.80955,20.01174,20.32615,21.39887,21.52834,21.50984,21.19542,20.89950,20.82552,20.41863,20.34465,19.73431,19.29042,19.51237,19.25343,19.43839,19.03149,18.97601,18.73557,19.25343,19.64183,19.45688,18.95751,18.62460,18.77256,18.71708,18.56911,19.04999,19.21644,18.90203,18.60610,18.75407,19.12397,19.03149,18.95751,19.64183,20.04873,20.89950,21.28790,21.97222,22.52707,23.32236,23.00795,22.21266,22.69353,23.35935,23.45183,23.45183,23.30387,22.97096,22.89698,22.89698,22.50858,22.39761,22.10169,21.95372,21.52834,21.47285,21.10295,20.69606,20.86251,20.62207,20.64057,21.56533,21.58382,23.54431,23.10042,22.08319,22.63804,22.39761
2020,Sefton 132_11kV,07MAY2019,MW,22.13868,21.30639,20.69606,20.84402,20.77004,19.64183,18.31018,17.49640,16.92305,15.97980,15.51742,15.16601,14.81460,14.75912,14.75912,14.75912,15.42494,16.05378,16.47916,16.92305,17.27446,17.88479,17.75533,18.14373,19.06848,20.17819,21.04746,21.93523,21.84275,22.74901,23.22989,23.45183,23.04494,22.30513,21.65780,21.49135,21.02897,20.45562,20.45562,20.30766,20.27067,20.08572,19.53086,19.71581,19.36441,19.51237,19.40140,19.53086,19.03149,18.88353,19.01300,19.17945,19.17945,19.12397,19.12397,19.12397,18.77256,18.82805,18.77256,18.75407,18.75407,19.53086,20.28916,21.04746,21.39887,22.00921,23.04494,23.91421,23.50732,22.89698,22.98945,23.91421,23.89571,23.89571,23.74775,23.28537,22.84149,22.61955,22.61955,22.47159,22.47159,22.02770,21.63931,21.13994,21.32489,21.15843,21.12144,21.12144,21.01047,21.56533,21.84275,24.06217,23.19290,22.24965,22.95246,23.17440
2020,Sefton 132_11kV,08MAY2019,MW,22.52707,21.39887,20.67756,21.06596,21.12144,20.25217,19.16096,17.94028,17.16348,16.60863,15.72086,15.72086,15.53591,15.14751,15.14751,15.03654,15.53591,16.18324,16.79358,17.03402,17.12649,17.94028,18.27319,18.55062,19.12397,19.66033,20.54809,21.45436,21.52834,21.91673,21.91673,21.91673,22.78601,23.21139,22.84149,22.41610,21.39887,20.71455,19.78979,19.78979,19.84528,19.91926,19.71581,19.78979,19.88227,19.73431,19.75280,19.66033,19.97474,20.40013,21.08445,21.12144,20.15970,19.49387,19.49387,19.93775,19.49387,19.03149,19.12397,19.41989,19.56785,19.67882,20.71455,21.30639,22.15717,22.84149,23.61829,24.22863,24.43207,23.74775,23.85872,25.00542,25.33833,25.26435,24.94994,25.13489,24.65401,24.46906,24.08066,24.17314,23.78474,23.78474,23.28537,22.60105,22.74901,22.39761,22.39761,21.97222,21.91673,22.67503,22.65654,24.45057,23.96969,23.45183,24.02518,23.89571
2020,Sefton 132_11kV,09MAY2019,MW,23.13741,22.74901,21.56533,21.73178,21.38038,20.52960,19.54936,18.69858,17.95878,17.14499,16.64562,15.88732,15.40645,15.22150,15.25849,15.22150,16.10926,16.42368,17.08950,17.51489,18.10674,18.77256,18.79106,18.79106,19.75280,20.54809,21.71329,22.84149,22.80450,23.65528,23.96969,23.78474,23.24838,22.78601,22.28664,21.60232,21.49135,21.43586,21.15843,20.43712,20.25217,20.17819,20.06722,19.80829,19.66033,19.47538,19.43839,19.69732,19.23494,19.04999,19.06848,19.45688,19.06848,19.45688,19.38290,19.56785,19.25343,19.58635,19.67882,19.73431,20.10421,20.58508,20.91800,21.60232,22.43460,22.80450,23.15591,23.91421,24.50605,23.85872,23.98819,25.07940,24.83897,24.83897,25.09790,24.94994,24.74649,24.30261,23.93270,23.71076,23.43333,23.06343,23.06343,22.50858,22.39761,22.34212,22.41610,21.78727,22.00921,22.36062,22.28664,23.98819,23.76625,22.61955,23.61829,23.30387
2020,Sefton 132_11kV,10MAY2019,MW,23.15591,22.19416,21.19542,21.69479,21.38038,20.30766,18.95751,18.40266,17.49640,16.86756,16.29421,15.85033,15.23999,15.14751,14.94407,14.98106,15.12902,16.18324,16.53465,16.86756,17.44091,18.23620,18.47664,18.43965,19.54936,20.17819,20.75154,21.60232,21.75028,22.56406,23.00795,23.22989,23.32236,23.32236,23.41484,23.21139,22.73052,23.61829,23.26688,23.08193,22.73052,22.98945,23.47033,22.43460,23.02644,23.85872,24.50605,24.78348,23.58130,23.28537,22.85999,23.21139,22.58256,23.63678,22.85999,21.73178,21.62081,21.91673,21.45436,21.08445,21.10295,21.54683,22.12018,23.19290,23.67377,24.22863,24.56154,25.93018,25.72673,25.02392,25.54178,25.94867,26.20761,26.44804,26.37406,26.07814,25.68974,25.46780,25.24586,25.07940,24.83897,24.69100,24.61702,24.30261,24.04367,23.85872,23.78474,23.48882,23.58130,24.17314,24.19164,26.24460,25.72673,24.69100,25.39382,25.43081
