year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2019,St Peters 132_11kV,01MAY2018,MW,26.57197,26.19055,26.35402,26.06341,25.66383,25.40956,25.08263,24.90100,24.79203,24.37429,24.53775,24.68305,24.81019,24.75570,24.57408,24.59224,24.62856,24.84651,25.17344,25.40956,26.00892,26.22688,26.75359,27.33480,28.80597,29.84125,31.02182,32.25688,34.09131,36.12552,37.34242,37.94179,38.08709,38.41402,38.17791,38.23239,38.08709,38.26872,38.72278,39.32215,39.52194,39.99417,40.03050,40.48456,39.92152,39.93968,40.24845,40.79333,40.84782,40.39375,40.52089,40.44824,40.77517,40.64803,41.32004,41.26556,41.01128,40.95679,40.61170,40.75700,40.48456,40.73884,40.39375,39.70357,39.79438,39.57643,38.99522,38.75911,38.32321,38.83176,39.55827,39.43113,38.57748,38.05077,37.70568,37.61486,37.19712,37.36059,37.16080,36.94284,36.59775,36.30715,35.78043,35.70778,35.45351,34.74516,34.14580,33.56459,32.83808,32.20239,31.51221,30.51326,29.47799,28.98760,28.42456,28.17028
2019,St Peters 132_11kV,02MAY2018,MW,27.77070,27.38929,26.86257,26.42667,26.49932,26.26320,26.02709,25.70016,25.59118,25.26426,25.26426,25.40956,25.24609,25.33691,25.31874,25.04630,24.86468,24.95549,25.75465,25.68200,25.64567,26.06341,26.98971,28.09763,29.55064,30.05920,31.11263,32.76543,35.09025,36.34348,37.72384,38.46851,38.90441,39.54010,39.39480,39.46745,39.61276,39.52194,39.92152,40.43007,40.13947,41.55616,42.04655,41.48351,41.48351,41.26556,41.64697,41.55616,42.06471,41.66514,41.86492,42.21002,42.35532,42.48245,42.73673,42.44613,42.19185,42.04655,41.91941,41.62881,41.61065,41.93758,41.26556,40.72068,40.81149,40.64803,40.24845,40.19396,40.53905,40.82965,40.70251,40.52089,39.30399,39.06788,39.01339,38.55932,38.63197,38.70462,38.30504,38.32321,37.77833,37.36059,36.99733,36.76122,35.90757,35.19923,34.65435,33.76438,32.83808,32.12974,31.62119,30.82203,29.96838,29.45983,28.98760,28.58802
2019,St Peters 132_11kV,03MAY2018,MW,28.24293,27.62540,27.24399,27.06236,26.49932,26.33585,26.08158,25.33691,25.15528,25.26426,25.11895,25.37323,24.73754,24.75570,24.90100,24.71938,24.75570,24.91917,24.97365,25.50037,25.97260,26.31769,26.80808,27.60724,29.11474,30.29531,31.43956,32.71095,35.05393,36.97917,38.41402,39.01339,39.41297,39.55827,39.41297,39.72173,40.01233,40.04866,39.70357,40.48456,40.59354,40.64803,41.24739,41.32004,41.95574,42.42797,42.11920,41.97390,42.75489,42.86387,43.15447,43.40875,43.37243,43.53589,43.79017,43.71752,43.60854,43.91730,44.37137,44.18974,43.95363,43.77200,43.17264,42.59143,41.93758,41.57432,41.57432,41.53800,41.42902,41.66514,42.01023,42.02839,40.82965,40.55721,39.57643,39.48562,39.12236,38.45035,38.23239,37.95995,37.61486,37.50589,37.06998,36.47062,35.65330,35.27188,34.63619,34.10947,33.43745,32.67462,31.91179,31.18528,30.73122,30.09552,29.13290,28.60618
2019,St Peters 132_11kV,04MAY2018,MW,28.06131,27.98865,27.71621,27.20766,26.93522,26.51748,26.49932,26.33585,26.02709,26.00892,25.82730,25.73649,25.70016,25.89995,25.19161,25.19161,25.44588,25.24609,25.64567,26.09974,26.29953,26.68094,27.44377,28.24293,29.42350,30.65857,31.51221,32.62013,34.61802,36.81571,38.12342,39.06788,40.10315,40.70251,41.02944,40.82965,41.08393,41.21107,41.64697,42.08288,42.22818,42.40980,42.93652,43.79017,43.79017,44.18974,44.31688,44.26240,44.48035,43.53589,44.06261,43.75384,43.82649,43.88098,43.73568,43.73568,43.88098,43.59038,43.48140,43.13631,42.62776,42.66408,41.99206,41.90125,41.46535,41.08393,40.17580,39.81254,38.99522,39.32215,39.54010,38.70462,39.73989,38.95890,38.52300,38.35953,37.81465,37.08815,37.16080,36.97917,36.45245,36.19818,35.74411,35.27188,34.63619,34.09131,33.72805,33.70989,32.92890,32.36585,32.14790,31.49405,30.78570,30.42245,29.93206,29.26004
2019,St Peters 132_11kV,05MAY2018,MW,29.07841,28.42456,28.29742,27.48010,27.04420,26.62646,26.42667,26.13606,26.08158,25.86362,25.26426,24.82835,24.90100,24.77386,25.46405,24.81019,24.61040,24.93733,24.73754,24.53775,24.79203,24.81019,25.13712,26.04525,26.66278,26.86257,26.59013,27.51643,28.00682,28.93311,30.31347,30.73122,31.60302,32.16607,32.85625,33.25583,33.32848,33.89152,34.21845,34.98128,35.19923,35.48983,35.67146,35.48983,35.98022,36.16185,36.39796,36.43429,36.39796,36.56143,36.50694,36.63408,36.43429,36.43429,36.67040,36.56143,36.27083,36.39796,36.36164,36.16185,36.36164,36.41613,36.37980,36.25266,35.85309,36.12552,36.21634,36.48878,36.41613,36.88836,37.36059,37.81465,37.48772,36.90652,36.87019,36.50694,36.19818,36.07104,35.67146,35.52616,35.01760,34.89046,34.50905,34.07314,33.65540,33.14685,32.58381,32.16607,31.83914,30.93101,30.22266,29.82308,29.36902,28.96944,28.51537,28.73332
2019,St Peters 132_11kV,06MAY2018,MW,28.53353,27.73438,27.22582,27.08052,26.93522,26.53564,26.33585,26.19055,26.22688,25.60935,25.40956,25.44588,25.48221,25.08263,25.02814,24.77386,24.35612,24.55591,24.50142,25.08263,25.17344,24.75570,25.19161,25.59118,25.02814,24.77386,24.70121,25.17344,25.77281,26.69911,27.42561,28.02498,28.78781,28.98760,29.56881,30.05920,30.64040,31.02182,31.14896,31.69384,32.07525,32.45667,32.98339,33.03787,33.69173,34.10947,33.98233,34.30926,34.59986,34.52721,34.47272,34.49089,34.78149,34.92679,34.99944,34.76333,34.96311,34.78149,35.07209,35.12658,35.48983,35.41718,35.87125,35.81676,35.70778,35.87125,36.01655,36.56143,37.08815,37.34242,38.08709,38.59565,38.70462,38.48667,38.06893,37.81465,37.74200,37.39691,37.08815,36.61592,35.96206,35.94390,35.78043,35.32637,34.92679,34.40007,33.98233,33.27399,32.27504,31.60302,31.00366,30.05920,29.56881,28.84230,28.22477,27.77070
2019,St Peters 132_11kV,07MAY2018,MW,27.31664,26.53564,26.48115,26.24504,25.88179,25.44588,25.13712,25.06447,24.95549,24.95549,24.66489,24.35612,24.41061,24.51959,24.66489,24.62856,24.91917,24.97365,25.17344,25.33691,25.84546,26.29953,26.75359,27.48010,29.45983,30.31347,31.07631,32.76543,34.76333,36.05287,37.88730,38.95890,39.84887,40.04866,39.95785,39.63092,40.04866,40.08498,40.50273,40.62986,41.01128,41.48351,41.75595,42.22818,42.70041,42.60959,43.17264,43.28161,43.26345,43.28161,43.40875,43.44508,43.84465,43.64486,43.91730,43.88098,43.97179,43.80833,43.42691,43.53589,43.29977,42.84571,42.42797,42.15553,42.08288,41.68330,41.61065,41.41086,41.35637,42.10104,42.06471,42.75489,42.15553,41.86492,42.35532,42.10104,41.51983,41.30188,40.52089,39.95785,40.12131,39.59459,38.43218,37.85098,36.94284,35.92574,35.18107,34.63619,33.65540,32.76543,31.89363,31.07631,30.84019,29.84125,28.96944,28.56986
2019,St Peters 132_11kV,08MAY2018,MW,28.58802,27.80703,26.84441,26.28136,26.00892,25.64567,25.53670,25.50037,25.39139,25.39139,25.79097,25.55486,25.28242,25.26426,25.33691,25.00998,25.35507,25.19161,25.39139,25.44588,25.95444,26.15423,27.31664,27.82519,29.82308,30.98549,32.00260,33.49194,36.23450,38.15974,39.08604,41.21107,41.37453,42.08288,42.28267,41.99206,41.90125,42.11920,42.19185,41.99206,41.61065,41.51983,41.99206,42.30083,42.48245,43.00917,43.39059,43.71752,43.98996,44.38953,43.62670,44.08077,44.06261,44.66197,44.73462,44.86176,45.02523,44.93441,45.46113,45.55194,45.20685,44.97074,44.57116,44.09893,44.22607,43.80833,43.35426,43.40875,43.09999,42.86387,43.04550,43.22712,42.66408,42.40980,42.44613,42.37348,41.90125,41.15658,40.52089,40.44824,40.12131,39.81254,38.86809,38.75911,37.72384,37.14263,36.41613,36.08920,35.25372,34.32742,33.45561,32.31137,30.67673,30.02287,29.40534,29.00576
2019,St Peters 132_11kV,09MAY2018,MW,28.53353,28.15212,27.84335,27.33480,27.02603,26.73543,26.35402,26.19055,25.99076,25.91811,26.00892,25.79097,26.00892,25.64567,25.66383,25.73649,26.19055,26.51748,26.73543,27.11685,27.17134,27.69805,28.49721,29.11474,31.36691,32.71095,33.51010,34.41824,37.01550,39.03155,40.26661,41.33821,42.21002,42.46429,43.08182,43.06366,42.93652,43.13631,43.28161,44.20791,44.55300,44.37137,44.91625,45.00706,45.24318,45.60643,45.53378,45.33399,45.33399,45.75173,45.86071,45.49746,45.60643,45.73357,45.84255,45.93336,46.29661,45.69725,45.42481,45.73357,45.51562,45.53378,45.58827,44.89809,44.09893,44.26240,44.08077,43.68119,43.66303,44.06261,44.04444,43.75384,42.97285,42.71857,42.62776,42.70041,42.10104,41.66514,40.75700,40.21212,39.68541,39.06788,38.68646,38.32321,37.83281,36.68857,36.27083,35.74411,35.03577,34.36375,33.87336,33.00155,32.12974,31.31242,30.54959,29.96838
2019,St Peters 132_11kV,10MAY2018,MW,29.65962,28.87862,28.31558,27.89784,27.38929,27.06236,26.75359,27.08052,26.91706,26.55380,26.57197,26.40850,26.13606,25.71832,26.02709,25.93627,26.06341,26.13606,26.39034,26.64462,27.04420,27.33480,28.04314,28.82414,30.38613,31.85730,33.07420,34.38191,36.39796,38.12342,39.48562,40.53905,41.42902,41.73779,41.95574,42.04655,41.97390,41.59248,41.30188,41.57432,42.40980,42.28267,42.48245,43.11815,43.64486,44.06261,43.98996,43.71752,43.84465,44.28056,43.89914,44.18974,44.46218,44.77095,45.18869,44.98890,45.26134,45.11604,45.20685,44.95258,45.11604,44.89809,44.44402,43.69935,43.37243,43.29977,43.51773,43.02733,42.73673,42.48245,42.50062,42.59143,41.81044,41.50167,41.28372,40.88414,40.92047,41.32004,40.88414,40.59354,40.52089,40.01233,39.68541,39.10420,38.28688,37.68751,36.50694,35.87125,34.79965,33.81887,32.81992,31.73016,30.89468,30.25899,29.76859,29.06025
