year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2019,Top Ryde 132_11kV,01MAY2018,MW,19.09484,18.88584,17.99285,18.06884,18.04985,17.28985,16.62486,15.84586,14.95287,14.36388,13.67988,13.09089,12.99589,12.99589,12.99589,12.69189,12.82489,12.82489,12.82489,13.10989,13.81288,14.19288,14.43988,15.29487,16.58686,17.85985,18.98084,19.94983,21.18482,21.84981,22.05881,22.05881,22.49581,22.15381,22.05881,22.03981,21.67881,21.62181,21.37482,21.37482,21.37482,21.37482,21.37482,21.31782,20.69082,20.51982,20.99482,21.12782,21.12782,21.12782,21.12782,21.12782,21.12782,21.12782,21.12782,21.12782,21.12782,21.12782,21.12782,21.12782,21.12782,21.12782,21.29882,21.88781,21.56481,21.83081,22.28681,23.02780,23.25580,23.82580,24.92779,25.30778,24.98479,24.62379,24.62379,24.62379,23.78780,23.25580,23.25580,22.72380,22.11581,21.71681,21.20382,21.20382,20.97582,20.51982,20.51982,19.89283,19.96883,20.00683,19.83583,19.13284,18.31584,18.20184,18.63884,18.39184
2019,Top Ryde 132_11kV,02MAY2018,MW,18.71484,18.67684,17.80285,17.44185,17.65085,16.87186,15.99786,15.19987,14.51588,14.07888,13.52788,12.99589,12.99589,12.99589,12.99589,12.65389,12.31189,12.57789,12.99589,12.99589,13.54688,14.02188,14.36388,15.06687,16.24486,17.30885,18.44884,19.41783,20.48182,21.60281,21.81181,21.81181,22.13481,21.75481,21.45082,21.71681,21.71681,21.48882,21.52682,21.69781,21.12782,21.64081,22.11581,21.64081,21.50782,21.64081,21.81181,21.01382,21.48882,21.24182,21.71681,21.71681,22.49581,22.49581,22.49581,22.32481,22.17281,22.40081,22.40081,22.36281,21.71681,21.71681,21.71681,21.98281,22.40081,22.40081,22.51481,23.00880,23.00880,23.84480,25.23178,25.23178,24.94679,24.54779,24.54779,24.01579,23.86380,23.54080,23.17980,22.93280,22.13481,21.81181,21.81181,21.29882,20.69082,20.44382,20.12083,19.66483,19.72183,20.10183,19.47483,18.77184,17.76485,18.18284,18.56284,18.10684
2019,Top Ryde 132_11kV,03MAY2018,MW,18.75284,18.98084,17.78385,17.57485,17.68885,16.45386,15.97886,15.12387,14.36388,13.90788,13.50888,13.09089,12.82489,12.82489,12.82489,12.82489,12.82489,12.82489,12.82489,12.82489,13.58488,14.19288,14.49688,14.99087,16.32086,17.51785,18.41084,19.60783,20.61482,21.03282,21.41282,21.71681,21.71681,21.71681,21.71681,21.03282,21.37482,21.37482,21.37482,21.37482,21.37482,21.37482,21.54582,20.13983,21.54582,21.54582,21.46982,21.31782,21.98281,21.86881,21.64081,21.98281,22.15381,22.34381,21.64081,22.22981,22.66681,22.64781,22.91380,22.91380,22.47681,22.32481,22.91380,22.41981,22.89480,22.91380,23.02780,23.59780,23.59780,24.37679,25.17478,24.96579,24.43379,24.79479,24.81379,24.28179,23.67380,23.36980,22.91380,22.91380,22.32481,22.22981,21.94481,20.99482,20.86182,20.59582,20.10183,19.49383,19.49383,19.75983,19.09484,18.16384,17.82185,17.84085,18.22084,17.80285
2019,Top Ryde 132_11kV,04MAY2018,MW,18.33484,18.18284,17.40385,17.09985,17.15685,16.35886,15.75086,15.06687,14.36388,13.83188,13.26189,13.22389,12.57789,12.57789,12.57789,12.57789,12.23589,12.23589,12.23589,12.59689,13.29989,13.94588,14.13588,14.76287,15.52287,16.54886,17.80285,18.35384,19.43683,20.53882,20.95682,21.52682,21.69781,21.65981,22.32481,22.32481,21.84981,22.22981,22.36281,21.96381,22.55281,22.40081,22.40081,22.36281,21.88781,22.34381,22.57181,23.29380,23.44580,22.78080,22.47681,23.00880,22.81880,22.53381,22.49581,22.49581,22.49581,22.49581,22.30581,22.28681,21.71681,21.37482,22.15381,22.15381,22.15381,22.15381,22.19181,22.91380,22.41981,23.04680,23.97779,24.28179,23.61680,23.27480,22.91380,22.79980,22.00181,21.54582,21.29882,20.86182,20.44382,20.17783,20.17783,20.12083,19.49383,19.01884,18.80984,18.46784,18.84784,19.28483,18.90484,18.04985,17.51785,18.12584,18.56284,17.99285
2019,Top Ryde 132_11kV,05MAY2018,MW,18.52484,18.58184,17.76485,17.57485,17.74585,16.62486,16.01686,15.06687,14.53488,13.98388,13.69888,13.16689,13.16689,12.84389,12.48289,12.48289,12.48289,12.48289,12.48289,12.48289,12.86289,13.16689,13.16689,13.26189,14.07888,14.53488,14.74387,15.61787,15.69387,16.26386,16.70086,17.36585,17.53685,18.04985,18.04985,18.04985,18.04985,18.04985,18.04985,18.04985,18.04985,18.04985,18.04985,18.04985,18.04985,18.01185,17.27085,17.61285,17.95485,17.95485,17.76485,17.28985,17.44185,17.87885,17.74585,17.19485,17.55585,17.87885,17.87885,17.87885,17.87885,17.87885,17.87885,18.33484,18.46784,18.80984,19.15184,19.89283,20.23483,21.05182,21.88781,21.98281,21.98281,21.98281,21.46982,21.29882,20.65282,20.61482,20.55782,19.93083,19.93083,19.70283,19.15184,19.15184,19.05684,18.39184,18.39184,18.16384,18.56284,18.90484,18.86684,18.12584,17.91685,18.25884,19.03784,18.61984
2019,Top Ryde 132_11kV,06MAY2018,MW,19.26583,19.26583,18.25884,18.14484,18.46784,17.57485,16.92885,16.24486,15.31387,14.87687,14.36388,13.81288,13.67988,13.33789,12.99589,12.99589,12.99589,12.99589,12.99589,12.99589,12.99589,12.99589,12.99589,13.29989,13.96488,14.36388,14.61087,15.04787,15.04787,15.46587,15.99786,16.51086,17.13785,17.19485,17.80285,17.87885,18.22084,18.56284,18.56284,18.56284,18.56284,18.35384,18.16384,17.95485,17.95485,18.04985,17.84085,17.27085,17.32785,17.72685,17.36585,17.36585,16.96685,17.32785,17.11885,16.92885,17.06185,17.53685,17.53685,17.53685,17.99285,18.12584,18.42984,18.54384,18.80984,19.07584,19.22783,20.10183,20.44382,21.07082,22.38181,22.49581,22.49581,22.49581,22.49581,22.49581,22.30581,21.81181,21.81181,21.29882,20.61482,19.94983,20.44382,19.96883,19.75983,19.75983,19.75983,19.09484,19.39883,19.53183,18.90484,18.54384,17.95485,17.93585,18.39184,18.16384
2019,Top Ryde 132_11kV,07MAY2018,MW,18.67684,18.69584,17.89785,17.85985,18.16384,17.59385,16.68186,15.94086,15.02887,14.55388,14.19288,13.33789,13.26189,13.26189,13.26189,12.84389,12.57789,12.97689,13.26189,13.29989,13.94588,14.57287,14.93387,15.40887,17.25185,18.44884,19.39883,20.44382,21.50782,22.28681,22.93280,23.08480,23.08480,23.08480,22.53381,22.40081,22.36281,22.09681,22.45781,21.81181,21.81181,21.81181,21.81181,22.17281,22.28681,21.81181,21.81181,21.81181,21.46982,21.29882,21.29882,21.29882,21.29882,21.29882,21.29882,21.29882,21.39382,20.99482,21.54582,21.54582,21.54582,21.83081,21.92581,21.79281,22.00181,22.22981,22.32481,22.97080,23.67380,24.60479,25.55478,25.64978,25.04178,25.15578,24.37679,24.12979,23.44580,23.00880,22.66681,21.84981,21.64081,21.64081,21.08982,20.74782,20.27283,20.13983,19.58883,18.50584,19.20884,19.30383,19.05684,18.42984,17.51785,17.44185,18.14484,17.82185
2019,Top Ryde 132_11kV,08MAY2018,MW,18.29684,18.18284,17.42285,17.09985,17.44185,16.51086,15.76986,15.00987,14.19288,13.90788,13.33789,12.65389,12.65389,12.65389,12.65389,12.61589,11.96990,12.59689,12.25489,12.63489,13.09089,13.48988,13.85088,14.66787,15.95986,17.32785,18.35384,19.26583,20.19683,20.84282,21.29882,21.29882,21.29882,21.65981,21.29882,20.74782,21.12782,21.12782,21.12782,21.12782,20.91882,20.89982,20.89982,20.51982,22.13481,21.81181,21.81181,21.81181,22.47681,22.49581,22.03981,22.05881,21.73581,21.20382,21.96381,21.98281,21.98281,21.48882,21.77381,22.03981,22.24881,21.81181,22.24881,22.49581,22.49581,22.85680,23.08480,23.52180,23.27480,24.75679,25.32678,25.36478,24.58579,24.62379,24.62379,24.62379,23.92079,23.25580,23.25580,22.68581,22.11581,21.98281,21.79281,21.29882,21.29882,20.57682,19.93083,19.93083,19.93083,20.34883,19.56983,18.50584,17.95485,17.28985,17.70785,17.36585
2019,Top Ryde 132_11kV,09MAY2018,MW,17.76485,17.51785,16.81486,16.92885,16.90985,15.80786,15.25687,14.62987,13.96488,13.37589,13.26189,12.57789,12.57789,12.57789,12.42589,11.68490,12.06490,12.06490,12.17890,12.82489,12.82489,13.10989,13.86988,14.43988,15.73186,16.83386,17.89785,18.46784,19.43683,20.51982,21.10882,21.20382,21.43182,21.75481,21.12782,20.51982,20.69082,20.74782,20.61482,20.61482,20.61482,20.61482,20.61482,20.61482,20.61482,20.61482,20.61482,20.80482,20.95682,20.63382,21.12782,21.41282,21.27982,21.12782,21.12782,21.12782,21.12782,21.12782,21.12782,21.12782,21.12782,21.12782,21.65981,21.71681,21.71681,21.71681,21.71681,22.07781,22.43881,24.62379,25.40278,25.47878,25.00379,24.79479,24.79479,24.39579,23.65480,23.42680,23.42680,22.89480,22.55281,22.05881,21.94481,21.37482,21.16582,20.69082,20.17783,20.00683,20.00683,20.00683,19.56983,19.17084,18.60084,18.56284,18.90484,18.69584
2019,Top Ryde 132_11kV,10MAY2018,MW,19.18984,18.98084,18.20184,17.91685,18.18284,17.34685,16.56786,15.82686,14.99087,14.36388,13.96488,13.50888,13.50888,13.50888,13.50888,12.99589,12.82489,12.93889,13.26189,13.26189,13.64188,14.24988,14.62987,15.48487,16.83386,18.01185,19.03784,20.10183,20.93782,21.92581,22.15381,22.22981,22.83780,22.83780,22.45781,22.26781,22.66681,22.66681,22.26781,22.62881,22.24881,21.33682,21.60281,21.94481,21.86881,21.98281,21.98281,21.98281,21.98281,21.98281,21.48882,21.77381,21.98281,21.98281,21.69781,21.37482,21.96381,21.98281,22.34381,22.26781,22.11581,21.98281,21.98281,22.47681,22.60981,23.08480,23.08480,23.38880,23.99679,24.54779,25.32678,25.59278,25.23178,25.23178,25.23178,25.23178,24.58579,24.54779,24.24379,23.86380,23.86380,23.33180,23.17980,23.17980,22.79980,22.09681,21.37482,21.12782,21.12782,21.12782,20.84282,20.31083,19.53183,19.45583,19.83583,19.24683
