year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00
2019,Toronto West 132_11kV,01MAY2018,MW,10.54108,9.83570,9.46059,9.52790,9.03589,8.43647,8.02590,8.45234,7.76718,7.28016,6.85372,6.43906,6.26808,6.06818,5.82793,5.76691,5.81306,5.79532,5.82733,5.90261,6.20258,6.41770,6.49491,6.92335,7.42503,7.74766,8.31495,8.03284,7.85876,8.11052,8.05491,8.03577,8.14999,7.81620,7.64045,7.37082,7.27117,7.17066,7.10145,6.82233,6.79653,6.63921,6.67463,6.61245,6.50594,6.54743,6.46544,6.19063,6.14800,6.14710,6.18084,6.09171,6.10519,6.16649,6.32189,6.26225,6.21499,6.27306,6.38407,6.41871,6.35146,6.51667,6.81542,7.07698,7.29647,7.58364,7.72891,8.14303,8.45692,9.12937,9.56262,9.49871,9.47349,9.31782,9.10470,8.91009,8.55109,8.44867,8.34975,8.21698,7.95075,7.78067,7.69263,7.52184,7.36782,7.10915,7.27443,7.08862,8.93860,9.04154,8.91303,8.58416,9.23808,8.83564,8.93983,9.36753
2019,Toronto West 132_11kV,02MAY2018,MW,9.82214,9.21276,8.79336,9.02936,8.54564,7.87763,7.55050,7.93032,7.31174,6.85494,6.45973,6.30303,6.01499,5.55736,5.46778,5.42692,5.33047,5.28638,5.30206,5.48185,5.76811,5.79696,6.05888,6.32152,6.85943,7.16823,7.69150,7.75428,7.38989,7.67971,7.94533,7.78518,7.72044,7.47029,7.25961,7.19481,7.08091,7.06402,6.93251,7.33493,7.27079,7.28022,7.16585,7.16054,7.23136,6.76031,7.07476,6.39593,6.28191,7.07070,6.92131,6.79696,6.39293,6.78628,7.01281,7.13612,6.99155,7.11804,7.01581,7.22090,7.37686,7.28832,7.22591,7.21103,7.37770,7.44768,7.85293,8.18653,8.43299,9.03924,9.51189,9.56600,9.62359,9.61533,9.40813,9.22379,8.99124,9.02582,8.81163,8.59012,8.68601,8.58700,8.40910,8.29143,8.04923,7.91758,7.94343,7.65833,9.44276,9.43523,9.28713,9.11078,9.77413,9.51225,9.61184,10.05099
2019,Toronto West 132_11kV,03MAY2018,MW,10.45752,9.84857,9.42942,9.54260,9.11275,8.45194,7.85052,8.17186,7.53899,7.04007,6.64142,6.39479,6.14299,5.95646,5.77297,5.81049,5.76261,5.76953,5.86612,5.82318,6.06778,6.33484,6.73441,6.97120,7.39749,7.95737,8.25922,8.27736,8.03327,8.14787,8.40402,8.30955,8.18286,7.82269,7.61601,7.30488,7.03377,6.92289,6.81639,6.83821,6.62341,6.32812,6.35653,6.23387,6.45491,6.46002,6.38235,6.31956,6.34522,6.50787,6.54084,6.37725,6.36391,6.45340,6.73499,6.75174,6.74875,6.91836,6.92426,7.06556,7.11821,7.13621,7.14095,7.50337,7.68766,7.94977,8.18489,8.30335,8.68372,9.27037,9.43246,9.30565,9.30710,9.04992,8.96856,8.93787,8.73246,8.68648,8.28855,8.01934,8.13262,7.99841,7.88373,7.58798,7.25202,7.21223,7.51476,7.42378,8.97744,8.82418,8.72973,8.46378,9.24116,8.74177,8.89156,9.20224
2019,Toronto West 132_11kV,04MAY2018,MW,9.75169,9.25849,8.79316,9.02989,8.54141,7.83944,7.41871,7.69763,7.16281,6.74306,6.33823,6.05056,5.84763,5.72229,5.60124,5.45996,5.33641,5.38433,5.45657,5.73903,6.18368,6.37224,6.44581,6.74186,7.12079,7.52510,7.99481,7.95008,7.78194,7.88170,8.05742,8.26757,8.29217,8.17406,8.12011,7.99684,7.76009,7.62088,7.60880,7.54795,7.56316,7.23825,6.91135,7.18997,6.89605,7.40014,7.35754,7.16077,7.13608,6.98355,6.72252,6.76431,6.88103,6.88074,7.01952,7.36560,7.24234,7.03510,7.23641,7.20250,7.10834,7.14161,7.31911,7.56464,7.68595,7.84725,7.90244,8.15762,8.31829,8.78423,9.00834,9.02182,8.85413,8.73530,8.44567,8.39274,8.26984,8.31380,8.01189,7.86307,7.95276,7.98211,7.88902,7.71849,7.58738,7.37687,7.71106,7.48286,9.19437,9.11531,9.02713,8.73854,9.48230,9.21124,9.51761,9.90810
2019,Toronto West 132_11kV,05MAY2018,MW,10.41215,10.04317,9.59572,9.77465,9.21869,8.51496,7.79714,7.29126,7.79029,7.46087,6.93944,6.76180,6.49007,6.44618,6.32145,6.15474,6.07037,5.82415,5.76659,5.71424,5.73686,5.78594,5.92539,5.98912,6.09816,6.39753,6.85461,7.14406,7.32615,7.49603,7.76972,7.91581,8.19530,8.29798,8.27998,8.20787,8.04855,7.76401,7.65570,7.46142,7.36191,7.13947,6.95479,6.77158,6.67193,6.54597,6.31503,6.33598,6.26170,6.13753,6.08315,6.05688,6.06134,6.00419,5.86519,5.83355,5.79681,5.99438,6.05762,5.94613,5.91776,6.19473,6.34383,6.55555,6.82763,7.16605,7.55647,7.53820,7.85988,8.21361,8.70614,8.68142,8.90869,8.81996,8.71311,8.59407,8.42873,8.41003,8.24187,8.03681,7.77328,7.74326,7.55508,7.38594,7.43510,7.18966,8.45856,8.08636,8.02308,7.84710,8.24194,8.05662,9.27611,8.74465,7.98681,7.82280
2019,Toronto West 132_11kV,06MAY2018,MW,8.21891,7.37961,7.11441,7.58931,6.71975,6.13774,5.79805,5.44523,5.70735,5.51123,5.13091,4.93567,4.88299,4.67694,4.67391,4.85943,4.83164,4.76615,4.76706,4.61660,4.71672,4.82599,4.89590,4.96851,5.24825,5.43875,5.80846,6.02027,6.25880,6.44977,6.94057,7.05539,7.37437,7.42410,7.54474,7.50553,7.25898,7.25730,7.17413,7.03427,6.73916,6.50746,6.34686,6.12390,6.04329,6.02328,5.89378,5.58413,5.45939,5.43132,5.30609,5.25221,5.31538,5.49874,5.45678,5.53629,5.73613,5.71190,5.80999,5.92627,6.06334,6.21045,6.35967,6.57398,6.96921,7.34138,7.70259,7.70032,8.10980,8.89514,9.54487,9.42580,9.39991,9.37841,9.29265,8.95496,8.68207,8.67836,8.31466,8.05778,7.85704,7.75294,7.59663,7.43275,7.44731,7.13567,8.37500,8.05802,7.81377,7.52463,7.94966,7.69445,8.79859,8.28454,7.52818,7.57001
2019,Toronto West 132_11kV,07MAY2018,MW,7.88657,7.21645,7.01703,7.62410,6.79860,6.10023,5.81977,5.88009,5.52596,5.30006,5.13624,4.97912,5.06952,5.05043,4.91088,4.86286,4.89994,4.98413,4.99513,5.01704,5.16961,5.32160,5.56757,5.87584,6.50303,7.01906,7.57446,7.62215,7.77622,8.11864,8.21255,7.85341,7.81514,7.58449,7.47158,7.39385,7.14070,6.80220,6.80780,6.65516,6.57973,6.53951,6.22351,5.97281,6.02498,6.08454,6.06683,6.03933,6.01865,6.09930,5.99978,6.05176,6.03176,6.21921,6.29132,6.23849,6.21851,6.15249,6.04968,6.30368,6.41815,6.57495,6.80744,7.04460,7.35603,7.56887,7.81612,8.13793,8.43910,9.06259,9.67806,9.74243,9.71917,9.51718,9.18490,9.03052,8.81593,8.81739,8.51824,8.41344,8.27296,7.93776,7.80879,7.73742,7.69038,7.53639,7.76757,7.70234,9.45298,9.57129,9.19342,8.88133,9.59178,9.10317,9.33667,9.76668
2019,Toronto West 132_11kV,08MAY2018,MW,10.23921,9.72977,9.33173,9.64701,8.99165,8.26330,7.96456,8.27324,7.67623,7.27368,6.96370,6.65440,6.29573,6.08818,6.02900,5.84803,5.66479,5.69371,5.70662,5.78852,6.02879,6.24234,6.43752,6.73369,7.53484,7.96778,8.52336,8.58574,8.26281,8.49164,8.43095,8.52796,8.35137,8.12587,7.77662,7.80282,7.55034,7.76477,7.00333,6.98493,7.52206,6.96675,7.14930,7.14957,6.96156,7.05909,6.71958,7.05127,7.18816,7.00356,7.18590,6.79832,6.88983,6.83718,7.09705,6.87467,6.43665,6.39546,6.57106,6.67495,7.00363,7.16237,7.26325,7.50339,7.40327,7.74213,8.17994,8.47963,8.85168,9.41282,9.87385,9.95775,10.05635,9.89433,9.74898,9.55823,9.21542,9.31675,9.06474,8.82761,8.59741,8.40920,8.26257,8.09384,7.96111,7.64633,8.00251,7.83419,9.79190,9.87469,9.69458,9.42244,9.97351,9.54965,9.84958,10.23087
2019,Toronto West 132_11kV,09MAY2018,MW,10.60575,10.02628,9.53193,9.62793,9.25119,8.63160,8.24942,8.52568,7.92723,7.46511,7.14811,6.64529,6.42138,6.26228,6.15420,5.87855,6.13027,6.08514,6.25469,6.19237,6.37996,6.58304,6.72706,6.93082,7.49843,7.79160,8.50279,8.67367,8.55952,8.59669,8.48494,8.33948,8.41419,8.26179,8.04242,7.72648,7.53272,7.20939,7.14596,6.99244,6.89383,6.76543,6.76527,6.60401,6.56325,6.44674,6.49615,6.48095,6.50111,6.45852,6.42386,6.45109,6.41679,6.57193,6.60759,6.60957,6.76042,6.69495,6.85820,6.91885,6.97286,7.03688,7.18563,7.50793,7.89441,8.19066,8.24393,8.49319,8.81740,9.43758,9.61010,9.62568,9.66740,9.68039,9.52255,9.26627,9.01247,9.07097,8.92087,8.78301,8.66171,8.53597,8.25664,8.12011,7.89943,7.73492,7.91171,7.55704,9.46226,9.53201,9.48049,9.24102,9.83402,9.38614,9.65916,10.02900
2019,Toronto West 132_11kV,10MAY2018,MW,10.55535,9.87954,9.50532,9.69747,9.28308,8.61105,8.22492,8.51704,7.79175,7.37840,7.09114,6.61503,6.38096,6.28564,6.03695,5.97335,6.04826,6.12908,6.14671,6.22456,6.41808,6.61996,6.74633,6.94584,7.47252,7.84647,8.43650,8.53950,8.52159,8.76800,8.91664,8.84092,8.61204,8.06093,7.63216,7.73417,7.54298,7.71885,7.90869,7.55280,6.96285,7.26123,6.93454,7.07835,6.89424,7.27804,6.40702,6.14297,6.20860,6.34013,6.20055,6.22011,6.32892,6.42651,6.57740,6.42924,6.11949,6.16625,6.38739,6.66957,6.91117,7.29106,7.38744,7.52785,7.49866,7.75050,7.94342,8.17363,8.37658,9.05383,9.40037,9.33328,9.21512,9.15683,8.99324,8.95147,8.72146,8.73801,8.56333,8.34829,8.28992,8.27693,8.12219,7.98764,7.79321,7.72450,7.92862,7.74611,9.62670,9.78863,9.65800,9.12384,9.85932,9.49864,9.77293,10.22575
