year,Zone Substation,Date,unit,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00
2022,Zetland 132_11kV,01MAY2021,MW,26.950139626,26.480655146,25.650619734,25.35880607,25.056802675,24.768965168,24.233004707,23.811723038,23.901362406,23.573560325,23.55166675,23.407817018,23.417455104,23.224938425,23.224938425,23.224938425,22.97223701,23.053459856,22.589521735,22.736515629,23.010484027,23.355257194,23.447200632,23.627547588,24.390966017,24.356986889,24.54395405,25.021950583,25.602471705,26.133713047,26.844690418,27.123603578,28.205410555,28.872537862,29.189230618,29.489988742,30.352366991,31.057244453,31.247907584,31.120536376,31.383297267,32.036497979,33.354311154,33.948897984,33.432314328,33.285450418,34.136804563,34.179123069,33.941250999,33.722042631,33.203627372,33.296518249,33.695795964,33.552264537,33.859202401,32.98026567,33.171407185,33.254925915,32.977045254,33.742813476,33.901949575,33.919991712,33.745217979,33.267512035,33.307964795,33.753650565,33.978002526,34.916654704,35.243995045,36.166068519,36.699285079,36.417824202,36.699045715,36.865704751,36.708443801,36.389061527,35.842229126,35.233897143,34.896497853,34.543923593,34.09551585,33.441319142,33.311794378,33.100047087,32.581843439,32.390615686,32.690301324,32.118715242,31.641511406,31.132547654,30.441760169,29.602849037,29.100244398,28.189845834,27.937995546,27.195817508
2022,Zetland 132_11kV,02MAY2021,MW,27.126366011,26.69323387,26.235970663,25.649386825,25.468504633,24.88621818,24.482302176,24.014271547,23.796712994,23.279886179,23.02599137,23.007119542,23.007119542,23.007119542,23.007119542,22.84477096,22.502742674,22.317243303,22.290141442,22.098850521,22.541475936,22.658839128,22.575153603,22.552722887,22.897991755,23.045381062,23.274876744,23.322686246,23.980841322,24.564027966,24.763210175,25.117043265,25.606942456,26.646588972,27.251183528,27.141294991,28.539772778,28.973649606,29.899640861,30.449830921,31.196319523,31.346136912,31.540940253,31.972271595,32.088646162,32.592484418,33.116544962,32.887377606,32.277418443,32.193813711,32.483251697,32.326605559,32.14333433,31.76058159,32.554594333,32.400412761,31.741398899,31.819588599,32.243316356,31.733493126,31.244266741,31.480916448,31.713877864,31.849330261,32.525096665,33.29906163,33.248002379,33.272448428,33.845476598,34.725037363,35.450324073,35.554718764,35.471406037,35.679951245,35.645591713,35.460353362,35.326987035,34.7667151,34.21185228,33.87354543,33.611454931,33.482941899,33.402166634,32.758002119,31.954901174,31.933468667,31.785818849,31.207849838,30.369742639,29.656511024,29.080763385,28.212150797,27.633854731,27.195067303,26.97316791,26.530624704
2022,Zetland 132_11kV,03MAY2021,MW,26.108311391,25.710164519,25.260866423,24.806003654,24.576980294,24.192700354,23.805110565,23.475305331,23.447594158,23.19617762,22.680066903,22.223215193,22.081389288,22.081389288,22.081389288,22.081389288,22.163608347,22.309248714,22.385472037,22.437754504,23.038769297,23.505147226,24.172008032,24.019830884,25.468554968,26.380566008,27.040873497,27.500607786,28.954059647,30.989820342,32.484512523,33.674641738,34.258208077,34.792196642,35.485150535,35.302820048,35.630641896,35.859525761,36.043843283,36.320216964,36.645267993,36.764838162,37.561990964,37.714035206,37.725673904,37.832955277,37.864798582,38.367782953,38.810466561,38.950404194,39.100574612,39.449418887,39.297225947,39.25060835,38.819190262,38.434486047,38.159767625,38.06854141,38.054267412,38.783150875,38.479541901,38.06090076,38.063052465,38.405383919,38.289256051,38.195806631,38.244936896,38.547633917,38.893961222,39.027456371,39.176567246,39.776639247,38.912966174,38.460742752,38.377854462,38.181624117,37.267159837,36.88933053,36.446390767,35.910651138,35.221541276,34.954552448,34.680832382,34.31031059,33.514705265,33.164209505,32.442557412,32.064770526,31.265490904,30.10565416,29.321691817,28.774595493,28.157429556,27.563871302,27.078059719,26.255114329
2022,Zetland 132_11kV,04MAY2021,MW,25.825064815,25.672665891,25.2102867,24.8982697,24.738103264,24.411274887,23.90807317,23.683684143,23.694264151,23.128042784,22.653163857,22.717713993,23.116028984,23.116028984,23.116028984,23.116028984,23.116028984,23.032842318,22.69980879,22.905517107,23.647445797,24.2117961,24.800377483,25.124397593,26.353026695,26.997930287,27.948731421,28.470452063,30.266181704,31.25297897,32.339152235,33.092610587,34.102568172,34.953546706,35.249318847,35.484719617,36.117928858,36.462140542,36.547773495,36.919353632,37.534901102,38.022646754,37.756714202,37.972688323,38.394536049,38.688616354,38.696603355,38.53845011,39.174437486,39.224543199,39.368569618,39.281632021,38.892019766,38.651917249,38.138234867,37.781895427,38.032168017,38.193747099,38.259563761,38.280695369,38.005262357,37.742255566,37.863608493,37.915557897,38.16713858,37.975666742,38.366113062,38.855198228,39.171272432,39.647648701,39.621773506,39.748626214,38.974683938,39.1995104,39.361170202,39.061479554,37.955906449,37.309080188,36.792551223,36.38087798,35.835595307,35.815735362,35.641997321,35.23224722,34.753563977,33.863728242,33.235539871,32.706233414,32.184976998,31.445304785,30.416919396,29.66456711,29.153001456,28.533543194,27.632572141,26.629780234
2022,Zetland 132_11kV,05MAY2021,MW,26.413937694,26.100835665,25.734157324,25.463169632,25.145169237,24.95547678,24.555864242,24.472854881,23.847576734,23.601936117,23.660576192,23.660576192,23.317319952,23.252165786,23.252165786,23.27470336,23.170483704,23.201064768,23.23078777,23.366912991,23.596149087,23.990581765,24.670210189,25.231918602,26.403009231,27.25646157,28.438669529,29.102955027,30.604263911,32.042549533,32.910869263,33.651577078,35.159197609,35.567330351,35.831613469,36.581602056,37.465157401,37.792804631,37.364869285,37.438114588,38.345696935,38.337011389,38.63669906,38.250746452,38.708718097,38.639249048,39.046698237,38.813452168,39.042657842,39.274513845,38.314771155,39.389928049,39.576457068,39.742261274,38.920012959,37.720663417,37.252991263,37.369865234,37.611224965,37.733055768,37.72225442,37.279737352,37.288853309,37.429241264,38.11916978,38.042315454,38.198200642,38.377476038,38.743411671,39.15411493,39.472862044,40.077582444,39.613025682,39.30688921,39.335482694,38.894212494,38.247385689,37.888701555,37.320855168,36.270005591,35.924083611,35.965813589,35.777703567,35.5568855,34.670612955,34.439657034,33.730026546,32.992002078,32.340237754,31.375991531,30.352000057,29.927969931,29.135040275,28.393291775,28.031198721,27.513035261
2022,Zetland 132_11kV,06MAY2021,MW,26.810716572,26.467354308,25.896532407,25.439205416,24.929012693,24.564071004,24.423936209,24.133585652,24.063449642,23.578894111,23.550273689,23.610075428,23.190846503,23.170483704,23.170483704,23.170483704,23.170483704,23.217055705,23.301488095,23.652652866,23.88028273,24.251849562,24.422576547,25.317109056,26.487861593,27.803512806,28.505201382,29.163517806,31.136640634,32.90449296,34.414314769,35.407359117,35.463496488,35.862020204,35.915814607,36.439849956,37.428921832,37.265436508,37.283313739,38.158625456,38.338608473,38.635621855,38.793192162,39.334433315,39.568245713,39.970257871,39.527790503,39.730724696,39.94026412,40.200269947,39.970021102,40.227134312,40.37833692,39.943776486,37.905957493,38.12835257,38.180301375,38.204293817,38.415051484,38.370571379,38.315430892,38.500912366,38.238309085,38.703542393,38.932870245,38.364513074,38.179302276,38.448709493,38.865458314,39.492943547,39.933844816,40.140319601,39.662142696,39.448957166,38.660756829,38.375280769,37.717681403,37.193055148,36.950720278,36.39393065,35.645534427,35.786250417,35.867180769,35.125056986,34.253519508,33.655007127,33.112927389,32.820716133,32.135544273,31.410165589,30.500526306,29.722193038,29.474645743,29.009843535,28.339808708,27.481308616
2022,Zetland 132_11kV,07MAY2021,MW,26.891831652,26.527358528,26.010195274,25.62257833,25.320618281,24.62032431,24.559079085,24.535533318,24.118822469,23.660576192,23.660576192,23.660576192,23.40952185,23.279393146,23.279393146,23.279393146,23.279393146,23.419432173,23.314088971,23.604216518,23.95966036,24.351125274,24.966661162,25.401281751,26.574143283,27.557674972,27.806309709,28.755184708,30.403138267,31.879677241,33.181775963,33.631927782,34.21644864,35.376911086,36.014056641,36.693407564,36.620812886,36.425626837,37.646815845,37.495458041,38.06561574,38.168252088,39.065415849,39.462406538,39.786294395,39.245304369,38.538008319,39.241094929,39.33034255,39.687991717,39.398980674,39.844923797,38.860514824,39.372174757,38.779527639,37.899114913,38.108423413,37.734377421,37.837494768,38.256513207,37.983701282,38.028459087,38.229146661,37.837143517,38.049875875,37.711800929,38.184494098,38.665136205,38.954371057,39.436421417,39.225661408,39.00139681,38.225444774,37.989967568,37.300181452,37.36163188,36.328809302,35.604451971,35.227518299,34.591390176,33.959131297,34.033535741,34.394788849,33.651429524,33.159094483,33.01654865,32.615543451,32.328663929,31.690287752,31.063478012,29.742857225,29.582755118,29.085704406,28.932661773,28.551603356,27.791243286
2022,Zetland 132_11kV,08MAY2021,MW,27.459232327,26.817281052,25.929322172,25.666513597,25.360293719,24.841171638,24.418000572,23.880632801,24.115834502,23.855059176,23.724243018,23.643566534,23.67250586,23.279588221,22.925437461,22.925437461,22.925437461,22.925437461,22.992402065,23.106259244,23.226082809,23.586572317,23.373281453,23.570734452,24.032019067,24.256142808,24.420900177,24.767817916,25.576305177,26.005704193,26.725893924,27.198394087,27.702293478,28.216389425,28.672824865,29.475464524,29.736568358,30.400552122,31.113748904,31.425788957,31.636057185,32.367290079,32.791835437,33.404858349,33.368933335,33.448263807,34.240584951,33.730381082,34.092016898,33.811024222,33.724460602,34.117292765,33.812992851,34.58829673,33.013650697,33.434626113,33.406167313,34.025685548,34.092550409,33.780696664,33.392751612,33.539110745,33.42025484,33.13767902,33.743312118,34.247469661,34.139168442,33.670224099,33.998785715,35.06713261,34.831339204,35.304085648,35.236911938,35.013729265,34.689160306,34.128559374,33.817002261,33.454909552,33.183203185,32.940535052,32.615499542,32.487774543,32.317764672,31.92670167,31.414793877,31.256472803,30.97987092,30.632253946,29.978812779,29.625393146,29.276945048,28.991630573,28.67030844,28.307480719,28.014450936,27.437602549
2022,Zetland 132_11kV,09MAY2021,MW,26.860729457,26.019376249,25.876825806,25.269777648,24.941488996,24.664946868,24.376671072,24.245017201,24.123441319,23.472846936,22.83442892,22.653163857,22.653163857,22.562034335,22.244753451,22.244753451,22.244753451,22.224910749,21.753772843,21.837849607,21.903368983,21.898241435,22.096918141,22.091368279,22.7355614,22.949445966,23.464142567,23.575036302,23.814605671,24.214361153,24.705225391,25.335884154,26.208124425,26.342569936,26.741931093,27.552042757,28.720856761,29.146618274,29.94905155,30.277843582,31.304860378,31.465673101,31.470234791,31.392858191,31.595872905,31.961357943,31.51824338,31.259515751,31.57978188,31.659558082,31.826717738,31.470867174,31.723902633,31.783570395,31.337175262,31.061280473,31.404356595,31.588239678,31.207077597,31.226080716,31.362180325,31.027714783,31.01014671,31.162326472,31.3546278,31.814212629,32.094390626,32.740498648,33.532145061,34.207281932,34.632253906,35.077776638,35.147529197,35.081266206,35.03776478,34.990102015,34.50121354,33.892133494,33.802484106,33.533625812,33.231525796,33.283073415,33.514478261,32.787497918,32.44384316,32.216766158,31.673962354,31.05184652,30.231259928,29.553821455,28.783381998,28.072177859,27.573781408,27.428234794,27.099793705,26.432731688
2022,Zetland 132_11kV,10MAY2021,MW,25.934067774,25.766878839,24.830966242,23.877260874,23.819659977,23.694549367,23.269202526,23.452252469,23.523052628,23.158160057,22.947692198,22.562423777,22.19029873,22.19029873,22.104653706,22.14439507,21.809115684,22.256100725,22.220496123,22.081389288,22.847014422,23.469625685,24.196928999,24.648052926,25.623011518,26.320975463,26.929133481,27.437848448,29.152688705,30.494258785,31.981291584,32.55697807,33.839267907,34.183565158,34.90712658,35.183022657,35.376640719,35.615559191,35.696906575,35.884411042,36.286046736,36.337651787,36.569226767,36.78197323,36.960566708,37.222685287,37.213785498,37.292256275,37.591687465,37.774938981,38.194004016,38.106409332,38.208953961,38.126124918,37.997970997,36.797545973,37.26717503,36.808620774,37.555252537,37.067287795,36.914947737,37.236445922,37.469516248,37.093266636,37.207435605,37.098549125,37.216582474,37.062179326,37.092138498,38.23170242,38.540167703,38.603360283,38.048731346,37.868660892,37.806770053,37.043784866,36.345245134,36.053055606,35.728699619,35.473906144,35.007466119,35.025476854,34.79841332,34.2537044,33.462044827,32.951323693,32.688682422,32.187497653,31.011312077,30.082138343,28.818061142,28.628461258,27.924644029,27.299167739,26.867719592,26.592715755
