year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2016,9.3312,9.19847,8.20996,9.3312,9.3312,8.78853,8.0352,8.0352,8.0352,7.46125,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,7.80937,8.0352,8.44973,9.3312,9.3312,10.40701,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.02397,9.3312,9.3312,9.3312,9.3312,9.3312,9.3312,9.3312,9.3312,9.3312,9.3312,9.3312,9.3312,9.3312,10.44025,10.6272,10.6272,10.6272,11.33994,11.9232,11.9232,11.9232,11.9232,11.9232,11.9232,11.9232,11.9232,11.9232,11.9232,11.9232,11.9232,11.9232,11.68296,10.6272,10.6272,10.6272,10.6272,12.36801,12.24446,11.1456,10.93213,9.8496,9.8496,9.8496,9.8496,0,9.618829278350512
2016,9.8496,9.8496,9.56252,9.8496,9.8496,9.1989,8.5536,8.5536,8.5536,8.48123,7.2576,7.2576,7.2576,7.2576,7.2576,7.2576,7.2576,6.43537,5.9616,5.9616,5.9616,5.9616,5.9616,5.9616,5.9616,5.9616,5.9616,6.79385,7.2576,8.41203,8.5536,8.5536,9.40826,9.8496,9.8496,9.8496,11.0162,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,11.1456,12.10945,12.4416,12.4416,12.4416,12.4416,12.4416,12.4416,12.4416,12.4416,12.4416,12.4416,11.47719,11.1456,11.1456,11.1456,11.1456,11.1456,12.63993,11.68823,10.94829,10.1088,10.1088,10.1088,10.1088,10.1088,9.14576,8.8128,1,9.875336185566999
2016,8.8128,8.8128,8.85608,9.3312,8.75933,8.0352,8.0352,8.0352,8.0352,7.50953,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,7.1546,8.0352,8.0352,8.0352,8.32789,9.3312,9.3312,9.3312,9.3312,9.3367,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,10.6272,11.5206,11.9232,11.9232,11.9232,11.9232,11.9232,11.9232,11.9232,11.9232,11.9232,11.9232,11.9232,11.9232,10.66912,10.6272,10.6272,10.6272,10.6272,12.12179,11.1767,10.6925,9.5904,9.5904,9.5904,9.5904,9.19587,8.2944,8.2944,2,9.469153711340208
2016,8.2944,8.09602,7.20987,8.5536,8.097,7.2576,7.2576,7.2576,7.2576,7.2576,6.8379,5.9616,5.9616,5.9616,5.9616,5.9616,5.9616,5.9616,5.9616,5.9616,5.9616,5.9616,5.9616,6.01879,7.2576,7.2576,8.30722,8.5536,8.5536,9.28506,9.8496,9.8496,9.8496,9.8496,9.8496,9.8496,9.8496,9.8496,9.8496,9.8496,9.8496,9.8496,9.8496,9.8496,9.8496,9.8496,9.87029,9.5904,9.5904,9.5904,9.5904,9.5904,9.5904,9.5904,9.5904,9.5904,9.5904,9.5904,9.5904,9.5904,9.5904,9.5904,9.5904,9.5904,9.5904,9.5904,10.56488,10.8864,10.8864,11.00764,12.1824,12.1824,12.1824,12.1824,12.1824,12.1824,12.1824,12.1824,12.1824,12.1824,11.23419,10.8864,10.8864,10.8864,10.8864,10.38181,9.5904,9.5904,11.58529,11.664,10.62074,9.78,9.072,9.072,9.072,9.072,3,9.198770103092787
2016,9.072,9.072,9.07114,9.3312,9.3312,8.27826,8.0352,8.0352,7.90768,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,6.7392,7.59806,8.0352,8.0352,8.31418,8.24612,8.67625,8.5536,8.5536,8.5536,8.5536,8.5536,8.5536,8.5536,8.5536,8.5536,8.5536,7.43821,7.2576,7.2576,7.2576,7.2576,7.2576,7.2576,7.2576,7.2576,7.2576,7.2576,7.2576,7.2576,7.2576,7.2576,7.2576,7.63093,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,9.58206,10.1088,10.1088,10.1088,10.32346,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,10.50463,10.1088,10.1088,10.1088,10.1088,10.1088,9.87666,11.30281,11.25834,10.1088,9.52711,8.8128,8.8128,8.8128,8.8128,4,8.59879484536083
2016,8.8128,8.8128,8.65239,8.8128,8.8128,8.58794,7.5168,7.5168,7.5168,7.5168,6.61921,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,7.14339,7.5168,7.5168,8.43024,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,9.0557,10.1088,11.00957,11.4048,11.4048,11.4048,11.4048,12.36028,12.7008,12.7008,12.7008,11.4863,11.4048,11.4048,11.4048,11.4048,11.4048,10.19969,10.1088,10.1088,10.1088,11.35789,11.4048,10.70458,10.1088,10.1088,9.18197,8.8128,8.8128,5,8.892242783505152
2016,8.8128,8.8128,8.8116,9.072,9.072,8.82965,7.776,7.776,7.776,7.776,6.66705,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.89831,7.776,8.76538,9.072,9.072,10.31054,10.368,10.368,10.368,10.368,10.368,10.368,10.368,9.53354,9.072,9.072,9.072,9.072,9.072,9.072,9.072,9.072,9.072,9.072,9.072,9.072,9.072,9.072,8.0963,7.776,7.776,7.776,7.776,7.776,7.776,7.776,7.776,7.776,7.776,8.90644,9.072,9.072,9.072,9.072,10.07935,10.85661,11.664,11.664,11.664,11.664,11.664,11.664,11.94116,12.96,12.96,12.96,11.73614,11.664,11.664,11.664,11.664,11.05686,10.368,10.368,11.86585,11.9232,11.35147,10.6272,10.6272,9.58718,9.3312,9.3312,6,9.175825051546392
2016,9.3312,9.3312,9.25283,9.072,9.072,9.072,7.85605,7.776,7.776,7.776,7.776,7.34326,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,6.48,7.63578,7.886,9.072,10.19389,10.368,10.368,10.368,10.368,10.368,10.368,10.368,10.368,10.368,10.368,10.368,9.89783,9.072,9.072,9.072,9.072,9.072,9.072,9.072,9.072,9.072,9.072,8.31127,7.776,7.776,7.776,7.776,7.776,7.776,7.776,7.776,7.776,7.776,7.776,7.776,7.776,7.91815,9.072,9.072,9.072,10.23837,10.62085,11.664,11.664,11.664,11.664,11.664,11.664,11.87134,12.96,12.96,12.96,12.07877,11.664,11.664,11.664,11.664,11.664,11.30591,10.368,12.60577,12.04926,11.4048,10.97598,10.1088,10.1088,10.1088,10.1088,7,9.291955773195875
2016,9.77557,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,7.55374,7.5168,7.5168,7.5168,7.5168,7.5168,6.57442,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,7.14937,7.5168,7.56202,8.8128,8.8128,8.97525,10.1088,10.1088,10.1088,10.1088,10.1088,10.1088,10.1088,10.1088,10.1088,10.1088,9.18574,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.39552,7.5168,7.5168,7.5168,7.5168,7.5168,7.5168,7.5168,7.5168,7.5168,7.5168,8.47155,8.8128,8.8128,8.8128,9.79414,10.4365,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.04422,10.1088,10.1088,12.10333,11.4275,10.8864,9.88652,9.5904,9.5904,9.5904,9.5904,8.53151,8.2944,8,8.886231958762886
2016,8.2944,8.2944,8.33167,8.8128,8.16292,7.5168,7.5168,7.23459,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,6.2208,7.50664,7.5168,7.5168,8.40713,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,8.8128,7.5764,7.5168,7.5168,7.5168,7.5168,7.5168,7.5168,7.5168,7.5168,7.5168,7.5168,7.5168,7.5168,8.27623,8.8128,8.8128,8.93909,10.1088,10.40692,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,11.4048,10.98261,10.1088,10.1088,11.85019,11.10128,10.6272,9.76504,9.3312,9.3312,9.3312,8.78439,8.0352,8.0352,9,8.502683505154637
