year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2020,11.07429,10.92735,10.26703,9.97629,10.01352,9.50887,8.93276,8.62952,8.56077,8.01399,7.63488,7.33625,7.06151,6.96835,6.82434,6.76663,6.97597,7.15273,7.21273,7.47951,7.95238,8.36925,8.67462,9.44346,10.62909,11.73646,12.24677,12.84677,12.39761,12.58042,13.09799,13.38811,13.41927,13.27721,13.69061,14.25177,14.11665,14.04403,14.11826,14.22387,14.15284,13.91207,14.05846,14.56543,14.75442,14.71878,14.22069,13.8047,13.68295,14.02442,13.55372,14.15415,14.52753,14.82257,14.88289,14.97214,14.80648,14.781,14.04934,13.40903,13.72223,13.29422,13.1485,12.93039,12.94657,12.93771,13.0925,13.56611,13.58227,14.6805,15.00287,14.86075,14.82675,14.67767,14.58951,13.94911,13.64057,13.55167,13.2449,12.87894,12.48664,12.06625,11.72553,11.52672,11.39704,10.76521,10.79375,10.24849,10.65951,12.0615,11.10922,10.66459,11.40006,11.02428,10.4367,10.45733,0,11.87239237113402
2020,10.84423,10.67748,10.24424,9.81847,9.92792,9.35725,8.96982,8.63788,8.48027,8.04244,7.62263,7.2451,7.15795,6.84929,6.77739,6.80498,6.89788,7.13941,7.24159,7.30405,7.97708,8.41803,8.78968,9.50303,10.49171,11.30954,12.06516,13.04931,13.23718,13.50449,13.50802,13.55162,13.83101,14.07438,14.08067,13.94873,13.89733,13.89168,13.21592,13.51948,12.34095,13.39846,14.26226,14.75736,14.84119,14.45509,14.02793,13.60918,13.28227,13.03019,13.75955,14.95298,14.68603,14.83154,14.81509,15.06668,15.21996,15.00452,14.83031,14.48196,14.47987,14.04723,13.66899,13.92238,13.28802,13.55014,13.64858,13.63965,13.56894,14.21284,14.63259,14.70309,14.33366,14.29367,13.93316,13.78407,13.52174,13.24485,13.15207,12.52992,12.08308,11.5164,11.57865,11.38019,11.0544,10.59716,10.87586,10.38045,10.5683,12.00076,11.20104,10.68184,11.57783,11.1172,10.74368,10.96575,1,11.886967731958764
2020,11.09293,10.97196,10.35222,9.89174,9.99358,9.55474,9.08502,8.77553,8.4542,7.99957,7.56796,7.32982,7.15099,7.08039,7.0041,7.03821,6.97862,6.81358,6.9471,7.35923,7.92408,8.30759,8.68553,9.46483,10.23218,11.32419,12.06864,12.45383,12.19557,12.57156,12.68065,13.20411,13.37685,13.31995,13.14849,13.32129,13.3594,13.80456,13.82187,13.89214,13.91821,13.28917,12.41251,13.68951,13.75548,14.13246,13.93717,13.6366,13.34791,13.8566,14.41051,14.72374,14.26443,14.47112,14.13089,14.56311,14.34511,14.3509,14.54415,13.97527,13.87644,14.04592,13.96751,13.98229,13.69621,13.97263,13.20376,13.28379,13.48735,13.9957,14.02441,13.64355,13.64737,13.60425,12.89304,12.69028,12.29996,12.12406,12.11131,11.23907,11.42461,11.0478,10.83414,10.5286,10.2976,9.97104,10.18776,9.64245,10.06355,11.44639,10.63226,10.2664,11.2734,10.73989,10.40776,10.66717,2,11.583230618556705
2020,11.07691,10.68498,10.49118,9.98825,10.00013,9.35887,8.70392,8.12393,7.74478,8.17959,7.83501,7.50331,7.3004,6.99493,6.67946,6.68408,6.53844,6.67542,6.88036,6.97518,7.28364,7.28666,7.2565,7.54674,8.12216,8.35185,8.81535,9.38633,9.80225,10.45614,11.21672,11.47995,11.44914,11.86743,12.38684,12.30255,12.51649,12.70975,13.0086,12.8409,12.50356,13.01907,12.79502,12.5436,12.25027,12.079,11.23587,10.52467,10.79398,9.85974,9.00908,9.01204,8.29378,7.8997,8.20772,8.41643,8.42984,8.19193,8.33134,8.52486,8.52286,8.83789,8.96162,9.23576,9.75668,10.10066,10.59276,10.82963,10.96573,11.4158,11.84737,11.90843,11.51104,11.45664,11.41934,11.166,10.83557,10.45379,10.46083,10.10505,10.02717,9.86155,9.64053,9.65198,9.44459,9.36367,9.8846,10.66287,10.03682,9.43991,9.21378,9.43448,10.03968,10.21845,9.50913,8.9474,3,9.702955463917522
2020,9.31919,9.24702,8.933,8.72815,9.07752,8.15907,7.52464,7.03859,6.76608,6.94248,6.72385,6.61528,6.56643,6.44056,6.28201,6.19381,6.16285,6.24089,6.28208,6.42585,6.53223,6.5779,6.61357,6.79166,7.07685,7.23322,7.72558,8.05242,8.0768,8.03721,8.27625,8.06534,8.12864,8.23819,8.24619,8.166,8.25817,7.9172,7.82186,7.76132,7.73141,7.48388,7.42288,7.58866,7.54562,7.57546,7.65764,7.74792,7.97861,8.65815,8.14032,8.69708,7.91012,8.76247,9.79417,9.89844,10.36518,10.44396,9.49106,9.82856,9.72999,10.0702,9.51991,9.97061,10.46178,10.35263,10.66985,11.20381,11.4229,12.01523,12.67768,12.84754,12.6352,12.51748,12.52683,12.18585,12.03409,11.90677,11.6024,11.3908,11.1096,10.77494,10.40401,10.27882,10.03367,9.92576,10.59437,11.37746,10.56323,9.89332,9.50402,9.69177,10.43512,10.68819,9.96827,9.33564,4,8.931002886597938
2020,9.73805,9.5901,9.15585,8.96082,9.09936,8.31206,7.74158,7.54321,7.55345,7.3055,7.0206,6.77369,6.69648,6.57273,6.48689,6.76176,6.97104,6.98023,7.27039,7.81733,8.45514,8.90108,9.2425,9.66045,10.79487,11.71247,12.39404,13.07413,13.36925,14.01965,14.50314,14.24468,14.66834,14.84704,14.30941,13.88997,13.33819,13.13107,12.58235,12.19949,12.01817,11.77765,11.81902,11.65679,11.58368,11.38419,11.31481,11.22982,11.33845,11.42475,11.44729,11.6966,12.1228,12.58803,12.34671,12.80361,13.09849,13.63344,13.42789,13.27583,12.79129,12.29166,12.5993,13.12812,13.01061,13.28918,13.69205,14.07764,14.20917,15.05642,15.6286,15.92454,15.24668,15.3204,14.78582,14.55067,14.20214,13.74854,13.92749,13.71874,13.46758,12.98681,12.8409,12.52297,12.00036,11.4577,11.80845,11.34126,11.54469,12.93079,12.18187,11.52985,12.40745,11.93569,11.40242,11.6412,5,11.60696340206185
2020,11.97199,11.60364,11.13406,10.75404,10.7543,10.21692,9.68108,9.43087,9.55056,9.0603,8.63654,8.15501,7.84388,7.41368,7.30801,7.45805,7.50795,7.66891,7.82908,7.94953,8.61645,8.99654,9.80659,10.86521,12.08562,13.05801,13.81368,14.77917,15.01221,15.2932,15.12413,15.16191,15.20708,15.01009,14.64973,14.24421,13.60905,13.56981,12.97653,12.57627,12.6887,12.62036,12.42498,12.39542,12.24059,11.80698,11.85888,11.69535,11.55703,11.40862,11.41204,11.69896,11.97956,12.12513,12.42114,12.56827,12.13547,12.48008,12.41568,12.44379,12.51281,12.28923,12.67743,12.98382,12.82884,12.98591,13.30062,13.682,13.95586,14.80084,15.1752,14.95681,14.51473,14.38587,14.15751,13.60564,13.42658,13.27028,13.01133,12.94907,12.49089,12.19073,12.01579,11.79619,11.38548,11.27135,11.5566,10.97501,11.31404,12.67329,12.00006,11.53148,12.19314,11.74139,11.09146,11.41334,6,11.895582886597946
2020,11.74898,11.5834,11.08486,10.60294,10.50196,9.99524,9.5143,9.21674,9.30853,8.75982,8.38484,7.96475,7.54799,7.30678,7.13239,7.15547,7.31165,7.36292,7.53973,7.95133,8.51399,8.94868,9.43882,10.23856,11.37819,12.39342,13.09389,13.53393,13.60753,14.02326,14.00125,14.05276,13.92353,13.46252,13.22791,13.02309,12.83057,12.57678,12.69521,12.51198,12.39938,12.79115,13.94769,12.65193,12.3775,11.88027,11.92676,12.17097,12.09335,12.26439,12.30591,12.27244,12.31129,12.49321,12.55948,12.5732,12.29761,12.35581,12.33951,12.6452,12.71543,12.76322,12.94111,12.9939,12.99664,13.11787,13.26151,13.5205,13.62827,14.64063,15.0183,15.04602,14.87256,14.85038,14.49899,14.30492,14.25618,14.2517,14.21887,13.67546,13.02228,12.73056,12.72118,12.48708,12.02711,11.46124,11.37863,10.94606,11.30642,12.73875,11.93773,11.37709,12.18603,11.58817,11.03349,11.29302,7,11.844482886597943
2020,11.60477,11.4774,11.1599,10.75644,10.97401,10.36193,9.798,9.47038,9.55805,9.12323,8.66727,8.03526,7.73108,7.63976,7.48686,7.40129,7.78005,7.94845,7.96745,8.33265,8.90018,9.36095,9.99517,10.85555,12.20265,13.1005,13.85223,14.70104,15.26589,15.78826,16.0002,16.01718,15.58856,15.30644,14.85769,14.52699,13.96031,13.45831,12.89974,12.62132,12.21229,12.12847,12.03541,11.8437,11.91176,11.90984,11.88859,12.04921,11.84351,11.72429,11.89805,11.68724,11.74457,11.89061,12.09543,11.98908,12.05423,12.1034,12.17406,12.2609,12.12586,12.15539,12.83065,13.34603,13.22658,13.38955,13.64488,13.93795,14.3673,15.4485,16.11099,16.08638,15.89044,15.55705,15.39423,15.10229,14.62876,14.82189,14.91746,14.57212,13.95864,13.80398,13.59377,13.52754,13.28635,12.61253,12.92468,12.75442,12.96106,14.18978,13.12904,12.66838,13.31484,12.89863,12.35464,12.55268,8,12.351167938144332
2020,12.84049,12.67873,12.11046,11.73028,11.68937,11.43783,10.51777,9.91202,10.38248,10.16477,9.46622,8.99248,8.82195,8.75728,8.27805,8.36095,8.58427,8.76474,8.88161,9.1094,9.75449,10.20891,10.81295,11.6593,13.10937,13.67036,14.57532,15.58491,16.20254,16.6441,16.82332,16.43874,16.01876,15.67742,15.09384,14.56846,13.9369,13.59526,13.31819,12.8364,12.63301,12.30289,13.13733,13.44758,13.05766,13.84869,14.79052,14.88527,15.28567,15.75562,15.93873,13.52007,14.31475,15.2093,15.54887,15.51319,14.89846,14.15106,14.20637,14.5069,13.968,14.20771,13.776,12.92863,13.14292,13.11295,13.07734,13.76665,14.21842,15.12527,15.49361,15.45932,15.06168,14.94523,14.78892,14.63641,14.34576,14.30916,14.31853,14.09354,13.69054,13.38347,12.93153,12.66793,12.24623,12.01447,12.18919,11.83991,12.02397,13.29545,12.5424,11.95935,12.77143,12.36936,12.00126,12.20942,9,13.019325670103097
