year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2017,10.48432,10.12397,9.56121,9.66393,10.74335,10.31052,9.76672,9.24312,8.93903,8.54499,8.37085,8.31862,8.01875,7.94562,7.72912,7.72912,7.51729,7.42245,7.42245,7.42245,7.42245,7.42245,7.63782,7.88281,8.22728,8.74141,9.17718,9.44534,10.191,11.04554,12.02613,12.28891,13.27082,13.92015,14.59784,15.00619,15.26297,15.35213,15.48283,15.81495,16.05497,16.17851,15.86833,15.75203,15.34362,15.50153,15.39009,15.39009,15.09403,15.09195,14.61238,14.17579,14.3097,13.77751,14.16575,14.13896,14.0287,14.06346,14.14577,14.0612,14.16481,14.23706,14.35225,14.25743,14.41761,14.52984,14.77355,15.23513,15.64488,16.64023,18.34893,19.43468,19.70922,19.79214,19.75147,18.97465,18.56883,17.92118,17.33229,16.76339,16.61406,16.29001,16.81081,15.8279,15.07086,14.47124,13.98484,13.42972,13.37271,12.93333,11.84231,11.25408,11.27033,10.38076,10.45504,10.04474,13.036882916666672
2017,9.63078,9.13888,8.70057,8.64341,9.72245,9.65808,9.15273,8.83483,8.36472,8.00933,7.89794,7.60986,7.60986,7.60986,7.52702,7.28616,7.28616,7.28616,7.28616,7.34023,7.74045,7.90712,8.46557,9.10157,10.16265,11.31809,12.4629,13.50915,13.66542,14.43659,14.49508,14.61207,14.52377,14.34277,14.07555,13.70343,13.70343,13.70343,13.70343,13.70343,13.70343,13.70343,13.70343,13.70343,13.70343,13.70343,13.70343,13.70343,13.70343,13.22133,13.08504,12.86144,12.99923,12.77711,12.7096,12.7096,12.7096,12.7096,12.7096,12.7096,12.7096,12.7096,12.7096,13.37405,13.66639,14.01104,14.58076,15.16934,15.90839,16.58897,16.63947,16.63947,16.63947,16.63947,16.63947,16.63947,16.63947,16.63947,16.63947,16.63947,16.63947,16.63947,16.63947,16.63947,16.63947,16.19623,14.61611,13.88323,14.03999,13.63723,12.81282,12.01912,11.89177,10.92406,10.73061,10.2473,12.609187187500005
2017,9.77325,9.2852,8.75836,8.80241,9.90418,9.6806,9.09755,8.96146,8.96146,8.96146,8.96146,8.96146,8.96146,8.96146,8.96146,8.96146,8.96146,7.32397,7.44503,7.51879,7.76887,7.95161,8.47759,9.41269,10.61374,11.80008,12.90337,13.7565,13.98193,14.63838,14.74825,14.64529,14.51109,14.36219,14.26918,14.11976,13.58868,13.41948,13.41948,13.41948,13.41948,13.41948,13.41948,13.41948,13.41948,13.41948,13.41948,13.41948,13.41948,13.41948,13.41948,13.41948,13.41948,13.41948,13.41948,13.41948,13.41948,13.41948,13.41948,13.41948,12.82911,12.80047,13.00565,13.20099,13.11974,13.48527,13.73182,13.73182,13.73182,13.73182,13.73182,13.73182,13.73182,13.73182,13.73182,13.73182,13.73182,13.73182,13.73182,13.73182,13.89991,17.28522,17.86859,16.65206,16.06242,15.13277,14.48566,13.82579,14.04017,13.70861,12.95635,12.14299,12.03675,11.78393,11.78393,11.78393,12.432676770833334
2017,11.78393,11.78393,11.78393,11.78393,11.78393,11.78393,11.78393,10.89948,8.35542,8.0585,7.88948,7.76887,7.76887,7.76093,7.47356,7.47356,7.47356,7.47356,7.47356,7.47356,7.70666,8.08149,8.60096,9.19558,10.33406,11.50087,12.65591,13.52334,13.64501,14.46969,14.86553,14.72197,14.41746,14.15392,14.02595,13.99874,13.82611,13.67503,13.67503,13.67503,13.67503,13.67503,13.67503,13.67503,13.67503,13.67503,13.67503,13.67503,13.67503,13.35262,12.83863,12.62752,12.72356,12.67573,12.5963,12.71748,12.65586,12.86224,12.99222,13.03331,13.03331,13.03331,13.03331,13.03331,13.03331,13.03331,13.03331,14.28871,14.71025,16.22454,17.57012,18.52373,18.8986,18.95376,19.14889,18.97171,18.6038,18.22959,18.03183,17.66337,17.35931,17.17676,17.61678,16.65545,16.12377,15.31461,14.69487,13.67903,13.82407,13.67468,12.8888,12.11089,12.09476,11.03016,10.95324,10.25745,12.992043750000002
2017,9.75349,9.31304,8.85755,8.95587,10.09691,9.76396,9.20819,8.72122,8.48907,8.15592,8.00041,7.76319,7.76319,7.74113,7.47356,7.47356,7.47356,7.47356,7.47356,7.47356,7.74512,7.94347,8.49486,9.26901,10.38256,11.46047,12.57421,13.52093,13.8599,14.35472,14.63694,14.5445,14.58947,14.38939,14.08366,13.88346,13.69775,13.69775,13.60241,13.4446,13.26161,12.80033,12.87421,13.05034,13.05034,13.05034,13.05034,13.05034,13.05034,13.05034,13.05034,13.05034,13.05034,13.05034,13.05034,12.84299,12.71516,12.5222,12.62909,12.66428,12.76323,12.7726,13.0493,13.15503,13.30513,13.55403,13.81092,14.25094,14.85174,16.31019,17.69669,18.45052,18.9956,19.36841,19.5774,19.39625,19.23693,18.90601,18.48724,18.11905,17.57746,17.44013,17.8055,17.40046,17.40046,17.40046,17.40046,17.40046,17.40046,17.40046,13.59948,12.39734,12.30601,11.31703,11.07522,10.5294,13.00439197916667
2017,9.9067,9.59148,9.21353,9.16551,10.37823,9.72525,9.34265,8.91519,8.72211,8.304,8.13233,8.0176,7.8143,7.8143,7.70139,7.50764,7.50764,7.50764,7.50764,7.55223,7.8143,8.04454,8.29254,9.24937,10.41265,11.47577,12.5913,13.63325,13.92737,14.68519,14.93185,14.98724,14.70376,14.51823,14.12905,13.98905,14.05317,13.87304,13.69765,13.43599,13.24281,13.08127,12.93931,12.93476,12.88722,12.87234,12.95168,12.95948,12.94168,12.69113,12.57552,12.71874,12.67326,12.82091,12.78683,12.88688,12.59385,12.87429,12.79497,12.87997,12.85597,12.89701,12.91666,13.09783,13.20722,13.61092,13.90205,14.50443,15.04782,16.17257,17.23123,17.93822,18.18781,18.38255,18.41664,18.06204,17.93926,17.56779,17.02497,16.61591,16.38273,16.63995,17.03157,15.91014,15.1894,14.63116,14.31839,13.67242,13.93046,13.86043,12.92965,12.26835,12.17286,11.40185,11.32763,10.63305,12.684984479166665
2017,10.10862,9.73857,9.39984,9.14129,10.17677,9.78624,9.38435,8.89951,8.64745,8.33491,8.29134,8.07225,7.979,7.95141,7.67801,7.45352,7.3827,7.3827,7.3827,7.52415,7.67801,7.67801,7.90382,8.15467,8.75651,9.52283,10.0985,10.76451,11.32668,12.25212,12.73133,13.1087,13.78179,14.26137,14.70895,15.04287,15.10046,15.22508,15.20827,14.88146,14.7052,14.56326,14.58416,14.53824,14.36092,14.20886,14.08948,14.06093,13.80327,13.84659,13.87207,13.59274,13.6173,13.83134,13.69841,13.74301,13.61519,13.51602,13.51602,13.61612,13.89157,14.06671,14.13503,14.13568,14.50946,14.72023,15.07863,15.66916,16.04778,17.14343,17.93603,18.45343,18.64195,18.46811,18.40726,17.90106,17.62428,17.21976,16.51535,16.2502,15.9078,16.04316,16.23512,15.35297,14.76314,14.26164,13.88578,13.38534,13.68887,13.2248,12.50115,11.88603,12.04375,11.35023,11.37815,10.85716,12.83188125
2017,10.44893,10.08381,9.61445,9.78697,10.71659,10.32908,9.73829,9.31055,8.98849,8.67183,8.52206,8.37653,8.17,8.03687,7.77455,7.77455,7.54281,7.46789,7.46789,7.46789,7.49255,7.77455,7.77455,7.87804,8.40492,8.93177,9.66571,10.30127,10.90806,11.61006,12.48297,12.91256,13.41391,13.76533,13.94843,14.63827,15.00625,15.34214,15.59528,15.80162,16.11968,15.89623,15.79936,15.75117,15.98467,15.63969,15.42984,15.3235,14.98502,14.86943,14.81651,14.79059,14.68683,14.51552,14.55167,14.59108,14.40762,14.25261,14.10664,14.10664,14.32193,14.17163,14.25417,14.41579,14.51075,14.99885,15.60529,16.42972,16.94796,17.98762,18.7018,19.11593,19.19915,19.15309,19.08159,18.62122,18.2963,17.65685,17.23068,16.49812,16.25898,16.39244,16.73165,16.04318,16.04318,16.04318,16.04318,16.04318,16.04318,16.04318,16.04318,16.04318,16.04318,16.04318,16.04318,16.04318,13.601098124999984
2017,16.04318,16.04318,16.04318,16.04318,16.04318,11.10119,9.3578,9.14337,8.72619,8.58665,8.37991,8.05776,7.96764,7.90232,7.66097,7.66097,7.4681,7.35431,7.35431,7.40918,7.85556,8.05852,8.62881,9.32695,10.25441,11.62498,13.03314,14.07928,14.55208,14.96309,15.4639,15.43788,15.36737,15.48955,15.55032,15.40004,15.32697,15.07775,15.22051,15.0891,15.07909,15.02373,15.13454,15.06552,14.98299,14.7938,14.7938,14.7938,14.7938,14.7938,14.7938,14.7938,14.77664,14.48113,14.37614,14.46441,14.49056,14.48934,14.5212,14.71124,14.47009,14.47009,14.5934,14.83628,15.00521,15.31127,15.76874,16.34389,16.83784,17.83862,19.16696,19.86436,20.11537,20.42447,20.46004,20.0386,19.55616,19.49529,18.93802,18.28395,17.89196,17.8472,18.22818,17.12178,16.3716,15.60978,14.98849,14.33253,14.29539,13.98196,13.28144,12.4682,12.20782,11.19001,10.98944,10.29894,14.043992500000003
2017,9.73912,9.32733,8.9401,8.92482,10.07253,9.81086,9.38841,8.92718,8.43143,8.30838,8.16803,8.00171,7.74594,7.59658,7.39406,7.39406,7.39406,7.39406,7.39443,7.68937,7.79889,7.89836,8.54646,9.22879,10.44901,11.95916,12.97545,13.89295,14.27298,14.83867,15.13454,14.943,14.77676,14.5888,14.45873,14.1811,13.91237,13.57281,13.50642,13.39704,13.29011,13.26387,13.15256,13.13441,12.86893,12.85158,12.85158,12.83429,12.82481,12.63564,12.58466,12.65691,12.67637,12.6135,12.60699,12.70537,12.65169,12.64566,12.74902,12.73637,12.87206,12.87087,13.14976,13.23775,13.31282,13.70865,13.93966,14.43151,15.15695,16.57137,18.01542,18.73423,19.31671,19.52984,19.66638,19.53737,18.87539,18.33541,17.84448,17.71969,17.36878,17.19347,17.70992,16.63076,15.84032,15.14208,14.60922,13.9954,13.98734,13.82326,13.01997,12.29497,12.0218,11.37504,11.37504,11.37504,12.846852083333332
