year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2023,4.13855,4.09365,4.08501,4.07099,4.06448,4.01498,3.98119,3.95621,4.0003,3.96709,3.98753,3.9811,3.94629,3.95681,3.97829,3.9546,3.93195,3.89619,3.94801,3.95397,3.96156,3.97262,4.03349,3.99692,4.09636,4.14633,4.21667,4.22966,4.28639,4.32436,4.27611,4.3666,4.40431,4.47311,4.53986,4.5771,4.60881,4.62429,4.64154,4.64449,4.63852,4.64601,4.65569,4.68287,4.69313,4.73083,4.75022,4.69944,4.80418,4.74881,4.73858,4.7441,4.75825,4.7668,4.75861,4.78883,4.78617,4.81643,4.79562,4.89193,4.83164,4.78877,4.774,4.75157,4.67233,4.7316,4.71347,4.74533,4.69184,4.68042,4.63904,4.61434,4.56042,4.54509,4.59336,4.63029,4.65449,4.60806,4.55195,4.46828,4.45627,4.40884,4.37958,4.37612,4.34753,4.48752,4.38234,4.29507,4.23116,4.20834,4.15533,4.13098,4.08593,4.07614,4.07571,4.04606,4.402208333333337
2023,4.06843,4.01895,3.9696,3.96326,4.0049,3.94849,3.96302,3.9232,3.9064,3.93616,3.89972,3.90097,3.9137,3.96091,3.95697,4.03121,4.06135,4.08772,4.10879,4.1408,4.26446,4.42485,4.68958,4.85129,5.49975,5.97558,6.06357,6.09111,6.5855,6.96773,7.74158,8.1812,8.41874,8.51167,8.7996,8.99116,9.10299,9.3844,9.4858,9.59196,9.74767,9.65367,9.60432,9.56535,9.72399,9.81938,9.88063,9.85735,9.87015,9.9608,9.91834,9.91529,9.93398,9.99612,9.95565,9.88831,9.85066,9.90305,9.65646,9.48334,9.35842,9.42873,9.31448,9.27305,9.15674,9.10169,8.96953,8.70043,8.57889,8.36331,8.31023,7.85924,7.20302,6.74231,6.5207,6.31988,6.06806,5.9958,5.90714,5.76854,5.58987,5.57419,5.41123,5.28671,5.2004,5.11453,5.02894,4.92804,4.77358,4.65243,4.54335,4.49506,4.36754,4.30726,4.23993,4.1827,6.814661770833336
2023,4.16275,4.06578,4.071,4.11295,4.04629,3.97163,3.96016,3.98232,3.98064,3.95333,3.98509,3.97272,3.95498,3.94928,3.98059,3.99346,4.12685,4.08159,4.02828,4.00581,4.20085,4.32292,4.54092,4.77222,5.23701,5.38924,5.69922,5.95862,6.35914,6.79536,7.60479,8.18169,8.57968,8.90047,9.1196,9.42809,9.61042,9.58913,9.60442,9.7031,9.79629,9.89443,9.88856,9.90193,9.82009,9.77114,9.87326,9.90518,9.86263,9.93433,9.83448,9.71735,9.86597,9.9403,9.8771,9.8935,9.87375,9.71472,9.73043,9.73259,9.64284,9.50554,9.61132,9.53556,9.32774,9.12746,9.04143,8.86846,8.78436,8.68998,8.42974,8.18837,7.47093,7.01864,6.77461,6.5537,6.41381,6.20551,6.01538,5.95703,5.79914,5.8314,5.64304,5.5811,5.42007,5.2347,5.1148,5.044,4.89761,4.89306,4.6633,4.48298,4.45963,4.37565,4.36123,4.33203,6.8969434375
2023,4.19076,4.12215,4.15486,4.14097,4.10448,4.08705,4.04378,4.0772,4.06803,4.06109,4.03015,4.04607,4.05504,4.0631,4.08936,4.17616,4.11127,4.12295,4.06305,4.11094,4.29696,4.47848,4.6476,4.84473,5.1043,5.40252,5.73965,5.95986,6.38606,6.87164,7.53073,7.9183,8.4164,8.6622,8.88086,9.04722,9.31283,9.29996,9.46995,9.51155,9.69084,9.85068,9.74337,9.70847,9.69928,9.77831,9.8537,10.0039,9.99716,9.91228,9.94307,9.88553,10.06114,10.1047,10.24392,10.40198,10.2911,10.24869,10.13869,10.03351,10.04352,9.8576,9.80069,9.65809,9.64039,9.53679,9.2288,9.15661,9.02517,8.76642,8.66273,8.50791,7.75515,7.25867,7.04294,6.79658,6.56243,6.47478,6.3751,6.20328,6.10047,5.99428,5.79607,5.7515,5.61063,5.49174,5.39544,5.26004,5.0341,4.88667,4.81603,4.71518,4.65279,4.54469,4.49201,4.31962,7.005265520833331
2023,4.33097,4.22842,4.21796,4.23188,4.14449,4.08426,4.08163,4.12757,4.07411,4.12066,4.12383,4.10104,4.07597,4.03949,4.07599,4.10182,4.18405,4.11932,4.15713,4.13389,4.25977,4.46989,4.66382,4.89341,5.2616,5.4611,5.77134,6.01582,6.49183,6.97568,7.61824,8.20428,8.42859,8.68396,8.87708,9.10803,9.21951,9.24676,9.45709,9.59822,9.70588,9.67884,9.56139,9.53492,9.56621,9.85755,9.79562,9.5613,9.63043,9.69511,9.68758,9.7936,9.78275,9.86548,9.78969,9.88043,9.85766,9.69818,9.75678,9.6234,9.55659,9.44532,9.46372,9.45146,9.16671,9.20161,9.17146,8.99127,8.96241,8.82366,8.71459,8.42344,7.76322,7.15752,6.92493,6.70768,6.56933,6.54312,6.33126,6.22238,6.04685,5.95968,5.77766,5.69296,5.62286,5.42822,5.35646,5.26865,5.0611,4.87999,4.80628,4.76412,4.61655,4.4947,4.39801,4.34366,6.93638260416667
2023,4.28288,4.19547,4.23627,4.19066,4.16395,4.08615,4.02579,4.05822,4.00505,3.97462,3.98512,3.97645,3.99034,3.99623,3.98488,4.01473,4.02676,4.04255,4.04238,4.10512,4.18363,4.21427,4.45809,4.59303,5.20185,5.55984,5.69792,5.89497,6.36516,6.7216,7.35822,7.50305,7.95128,7.98472,8.33843,8.46532,8.55555,8.66999,8.57055,8.70716,8.76334,8.76194,8.91029,8.89441,8.88647,9.00475,9.11547,9.06824,9.08245,8.91811,9.03841,9.00611,8.95189,8.95771,8.87666,8.92452,8.81599,8.7519,8.76825,8.76855,8.65282,8.51219,8.51108,8.36835,8.49712,8.35173,8.15908,7.92845,7.86675,7.87995,7.69698,7.6123,7.00482,6.42356,6.24296,6.14506,6.02284,5.90637,5.84993,5.76334,5.61862,5.48546,5.35598,5.38643,5.34144,5.2521,5.16825,5.09221,4.89426,4.78288,4.69991,4.59674,4.44023,4.34339,4.28506,4.24212,6.469004895833334
2023,4.15544,4.06237,4.07327,4.05315,4.03436,4.00631,3.97309,3.92879,3.87225,3.88572,3.87666,3.91407,3.92513,3.90042,3.88984,3.85528,3.83458,3.81627,3.84883,3.83478,3.86863,3.86607,3.9345,3.98495,4.21785,4.20339,4.25503,4.27332,4.3124,4.36303,4.37853,4.45781,4.58906,4.59771,4.62865,4.66209,4.81475,4.95509,4.93134,4.90073,4.91862,4.87893,4.94849,4.93696,4.98968,4.9846,5.01733,5.03751,4.96653,4.90912,4.89479,4.99382,4.96744,4.96898,4.92821,4.9535,4.93434,4.85178,4.88166,4.92236,4.95019,4.97162,4.97523,4.91271,4.89099,4.85421,4.80761,4.8423,4.88358,4.86721,4.84712,4.86336,4.92425,4.90009,4.87552,4.77483,4.70866,4.68279,4.72804,4.7007,4.58001,4.5591,4.59758,4.62226,4.57215,4.50212,4.53106,4.49873,4.45267,4.40246,4.31612,4.27848,4.18267,4.14237,4.08831,4.10618,4.512640312500001
2023,4.03743,3.97396,3.92677,3.88873,3.91578,3.87783,3.87911,3.84344,3.85409,3.83412,3.83934,3.83806,3.84455,3.87755,3.86467,3.86995,3.82784,3.83889,3.82171,3.8092,3.84605,3.84012,3.82636,3.88357,3.97174,4.00891,4.08362,4.08812,4.14324,4.17205,4.19846,4.15813,4.28746,4.37349,4.43791,4.4973,4.53617,4.51508,4.58483,4.6278,4.63561,4.6532,4.64393,4.694,4.68006,4.66405,4.69005,4.70589,4.75133,4.76598,4.79081,4.7177,4.74892,4.69333,4.69599,4.72515,4.7549,4.78609,4.7469,4.73233,4.68557,4.74825,4.74611,4.67397,4.69044,4.68559,4.68448,4.67632,4.64886,4.6344,4.63852,4.61975,4.61311,4.55614,4.58203,4.58634,4.52031,4.49589,4.49835,4.4524,4.34129,4.31437,4.28253,4.31532,4.28512,4.26045,4.25613,4.25288,4.18878,4.13389,4.12224,4.0461,3.99994,3.99154,3.91591,3.90334,4.321524062500001
2023,3.96751,3.94633,3.88389,3.85408,3.8967,3.86344,3.80079,3.82604,3.84627,3.88112,3.90404,3.90528,3.90145,3.92057,3.92706,3.96636,3.98282,4.01185,4.03693,4.08985,4.22585,4.30311,4.49788,4.60245,5.11983,5.44024,5.90467,6.04584,6.16882,6.51255,7.39373,7.68871,7.95319,8.14706,8.26954,8.38938,8.49141,8.47558,8.59552,8.56992,8.55716,8.51522,8.64711,8.78332,8.85388,8.81249,8.78677,8.7621,8.9355,8.98134,8.94909,8.91183,8.92167,8.98128,8.88159,8.99252,8.9422,8.78831,8.80052,8.76422,8.65547,8.50257,8.41994,8.44467,8.22322,8.38061,8.20889,8.16847,8.1404,7.95586,8.009,7.79286,7.30517,6.72148,6.35126,6.22042,5.98067,5.96971,5.95489,5.88212,5.69255,5.58078,5.3543,5.34552,5.27088,5.14576,5.10482,5.02114,4.8248,4.70532,4.68781,4.54242,4.44877,4.38873,4.32382,4.23949,6.434795520833333
2023,4.19963,4.166,4.11753,4.09132,4.10135,4.05677,4.00783,4.04259,3.99454,4.0398,4.10955,4.04713,4.09847,4.11294,4.10785,4.11531,4.01275,4.01627,4.02755,4.08324,4.23825,4.35359,4.5434,4.71757,5.24315,5.48612,5.73032,5.7699,6.10264,6.60671,7.50933,7.82302,8.18555,8.45814,8.53413,8.8809,8.90687,8.94621,9.14499,9.38933,9.36876,9.30047,9.31826,9.18714,9.2122,9.1659,9.08045,9.31242,9.22616,9.28712,9.25067,9.19531,9.25371,9.24008,9.26235,9.36842,9.21287,9.18379,9.19589,9.14785,9.07123,8.88452,8.85877,8.82561,8.70499,8.68134,8.65422,8.34586,8.39802,8.19198,8.15058,7.81499,7.3331,6.76504,6.39888,6.22983,6.05482,5.91264,5.85669,5.7926,5.64055,5.51402,5.35596,5.34955,5.2233,5.09548,5.04721,4.91853,4.77315,4.66561,4.55033,4.41049,4.35727,4.32327,4.28841,4.29732,6.6210887499999975
