Bureau of Meteorology station number,Year,Month,Day,Rainfall amount (millimetres),Period over which rainfall was measured (days),index
61381,2015,1,1,0.0,1.0,0
61381,2015,1,2,8.0,1.0,1
61381,2015,1,3,0.0,1.0,2
61381,2015,1,4,0.0,1.0,3
61381,2015,1,5,0.0,1.0,4
61381,2015,1,6,0.0,1.0,5
61381,2015,1,7,0.0,1.0,6
61381,2015,1,8,0.0,1.0,7
61381,2015,1,9,0.0,1.0,8
61381,2015,1,10,0.0,1.0,9
61381,2015,1,11,11.0,1.0,10
61381,2015,1,12,14.0,1.0,11
61381,2015,1,13,4.0,1.0,12
61381,2015,1,14,1.0,1.0,13
61381,2015,1,15,0.0,1.0,14
61381,2015,1,16,0.0,1.0,15
61381,2015,1,17,0.0,1.0,16
61381,2015,1,18,0.0,1.0,17
61381,2015,1,19,103.0,1.0,18
61381,2015,1,20,37.0,1.0,19
61381,2015,1,21,1.0,1.0,20
61381,2015,1,22,0.0,1.0,21
61381,2015,1,23,0.0,1.0,22
61381,2015,1,24,0.0,1.0,23
61381,2015,1,25,0.0,1.0,24
61381,2015,1,26,0.0,1.0,25
61381,2015,1,27,32.0,1.0,26
61381,2015,1,28,100.0,1.0,27
61381,2015,1,29,11.0,1.0,28
61381,2015,1,30,0.0,1.0,29
61381,2015,1,31,0.0,1.0,30
61381,2015,2,1,0.0,1.0,31
61381,2015,2,2,3.0,1.0,32
61381,2015,2,3,28.0,1.0,33
61381,2015,2,4,1.0,1.0,34
61381,2015,2,5,4.0,1.0,35
61381,2015,2,6,0.0,1.0,36
61381,2015,2,7,0.0,1.0,37
61381,2015,2,8,0.0,1.0,38
61381,2015,2,9,0.0,1.0,39
61381,2015,2,10,4.0,1.0,40
61381,2015,2,11,0.0,1.0,41
61381,2015,2,12,0.0,1.0,42
61381,2015,2,13,7.0,1.0,43
61381,2015,2,14,0.0,1.0,44
61381,2015,2,15,0.0,1.0,45
61381,2015,2,16,0.0,1.0,46
61381,2015,2,17,0.0,1.0,47
61381,2015,2,18,0.0,1.0,48
61381,2015,2,19,0.0,1.0,49
61381,2015,2,20,0.0,1.0,50
61381,2015,2,21,26.0,1.0,51
61381,2015,2,22,4.0,1.0,52
61381,2015,2,23,8.0,1.0,53
61381,2015,2,24,0.0,1.0,54
61381,2015,2,25,1.0,1.0,55
61381,2015,2,26,5.0,1.0,56
61381,2015,2,27,0.0,1.0,57
61381,2015,2,28,0.0,1.0,58
61381,2015,3,1,0.0,1.0,59
61381,2015,3,2,7.0,1.0,60
61381,2015,3,3,0.0,1.0,61
61381,2015,3,4,0.0,1.0,62
61381,2015,3,5,0.0,1.0,63
61381,2015,3,6,0.0,1.0,64
61381,2015,3,7,0.0,1.0,65
61381,2015,3,8,0.0,1.0,66
61381,2015,3,9,0.0,1.0,67
61381,2015,3,10,0.0,1.0,68
61381,2015,3,11,0.0,1.0,69
61381,2015,3,12,1.0,1.0,70
61381,2015,3,13,10.0,1.0,71
61381,2015,3,14,6.0,1.0,72
61381,2015,3,15,0.0,1.0,73
61381,2015,3,16,15.0,1.0,74
61381,2015,3,17,0.0,1.0,75
61381,2015,3,18,0.0,1.0,76
61381,2015,3,19,3.0,1.0,77
61381,2015,3,20,0.0,1.0,78
61381,2015,3,21,13.0,1.0,79
61381,2015,3,22,2.0,1.0,80
61381,2015,3,23,0.0,1.0,81
61381,2015,3,24,0.0,1.0,82
61381,2015,3,25,26.0,1.0,83
61381,2015,3,26,0.0,1.0,84
61381,2015,3,27,0.0,1.0,85
61381,2015,3,28,0.0,1.0,86
61381,2015,3,29,0.0,1.0,87
61381,2015,3,30,0.0,1.0,88
61381,2015,3,31,10.0,1.0,89
61381,2015,4,1,31.0,1.0,90
61381,2015,4,2,0.0,1.0,91
61381,2015,4,3,1.0,1.0,92
61381,2015,4,4,67.0,1.0,93
61381,2015,4,5,67.0,1.0,94
61381,2015,4,6,0.0,1.0,95
61381,2015,4,7,8.0,1.0,96
61381,2015,4,8,4.0,1.0,97
61381,2015,4,9,0.0,1.0,98
61381,2015,4,10,2.0,1.0,99
61381,2015,4,11,2.0,1.0,100
61381,2015,4,12,1.0,1.0,101
61381,2015,4,13,0.0,1.0,102
