year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,Date_03APR2009,Date_04APR2009,Date_05APR2009,Date_11APR2009,Date_12APR2009,Date_13APR2009,Date_14APR2009,Date_15APR2009,Date_16APR2009,Date_18APR2009,Date_19APR2009,Date_20APR2009,Date_21APR2009,Date_22APR2009,Date_23APR2009,Date_24APR2009,Date_25APR2009,Date_26APR2009,Date_27APR2009,Date_28APR2009,Date_29APR2009
2009,17.88273,20.09092,19.51173,18.17233,17.79223,19.62033,19.22213,18.55243,17.66553,17.06823,17.28543,16.95964,16.18134,16.50714,15.90984,16.07274,16.32614,16.52524,17.01394,16.77864,17.48453,17.86463,18.44383,18.73343,20.12712,21.53892,22.17242,21.97332,23.80141,25.0141,26.5707,27.3852,28.34449,29.06849,29.44859,30.19068,30.87848,31.63868,31.51198,32.61608,32.65228,31.98258,31.78348,31.83778,31.67488,32.23598,32.23598,32.59798,32.18168,32.45318,32.74278,32.85137,32.77897,32.65228,32.59798,32.68848,32.14548,32.19978,31.62058,31.83778,31.69298,31.36718,31.09568,31.20428,31.05948,30.69748,30.89658,30.62508,30.48028,29.86489,27.2223,26.9508,26.2992,27.0232,26.5526,26.082,25.7743,25.2494,24.47111,24.30821,24.14531,23.45751,23.42131,22.35341,22.58871,21.57512,21.01402,20.70632,20.19952,21.88282,21.10452,20.34432,20.92352,20.05472,20.07282,19.20403,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,18.22663,19.87372,19.16783,18.40763,17.73793,19.54793,18.73343,18.24473,17.82843,16.67004,16.50714,16.21754,16.16324,16.05464,16.27184,15.80124,15.98224,16.05464,16.50714,16.79674,16.76054,17.21303,17.62933,18.49813,19.83752,20.72442,21.97332,22.26292,23.92811,25.2675,25.7743,26.6612,28.27209,29.05039,29.19519,30.62508,31.00518,32.03688,32.43508,32.63418,32.30838,32.45318,32.21788,31.54818,31.98258,31.62058,32.00068,32.00068,32.38078,32.09118,32.48938,32.65228,32.63418,31.92828,32.03688,31.80158,32.36268,31.22238,30.96898,30.26308,29.68389,29.86489,29.52099,29.79249,29.08659,28.85129,28.32639,28.07299,27.52999,27.2404,24.32631,23.04121,22.66111,21.70182,22.19052,22.24482,22.66111,22.26292,21.41222,21.77422,20.97782,20.30812,20.67012,19.47553,19.90992,19.27643,18.93253,18.11803,17.57503,19.11353,18.22663,17.35783,17.08633,15.92794,16.27184,15.52974,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,14.33515,15.89174,15.38494,14.78764,14.04555,15.92794,15.42114,14.86004,13.91885,13.91885,13.06815,12.81475,12.65185,12.68805,12.61565,12.39845,12.45275,12.45275,12.85095,12.70615,12.90525,13.08625,13.08625,13.12245,13.37585,13.70165,14.37135,14.37135,14.91434,15.85554,16.59764,17.90083,18.09993,19.04113,20.45292,21.70182,22.69731,22.95071,23.29461,23.76521,23.16791,23.65661,23.33081,23.71091,23.27651,23.16791,23.14981,23.29461,23.29461,22.96881,22.58871,22.71541,21.86472,22.17242,21.46652,21.52082,21.62942,21.39412,21.93712,21.28552,21.52082,21.50272,21.05022,21.17692,21.19502,20.77872,21.30362,20.32622,18.87823,18.49813,18.93253,18.57053,17.90083,18.76963,18.58863,18.48003,18.08183,17.90083,17.62933,17.71983,17.84653,17.26733,17.12253,17.17683,16.97774,16.52524,16.07274,15.87364,15.51164,16.77864,16.59764,15.69264,16.50714,15.71074,15.78314,15.09534,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,14.31705,16.21754,15.14964,14.02745,13.53875,15.49354,15.40304,14.49804,14.04555,13.17675,12.81475,12.38035,12.10885,12.10885,12.09075,11.60206,11.63826,11.81925,11.90975,12.10885,12.05455,12.10885,12.12695,12.23555,12.36225,12.90525,13.88265,14.09985,15.02294,15.11344,15.80124,16.57954,17.68363,17.77413,17.95513,18.29903,18.64293,19.72892,20.45292,22.10002,21.99142,22.29911,22.08192,21.93712,22.44391,22.76971,22.46201,22.73351,22.73351,22.31721,22.38961,21.99142,22.02762,22.10002,22.08192,22.15432,22.00952,22.29911,22.20862,22.13622,21.05022,21.17692,21.21312,21.57512,20.50722,20.36242,19.60223,19.16783,18.95063,19.18593,19.90992,20.41672,20.38052,20.97782,20.36242,19.69272,19.11353,18.64293,19.09543,18.66103,18.78773,18.26283,18.28093,18.35333,18.29903,17.24923,16.65194,15.63834,15.98224,17.33973,16.99584,16.18134,16.79674,16.28994,16.90534,16.56144,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,12.95955,14.89624,13.86455,12.77855,12.47085,14.42564,13.77405,13.41205,12.48895,12.19935,11.85545,11.58396,11.29436,11.07716,10.93236,10.60656,10.60656,10.58846,10.29886,10.31696,10.69706,10.67896,10.93236,11.29436,11.11336,11.18576,11.65636,11.65636,12.59755,13.84645,14.78764,15.18584,15.89174,16.41664,17.57503,18.67913,19.16783,19.38503,19.71082,20.07282,20.19952,20.32622,20.43482,20.56152,20.59772,20.54342,21.03212,21.23122,21.10452,20.72442,21.17692,20.61582,20.19952,20.39862,20.59772,20.50722,20.48912,20.50722,20.38052,20.27192,20.81492,20.54342,20.23572,20.86922,20.30812,20.70632,21.19502,20.43482,18.22663,18.46193,19.00493,19.04113,19.02303,18.55243,18.46193,17.61123,17.50263,17.33973,16.83294,16.01844,16.54334,16.88724,16.54334,16.09084,16.00034,15.62024,15.18584,14.64284,14.69714,15.72884,15.25824,14.44374,14.87814,14.40755,14.60664,13.77405,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,13.15865,15.00484,14.33515,12.79665,12.38035,14.26275,13.75595,13.23105,12.59755,11.94595,11.43916,11.18576,11.29436,10.71516,10.82376,10.89616,11.00476,10.82376,10.73326,11.18576,10.96856,11.24006,11.11336,10.96856,11.18576,11.54776,11.76496,11.67446,12.30795,12.68805,13.26725,13.33965,14.40755,14.02745,15.60214,16.09084,16.56144,17.53883,18.37143,19.27643,19.33073,20.18142,19.96422,19.98232,20.50722,20.65202,20.97782,20.86922,21.66562,20.88732,21.52082,20.77872,20.74252,20.85112,20.14522,20.16332,20.01852,20.18142,20.16332,20.23572,20.25382,20.09092,19.67462,19.74702,17.82843,17.59313,17.21303,16.74244,16.45284,16.67004,17.39403,17.91893,18.06373,17.84653,17.43023,17.14063,16.54334,16.85104,16.54334,16.16324,16.09084,15.69264,15.65644,14.87814,15.07724,14.22655,14.15415,14.02745,14.00935,15.60214,14.69714,13.86455,14.60664,13.82835,14.51614,13.12245,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,13.06815,14.80574,14.08175,13.01385,12.50705,14.62474,13.75595,13.10435,12.48895,12.01835,11.72876,11.20386,11.24006,11.74686,11.67446,11.52966,11.52966,11.14956,11.69256,11.51156,11.90975,11.71066,12.19935,12.30795,12.21745,11.98215,12.05455,11.94595,12.99575,14.31705,15.14964,15.74694,16.36234,17.43023,17.90083,18.02753,18.55243,19.20403,19.76512,20.83302,21.28552,21.39412,21.32172,21.61132,21.30362,21.95522,21.79232,22.33531,22.02762,22.48011,22.22672,22.24482,21.95522,21.66562,21.79232,21.41222,21.26742,21.55702,21.88282,21.59322,21.66562,21.46652,21.75612,21.24932,20.65202,20.41672,20.72442,20.43482,20.29002,20.76062,19.60223,19.69272,19.09543,18.71533,18.35333,17.99133,17.68363,17.03204,16.99584,16.81484,17.43023,17.08633,17.08633,16.21754,16.43474,15.81934,15.71074,15.40304,15.51164,16.88724,16.72434,15.67454,16.30804,16.10894,15.98224,15.90984,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,15.25824,17.30353,16.43474,15.09534,15.04104,17.15873,16.70624,15.89174,15.24014,14.86004,14.44374,14.06365,13.66545,13.50255,13.68355,13.88265,13.99125,13.95505,14.11795,14.51614,14.75144,14.89624,15.94604,16.81484,17.91893,18.38953,19.34883,19.27643,20.86922,22.19052,23.00501,24.47111,25.6295,26.1725,27.2766,28.10919,28.25399,28.90559,29.19519,29.68389,29.41239,29.75629,30.10019,30.53458,30.67938,31.18618,31.71108,31.40338,31.81968,31.83778,32.10928,31.63868,31.25858,31.02328,30.76988,30.95088,30.22688,30.31738,30.55268,29.86489,29.79249,30.10019,29.52099,29.08659,28.61599,28.97799,27.87389,28.25399,28.09109,27.89199,26.1001,25.9734,25.1227,25.3218,24.61591,23.96431,23.63851,23.00501,22.95071,22.58871,22.60681,22.00952,22.64301,22.04572,21.82852,21.46652,20.85112,20.16332,19.74702,21.12262,20.56152,19.33073,19.51173,18.60673,18.95063,18.04563,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,17.21303,19.25833,18.51623,17.43023,16.95964,18.64293,18.20853,17.39403,16.79674,16.28994,16.09084,15.45734,14.91434,14.80574,15.07724,15.18584,15.20394,15.22204,15.27634,15.76504,16.41664,16.90534,17.39403,18.29903,19.07733,19.51173,20.30812,20.27192,21.37602,23.18601,23.98241,24.56161,25.8829,26.7517,28.07299,28.09109,28.68839,28.97799,29.41239,29.93729,29.77439,29.86489,31.38528,31.07758,31.53008,31.49388,32.03688,32.14548,31.94638,32.05498,31.65678,32.00068,32.16358,32.00068,31.89208,31.76538,32.12738,32.09118,31.91018,31.87398,31.71108,31.36718,30.95088,30.22688,30.08209,29.99159,29.30379,29.21329,28.90559,28.23589,25.539,26.2087,25.6476,25.7562,24.70641,24.01861,23.74711,23.36701,22.93261,22.67921,22.75161,22.40771,22.53441,22.00952,21.84662,20.95972,20.07282,19.78322,19.18593,20.70632,20.30812,18.95063,19.16783,18.60673,18.93253,17.48453,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2009,16.90534,18.87823,18.09993,16.92344,16.16324,18.29903,17.97323,17.19493,16.50714,15.76504,15.65644,15.38494,14.93244,15.18584,14.71524,14.75144,14.84194,14.87814,15.18584,15.14964,15.60214,16.48904,17.12253,18.26283,18.87823,19.81942,20.30812,20.63392,21.50272,22.24482,23.43941,23.47561,25.0141,25.901,26.8784,27.69289,27.80149,28.32639,28.45309,28.48929,28.76079,28.85129,29.06849,29.14089,29.53909,29.33999,29.44859,29.95539,29.91919,29.93729,29.70199,29.46669,29.84679,30.00969,30.58888,30.40788,30.10019,29.82869,29.64769,29.59339,29.77439,29.41239,29.14089,29.05039,28.05489,28.12729,27.52999,27.89199,27.2042,27.1499,27.89199,28.48929,28.54359,28.39879,27.1499,27.4938,26.6974,25.6657,25.5933,24.77881,24.77881,24.18151,24.72451,23.45751,22.58871,20.85112,20.32622,19.80132,19.20403,20.88732,20.21762,18.95063,19.52983,18.06373,18.96873,18.02753,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
