year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2015,13.01061,13.43567,12.40074,13.06605,13.80529,12.41922,11.01467,9.97973,8.90783,8.16859,7.28151,6.63467,6.33898,6.19113,5.95088,5.80303,5.65518,5.76607,5.80303,5.95088,6.52379,7.02277,7.54024,8.15011,9.12961,10.31239,11.49517,10.79289,9.64707,9.85036,9.96125,9.73948,9.70252,9.62859,9.36986,8.79695,8.66758,8.57518,8.18708,8.16859,8.00227,7.90986,7.61416,7.50328,7.54024,7.39239,7.24454,7.33695,7.13366,7.1891,7.11518,7.04125,7.26303,7.0967,7.26303,7.46632,7.4848,7.4848,7.63265,7.70657,7.55872,7.35543,7.66961,7.79897,7.9653,8.31644,8.37188,8.57518,8.88935,9.721,10.8853,11.62454,11.79087,11.99416,12.21593,12.23441,11.67998,11.55061,11.29188,11.14403,10.95922,10.73745,10.62656,10.4972,10.18302,9.97973,9.85036,9.40682,10.01669,10.70049,10.36783,9.88733,9.38834,10.46024,12.03112,11.60606,0,8.99585639175258
2015,13.01061,13.41719,12.36378,13.17694,13.86074,12.56707,11.38428,10.14606,9.12961,8.03923,7.26303,6.83796,6.28353,6.0248,5.95088,5.78455,5.56278,5.56278,5.56278,5.96936,6.63467,7.02277,7.37391,8.00227,8.87087,9.94277,10.84834,10.47872,9.35138,9.70252,9.85036,9.59163,9.57315,9.44378,9.12961,8.98176,8.85239,8.70454,8.37188,8.39037,8.16859,7.83594,7.79897,7.66961,7.55872,7.41087,7.55872,7.8729,7.89138,7.70657,7.63265,7.79897,7.72505,8.00227,7.98378,7.98378,7.83594,7.4848,7.55872,7.59568,7.4848,7.61416,7.61416,7.83594,8.15011,8.3534,8.44581,8.85239,9.4253,10.42327,11.16251,11.84631,11.93871,11.79087,11.7539,11.71694,11.51365,11.19948,11.16251,11.10707,10.82986,10.51568,10.42327,10.27543,10.07214,9.75796,9.721,9.29593,10.25695,10.82986,10.62656,10.09062,9.49922,10.75593,12.25289,11.90175,1,9.067895876288663
2015,13.1215,13.56504,12.47466,13.15846,13.95314,12.69643,11.31036,10.1091,9.16657,8.24252,7.46632,6.91189,6.44986,6.04328,5.89543,5.74759,5.6367,5.58126,5.50733,5.98784,6.09872,5.91391,6.20961,6.72708,7.15214,7.55872,8.03923,7.83594,7.9653,8.44581,8.87087,9.00024,9.27745,9.27745,9.16657,9.35138,9.4253,9.4253,9.36986,9.14809,9.0372,8.83391,8.66758,8.87087,8.57518,8.70454,8.59366,8.63062,8.63062,8.7415,8.88935,9.05568,8.75999,8.55669,8.39037,8.55669,8.48277,8.44581,8.44581,8.9448,9.22201,9.48074,9.55467,9.85036,10.40479,10.82986,11.3658,12.08656,12.71492,13.58352,14.24884,14.9696,15.20985,15.062,14.72934,14.24884,13.86074,13.5096,13.28783,12.93669,12.45618,12.19745,11.9572,11.73542,11.42125,11.18099,11.14403,10.84834,11.67998,12.25289,11.93871,11.25492,10.73745,12.12352,13.602,13.02909,2,9.894988350515462
2015,14.52605,14.82175,13.73137,14.63694,15.37618,14.13795,12.86276,11.58758,10.51568,9.51771,8.92631,8.11315,7.33695,6.93037,6.46834,6.33898,6.13569,6.08024,5.96936,6.11721,6.50531,6.93037,6.56075,6.52379,6.67163,7.17062,7.37391,7.31847,7.33695,7.85442,8.13163,8.7415,9.31441,9.49922,9.73948,9.90581,9.96125,9.96125,9.86884,9.59163,9.44378,9.12961,8.70454,8.50125,8.37188,8.03923,8.11315,8.00227,8.00227,8.00227,7.66961,7.63265,7.42935,7.31847,7.35543,7.39239,7.59568,7.50328,7.59568,7.59568,7.59568,7.83594,8.11315,8.44581,8.72302,9.24049,10.05365,10.8853,11.71694,12.88124,13.97162,14.9696,15.39466,15.46858,15.3577,14.95111,14.61846,14.11947,13.8977,13.63896,13.39871,13.17694,12.77036,12.53011,12.10504,11.90175,11.60606,11.05163,11.69846,12.10504,11.73542,10.86682,10.33087,10.33087,10.33087,10.33087,3,9.851950309278353
2015,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,10.33087,9.59163,9.59163,9.36986,9.20353,8.96328,8.77847,8.55669,8.50125,8.42733,8.24252,8.20556,7.83594,7.74353,7.90986,7.94682,7.90986,7.8729,7.85442,7.9653,8.02075,7.89138,7.89138,8.18708,8.18708,8.18708,8.39037,8.77847,9.00024,9.09264,9.46226,10.07214,10.95922,12.25289,13.62048,14.34124,14.74782,15.00656,15.28377,15.19137,14.89567,14.61846,14.43365,13.95314,13.49112,13.17694,12.99213,12.77036,12.25289,11.88327,11.67998,11.07011,11.62454,11.99416,11.51365,10.75593,10.34935,11.55061,13.01061,12.51162,4,10.430979175257734
2015,13.9901,14.43365,13.38023,14.13795,14.98808,13.69441,12.47466,11.12555,10.14606,9.22201,8.42733,7.85442,7.46632,6.83796,6.63467,6.3205,6.22809,6.22809,6.43138,6.87493,7.44784,7.81746,8.40885,9.35138,10.9777,12.12352,13.28783,12.51162,11.56909,12.0496,12.0496,11.86479,11.84631,11.67998,11.21796,10.73745,10.34935,9.75796,9.46226,9.35138,9.24049,8.87087,8.66758,8.53821,8.53821,8.31644,8.05771,8.05771,7.8729,7.68809,7.4848,7.35543,7.35543,7.59568,7.61416,7.41087,7.52176,7.55872,7.41087,7.61416,7.66961,7.68809,7.68809,8.02075,8.29796,8.53821,9.01872,9.59163,10.27543,11.32884,12.4377,13.02909,13.43567,13.86074,13.86074,13.73137,13.47264,13.34327,13.1215,12.97365,12.47466,12.28985,12.06808,11.64302,11.19948,10.99618,10.75593,10.46024,11.05163,11.56909,11.10707,10.36783,9.96125,11.19948,12.75188,12.25289,5,10.08309969072165
2015,13.602,14.10099,12.91821,13.80529,14.59998,13.30631,12.01264,10.90378,9.73948,8.85239,8.00227,7.31847,6.87493,6.46834,6.0248,5.98784,5.85847,5.76607,6.17265,6.76404,6.94885,7.28151,8.15011,9.00024,9.94277,11.3658,12.64099,12.01264,11.01467,11.01467,11.01467,10.86682,10.57112,10.23846,9.86884,9.721,9.35138,9.05568,8.79695,8.51973,8.16859,8.03923,7.9653,7.72505,7.55872,7.42935,7.33695,7.28151,7.44784,7.61416,7.70657,7.59568,7.66961,7.52176,7.50328,7.72505,7.78049,7.78049,7.78049,7.78049,7.74353,7.68809,7.81746,8.05771,8.31644,8.46429,8.81543,9.57315,10.33087,11.64302,12.84428,13.67593,13.95314,14.30428,14.69238,14.45213,14.19339,13.84226,13.71289,13.47264,13.28783,12.75188,12.4377,12.08656,11.62454,11.58758,11.31036,10.82986,11.43973,11.88327,11.49517,10.99618,10.33087,11.49517,12.91821,12.28985,6,9.91984051546392
2015,13.58352,14.13795,13.06605,13.91618,14.74782,13.38023,12.17897,10.9777,10.1091,9.07416,8.16859,7.63265,7.05974,6.801,6.48682,6.33898,6.17265,6.08024,6.17265,6.67163,7.15214,7.65113,8.37188,8.98176,10.34935,11.53213,12.65947,12.21593,11.01467,11.25492,11.25492,11.12555,11.19948,11.03315,10.5896,10.2015,9.70252,9.29593,9.16657,8.87087,8.7415,8.24252,7.92834,7.90986,7.83594,7.59568,7.54024,7.4848,7.28151,7.46632,7.24454,7.24454,7.42935,7.52176,7.37391,7.50328,7.44784,7.33695,7.42935,7.61416,7.39239,7.55872,7.8729,8.11315,8.18708,8.68606,8.7415,9.11112,10.03517,10.95922,11.99416,12.56707,12.91821,12.99213,13.25086,13.34327,13.30631,12.99213,12.97365,12.62251,12.27137,12.12352,11.92023,11.56909,11.18099,10.9777,10.62656,10.36783,11.12555,11.64302,11.25492,10.4972,9.70252,11.07011,12.65947,12.10504,7,9.817167216494845
2015,13.45415,14.00858,12.75188,13.58352,14.32276,13.15846,12.0496,10.8853,9.75796,8.75999,8.00227,7.4848,7.02277,6.69012,6.20961,6.0248,6.0248,6.0248,6.09872,6.65315,6.93037,7.17062,7.68809,8.29796,9.35138,10.60808,11.93871,11.29188,10.25695,10.60808,10.75593,10.81137,10.40479,10.21998,9.86884,9.46226,9.09264,8.96328,8.70454,8.50125,8.46429,8.29796,8.16859,8.07619,7.94682,7.85442,7.59568,7.4848,7.33695,7.54024,7.42935,7.15214,7.11518,7.11518,7.28151,7.37391,7.63265,7.59568,7.29999,7.28151,7.28151,7.28151,7.42935,7.72505,7.81746,8.31644,8.77847,9.35138,9.92429,10.66353,11.55061,12.08656,12.58555,12.77036,13.02909,12.84428,12.49314,12.17897,12.0496,12.03112,11.62454,11.47669,11.2734,11.07011,10.60808,10.57112,10.36783,10.07214,10.9777,11.53213,11.3658,10.82986,10.2015,11.56909,13.13998,12.71492,8,9.562074639175261
2015,14.02707,14.54453,13.23238,14.17491,14.78479,13.34327,12.01264,10.77441,9.46226,8.72302,7.9653,7.24454,6.801,6.61619,6.37594,6.28353,5.87695,5.76607,5.87695,6.15417,6.20961,6.20961,6.43138,6.63467,7.05974,7.61416,8.24252,8.40885,8.15011,8.55669,8.83391,9.07416,9.20353,9.20353,9.12961,9.31441,9.4253,9.22201,9.38834,9.25897,9.00024,8.81543,8.72302,8.3534,8.29796,8.07619,8.09467,8.00227,7.81746,7.83594,8.18708,7.61416,7.35543,7.54024,7.50328,7.52176,7.66961,8.13163,8.31644,8.31644,8.31644,8.3534,8.46429,8.7415,8.87087,9.09264,9.62859,10.47872,10.94074,11.73542,12.38226,12.78884,12.67795,12.64099,12.41922,12.36378,12.19745,11.88327,11.64302,11.25492,10.94074,10.73745,10.36783,10.23846,9.92429,9.62859,9.36986,9.07416,9.86884,10.46024,10.27543,9.73948,9.40682,10.73745,12.4377,12.14201,9,9.360900412371134
