year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00,averagemwh
2022,11.185589477,12.026244814,11.45985372,11.241097975,12.084406313,10.912635184,9.8468535416,8.8828060832,8.0612972096,7.4700998322,6.9137812427,6.4419004124,6.2280909733,5.9593431742,5.6336365076,5.4910830825,5.2485989212,5.2485989212,5.2485989212,5.2485989212,5.3702245192,6.1731905732,6.5132550778,6.3339307263,6.5093674553,6.7497891021,7.8576294867,7.7741894973,7.2260640077,7.3845737649,7.7339409491,7.7661009073,7.7550660793,7.3184689182,7.3421319677,6.8484587329,6.987920567,6.8549268364,6.832736444,6.9153558224,6.6708295126,6.7069001021,6.2787565304,6.6020498209,6.1083941061,6.4275445888,6.75190669,5.9652063397,6.5790027795,6.0443031505,6.4515021327,5.7535935871,5.9275371452,5.9784013359,5.4103414642,5.8435537225,6.4917768315,6.2049186494,5.6736615098,6.3213191562,6.338976866,6.338976866,7.1203294115,7.5779368064,7.4833592716,7.8904002784,8.2799923551,8.5924860065,8.7681020011,9.3365691381,10.180795703,10.48514632,10.657257803,10.401655951,10.229079487,10.110826114,9.9541254783,9.7165922058,9.3031634323,9.1270919924,8.9704037022,8.8601729233,8.704542577,8.4946460793,8.2231783416,8.1603390105,8.1464981225,8.1569940082,8.5375818362,9.4745617526,9.6281401,9.3005498148,9.2589720405,9.7628515455,11.260981313,11.170011672,7.804950251496874
2022,11.645883545,12.402707225,11.624140262,11.786837626,12.511570559,11.502612799,10.620280462,9.5352948801,8.6363085733,7.914934854,7.1357019848,6.6154778623,6.2835339197,5.8813082806,5.6182185635,5.6182185635,5.6018795272,5.2855608854,5.2855608854,5.2855608854,5.2855608854,5.2855608854,5.2855608854,5.2855608854,5.8267239422,6.9635985966,6.6755923574,6.5607486514,6.3110092447,6.2465719555,6.4430324465,6.0937256767,6.6664996957,6.9135335236,6.4850045495,6.5472528958,6.0931983958,5.7475854383,5.7475854383,5.7969615403,6.0486088497,5.4586752018,5.5757343524,5.1883199269,5.0978653513,4.6334816086,4.4166279821,5.0035470122,5.3538189883,4.7485315438,4.2664302499,4.2109854924,4.8115804862,5.4759201759,5.7034178316,5.9865700408,6.3020149018,5.8603745026,4.7723733783,5.7803752099,5.9796492642,6.4673185084,6.64015038,7.1144402433,7.4818518887,7.9142900711,8.1010411715,8.6762380843,9.0217102536,9.6044633192,10.217453138,10.592227847,10.590718265,10.867061563,10.512520942,10.325094805,10.070829813,9.8485657122,9.3026906518,9.1835244844,9.0741622193,8.8105274056,8.6962216442,8.4260460043,8.2641563896,7.9468223102,7.9468223102,7.7619983326,8.4709045041,8.8933418138,9.2233118766,8.9125116376,8.8265912601,9.1949245152,10.763478615,10.505773757,7.437261959590631
2022,10.962249765,11.922818955,11.409691899,11.381417955,12.254470898,11.294498847,10.265317329,9.4757754171,8.5729162173,7.7430992368,7.0003823857,6.5100094847,6.2625465468,5.9693572237,5.7894404089,5.6182185635,5.9593675876,6.2137221206,5.858471331,5.9422411875,6.1281367849,6.2465719555,6.5283599356,6.9488492759,7.6723618177,8.5530541699,9.0615751181,9.6830862221,9.3718832271,8.7918162799,9.9119613763,9.5436660627,9.3836444871,9.1462169073,8.6581670843,8.3295532668,8.035082879,7.6984848338,7.0035114932,6.4677120055,6.1185415144,5.6726631672,5.8282530772,5.4934738747,5.2977148478,4.6661630077,4.6017645471,4.7074699248,5.0537798001,5.2692788629,5.1502649973,5.3665935791,5.5990336593,5.575113373,5.8104641339,5.7814906296,5.8381616003,6.2180638947,6.339085793,6.9093245908,7.0863562656,7.034285618,7.3650558519,7.9179231549,7.9068380955,8.1201216952,8.5672252391,8.902290176,9.308627926,10.082151447,10.443854631,11.038834456,11.050765297,11.199289743,11.029340664,10.946698961,11.083354255,10.910285605,10.750665991,10.181248783,9.7764395398,9.5145950712,9.3225116345,9.2602720852,8.9968706863,8.8673765884,8.8515694163,8.4882097446,9.0665881584,9.6083183042,9.6002041181,9.1609359747,9.0926432014,9.7082189717,11.067976266,11.054657817,8.158635508852086
2022,11.325715499,12.157785792,11.478764939,11.402747781,12.305580701,11.453405114,10.592232246,9.5879232837,8.7350232608,7.8531192954,7.0579051818,6.5406233979,6.3944198124,6.1266594151,5.8776150781,5.6233669031,5.4149277602,5.4149277602,5.4149277602,5.6698182602,5.8055742693,6.2278614396,6.6120174832,6.9691382525,7.7035458692,8.310655557,9.1213590623,10.066692863,9.5032742684,9.5318824406,9.3972224277,9.2392247415,9.2258732668,9.1689094465,9.0013387225,8.8539656604,9.0618058347,9.0407868593,8.8514563312,8.5297354765,9.1543633427,9.1378500308,9.0572372805,8.5590390142,8.3589819392,8.601298977,8.107012266,8.3045239553,8.5488819218,8.5397807219,7.9464827776,7.8359364175,7.8720398108,7.7896808848,8.2911080744,8.4217353152,8.4212406718,8.4842435411,8.6198764483,8.8043906846,8.579790311,8.5835673432,8.3124553644,8.1697687099,8.3358621382,8.7661670238,9.0285553322,9.6173722482,9.8870904837,10.671242547,11.076457614,11.748336602,11.774962855,11.716942662,11.978999606,11.879846199,11.697800523,11.331649391,11.025904532,10.704603011,10.378026925,10.423142255,10.224734368,9.9237315627,9.6535195338,9.2191046071,9.056313065,8.7599855233,9.2229703481,9.7649922162,9.653027607,9.2688621566,8.9632231199,9.0583366586,10.201502128,10.201502128,9.003811065496874
2022,10.785129123,11.737946317,10.983215885,10.935720999,11.919744828,10.918046397,9.9558115168,8.9743042798,8.2691365522,7.241817936,6.6388600008,6.236349385,5.8954332952,5.8339189767,5.4435560397,5.1931559748,5.1931559748,5.1931559748,4.9729340046,5.0743187135,5.357764604,5.8509019273,6.0417178274,6.5413727093,8.1981636485,9.1149911627,9.7504743513,9.6963251476,8.9166779533,8.9143864593,8.8398996741,8.6949674878,8.6675806128,8.6675806128,8.5607178081,8.2794799883,7.9869095748,7.7902645697,7.770449427,8.3998577134,8.9052153644,9.1020042255,9.1440975453,8.2877772285,8.2064650285,8.8686968328,8.6856966509,8.4226101495,7.7559413016,7.8249575498,8.1167235231,8.0674548326,7.6563926228,7.9220601967,8.6488511354,8.4348599728,7.9512798677,7.2603543426,7.790023744,7.6254744203,8.2135143404,8.5690500513,8.7937071061,9.0741622193,9.2111499119,9.1772185331,8.9614528636,9.3975545125,10.186808288,10.725785248,11.270001751,11.46553555,11.566051948,11.564965747,11.725085697,11.48062383,11.288306757,10.946189034,10.57411447,10.14018868,10.136886701,10.037917401,9.8180611695,9.8661736343,9.4403432901,9.4241650384,9.0889939467,8.6605796656,9.1065452615,9.7948480764,9.9160335868,9.5581029993,9.2817650978,9.6997378642,10.702830925,10.71241812,8.788437513372918
2022,11.254083101,11.949309798,11.24729487,11.261327683,11.995527943,11.159814994,10.094482088,9.1937944216,8.3862424043,7.6296204992,6.9028186937,6.4810671393,5.9926166486,5.9197368217,5.8351226061,5.4303057854,5.1931559748,5.1931559748,5.1931559748,5.1931559748,5.6484671262,6.9056694037,6.8348122833,6.894149265,7.4703950659,8.3818907244,8.7876512579,8.9616248106,8.4888427552,8.680648737,8.8339094518,9.0977794175,9.5402332757,10.249135991,10.102093221,10.031122554,9.5430430318,9.5430049425,9.4712580922,9.0992903672,8.9378641631,8.5348171737,8.0998942972,8.3942511933,8.2364878459,7.5836165112,7.3608283457,8.182656663,7.8052359024,7.3729640674,7.2511309465,7.5882788934,7.0643348818,6.60780454,7.0732325506,7.9491475504,7.7661019608,7.4090532673,7.1425397264,7.7653429653,7.6030260703,7.5300278727,7.5716897909,7.9744306798,8.2536004407,8.8228909424,9.0165774565,9.2242438171,9.48951928,10.099185535,10.684583691,10.805419153,10.674359438,10.786545246,10.78975397,10.789991321,10.499465034,10.019601029,10.070307281,9.8687987838,9.6275094735,9.5820195155,9.5919339156,9.3717214261,8.9774246088,8.6696441992,8.6586043997,8.5807295145,8.9806086603,9.7246275335,9.6206743007,9.2119682498,9.222182319,9.5994054809,10.93748876,10.813338697,8.64521138022604
2022,11.299922646,12.025154584,11.326754075,11.212381985,11.994289718,11.265565594,10.489747419,9.3376751509,8.3746407829,7.5231914247,6.9079253402,6.4621321164,6.0112757874,5.8500865094,5.6736615098,5.5551226425,5.4024172442,5.6736615098,5.9167794949,6.2857935524,6.5619379026,6.6624073409,6.4883013535,6.6812560022,7.2434206992,8.2707336972,8.5570436964,8.8977180919,8.5250679197,8.5793900129,8.8567238546,8.8209257672,8.6191240506,8.7775887512,8.4140340682,7.9020551989,7.6133723894,7.7978199833,8.4357748923,7.1562278507,6.6206507446,6.7818722164,7.0744880931,6.7094989347,6.3255625376,6.2968956328,7.2112808113,6.016806905,7.2684874902,6.570198606,7.5069303597,7.0356123307,6.9157916779,7.2783431947,7.1851718038,6.0611105133,7.0141497194,7.5629447565,7.8014836717,7.7276397843,7.4447488037,7.748302317,8.1686031883,8.6043591504,8.7097272317,8.8720100294,9.1206673746,9.3386315787,9.4988377793,10.189218041,10.688814043,10.871866951,11.106158382,11.173948121,11.341572385,10.987442227,10.876072372,10.563723094,10.298329593,9.8343460565,10.015229002,9.8993164481,9.5344725503,9.2423332981,9.3244582178,8.9635233065,8.926794831,8.8474799076,9.2788250692,10.054432321,9.9037823774,9.4413316531,9.2035290941,9.4615637822,10.704397004,10.633010884,8.450894592271872
2022,11.283719278,12.305973699,11.657989438,11.853419651,12.360302981,11.169649094,10.156223353,9.3180324912,8.3292070441,7.4674215683,6.7730149285,6.404449811,5.9611080525,5.7660664204,5.7126944529,5.4334087423,5.4334087423,5.2645110468,5.1007510642,5.1007510642,5.3655210722,5.4334087423,5.9934606381,6.9571294212,6.7270774905,6.7270774905,6.7851659894,7.0607346016,7.1959063345,7.7658264093,7.9718152881,7.9759869078,7.9357746378,7.8866751592,7.5280848377,7.1942626729,6.8049825921,6.7822990532,6.6205309324,6.3213815665,6.1522847569,5.8657990774,5.6860885473,6.0723294305,6.3365681288,6.2296846624,6.5820454145,7.1252277034,6.8878628481,5.4687340123,5.3048678565,5.242152847,5.8610507586,4.7369426189,4.612393385,4.9318342778,6.3630168167,6.7969571148,6.8795107748,6.5113681325,6.7835720417,7.2451271407,7.4444953555,7.5279574113,7.7284649602,8.5146185876,8.8065765598,9.088007358,9.426238235,9.6139458741,10.109097218,10.581498177,10.757603345,9.9444990119,9.1876255068,9.171617317,9.9242873967,9.5981505853,9.2035290941,9.1301740658,8.8893523982,8.6427920714,8.417214368,8.2096338701,8.2472181074,8.1513679722,8.1176858463,8.1501131135,8.7951722229,9.4308735055,9.6285916828,9.501549808,9.3144149868,9.7873210866,10.774412574,11.007617804,7.7748368810770865
2022,11.45552601,12.37318977,11.806417838,11.557366072,12.449315153,11.595203628,10.601026661,9.8145108065,8.8823652748,8.0689525314,7.5587216858,7.0267655031,6.6236139298,6.0736106616,5.858471331,5.5189459906,5.5073326708,5.4421978908,5.2808389945,5.4703707066,5.4703707066,5.4703707066,5.4703707066,5.6490635629,6.4111910449,6.5314229366,6.5550473794,6.5413116666,6.5422676693,6.5642803302,6.6161915978,6.8366094665,7.2519717572,7.281506954,7.2844000224,7.9072493528,8.0022652566,8.0022652566,8.0022652566,8.2005204542,8.2630205484,8.3638928351,8.5382983254,8.5423848956,8.5081224115,8.390365881,8.390365881,8.390365881,8.180684003,7.9545111195,8.0577082029,8.0577082029,7.9186822243,7.593543774,7.3281461149,7.205119141,7.4108738288,7.603200235,7.7435315069,7.7435315069,7.7435315069,7.4660164777,7.7305611101,7.9837842744,8.1056945165,8.751511993,9.0259883607,9.0314689329,9.1413461336,9.9496529328,10.75450486,10.922674035,10.977703377,11.186857439,11.255027147,11.191732407,10.829774685,10.472201981,10.477859823,10.227121298,9.90442461,9.7576192099,9.6017613257,9.2639184938,9.3580116237,9.0274443294,8.8531443286,8.815502024,9.258283513,9.8943730996,9.8973552278,9.402684907,9.1858124855,9.415900029,10.87775453,10.885298467,8.462125450077083
2022,11.417874779,12.382951425,11.954466528,11.917262038,12.654749381,11.674789778,10.787520765,9.9578329851,8.8606584557,8.1635805748,7.5170271116,6.9342234267,6.5792296336,6.2829373536,6.4835457902,6.567769133,6.1763250032,5.5462596624,5.5730392154,6.0601710326,6.2405041316,6.6907412923,6.8470104338,7.6255511163,8.5812441359,9.4889470164,10.130030146,10.31485416,9.5460829686,9.6701252506,9.6033810359,9.1067460019,9.1731364907,9.067466615,8.6179475512,7.9695237757,7.724595523,7.169757944,6.7455584726,6.6167530131,6.3654379917,6.1709140119,6.000526472,5.6658355532,5.4284320356,5.5023590319,5.3242895391,5.2638394479,5.2153206232,5.2475184305,5.4368533387,6.0299380494,6.6226147001,6.0397976719,5.8883744656,6.0727091592,5.8970837578,6.118088601,6.327486722,7.1035954366,7.1270004731,7.1356297796,7.4587835942,7.7700820251,8.0001124624,8.4637088968,8.5698012662,9.1053296564,9.5063166631,10.124521815,10.827293945,11.173926683,11.419213393,11.44141772,11.261393346,10.727229296,10.677959922,10.47871686,10.283365819,10.187076391,10.256945075,10.080403922,9.9371472033,9.8572705505,9.5656563246,9.2313954582,9.1636205221,8.8839388565,9.3840382614,10.053853478,10.013948861,9.8257660203,9.465929101,9.8237938407,11.306423867,11.139105963,8.415326078096873
