year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2023,12.29701,12.80107,12.29072,12.09289,12.73751,12.02199,11.02102,10.037,9.2607,8.64388,7.90819,7.48148,7.01689,6.58678,6.22809,6.10547,5.89543,5.89543,5.7823,5.58126,5.58126,5.58126,5.81375,5.91391,5.98011,6.24657,6.24657,6.5806,6.25243,6.24657,6.41705,6.65315,6.59272,6.35746,6.35746,6.23755,6.23712,5.96978,5.70383,5.904,5.29026,4.81299,4.52123,4.15788,3.69574,4.05145,3.66757,3.32831,3.16025,3.16025,3.16025,3.16025,3.5299,3.46969,3.85451,3.71187,3.65923,3.89368,4.06582,4.36829,4.66991,5.16174,5.7637,6.36432,6.81973,7.27103,7.72502,8.28939,8.55669,9.15591,9.8428,10.33552,10.5896,10.38799,10.16853,9.90581,9.85541,9.50535,9.27745,9.03872,8.9455,8.63062,8.62786,8.31644,8.17363,8.00227,8.00227,7.70397,8.18864,9.24428,9.76593,9.10039,8.63062,9.12557,10.74662,10.8677,7.167027187500001
2023,11.22612,12.16757,11.76551,11.73834,12.5503,11.67272,10.93054,9.85464,9.24374,8.54443,8.19459,7.52413,7.06534,6.65315,6.49947,6.53442,6.44836,7.28471,6.98669,6.58573,6.63196,6.93834,7.13937,7.64264,8.19538,9.00262,9.8025,10.18376,9.36844,9.25481,9.42885,9.47115,9.34821,8.90655,8.25941,7.53453,7.28151,7.13463,6.71298,6.9973,6.29188,5.98694,5.8239,6.35648,6.44788,5.99226,6.66389,6.65011,6.18761,6.27202,5.88174,5.9958,5.71351,5.21579,5.14819,5.19838,5.54449,6.12199,7.08448,6.80941,6.87113,7.08396,7.50295,7.64592,8.18042,8.71565,8.83197,9.36162,9.39346,9.96688,10.62246,11.22811,11.32134,11.29511,11.33343,11.34575,11.24973,11.20835,10.99993,10.59036,10.43429,10.26028,10.10123,10.15905,10.11115,9.79133,9.73354,9.59097,9.60977,10.24978,10.27976,10.02648,9.81934,10.09428,11.28337,11.38095,8.580898854166664
2023,11.82257,12.31601,11.96692,11.99382,12.74174,12.04827,11.01579,10.25792,9.38855,8.57633,8.12005,7.63741,7.20409,6.53235,6.61364,6.63083,6.491,6.19675,6.23306,6.4699,6.75585,6.8712,7.17079,7.50328,7.79756,8.57313,9.19811,9.74503,8.88478,9.1347,9.75373,9.54701,9.00547,8.22831,8.02771,7.23689,6.85493,6.1655,5.64033,5.36834,5.19215,4.82435,4.3877,4.12126,4.12126,4.12126,3.98545,3.93659,3.87956,4.0072,3.91876,3.97764,4.01506,3.84404,3.84404,4.34508,4.67208,5.35356,6.12817,6.11967,6.34885,6.90615,7.10912,7.3408,8.00257,8.60103,8.89332,9.20241,9.51103,10.01093,10.64152,10.93188,11.07535,11.22556,11.16376,11.11395,10.76307,10.69481,10.56988,10.27543,10.11362,9.94961,9.56133,9.32176,8.92446,9.0698,9.00024,9.03441,9.46979,10.14926,10.1512,9.52445,9.37076,9.5485,10.70746,10.61087,8.0354528125
2023,11.32037,11.98259,11.40788,11.42736,12.16139,11.31178,10.43099,9.66649,8.60388,7.90302,7.47836,6.87239,6.59771,6.19473,5.9324,5.73575,5.59974,5.59974,5.59974,5.59974,5.80538,6.26505,6.30968,6.85284,7.58943,9.14684,10.07374,10.11729,8.87302,8.60929,8.54663,8.51973,8.45794,7.99484,7.76299,7.36738,7.00021,6.51655,6.13147,5.93046,5.74723,4.91512,4.6142,4.34081,4.71705,4.62025,4.75229,4.77524,4.69276,4.54632,4.6068,4.66408,4.78244,4.85282,5.0744,5.2318,5.5998,5.77604,5.98314,6.38078,6.75213,7.18524,7.86356,7.94759,8.48779,8.84868,8.78716,9.05804,8.9151,10.03865,10.59159,10.98772,11.36159,11.49863,11.36579,11.08741,10.64425,10.38084,10.22651,9.823,9.76345,9.60767,9.3705,9.3452,9.09559,8.89121,8.94427,8.9448,9.40464,9.93102,10.14601,9.8838,9.72985,10.05935,11.18174,11.06808,8.0123815625
2023,11.51036,12.26848,11.59316,11.38432,12.08232,11.20346,10.21329,9.28892,8.53413,7.85112,7.45684,6.91029,6.74691,6.50051,6.14928,5.82357,5.80303,5.80303,5.80303,6.03914,6.08703,6.20961,6.67104,6.87493,7.09553,7.9283,8.58648,8.87201,8.08792,8.48732,8.5956,9.31055,8.90357,8.62716,8.41998,8.1041,7.63972,6.32379,6.12183,6.7813,6.39946,5.43354,5.4316,5.89753,6.99149,6.4889,5.14548,4.56559,4.61529,4.88268,4.96751,4.99642,5.23356,6.78636,6.77588,6.65274,7.6396,8.27441,8.2266,7.96456,7.16073,6.79653,7.61256,7.5973,7.95035,8.3236,8.46772,8.7365,8.96664,9.33798,10.25531,10.92193,11.25167,11.28209,11.26856,11.15647,11.07155,10.98001,10.78885,10.33087,10.16657,10.05415,9.78544,9.53338,9.28016,9.23428,9.08798,9.14338,9.73311,10.33935,10.44551,10.02288,9.81589,9.80363,11.1337,11.08939,8.281126875
2023,11.58792,12.23855,11.72016,11.73466,12.30129,11.29532,10.34766,9.46157,8.83046,8.00937,7.47859,6.8118,6.43123,6.26566,6.00632,5.95311,5.82926,6.04328,6.04328,6.04328,6.30709,6.98934,8.00079,8.44811,8.41867,8.96051,9.69072,9.98543,9.17245,9.54137,9.45829,9.17205,9.05237,8.67462,8.39611,7.67122,7.11518,6.74383,6.46286,6.05895,5.83701,5.52581,5.21123,5.12002,4.64834,4.36704,4.13974,4.11517,4.19518,4.19518,4.19518,4.2494,4.4584,4.43567,4.66223,4.80805,5.04171,5.23113,5.28556,5.66892,5.96936,6.32719,6.87059,7.10721,7.56863,8.0045,8.43967,8.95405,9.75086,10.05809,10.70901,11.55347,11.80935,11.88069,12.11797,11.95729,11.92023,11.82023,11.62962,11.35008,11.09728,10.84834,10.9003,10.90716,10.71107,10.47763,10.41332,10.18126,10.69705,10.96142,11.001,10.83654,10.65809,10.92582,12.2953,12.32086,8.34556489583333
2023,12.77753,13.56258,12.90389,12.8015,13.29405,12.48885,11.63436,10.74655,9.71833,8.97162,8.31972,7.89928,7.47141,7.13283,6.78252,6.52058,6.11721,6.11721,5.95363,5.95132,6.17265,6.27874,6.52379,6.52379,6.92485,7.42213,7.85747,8.40883,8.11509,8.48269,8.77847,8.77847,8.77847,8.47866,8.1538,8.03324,7.45751,6.85,6.50385,5.91201,5.62317,5.20887,4.7609,4.59454,4.27583,4.2594,4.17483,3.68665,3.86062,3.72986,3.74702,3.34733,3.89462,3.72665,3.8112,4.12619,4.12209,4.70329,4.77013,5.07695,5.911,6.47205,6.53726,7.26539,7.33695,7.71387,8.18756,8.949,9.47208,10.26742,10.91901,11.60928,11.93291,12.03123,11.80935,11.72974,11.49075,11.36542,11.08504,10.72474,10.65677,10.46609,10.46024,10.23776,10.14606,10.02487,9.8134,9.8134,10.16563,10.54949,10.70049,10.5597,10.26323,10.57594,11.7696,11.88327,8.166620937500001
2023,12.41063,13.17252,12.72141,12.68305,13.38404,12.51948,11.71179,10.98087,10.27638,9.44069,8.71981,8.0598,7.68261,7.13225,6.86908,6.72708,6.4686,6.37594,6.37594,6.37594,6.37594,6.37594,6.57645,6.72708,6.72708,7.04771,7.42935,7.77372,8.07619,8.07619,8.34387,8.9395,8.9448,8.9448,8.70455,8.38266,8.05644,7.61416,7.44426,7.16331,6.35548,5.79214,5.40665,5.24647,4.82013,4.5648,4.42531,4.0313,3.77966,3.83666,3.64075,3.64075,3.92761,3.66131,3.64075,4.14863,4.30607,4.30607,4.80807,5.14861,5.26551,5.78863,6.27443,6.79348,7.42532,7.84558,8.52945,9.23433,9.64104,10.33147,11.04027,11.56909,11.91154,11.86479,11.88729,11.84631,11.75695,11.46993,11.16251,11.07917,10.76202,10.51568,10.51568,10.35814,10.0617,9.94338,9.89852,9.91552,9.60142,10.3263,10.41183,9.88087,9.8134,9.98822,11.16206,11.6776,8.23800583333333
2023,12.60681,13.15617,12.62069,12.75986,13.47442,12.64458,11.98018,11.17348,10.36258,9.5051,8.78402,8.20721,7.81543,7.4719,7.22606,7.11954,6.76436,6.85741,6.88653,6.76453,7.03458,7.44477,7.66961,7.94665,8.41007,9.24868,10.07826,10.6437,9.96067,10.3903,10.43051,10.34754,10.03218,9.97615,10.11421,10.30978,10.78928,10.35122,9.66261,9.17643,9.35138,9.35138,9.41847,8.88207,8.39709,8.67577,8.52886,8.96493,8.19641,8.25754,8.70912,8.70602,9.55654,10.00211,9.77329,9.79662,9.5614,9.53543,9.49559,9.35279,9.54519,9.86566,10.31528,10.64548,10.47046,10.98492,11.06448,11.51105,12.16948,12.51116,13.40271,14.10947,14.239,14.20576,14.29286,13.80049,13.54914,13.22196,12.85616,12.47633,11.99653,11.60464,11.42673,11.10707,10.92726,10.47721,10.14606,10.09299,10.49307,10.80287,10.92284,10.48923,10.31221,10.70061,12.07243,11.90783,10.285703020833337
2023,12.43761,13.02649,12.47725,12.60011,13.34181,12.38989,11.4501,10.607,9.88694,9.00912,8.32223,7.77824,7.37641,7.14258,6.65563,6.22787,6.19113,6.19113,5.96066,5.85847,6.23131,6.8471,6.94885,7.40748,8.22751,9.40148,10.68481,10.72566,9.95828,10.34665,10.47109,10.65807,10.47872,10.11934,9.85709,9.53642,9.02436,8.29603,8.04353,8.28015,8.68851,8.91338,8.28356,8.46379,8.31508,7.06747,7.5922,7.60546,7.98207,8.03397,7.8301,8.3457,7.98575,7.28416,5.87096,6.11763,7.66329,8.17523,7.82766,7.89483,8.06927,8.22542,8.27171,8.37443,9.14809,9.55781,10.05672,10.54718,10.92584,11.6818,12.33067,12.97659,13.08457,13.19784,13.02501,12.77524,12.69136,12.46476,12.16166,11.90176,11.39034,11.36297,10.99313,10.74547,10.48514,10.16864,10.08702,9.69457,10.43277,11.19496,11.34732,11.06505,10.88514,10.94149,11.84631,12.08187,9.568805416666669
