Year,index,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015,0,0.0,31.4,20.9,28.8,9.464249072164952
2015,1,0.0,26.0,20.4,31.5,9.59740546391752
2015,2,1.6,12.4,18.6,23.9,9.714558144329898
2015,3,0.0,23.8,19.8,26.6,8.444684639175254
2015,4,0.0,31.1,20.4,28.4,9.360900412371134
2015,5,0.0,31.8,18.3,27.7,9.56207463917526
2015,6,0.0,24.4,19.3,32.5,9.817167216494845
2015,7,0.0,13.7,20.4,27.9,12.434124020618556
2015,8,8.4,3.0,18.9,20.5,13.08571927835052
2015,9,20.6,11.4,18.7,21.6,13.789468659793812
2015,10,2.0,21.3,17.6,27.4,13.658563608247428
2015,11,0.0,30.8,19.5,31.5,11.594467319587627
2015,12,0.0,26.6,19.5,26.7,11.54975432989691
2015,13,0.0,28.7,18.5,27.4,12.093928041237112
2015,14,0.0,32.1,19.5,33.4,10.89077371134021
2015,15,0.0,29.9,18.6,26.7,10.45279742268041
2015,16,5.6,3.2,17.9,19.9,11.535901958762889
2015,17,20.6,22.7,16.1,24.5,11.066267731958764
2015,18,0.2,27.7,18.2,27.1,11.775872371134025
2015,19,0.0,28.2,20.1,27.1,11.91507226804124
2015,20,0.0,28.6,20.6,28.3,11.879692783505153
2015,21,0.0,28.1,20.4,29.3,11.728841443298966
2015,22,0.0,27.2,20.1,33.2,11.120860515463916
2015,23,0.0,3.2,18.3,19.2,10.87521536082474
2015,24,17.4,3.3,17.4,19.4,11.219739278350517
2015,25,58.4,6.9,15.9,18.5,11.38089886597938
2015,26,25.0,24.6,13.2,21.7,13.099872886597938
2015,27,0.0,18.9,17.1,24.2,8.90873907216495
2015,28,0.0,18.0,16.4,23.0,11.238335463917528
2015,29,1.8,23.0,14.9,23.2,11.905851030927836
2015,30,0.0,17.0,14.7,23.0,11.33410381443299
2015,31,13.2,15.3,16.9,22.9,11.207956494845355
2015,32,0.0,15.4,15.6,23.1,12.184373402061857
2015,33,0.6,19.4,16.6,25.2,11.296953917525776
2015,34,0.0,27.9,17.7,31.3,11.474949484536085
2015,35,0.0,7.8,21.0,23.3,11.475986288659795
2015,36,0.0,21.5,19.0,26.6,11.315802061855674
2015,37,2.2,23.1,20.0,27.4,11.344469587628865
2015,38,0.0,24.3,19.7,27.3,11.171292783505152
