Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
61405,2015,1,1,31.3,0
61405,2015,1,2,24.6,1
61405,2015,1,3,31.2,2
61405,2015,1,4,28.4,3
61405,2015,1,5,19.0,4
61405,2015,1,6,28.9,5
61405,2015,1,7,31.1,6
61405,2015,1,8,31.8,7
61405,2015,1,9,25.0,8
61405,2015,1,10,15.6,9
61405,2015,1,11,3.1,10
61405,2015,1,12,16.3,11
61405,2015,1,13,27.1,12
61405,2015,1,14,30.7,13
61405,2015,1,15,27.5,14
61405,2015,1,16,30.8,15
61405,2015,1,17,32.1,16
61405,2015,1,18,27.3,17
61405,2015,1,19,4.2,18
61405,2015,1,20,17.8,19
61405,2015,1,21,23.6,20
61405,2015,1,22,25.1,21
61405,2015,1,23,24.4,22
61405,2015,1,24,29.5,23
61405,2015,1,25,29.8,24
61405,2015,1,26,3.3,25
61405,2015,1,27,2.7,26
61405,2015,1,28,10.8,27
61405,2015,1,29,29.5,28
61405,2015,1,30,29.5,29
61405,2015,1,31,28.8,30
61405,2015,2,1,21.5,31
61405,2015,2,2,23.3,32
61405,2015,2,3,19.1,33
61405,2015,2,4,17.4,34
61405,2015,2,5,17.4,35
61405,2015,2,6,22.3,36
61405,2015,2,7,22.4,37
61405,2015,2,8,28.8,38
61405,2015,2,9,18.9,39
61405,2015,2,10,22.5,40
61405,2015,2,11,23.6,41
61405,2015,2,12,26.0,42
61405,2015,2,13,21.0,43
61405,2015,2,14,22.6,44
61405,2015,2,15,22.4,45
61405,2015,2,16,25.4,46
61405,2015,2,17,26.1,47
61405,2015,2,18,20.0,48
61405,2015,2,19,15.7,49
61405,2015,2,20,6.8,50
61405,2015,2,21,13.1,51
61405,2015,2,22,19.1,52
61405,2015,2,23,19.1,53
61405,2015,2,24,18.2,54
61405,2015,2,25,11.2,55
61405,2015,2,26,15.8,56
61405,2015,2,27,17.2,57
61405,2015,2,28,18.8,58
61405,2015,3,1,22.8,59
61405,2015,3,2,7.1,60
61405,2015,3,3,24.9,61
61405,2015,3,4,20.7,62
61405,2015,3,5,25.1,63
61405,2015,3,6,25.0,64
61405,2015,3,7,21.9,65
61405,2015,3,8,15.4,66
61405,2015,3,9,23.7,67
61405,2015,3,10,17.5,68
61405,2015,3,11,20.8,69
61405,2015,3,12,14.4,70
61405,2015,3,13,4.0,71
61405,2015,3,14,21.0,72
61405,2015,3,15,14.3,73
