year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2023,7.76289,7.52159,7.31887,7.76706,7.45256,7.16962,6.99358,6.88623,6.77834,6.69544,6.6513,6.55133,6.66141,6.59504,6.56669,6.53885,6.60553,6.69794,6.71018,6.72151,6.93857,6.89345,7.11169,7.2573,7.3917,7.45233,7.70377,7.86547,8.10133,8.12582,8.27172,8.48061,8.79143,8.83666,8.10506,7.61047,8.24993,8.00675,8.46114,8.2407,7.06034,7.64526,7.58922,7.40527,7.27076,7.19115,6.72654,6.94409,7.55625,7.61464,8.6262,9.12691,9.64037,9.5838,9.78723,9.44137,8.59587,7.86887,8.60255,9.10975,9.18328,9.25,9.39087,9.87089,10.28432,10.25964,10.39392,10.62256,10.82247,10.95715,10.93935,10.99108,11.06454,11.13191,10.95276,10.71709,10.58155,10.68643,10.30038,10.12778,9.90886,9.60073,9.39375,9.18023,9.01351,8.88667,9.33187,9.24786,8.79477,8.46614,8.41992,8.20758,8.27563,8.15671,7.90678,7.63147,8.425820312499999
2023,7.61594,7.39996,7.31981,7.67119,7.38799,7.15337,6.95604,6.95587,6.78065,6.67394,6.67593,6.56634,6.57182,6.57952,6.62502,6.61987,6.68629,6.90975,6.94007,7.12446,7.53439,7.82927,8.13139,8.63447,9.26345,9.74279,10.18615,10.89783,11.7189,11.973,12.37391,12.49752,12.00461,11.44542,12.59493,12.0155,11.92091,11.97791,11.90861,11.70689,11.80284,11.78744,11.5774,11.42248,11.88135,11.64408,12.1111,11.04166,10.61213,11.19553,12.29094,11.01131,11.18784,11.9843,12.03266,10.97591,11.18289,11.07122,10.94112,11.10978,11.33381,11.40217,11.63205,11.81323,11.90821,12.15061,12.15222,12.37561,12.48983,12.61152,12.99633,13.08026,13.13731,12.91299,12.82512,12.47608,12.308,12.32838,12.18264,11.83927,11.55392,11.16957,11.00553,10.77603,10.47167,10.25697,10.16209,9.81451,10.12259,10.34707,9.74107,9.57443,9.47233,9.22071,9.07875,8.96305,10.334599895833337
2023,8.91277,8.72482,8.56488,8.68699,8.66487,8.40907,8.10332,8.13327,7.91873,7.79718,7.63903,7.57974,7.58597,7.51548,7.52436,7.45605,7.55811,7.64838,7.85955,7.85949,8.36641,8.59644,8.89032,9.26741,10.04113,10.50512,11.00821,11.28127,11.59618,11.75548,12.07173,12.31074,12.1278,11.82561,11.59218,11.52597,11.38991,11.23718,11.04442,10.93225,10.76662,10.50174,10.5075,10.48574,10.52,10.43675,10.53111,10.62962,10.47809,10.61379,10.92828,10.98569,10.80253,10.82247,11.07466,10.94564,11.18449,11.26908,11.33329,11.31858,11.55617,11.6886,11.93076,11.85199,12.13795,12.27019,12.57374,12.76937,12.6649,12.91935,13.17186,13.45364,13.23338,13.07481,13.03941,12.74608,12.46149,12.51789,12.23158,11.92547,11.62554,11.42429,11.13108,10.62966,10.36378,10.22846,10.15415,9.81906,10.15568,10.39144,9.86227,9.4884,9.47102,9.22553,9.16058,8.97565,10.478840729166665
2023,8.85243,8.64781,8.51154,8.90417,8.56675,8.37957,8.15,8.1369,7.89737,7.70787,7.64222,7.47448,7.5638,7.54882,7.44117,7.45004,7.43878,7.60146,7.70485,7.87484,8.2493,8.52927,8.83176,9.1197,9.68567,10.21859,10.69329,10.8689,11.23161,11.32812,11.86877,11.74235,11.69101,11.52722,11.41448,11.2523,11.19284,11.00191,10.48305,10.7337,10.47903,10.30881,10.46935,10.39594,10.28357,10.26691,10.27543,10.08178,10.09854,10.26972,10.57718,10.68399,10.77293,10.75932,10.31706,10.83819,10.78793,10.81276,10.92983,11.17595,11.26291,11.45534,11.93783,12.38369,12.18627,12.10728,12.03347,12.52525,12.55604,12.79745,13.44453,13.63487,13.46929,13.36937,13.13474,12.85729,12.72909,12.72259,12.55992,12.13084,11.83029,11.51336,11.15394,10.86194,10.55121,10.07888,9.88807,9.48239,9.713,9.78435,9.33804,8.99039,8.93533,8.76263,8.59326,8.49204,10.323021979166667
2023,8.51912,8.33917,8.2242,8.31167,8.32208,7.9656,7.71325,7.54101,7.24426,7.08641,7.04836,6.92056,6.88608,6.80025,6.78816,6.76994,6.71326,6.93741,7.00413,7.17156,7.46239,7.71507,8.02211,8.45927,8.99747,9.50397,9.97615,10.38476,11.0166,11.41407,11.70486,12.12371,12.31066,12.48319,12.54443,12.62798,12.85869,12.73508,12.6801,12.63167,12.45001,12.2386,12.53596,12.33457,12.05313,12.23587,10.54841,10.06004,10.21486,10.70297,11.66832,12.17166,11.17178,11.37097,11.57378,10.86551,10.74393,10.9869,11.23715,11.14967,11.14044,11.3903,11.45474,11.27929,11.63543,12.33537,12.1095,12.1695,12.14721,12.46091,12.52968,12.45135,12.46011,12.49542,12.32713,12.18293,11.99005,11.97136,11.68155,11.46036,11.09836,11.05773,10.67539,10.47556,9.86354,9.59818,9.469,9.13203,9.538,9.6126,9.13364,8.81846,8.66804,8.42202,8.30531,8.28211,10.27182708333333
2023,8.32267,8.06883,7.9563,8.12214,8.14053,7.79831,7.57358,7.48159,7.27297,6.96069,6.82911,6.75412,6.78884,6.67678,6.65194,6.58674,6.68033,6.833,7.02156,7.16322,7.59459,7.7108,8.00911,8.31588,8.98544,9.32063,9.83815,10.1902,10.7929,11.00065,11.00719,10.93705,10.87917,10.62916,10.40147,10.26821,10.27565,10.13094,9.97622,9.80451,9.67958,9.43118,9.30197,9.18742,9.09856,8.98882,9.09937,9.06607,8.94609,8.88587,9.03529,9.0524,9.12847,9.21813,9.01314,9.1705,9.22567,9.30589,9.49376,9.82027,9.8807,10.01914,10.32191,10.49914,10.81429,11.12741,11.20649,11.31327,11.4137,11.78292,12.12943,12.06061,11.97102,11.86803,11.77234,11.63983,11.48777,11.6121,11.37856,11.1384,10.94759,10.77267,10.62895,10.46215,10.25635,9.98296,9.93067,9.81459,10.11268,9.96306,9.43104,9.01428,9.15142,8.86006,8.66853,8.56169,9.457243437499999
2023,8.42559,8.2262,8.03882,8.37048,8.16003,8.01061,7.66065,7.38455,7.34994,7.32216,7.13995,7.11236,7.07229,7.01789,6.95948,6.94718,7.03807,7.06336,7.12732,7.18464,7.48494,7.61414,7.65305,7.96841,8.33846,8.46534,8.72406,8.99155,9.4136,9.47099,9.31127,9.26708,9.16007,8.91981,8.82924,8.68413,8.62722,8.26138,7.95525,7.6653,7.44155,7.24599,8.08625,7.94311,8.46967,8.59298,7.94029,7.12549,7.75443,6.16859,5.99957,6.64545,7.93219,7.85607,7.60634,8.47156,8.78513,8.71826,8.83981,7.76725,8.43544,7.61921,7.87915,8.48836,9.00371,9.58473,10.49062,10.75925,11.16061,11.30382,11.77786,11.79238,11.82,11.87553,11.68355,11.48589,11.307,11.61959,11.46506,11.30013,10.87529,10.6387,10.57655,10.30478,10.32168,10.10674,10.49808,10.45278,9.90299,9.43812,9.3523,9.16166,9.21342,9.11763,8.65724,8.49148,8.789251770833333
2023,8.34569,8.04224,7.90407,8.21384,7.8932,7.61582,7.43225,7.32847,7.25498,7.18295,7.11502,7.04039,7.08993,7.11264,6.99458,7.05357,6.97533,7.04122,7.09823,7.22642,7.65242,7.43655,7.59393,7.73011,8.04464,8.18621,8.48886,8.71671,9.07529,9.18733,9.25318,9.11126,9.01165,8.78339,8.71339,8.45649,8.28811,8.10412,7.75591,7.50957,7.34413,6.97232,6.68144,6.51599,6.49029,6.23459,6.11355,5.93164,5.92039,5.96874,5.94589,5.76252,5.91434,5.9222,5.90364,5.99742,6.27343,6.43488,6.54822,6.8281,7.30951,7.55417,7.8946,8.28928,8.89537,9.40581,9.88831,10.32511,10.7065,11.12465,11.50427,11.53124,11.71787,11.65099,11.61329,11.40444,11.23094,11.51344,11.34968,11.22481,10.8207,10.64413,10.40757,10.24402,10.00806,9.81007,10.2229,9.96162,9.36333,8.89942,8.80357,8.62284,8.70082,8.41715,8.15721,7.98239,8.312122500000001
2023,7.92208,7.76899,7.69159,7.98606,7.75396,7.43097,7.379,7.32913,7.22192,7.07586,7.03927,7.03879,7.04928,7.00609,6.9842,6.95736,7.04355,7.30576,7.32668,7.61165,8.21625,8.47666,8.90206,9.2083,10.01399,10.48836,11.12357,11.69334,12.44401,13.07235,13.21911,13.42236,13.74836,13.48817,13.11825,13.48374,12.73253,11.55292,11.50717,10.89965,11.01564,11.36928,10.52313,11.23026,11.84889,11.55332,11.09215,10.06662,10.74378,10.54864,10.70011,11.14213,11.18267,11.00712,11.88538,12.09545,12.38722,12.34691,11.98325,12.04268,11.60367,11.33464,11.23262,11.15854,11.49577,11.99487,12.144,12.55003,12.91875,13.16917,13.34192,13.20653,13.21416,13.07531,12.83396,12.4487,12.24716,12.196,11.8832,11.78829,11.4945,11.21867,10.86059,10.54249,10.24481,9.87946,9.8643,9.65398,9.93282,9.96061,9.40115,9.13497,9.04207,8.69614,8.50141,8.53629,10.492703333333333
2023,8.44325,8.23141,8.09306,8.34878,8.26057,8.04294,7.8376,7.78631,7.60776,7.41687,7.32161,7.12977,6.98399,6.94238,7.05454,6.98428,6.87999,7.04749,7.13434,7.3314,7.85038,8.06083,8.37249,8.69061,9.41686,9.88961,10.39107,10.59876,11.18442,11.17457,11.55542,11.72593,11.5572,11.28174,11.24979,11.32581,10.9439,10.64148,10.42424,10.64311,11.35226,11.68528,10.35052,10.14529,10.33863,9.99887,10.05122,9.83427,9.76997,10.07923,10.07426,10.94853,10.22647,10.29509,13.35472,12.87251,11.32352,12.57276,11.27656,11.26468,11.08585,11.98531,12.37382,12.158,11.76761,11.89977,12.33174,12.49616,12.54896,13.12493,13.12347,13.06808,13.0516,12.88078,12.634,12.47123,12.17329,12.10578,11.81677,11.38317,11.00712,10.72904,10.53055,10.20474,9.96532,9.61847,9.4224,9.23859,9.49724,9.67203,9.31493,9.03823,8.97702,8.6681,8.41882,8.41422,10.154878541666669
2023,8.32444,8.06626,7.97517,8.20494,8.05004,7.85782,7.56161,7.47473,7.27149,7.13187,6.99095,6.81364,6.83222,6.78443,6.90317,6.81844,6.8756,6.91961,7.05457,7.19153,7.65371,7.86077,8.18627,8.43288,9.0275,9.65751,10.12665,10.61398,11.07759,11.33281,11.59955,11.76617,11.83019,11.93185,12.24043,12.28497,11.99954,11.8882,12.19513,12.85809,12.50091,12.06216,11.80631,11.63885,11.61101,11.9031,12.16663,12.45945,12.9084,12.86662,13.07197,13.03135,13.03925,13.10251,13.09963,13.0417,13.18424,13.15158,13.08695,12.88401,12.88421,12.92861,12.82493,12.81398,12.6724,12.77376,13.00819,13.14972,13.29863,13.5485,13.74814,13.43172,13.30507,13.25257,13.10141,12.71259,12.5527,12.80075,12.76707,12.50996,12.01926,11.6487,11.29429,11.1012,10.64511,10.53763,10.45464,10.15106,10.43135,10.5526,9.69829,9.31434,9.40261,9.3242,9.00732,8.96326,10.822017916666672
2023,8.70708,8.35745,8.04386,8.27958,8.1987,8.03233,7.73698,7.74134,7.542,7.36857,7.20537,7.02977,7.10329,7.11415,7.0523,6.8712,7.0285,7.12841,7.16846,7.42464,7.75098,8.06327,8.29723,8.55891,9.16801,9.60657,10.02223,10.3805,10.98333,11.47814,11.93116,12.43728,12.64912,12.55931,12.67768,12.83754,12.89494,12.69344,12.61417,12.76173,12.42136,11.94768,12.48985,12.7813,12.64242,12.9604,12.93257,12.94932,12.73748,12.54294,12.4146,12.85403,13.51311,12.93447,12.91541,12.82827,12.7297,12.69375,12.31462,12.20314,12.46927,12.34985,12.34407,12.23797,12.36912,12.51158,12.5844,12.67087,12.64073,13.26391,13.3217,13.09361,12.94155,12.8501,12.70423,12.48108,12.24491,12.18668,11.87409,11.74283,11.38501,11.20084,10.96768,10.64448,10.35108,10.12364,9.96151,9.73241,9.7174,9.77636,9.27799,8.97986,8.94152,8.67477,8.42213,8.4933,10.758734062499999
