Year,index,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015,0,0.0,31.0,21.1,25.4,7.750711030927835
2015,1,0.0,22.0,22.0,24.5,6.632390824742268
2015,2,0.0,31.2,21.2,25.9,6.737719896907216
2015,3,0.0,27.1,21.8,27.8,7.670034845360823
2015,4,0.0,18.3,21.6,24.0,7.008632371134019
2015,5,0.0,30.4,21.8,25.4,6.854967216494845
2015,6,0.0,31.0,21.8,26.0,6.723555463917526
2015,7,0.0,31.7,20.8,27.8,7.695571340206184
2015,8,0.0,28.7,21.4,26.3,6.861067525773196
2015,9,0.0,14.8,19.9,25.7,7.127892989690722
2015,10,3.0,3.3,20.1,21.7,8.255662989690725
2015,11,12.0,20.3,19.9,23.3,8.076553711340207
2015,12,0.0,28.4,20.0,26.5,7.637875979381442
2015,13,2.8,29.2,22.4,34.0,7.284457731958763
2015,14,0.0,30.8,21.3,27.0,7.287465567010307
2015,15,0.6,29.2,21.5,26.9,6.509266701030928
2015,16,0.2,31.9,20.1,33.5,3.582249175257732
2015,17,7.6,29.4,21.6,25.2,3.5615018556701026
2015,18,3.0,2.7,20.8,22.4,3.528901134020619
2015,19,0.0,23.3,22.1,26.3,3.571891958762886
2015,20,0.0,29.1,21.8,27.0,2.732497835051546
2015,21,0.0,28.8,21.0,32.8,2.863775773195877
2015,22,8.8,3.6,20.6,22.8,3.5558645360824745
2015,23,9.0,2.9,19.7,21.1,3.564185360824744
2015,24,31.2,8.2,18.0,22.0,3.6302380412371127
2015,25,3.0,29.4,16.4,21.0,2.679780206185568
2015,26,0.0,28.2,15.3,24.7,2.916325154639175
2015,27,0.0,28.9,19.1,24.5,3.366803608247422
2015,28,0.0,22.5,21.0,24.5,7.7545868041237105
2015,29,7.2,24.0,18.3,23.1,5.181645979381445
2015,30,7.4,19.7,19.5,24.3,5.291948453608247
2015,31,0.0,15.4,17.5,24.9,6.090753402061854
2015,32,0.6,22.1,19.3,23.7,5.699063711340206
2015,33,0.2,27.3,20.1,24.3,3.9886216494845343
2015,34,0.0,19.5,19.3,25.6,4.160161855670103
2015,35,0.0,28.8,18.8,30.6,5.299342577319587
2015,36,0.0,23.5,21.8,26.4,5.4291010309278365
2015,37,0.0,25.2,22.7,27.3,5.340291030927839
2015,38,0.0,26.9,22.3,27.2,5.2413555670103085
2015,39,0.0,27.0,22.1,27.2,5.103186701030928
2015,40,0.0,23.9,21.6,26.5,3.836345773195876
2015,41,0.0,21.0,21.2,26.5,4.060561649484537
2015,42,0.0,24.5,20.8,28.4,5.20463824742268
2015,43,0.0,25.8,20.4,27.3,5.0636506185567
2015,44,0.0,27.2,20.2,24.3,5.075929381443299
2015,45,0.0,18.8,20.4,24.6,4.439972783505155
2015,46,0.0,13.2,20.2,25.7,5.467809690721647
2015,47,0.0,8.3,20.5,23.1,5.590981030927836
2015,48,7.8,10.9,20.3,23.3,5.506558865979383
2015,49,3.6,18.6,20.4,23.5,5.441150618556701
2015,50,1.8,25.1,20.6,25.1,5.308169793814435
2015,51,0.0,18.7,21.3,24.3,4.019884123711342
2015,52,3.0,19.8,20.0,24.8,4.161564639175258
2015,53,2.8,18.4,20.5,24.7,5.1929410309278365
2015,54,4.8,22.2,20.9,25.9,5.315163298969071
2015,55,0.2,21.6,20.9,26.3,5.434745257731958
2015,56,0.0,20.2,20.8,33.5,5.607850206185566
2015,57,6.6,11.4,20.5,23.2,5.381515876288658
2015,58,0.0,24.8,17.7,25.9,4.092298556701032
2015,59,0.0,19.6,21.1,28.9,4.3647248453608265
2015,60,0.0,23.8,21.5,30.2,5.017980206185567
2015,61,0.0,24.9,17.7,30.4,5.758518865979379
2015,62,0.0,22.9,19.2,25.1,4.335695051546392
2015,63,0.0,16.5,20.9,28.0,4.791000309278351
2015,64,0.0,23.7,21.0,26.4,6.272814226804122
2015,65,0.0,18.8,22.3,25.5,5.974006597938143
2015,66,0.0,21.3,22.3,25.9,5.799783402061855
2015,67,0.0,15.8,20.8,26.1,5.646612680412372
2015,68,0.6,9.3,20.5,23.5,5.668539587628866
2015,69,1.0,22.7,17.9,24.4,4.716202886597939
2015,70,0.0,7.4,15.9,23.5,4.918770824742269
2015,71,1.0,22.1,19.2,24.1,5.817247422680412
2015,72,0.0,14.8,17.1,25.0,5.853892061855669
2015,73,0.0,17.8,19.6,30.8,5.818839381443299
2015,74,0.0,21.6,20.3,25.7,5.740162680412372
2015,75,0.0,19.9,19.7,31.6,5.609731237113404
2015,76,0.2,5.6,20.7,22.8,4.279242268041236
2015,77,0.2,9.4,19.9,22.9,6.23697793814433
2015,78,4.0,19.1,19.1,26.2,6.307533298969071
2015,79,0.0,12.1,19.4,30.9,5.850631649484535
2015,80,21.8,19.5,17.8,23.0,4.248882577319589
2015,81,0.0,20.8,17.7,28.8,4.767958247422682
2015,82,0.0,21.9,14.4,25.4,5.756180206185568
2015,83,0.0,20.1,14.9,23.3,5.915049690721649
2015,84,0.0,16.2,17.7,24.4,5.85938536082474
2015,85,0.0,7.6,19.7,23.9,5.766182164948455
2015,86,13.8,7.7,18.1,22.5,6.433961134020619
2015,87,9.4,17.7,17.6,26.1,4.332250824742268
2015,88,0.0,15.7,18.6,27.7,4.459533402061856
2015,89,0.0,3.9,20.7,21.8,5.299783298969072
2015,90,33.0,3.0,18.8,20.4,5.3106695876288645
2015,91,28.0,12.6,16.4,22.5,5.3944213402061845
2015,92,0.0,15.6,16.6,28.1,6.024113505154638
2015,93,9.0,17.4,14.8,24.9,5.913012164948452
2015,94,0.0,16.9,14.8,23.0,5.726461134020618
2015,95,0.0,10.2,15.6,21.2,5.775097628865979
2015,96,0.0,15.7,16.3,21.2,5.937408041237114
2015,97,0.0,15.3,16.3,21.4,5.641245876288659
2015,98,0.0,14.2,14.2,24.7,4.212485979381442
2015,99,0.0,16.2,14.5,24.1,6.181655773195878
2015,100,0.0,16.3,18.2,31.5,6.590713195876288
2015,101,0.0,12.2,20.7,23.3,5.998928041237113
2015,102,0.0,10.6,18.4,25.1,6.01353020618557
2015,103,3.8,10.2,17.8,24.0,4.424385257731959
2015,104,8.2,3.5,13.7,19.3,4.595436804123711
2015,105,99.2,2.2,14.8,18.9,5.537199484536084
2015,106,65.2,7.6,13.6,19.6,5.919116288659794
2015,107,16.8,13.2,14.4,20.9,4.291681649484537
2015,108,0.2,14.0,14.9,25.4,4.516938865979382
2015,109,0.0,15.4,16.3,25.4,5.554514020618556
2015,110,11.4,6.8,12.2,18.0,5.5858421649484535
2015,111,0.0,15.1,12.5,19.9,5.65162886597938
2015,112,0.0,14.7,13.5,18.8,5.748989896907217
2015,113,7.2,12.8,13.6,18.8,5.555810515463918
2015,114,3.8,12.8,15.0,19.3,4.59270443298969
2015,115,14.6,6.6,15.9,21.1,4.657117319587629
2015,116,9.0,7.3,16.9,21.2,5.896380412371133
2015,117,28.0,7.3,18.6,20.4,5.929886701030929
2015,118,0.0,5.4,18.4,20.7,6.206876907216496
2015,119,0.2,14.0,15.0,25.8,5.928303917525774
2015,120,0.0,14.7,15.0,20.5,5.48926443298969
2015,121,0.0,14.3,11.2,20.8,4.39888175257732
2015,122,0.0,14.2,9.7,20.5,5.051482474226803
2015,123,0.0,14.0,10.6,19.9,5.648532577319586
2015,124,0.0,13.4,12.5,20.6,5.411516907216495
2015,125,0.0,13.3,15.7,21.8,4.201395876288658
2015,126,0.0,13.7,13.6,21.8,4.3856683505154646
2015,127,0.0,10.2,12.9,18.6,5.121049793814433
2015,128,0.0,13.4,7.9,18.3,5.3652944329896926
2015,129,0.0,11.2,11.4,18.5,5.312114742268041
2015,130,8.0,5.8,14.7,18.1,5.198951855670102
2015,131,26.2,10.6,12.4,19.1,5.173818144329896
2015,132,6.8,7.9,15.9,18.8,4.169173092783506
2015,133,0.0,7.0,13.6,20.0,4.387571752577321
2015,134,0.2,8.5,14.1,23.3,5.473285051546393
2015,135,2.2,10.1,15.7,21.0,5.413121134020619
2015,136,3.4,3.2,14.3,18.0,5.452575567010308
2015,137,22.6,7.9,12.1,17.4,5.544821237113401
2015,138,0.2,9.8,10.1,19.9,5.364604123711339
2015,139,0.0,10.9,9.8,20.2,5.574605051546391
2015,140,0.0,11.2,10.5,19.2,5.728971030927837
2015,141,0.0,9.3,11.6,19.8,6.051918453608247
2015,142,0.0,11.4,12.8,22.3,5.77920639175258
2015,143,0.0,3.9,15.0,19.1,6.028441134020619
2015,144,0.4,8.5,14.1,21.7,4.4031488659793805
2015,145,1.8,3.3,14.2,15.8,4.617313711340207
2015,146,2.0,11.6,10.5,16.6,5.577119690721648
2015,147,0.0,11.4,6.9,16.1,5.647754845360828
2015,148,0.0,11.1,6.8,17.7,5.755422680412372
2015,149,0.0,11.4,7.5,17.5,5.872474845360824
2015,150,0.2,7.3,8.6,15.7,4.4674152577319575
2015,151,0.0,10.8,8.5,20.0,4.439337422680414
2015,152,0.0,11.2,9.3,20.8,5.229700824742267
2015,153,0.0,10.3,11.7,21.7,5.269056391752577
2015,154,0.0,11.3,12.5,22.7,5.272259896907214
2015,155,0.2,5.3,14.9,17.5,4.580765463917524
2015,156,4.2,7.1,13.9,17.6,5.937740515463918
2015,157,2.8,5.9,13.6,17.5,6.810136597938143
2015,158,0.0,9.2,14.2,20.0,6.180164948453609
2015,159,0.0,9.8,9.6,18.8,6.2917809278350525
2015,160,0.0,6.9,11.0,19.3,6.478542164948453
2015,161,0.6,4.9,13.2,18.9,6.628047319587628
2015,162,8.4,3.5,14.6,16.6,5.196155360824742
2015,163,2.4,10.6,12.2,19.3,5.576895567010311
2015,164,1.8,3.5,10.8,13.5,6.2622785567010295
2015,165,18.2,8.5,10.3,15.1,6.172672268041237
2015,166,1.4,7.7,8.6,16.5,5.886763298969072
2015,167,0.2,11.0,6.8,17.9,5.811748762886598
2015,168,0.0,10.9,8.9,20.3,5.74061494845361
2015,169,0.0,8.3,11.0,18.8,4.364781340206186
2015,170,0.0,9.0,12.2,20.1,4.621075567010308
