year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2010,34.97707,33.47268,32.11156,32.70257,31.62801,30.78627,30.12362,29.01324,28.51177,27.93867,27.86703,27.29393,26.89993,26.91784,26.89993,26.63129,26.8462,26.86411,27.06111,27.32975,28.7446,29.21024,30.35644,31.69965,34.31442,36.21282,37.98585,39.0425,41.85428,43.07212,43.87804,44.59442,44.68397,44.89888,45.54362,45.77644,46.25999,46.90473,46.68982,46.79728,47.10174,46.94055,46.72564,47.15546,47.01219,46.63609,46.63609,46.94055,47.01219,47.6032,45.40034,45.8839,45.45407,46.0809,46.0809,47.01219,46.74355,47.2271,46.24208,46.56445,45.66898,46.15254,45.86599,46.31372,46.25999,47.01219,47.01219,48.12257,48.40912,50.0747,49.46578,49.53742,47.69275,47.31665,46.40327,46.15254,45.91972,45.16752,45.02425,44.57651,43.50195,43.4124,42.60648,41.96174,41.15581,40.81553,40.72599,39.84843,39.49024,39.4186,38.89923,37.75303,36.69637,37.05456,36.53519,35.46062,0,40.168396288659785
2010,35.6039,34.06369,32.86376,33.02494,31.91456,30.94745,30.23108,29.10278,28.69087,28.3685,27.67003,27.24021,26.75665,26.52383,26.38055,26.094,26.094,25.93282,25.98655,26.094,26.95366,27.2223,27.54467,27.93867,29.47888,29.44306,30.4639,30.98327,32.43393,33.5085,34.86961,35.83672,36.73219,37.07247,38.18285,39.57979,40.83344,41.47818,41.04836,41.19163,41.96174,41.94383,41.85428,41.56773,41.72891,42.58857,42.55275,41.58564,42.05128,41.90801,42.06919,42.01546,41.80055,41.56773,41.78264,41.10209,40.76181,40.77972,40.45735,40.40362,40.1708,40.40362,40.65435,41.20954,41.03045,41.1379,41.62146,42.44529,42.98257,44.37951,45.34661,45.11379,43.89595,43.55567,43.51986,43.09003,42.74975,41.96174,41.317,40.76181,40.27825,40.02752,39.70515,39.11414,38.09331,37.93212,37.48439,36.89338,37.17993,36.85756,36.48146,36.05163,34.60097,35.0308,35.01289,34.00996,1,36.47385886597938
2010,34.20696,32.97122,31.69965,32.50557,31.10864,30.39226,29.49679,28.78041,27.59839,27.65212,27.24021,26.21937,25.61045,25.18062,24.7508,24.1777,24.42843,24.44634,24.1777,24.42843,24.71498,25.03735,24.82244,25.5209,27.02529,26.8462,27.6163,27.70585,28.79832,29.60425,30.51763,31.43101,32.3802,32.86376,33.68759,34.17115,34.8517,35.98,36.21282,36.96501,38.18285,38.4694,38.02167,38.68432,39.20369,39.20369,38.63059,39.20369,38.95296,38.98878,38.52313,38.55895,38.61268,38.34404,37.96794,37.71721,37.64557,37.66348,37.48439,37.93212,37.39484,38.03958,37.82466,38.12912,38.50522,38.88132,39.68724,39.49024,40.34989,41.78264,42.10501,42.42738,42.33783,42.53484,42.21247,41.85428,41.58564,41.78264,41.29909,40.43944,39.95588,39.74097,39.36487,38.88132,38.36195,37.82466,37.05456,36.91128,36.15909,35.72926,35.28153,34.04578,33.07867,32.66676,32.48766,31.43101,2,34.24179979381442
2010,32.1832,31.09073,29.64007,30.2848,29.12069,28.15359,27.65212,26.89993,26.21937,26.05818,25.44927,25.25226,24.71498,24.60752,24.53589,24.28515,24.91198,25.09108,24.96571,25.28808,25.87909,26.63129,27.6163,28.95951,31.57428,32.97122,35.06662,35.6039,38.45149,39.7947,40.9409,41.56773,42.39156,42.69602,42.28411,43.12585,43.71686,44.43323,44.52278,44.48696,44.57651,45.22125,44.86306,44.79142,45.16752,45.38243,45.5078,45.45407,45.99135,45.86599,46.0809,45.61526,45.99135,45.54362,45.86599,45.81226,46.13463,45.77644,45.59735,45.3287,44.80933,45.3287,45.23916,45.77644,46.09881,45.91972,46.51073,46.67191,47.6032,49.37623,50.05679,50.16424,49.84188,49.57323,49.10759,48.5524,47.58529,47.58529,47.2271,46.42118,45.93762,45.75853,45.06006,44.48696,42.05128,40.88717,39.75888,38.63059,37.91421,37.66348,36.78592,35.87254,34.31442,34.2786,33.61595,32.39811,6,38.97474680412372
2010,32.70257,31.30564,30.0878,30.33853,29.38933,28.26104,27.56257,27.06111,26.04028,25.87909,25.62836,25.1269,24.96571,24.7508,24.50007,24.28515,24.66125,24.60752,24.85825,25.03735,25.77163,26.97156,27.56257,28.61923,31.53846,33.18613,34.76216,36.14118,39.0425,40.18871,40.99463,41.56773,41.99756,42.01546,42.31992,43.71686,44.25414,44.95261,44.95261,45.38243,44.86306,44.86306,45.38243,45.72271,45.34661,45.65107,45.8839,46.02717,45.72271,45.93762,46.13463,45.83017,45.86599,45.86599,46.04508,45.34661,45.97344,45.48989,45.3287,45.07797,44.7556,45.02425,45.18543,45.77644,45.3287,45.81226,45.66898,46.31372,47.58529,48.44494,48.40912,48.30167,46.72564,45.81226,45.23916,44.7556,44.3616,43.44822,43.09003,42.23038,42.37365,41.56773,40.97672,40.51107,39.97379,39.25742,39.14996,37.87839,37.48439,37.71721,37.37693,36.32027,35.6039,35.71135,35.38898,33.72341,7,38.51165639175258
2010,34.04578,32.32648,31.16237,31.59219,30.24899,29.53261,28.69087,27.77749,27.11484,26.59547,26.20146,25.77163,25.18062,24.58961,24.44634,24.48216,24.53589,24.48216,24.48216,24.82244,25.09108,25.66418,25.68209,26.21937,28.24313,28.45805,28.83414,29.3177,31.32355,32.3802,33.07867,34.43979,35.71135,36.26655,36.85756,38.50522,39.84843,39.70515,39.92006,39.86634,40.34989,40.81553,40.81553,40.49317,40.88717,41.514,40.70808,40.88717,40.88717,40.72599,40.54689,40.27825,40.18871,40.08125,40.00961,39.90216,39.74097,39.54397,39.5977,39.00668,39.09623,39.2216,39.14996,39.54397,39.75888,40.02752,40.92299,41.40655,42.60648,43.77059,43.57358,43.25121,42.64229,42.91094,42.42738,41.90801,41.40655,41.15581,40.60062,40.11707,39.81261,39.32905,39.20369,38.23658,37.75303,37.39484,36.78592,36.57101,36.24864,36.46355,35.81881,34.92334,34.20696,34.31442,34.26069,33.45477,8,35.34794020618557
2010,32.70257,30.89372,29.85498,28.78041,28.09986,27.13275,26.73874,25.73582,25.84327,25.14481,24.82244,24.53589,24.32097,24.71498,24.33888,24.21352,24.55379,24.44634,25.01944,25.41345,26.32683,26.52383,27.88494,29.26397,32.27275,34.04578,35.81881,37.3232,40.51107,42.33783,43.07212,43.4124,43.94968,44.68397,44.37951,45.1317,45.93762,45.5078,45.75853,45.81226,45.99135,45.99135,46.13463,45.81226,45.56153,45.43616,46.36745,46.04508,46.31372,46.0809,46.25999,45.83017,45.61526,46.51073,46.18836,45.61526,45.54362,45.91972,45.11379,45.02425,44.84515,45.27498,44.97052,45.5078,45.83017,46.58236,47.31665,48.06884,49.42996,51.20299,51.13135,50.70153,49.68069,49.42996,48.76731,48.71358,48.39121,47.47783,46.94055,46.02717,46.31372,45.91972,45.3287,44.25414,44.30787,43.77059,42.15874,41.1379,39.95588,38.61268,37.28738,35.9979,34.36815,33.1324,32.59512,31.53846,10,39.45965731958763
2010,30.98327,29.87289,29.21024,28.72669,27.77749,27.18648,26.70292,26.63129,25.77163,25.62836,25.68209,25.41345,25.41345,25.30599,25.44927,25.09108,25.07317,25.57463,25.87909,26.25519,27.27602,27.59839,28.79832,29.98034,33.58014,35.13825,37.48439,38.98878,42.2662,43.51986,44.79142,45.16752,44.80933,45.07797,45.16752,45.43616,46.18836,46.77937,47.04801,46.40327,46.13463,46.02717,46.68982,46.0809,46.47491,46.0809,45.93762,46.24208,46.52864,45.72271,46.40327,46.457,46.83309,46.29581,46.31372,46.04508,46.61818,46.13463,45.97344,44.84515,45.86599,45.7048,45.40034,46.36745,46.68982,47.10174,48.01512,48.28376,49.8956,51.95518,52.7432,52.27755,52.27755,52.1701,51.61491,51.84773,51.63282,50.59407,50.18215,49.41205,49.03595,49.25086,49.08968,47.76438,46.29581,44.41533,43.28703,42.12292,40.5648,39.7947,37.80675,36.64264,34.74425,33.61595,33.18613,32.34439,13,40.432582886597935
2010,31.037,30.06989,29.28188,28.69087,28.08195,27.49094,27.27602,26.6492,25.98655,25.57463,25.39554,25.28808,25.1269,25.09108,25.19853,25.14481,25.5209,25.46717,25.55672,25.87909,27.32975,27.67003,28.5655,29.87289,33.34731,34.92334,36.32027,38.4694,41.53191,43.34076,44.52278,44.86306,45.91972,45.34661,45.34661,45.54362,45.91972,46.95846,47.6032,47.47783,46.74355,46.47491,46.58236,46.58236,46.68982,47.11965,46.851,42.05128,44.68397,44.63024,44.3616,44.41533,45.8839,45.75853,45.72271,45.56153,46.13463,45.3287,45.5078,45.29289,45.38243,45.18543,45.59735,45.65107,45.91972,46.47491,46.52864,47.65693,48.49867,50.55825,49.78815,49.62696,47.92557,47.69275,46.90473,47.04801,46.04508,45.91972,45.18543,44.46905,44.48696,43.46613,42.76766,41.99756,41.67519,41.04836,40.54689,39.95588,38.88132,37.75303,36.80383,35.81881,34.92334,33.74132,33.58014,32.81003,14,39.37497505154639
2010,31.75338,30.06989,29.49679,28.7446,28.08195,27.75958,27.24021,26.43428,26.25519,25.78954,25.39554,25.03735,24.85825,24.48216,24.48216,24.44634,24.44634,24.33888,24.60752,24.48216,24.66125,25.1269,25.41345,26.20146,27.43721,27.9924,28.31477,29.49679,31.10864,32.7563,33.66968,34.74425,35.94418,36.58892,38.02167,39.65142,40.77972,41.42445,41.53191,41.74682,41.35282,41.8901,41.63937,41.99756,42.2662,41.78264,42.44529,41.78264,42.05128,41.47818,41.19163,41.08418,40.88717,40.45735,40.97672,40.77972,40.5648,40.33198,39.86634,39.92006,39.43651,39.11414,39.57979,39.47233,39.86634,39.84843,40.86926,42.10501,41.83637,43.34076,42.85721,43.14376,42.12292,42.49902,41.85428,41.78264,41.29909,40.88717,39.97379,39.7947,38.88132,39.11414,38.55895,38.45149,37.66348,37.1262,36.73219,36.08745,36.83965,35.9979,35.49644,34.31442,33.34731,33.88459,33.66968,31.84292,15,35.363422474226816
