year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2021,27.41294,27.45098,26.48078,25.5296,25.75789,25.05402,24.3121,23.74139,23.43701,22.98045,22.52388,22.40974,22.04829,21.89611,21.89611,21.89611,21.89611,21.89611,21.89611,21.89611,22.31462,23.13264,23.55115,24.04577,25.56765,26.49981,27.69829,28.53532,29.44846,30.81815,31.59812,32.58734,33.27219,33.4434,33.65266,33.67168,33.8429,34.07118,33.82387,33.7668,33.91899,34.33751,34.69896,34.29946,34.35653,33.88094,34.29946,34.22337,34.26141,34.66091,35.17454,35.82134,34.94626,34.45165,34.4136,34.56579,34.50872,34.29946,34.50872,34.39458,34.79407,34.66091,35.30771,35.99256,36.56326,36.96276,37.28616,37.81882,38.78902,39.93043,41.43329,41.94693,41.87083,41.96595,41.64255,41.3572,40.32993,39.62605,39.39777,39.13144,38.50367,37.91394,37.66663,37.24811,36.62033,35.7833,35.09845,34.87017,34.64188,34.12825,33.55754,33.12,31.86445,31.40788,31.27472,30.60889,32.175957187499996
2021,29.96209,29.5626,28.38314,27.50805,27.35586,26.70906,25.81496,25.35839,24.48331,23.96967,23.6653,23.20873,22.82826,22.82826,22.82826,22.52388,22.25755,22.25755,22.25755,22.25755,22.25755,22.77119,22.82826,23.32287,23.85553,23.85553,24.61647,25.14913,25.81496,26.36664,26.74711,27.35586,27.66024,28.00267,28.5924,29.33431,29.96209,30.22842,29.5626,30.07623,30.34256,30.74206,30.72303,30.74206,30.79913,30.64694,30.68499,30.83717,30.93229,30.93229,30.95132,30.91327,30.68499,30.83717,30.55182,30.5328,30.97034,30.47573,30.36159,30.76108,31.29374,31.4269,31.44593,32.24492,33.23414,33.72875,34.07118,35.42185,36.04963,37.17202,38.25636,39.26461,39.77824,39.70215,39.49289,38.96023,38.78902,38.27538,37.55249,37.57151,37.0769,36.82959,36.46815,36.12572,35.76427,35.19357,35.07943,34.33751,34.1663,33.74778,33.13902,32.45418,31.63616,31.23667,31.46495,30.76108,30.291832604166682
2021,30.03819,29.63869,28.47825,27.85048,27.79341,26.91832,26.1764,25.2823,24.6355,24.40721,24.04577,23.79846,23.36092,23.15166,22.77119,22.77119,22.46681,22.2956,22.2956,22.2956,22.40974,22.77119,22.77119,23.03752,23.60823,23.79846,23.79846,24.46429,25.43449,25.9291,26.86125,26.91832,27.26075,27.60317,27.94559,28.47825,28.63044,29.01091,29.20115,29.37236,29.82893,30.07623,30.24744,30.24744,29.92404,29.8099,30.15233,30.24744,30.30452,30.72303,30.38061,30.55182,30.05721,30.05721,29.79088,29.90502,30.05721,30.05721,30.05721,30.15233,30.49475,30.72303,31.27472,31.33179,32.30199,33.06293,33.72875,34.66091,35.44087,36.52522,38.21831,38.97925,39.62605,39.16949,39.3407,39.28363,38.76999,38.50367,38.50367,37.89491,37.01983,36.81057,36.81057,36.50619,35.80232,35.28869,34.77505,34.29946,33.86192,33.32926,32.70148,32.07371,30.98936,30.26647,30.17135,29.52455,30.004894062500004
2021,29.01091,28.49728,27.66024,26.8993,26.5759,25.9291,25.81496,24.9589,24.35014,23.96967,23.41799,23.22775,23.22775,22.82826,22.71412,22.71412,22.71412,22.71412,22.71412,23.20873,23.76041,24.10284,24.5594,25.30132,27.50805,28.00267,29.14408,30.00014,31.88347,33.08195,34.0902,34.94626,35.74525,36.23986,36.6774,36.63936,36.52522,36.46815,36.27791,35.97353,36.06865,36.04963,36.04963,36.04963,35.82134,35.57404,35.49794,35.49794,35.49794,36.01158,36.90569,37.21006,36.86764,36.20182,35.55501,35.72623,35.55501,35.76427,36.29693,36.04963,35.91646,35.72623,36.58229,36.60131,37.05788,37.36225,38.38952,39.70215,40.74844,41.88986,43.35467,44.22975,43.69709,43.35467,43.43076,42.72689,42.23228,41.66157,41.01477,40.69137,40.29188,39.37875,38.73195,38.21831,37.68565,36.81057,36.12572,35.04138,34.47067,34.0902,33.53852,32.35906,31.56007,30.81815,30.62792,29.67674,33.50126364583334
2021,29.25822,28.99189,28.07876,27.37489,27.2227,26.51883,25.66277,25.01597,24.48331,24.08381,23.77944,23.30385,23.2658,22.92338,22.71412,22.71412,22.71412,22.73314,23.22775,22.92338,23.72237,24.3121,24.92085,25.49156,26.82321,28.04071,28.82068,29.37236,31.23667,32.73953,33.65266,34.54677,35.65013,35.7833,35.85939,36.62033,36.16377,35.66916,36.18279,35.85939,37.01983,37.62858,37.57151,37.41932,37.36225,36.69643,36.4301,37.01983,36.62033,36.16377,36.79155,36.94373,35.97353,36.62033,35.59306,35.21259,35.23161,35.02236,34.96528,35.19357,35.49794,35.51697,35.87842,36.25889,36.6774,37.0769,37.59053,38.46562,39.28363,40.48211,42.11814,42.5747,42.3274,42.40349,41.69962,41.62353,40.72942,40.19676,39.94945,39.83531,38.88414,38.31343,37.55249,36.81057,36.48717,35.95451,35.42185,34.58481,33.80485,33.29121,33.15805,32.34003,31.33179,30.93229,30.68499,29.61967,33.242662708333334
2021,29.27724,28.9158,27.8695,27.14661,27.10856,26.19543,25.64375,24.9589,24.17893,24.14088,23.79846,23.62725,23.37994,23.05654,23.03752,22.92338,23.09459,23.09459,23.09459,23.09459,23.74139,24.14088,24.5594,25.32034,27.31782,27.79341,29.08701,30.19037,31.56007,32.75855,33.95704,34.4136,35.00333,35.30771,35.59306,35.95451,35.63111,35.49794,35.51697,35.07943,35.04138,35.36478,35.36478,35.07943,35.1365,34.94626,34.88919,35.07943,35.34576,35.19357,35.36478,35.36478,35.21259,35.1365,35.32673,35.09845,34.8131,34.98431,35.17454,35.00333,35.36478,35.7072,35.91646,36.39205,36.84862,36.88666,37.3242,38.0471,38.76999,39.58801,40.90063,41.88986,41.66157,41.79474,41.18599,40.6343,39.79727,39.75922,39.3407,38.88414,38.18026,37.60956,37.0008,36.46815,36.0306,35.25064,34.50872,34.20434,33.34828,32.92976,32.01663,31.503,30.5328,30.36159,30.49475,29.50553,32.76687583333334
2021,28.82068,28.45923,27.64122,26.95637,27.01344,26.19543,25.37742,25.05402,24.38819,24.02674,23.53213,23.51311,23.17068,22.96142,22.48584,22.48584,22.48584,22.48584,22.48584,22.90435,23.47506,24.25503,24.57843,25.41546,26.86125,27.85048,28.42118,29.50553,30.91327,32.05468,33.42438,34.26141,34.88919,35.3838,36.0306,36.71545,36.48717,36.63936,36.56326,36.354,36.46815,36.73447,36.60131,36.16377,36.04963,35.66916,36.4301,36.22084,36.33498,36.69643,36.65838,35.95451,35.89744,35.97353,36.18279,36.08767,35.65013,35.55501,35.99256,35.61209,35.66916,36.62033,36.33498,37.19104,37.34323,37.43835,37.70468,38.57976,39.07437,40.0636,41.33817,41.71865,41.41427,41.37622,40.91966,40.42504,39.83531,39.0934,38.67488,38.23734,37.51444,37.13397,36.7535,36.14474,35.76427,34.67993,34.22337,33.55754,33.17707,32.39711,32.28296,31.31276,30.49475,29.84795,29.67674,28.87775,32.89944645833332
2021,28.34509,27.92657,27.24172,26.65199,26.70906,25.89105,25.2062,24.67354,23.81748,23.36092,23.05654,23.05654,22.619,22.52388,22.16244,22.23853,22.08634,22.54291,22.54291,22.54291,22.98045,23.64627,23.87456,24.67354,26.11933,26.72809,27.60317,28.63044,29.50553,31.06546,32.13078,32.51125,33.32926,33.38633,33.82387,34.26141,34.45165,34.69896,34.35653,34.35653,34.45165,34.8131,35.11747,34.66091,34.94626,34.52774,35.04138,35.55501,35.59306,35.59306,35.59306,35.7833,35.87842,35.99256,36.01158,36.06865,35.95451,35.61209,36.01158,36.0306,36.41107,36.44912,36.69643,36.84862,37.41932,37.01983,37.38128,37.45737,37.91394,38.92218,39.7402,40.12067,39.35972,39.05535,38.38952,37.64761,37.36225,36.63936,36.18279,35.66916,35.02236,34.62286,34.31848,33.86192,33.25317,32.51125,31.97859,31.33179,31.00839,30.51377,30.60889,29.69576,29.22017,29.14408,29.12505,28.30704,31.81014979166667
2021,27.71731,27.45098,26.63297,25.79593,25.70082,24.92085,24.52136,23.83651,23.60823,23.13264,22.59998,22.25755,22.02927,21.91513,21.55368,21.55368,21.55368,21.55368,21.55368,21.55368,21.55368,21.55368,22.08634,22.18146,22.98045,23.20873,23.51311,23.85553,24.69257,25.2823,26.32859,26.42371,26.97539,27.5461,28.269,29.25822,29.5626,29.5626,30.66596,31.29374,32.45418,32.11175,32.13078,31.84542,32.54929,33.00586,31.35081,30.98936,30.91327,31.14155,31.31276,31.56007,32.09273,32.51125,32.03566,30.8562,30.95132,31.27472,31.4269,31.46495,31.76933,32.24492,32.4732,32.94879,32.98684,33.12,33.25317,33.88094,34.88919,35.7833,36.1067,36.56326,36.71545,36.81057,36.56326,35.89744,34.85114,34.60384,34.45165,33.74778,33.38633,32.89172,32.91074,32.35906,31.76933,31.27472,31.02741,30.51377,30.22842,30.22842,29.98111,29.06798,28.68751,28.40216,28.45923,27.73634,29.174991875
2021,27.31782,27.37489,26.49981,25.49156,25.87203,24.93987,24.52136,23.87456,23.36092,22.92338,22.92338,22.42877,21.95318,21.91513,21.51563,21.40149,21.28735,21.17321,21.38247,21.51563,21.85806,21.85806,21.85806,22.37169,22.77119,22.99947,23.41799,23.70334,24.50233,25.13011,25.83398,26.2525,26.65199,27.14661,27.35586,28.30704,28.70654,28.85873,29.25822,29.42943,29.75283,29.96209,30.11428,29.96209,30.09526,29.98111,29.84795,29.84795,29.84795,29.84795,29.4865,29.37236,29.37236,29.42943,29.50553,28.93482,29.18213,29.31529,29.33431,29.50553,29.37236,29.79088,30.89425,31.02741,31.71226,32.45418,32.91074,34.31848,34.98431,36.12572,37.53346,38.06612,38.42757,38.18026,38.44659,38.44659,38.44659,37.99003,37.93296,37.57151,36.86764,36.86764,36.37303,36.1067,35.66916,34.98431,34.62286,34.28044,33.40535,33.21512,32.45418,31.73128,30.89425,30.2094,30.2094,29.65771,29.300230208333335
