year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2005,3.43746,3.33115,3.27799,3.20712,3.13624,3.04765,3.08309,3.04765,3.08309,3.02993,2.95905,2.99449,2.95905,2.92362,2.88818,2.87046,2.8173,2.83502,2.83502,2.78186,2.83502,2.94133,2.99449,3.01221,3.13624,3.1008,3.15396,3.34887,3.43746,3.57921,3.56149,3.72096,3.7564,3.93359,4.09306,4.1285,4.27025,4.34113,4.42972,4.44744,4.48288,4.48288,4.42972,4.48288,4.53603,4.46516,4.44744,4.51831,4.42972,4.39428,4.412,4.35884,4.34113,4.37656,4.27025,4.25253,4.30569,4.25253,4.16394,4.11078,4.11078,4.16394,4.14622,4.18166,4.18166,4.21709,4.19937,4.32341,4.39428,4.46516,4.46516,4.53603,4.48288,4.42972,4.39428,4.30569,4.32341,4.23481,4.19937,5.03216,4.07534,3.95131,3.98675,3.82728,3.93359,3.845,3.72096,3.65009,3.68553,3.61465,3.57921,3.43746,3.38431,3.34887,3.27799,3.22484,0,3.769189278350514
2005,3.11852,3.11852,3.11852,3.11852,3.01221,2.94133,2.88818,2.85274,2.87046,2.88818,2.83502,2.83502,2.72871,2.72871,2.69327,2.72871,2.78186,2.72871,2.72871,2.67555,2.71099,2.8173,2.76415,2.79958,2.76415,2.87046,2.92362,3.06537,3.01221,3.06537,3.1894,3.1894,3.22484,3.29571,3.29571,3.50834,3.59693,3.57921,3.70325,3.845,3.95131,3.89815,3.98675,4.02219,4.0399,4.07534,4.0399,4.02219,3.95131,3.95131,3.93359,4.00447,3.95131,3.93359,3.89815,3.845,3.845,3.77412,3.82728,3.845,3.7564,3.82728,3.82728,3.86272,3.89815,3.88043,4.02219,4.0399,4.21709,4.30569,4.39428,4.32341,4.37656,4.37656,4.30569,4.23481,4.21709,4.21709,4.16394,4.07534,4.09306,3.98675,4.00447,3.91587,3.845,3.86272,3.73868,3.63237,3.61465,3.45518,3.52606,3.41974,3.31343,3.17168,3.1894,3.08309,1,3.5111582474226792
2005,3.02993,2.95905,2.9059,2.79958,2.78186,2.79958,2.72871,2.67555,2.65783,2.56924,2.60468,2.5338,2.60468,2.55152,2.55152,2.56924,2.58696,2.58696,2.58696,2.58696,2.65783,2.85274,2.97677,3.15396,3.33115,3.45518,3.4729,3.72096,3.98675,4.25253,4.42972,4.53603,4.58919,4.81954,4.85497,4.81954,4.80182,4.7841,4.83725,4.83725,4.80182,4.85497,4.87269,4.85497,4.97901,4.92585,4.87269,4.87269,4.94357,4.83725,4.87269,4.92585,4.99672,4.92585,4.94357,4.90813,4.90813,4.87269,4.81954,4.81954,4.81954,4.81954,4.83725,4.87269,4.89041,4.73094,4.80182,4.81954,4.90813,4.87269,4.85497,4.85497,4.89041,4.83725,4.83725,4.74866,4.74866,4.62463,4.53603,4.51831,4.48288,4.51831,4.48288,4.28797,4.30569,4.14622,3.98675,3.89815,3.82728,3.80956,3.73868,3.54378,3.43746,3.31343,3.1894,3.22484,2,4.0481018556701
2005,3.1008,2.97677,2.87046,2.88818,2.83502,2.83502,2.72871,2.65783,2.69327,2.65783,2.64011,2.60468,2.62239,2.65783,2.62239,2.64011,2.67555,2.69327,2.71099,2.74643,2.76415,3.01221,3.04765,3.26027,3.34887,3.50834,3.61465,3.89815,4.18166,4.39428,4.48288,4.57147,4.6955,4.94357,4.92585,4.97901,4.96129,4.94357,4.92585,5.01444,5.03216,5.0676,5.03216,5.01444,5.03216,5.0676,5.0676,5.10304,5.12076,5.12076,5.03216,5.03216,5.08532,5.10304,5.19163,5.15619,5.15619,5.22707,5.13848,5.15619,5.12076,5.04988,5.04988,5.08532,5.03216,5.04988,5.10304,5.04988,5.12076,5.17391,5.19163,5.10304,4.99672,5.0676,5.0676,4.85497,4.7841,4.74866,4.67778,4.57147,4.51831,4.44744,4.32341,4.30569,4.25253,4.21709,4.14622,4.05762,3.86272,3.72096,3.70325,3.59693,3.38431,3.29571,3.22484,3.1008,3,4.178607010309277
2005,3.17168,3.13624,2.97677,2.92362,2.88818,2.79958,2.79958,2.74643,2.76415,2.71099,2.65783,2.71099,2.71099,2.60468,2.62239,2.64011,2.62239,2.69327,2.65783,2.65783,2.76415,3.01221,3.06537,3.26027,3.54378,3.56149,3.70325,3.98675,4.16394,4.35884,4.62463,4.71322,4.7841,4.7841,4.87269,5.01444,4.97901,4.90813,5.03216,5.12076,5.04988,5.01444,5.13848,5.12076,5.10304,5.15619,5.24479,5.19163,5.08532,5.19163,5.26251,5.13848,5.19163,5.19163,5.15619,5.10304,5.13848,5.10304,5.03216,5.04988,5.01444,4.99672,4.99672,5.10304,4.99672,5.04988,5.03216,5.10304,5.08532,5.0676,5.03216,4.94357,4.92585,5.04988,4.90813,4.83725,4.73094,4.60691,4.51831,4.55375,4.5006,4.412,4.412,4.27025,4.21709,4.23481,4.1285,3.91587,3.845,3.77412,3.72096,3.54378,3.40202,3.29571,3.27799,3.1894,5,4.20726298969072
2005,3.36659,3.26027,3.24255,3.15396,3.04765,3.08309,3.02993,2.97677,2.95905,2.92362,2.88818,2.88818,2.85274,2.85274,2.83502,2.83502,2.78186,2.76415,2.79958,2.76415,2.76415,2.9059,2.92362,2.99449,3.01221,3.11852,3.20712,3.34887,3.43746,3.57921,3.57921,3.66781,3.68553,3.82728,3.89815,4.09306,4.14622,4.14622,4.14622,4.28797,4.39428,4.42972,4.48288,4.58919,4.64235,4.64235,4.66007,4.62463,4.5006,4.51831,4.46516,4.44744,4.48288,4.44744,4.412,4.44744,4.48288,4.37656,4.42972,4.34113,4.32341,4.35884,4.23481,4.19937,4.19937,4.16394,4.23481,4.30569,4.44744,4.53603,4.5006,4.5006,4.55375,4.42972,4.35884,4.32341,4.35884,4.27025,4.18166,4.07534,4.1285,4.09306,4.09306,4.09306,4.00447,4.0399,3.96903,3.88043,3.845,3.7564,3.66781,3.63237,3.52606,3.50834,3.43746,3.41974,7,3.861265567010306
2005,3.26027,3.1894,3.15396,3.15396,3.04765,3.08309,3.01221,2.94133,2.9059,2.85274,2.83502,2.8173,2.85274,2.83502,2.78186,2.78186,2.79958,2.76415,2.79958,2.83502,2.79958,2.88818,2.92362,2.92362,2.92362,2.97677,3.01221,3.1894,3.20712,3.33115,3.24255,3.36659,3.40202,3.49062,3.52606,3.66781,3.77412,3.79184,3.95131,4.09306,4.05762,4.0399,4.1285,4.11078,4.09306,4.11078,4.09306,4.05762,4.02219,4.0399,3.93359,4.00447,4.0399,4.00447,3.96903,4.05762,4.0399,3.98675,4.00447,4.00447,4.00447,4.00447,4.0399,4.11078,4.09306,4.14622,4.14622,4.28797,4.37656,4.37656,4.48288,4.5006,4.51831,4.39428,4.35884,4.39428,4.37656,4.32341,4.30569,4.25253,4.11078,4.05762,4.02219,3.95131,3.95131,3.91587,3.80956,3.70325,3.56149,3.4729,3.50834,3.36659,3.33115,3.26027,3.15396,3.08309,8,3.687992164948451
2005,3.04765,2.95905,2.92362,2.92362,2.85274,2.87046,2.74643,2.72871,2.71099,2.64011,2.62239,2.64011,2.64011,2.58696,2.62239,2.62239,2.62239,2.67555,2.60468,2.65783,2.74643,2.87046,3.01221,3.15396,3.38431,3.52606,3.66781,3.96903,4.11078,4.42972,4.51831,4.51831,4.66007,4.76638,4.85497,4.81954,4.85497,4.89041,4.94357,4.97901,4.99672,5.03216,4.92585,5.01444,5.04988,5.08532,4.99672,5.04988,5.12076,5.04988,5.08532,5.01444,5.04988,5.13848,5.01444,5.08532,5.03216,4.97901,4.94357,4.92585,4.92585,4.94357,4.87269,4.85497,4.94357,4.89041,4.81954,4.94357,4.99672,5.04988,4.99672,5.12076,5.01444,4.97901,4.96129,4.87269,4.83725,4.74866,4.73094,4.62463,4.58919,4.60691,4.44744,4.35884,4.28797,4.19937,4.14622,4.00447,3.88043,3.91587,3.82728,3.70325,3.49062,3.40202,3.33115,3.1894,9,4.2110531958762865
2005,3.15396,3.04765,2.99449,2.95905,2.88818,2.88818,2.78186,2.74643,2.76415,2.71099,2.69327,2.71099,2.69327,2.67555,2.67555,2.72871,2.74643,2.72871,2.72871,2.69327,2.85274,3.04765,3.06537,3.26027,3.45518,3.57921,3.72096,4.0399,4.18166,4.46516,4.62463,4.71322,4.74866,4.85497,4.87269,4.97901,4.94357,4.89041,4.87269,4.94357,5.03216,5.01444,4.96129,4.94357,4.99672,5.0676,5.03216,5.04988,5.0676,5.10304,5.12076,5.03216,5.04988,5.04988,4.94357,5.0676,4.96129,4.97901,4.94357,4.94357,4.99672,4.96129,4.94357,4.99672,4.89041,4.85497,4.87269,4.96129,5.04988,5.12076,5.19163,5.01444,4.96129,4.96129,4.92585,4.83725,4.7841,4.76638,4.74866,4.62463,4.57147,4.53603,4.44744,4.48288,4.32341,4.37656,4.25253,4.09306,3.95131,3.86272,3.77412,3.61465,3.41974,3.34887,3.29571,3.1894,10,4.252416391752575
2005,3.1008,3.04765,2.9059,2.83502,2.85274,2.78186,2.76415,2.72871,2.71099,2.65783,2.60468,2.64011,2.60468,2.62239,2.65783,2.60468,2.65783,2.65783,2.69327,2.76415,2.83502,3.01221,3.06537,3.24255,3.43746,3.56149,3.77412,4.0399,4.18166,4.51831,4.62463,4.67778,4.83725,4.83725,4.89041,4.83725,4.89041,4.90813,4.87269,4.90813,4.92585,4.96129,5.04988,5.01444,5.03216,5.04988,5.04988,4.99672,4.97901,5.01444,4.92585,5.04988,4.99672,4.99672,5.03216,4.92585,5.01444,5.01444,4.96129,4.87269,4.87269,4.92585,4.85497,4.90813,4.87269,4.81954,4.92585,4.99672,5.12076,5.13848,5.13848,5.04988,5.13848,5.08532,5.03216,4.97901,4.80182,4.83725,4.73094,4.67778,4.67778,4.57147,4.57147,4.48288,4.412,4.30569,4.14622,3.96903,3.86272,3.77412,3.7564,3.63237,3.43746,3.34887,3.26027,3.1894,11,4.2475635051546385
