year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2012,14.15131,13.02357,13.02357,13.02357,13.02357,13.02357,12.296,11.87764,11.87764,11.87764,11.87764,11.87764,11.87764,11.87764,11.87764,11.87764,11.65937,10.73171,10.73171,10.73171,10.73171,10.73171,10.73171,10.73171,10.73171,10.73171,11.80489,11.9504,11.9504,11.9504,11.9504,12.15048,13.09633,13.09633,13.18728,13.84209,13.84209,13.84209,13.84209,14.27864,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,14.98802,15.24267,15.97025,15.97025,15.97025,15.97025,15.97025,15.97025,15.97025,15.97025,15.97025,15.97025,14.96983,14.73337,14.73337,14.73337,14.73337,14.73337,14.73337,14.73337,14.73337,14.55148,13.58744,13.58744,13.40555,12.85987,12.85987,12.85987,13.787902604166662
2012,12.85987,12.85987,12.13229,11.71394,11.71394,11.71394,11.71394,11.71394,11.71394,11.71394,10.78628,10.47706,10.47706,10.47706,10.47706,10.47706,10.47706,10.47706,10.47706,10.47706,10.47706,10.47706,11.6048,11.71394,12.67797,12.93262,13.49649,14.09674,15.97025,16.97066,17.89832,18.0984,18.29848,19.40803,19.40803,19.40803,19.55355,20.29931,20.29931,19.79001,19.57174,19.57174,19.57174,20.06285,20.79042,20.79042,20.79042,20.79042,20.79042,20.79042,20.79042,20.79042,20.79042,20.79042,20.79042,20.79042,20.79042,20.79042,20.79042,20.79042,20.79042,20.79042,20.28112,20.55396,20.55396,20.26293,19.73544,19.73544,19.73544,19.73544,19.73544,19.73544,18.80778,18.49856,18.49856,18.49856,18.49856,18.49856,17.95288,17.44358,17.44358,17.44358,17.44358,16.87971,16.20671,16.20671,16.20671,16.20671,16.20671,15.27905,15.15172,15.15172,14.09674,13.91485,13.91485,13.22365,16.65158697916667
2012,12.76892,12.76892,12.76892,12.1141,11.62299,11.62299,11.62299,11.62299,11.62299,11.62299,11.62299,11.62299,11.62299,11.62299,11.62299,11.62299,11.11369,10.96818,10.96818,10.96818,10.96818,10.96818,10.96818,11.56842,12.85987,13.91485,13.91485,14.71518,16.27946,17.60729,17.60729,18.7714,18.82597,18.82597,19.71725,20.06285,20.06285,20.8268,20.88137,20.88137,20.88137,20.88137,20.88137,20.88137,20.88137,20.88137,20.88137,20.88137,21.64532,21.86359,21.86359,21.86359,21.86359,21.86359,21.08145,20.71766,20.71766,20.71766,20.71766,20.71766,20.71766,20.71766,20.71766,20.71766,20.71766,20.71766,20.71766,20.71766,20.71766,20.71766,19.95371,19.64449,19.64449,19.64449,19.64449,19.22614,19.15338,18.17116,17.84375,17.84375,17.84375,17.84375,17.84375,17.27988,16.69782,16.69782,16.69782,16.69782,15.8793,15.55189,15.55189,15.51551,14.3332,14.3332,13.44193,13.09633,17.0841525
2012,13.09633,12.91444,11.87764,11.87764,11.87764,11.87764,11.87764,11.87764,11.87764,11.87764,11.87764,11.31377,10.64077,10.64077,10.64077,10.64077,10.64077,10.64077,10.64077,10.64077,10.67715,11.87764,11.87764,11.98678,13.1509,14.1695,14.1695,15.20629,16.64325,17.18893,18.13478,18.68046,19.08062,19.08062,19.08062,19.08062,20.06285,20.29931,20.29931,20.29931,20.29931,20.29931,20.29931,20.29931,20.29931,21.42705,21.53619,21.53619,21.53619,21.53619,21.53619,21.53619,21.53619,20.53577,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,19.68087,19.48079,19.48079,19.48079,19.48079,19.48079,19.18976,18.2621,18.2621,18.2621,18.2621,17.47996,17.35264,17.35264,17.35264,17.35264,17.02523,16.20671,16.20671,16.20671,16.20671,16.02481,15.06078,15.06078,14.84251,13.91485,13.91485,13.91485,16.89468104166666
2012,12.69616,12.69616,12.69616,12.69616,12.69616,12.58703,11.55023,11.55023,11.55023,11.55023,11.55023,11.55023,11.55023,11.40472,10.40431,10.40431,10.40431,10.40431,10.40431,10.40431,10.53163,11.71394,11.71394,11.71394,12.69616,12.969,14.1695,14.96983,16.15214,17.06161,17.91651,18.98968,19.35346,19.73544,19.73544,19.73544,20.20836,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,21.20878,21.28153,20.93594,20.68129,20.71766,20.71766,20.71766,20.71766,20.71766,20.71766,20.71766,20.71766,20.71766,20.71766,20.71766,19.73544,19.64449,19.64449,19.64449,19.64449,19.64449,19.64449,19.91733,20.39026,20.39026,20.39026,20.29931,19.15338,19.15338,19.15338,19.15338,17.93469,17.93469,17.93469,17.93469,17.93469,16.80696,16.78877,16.78877,16.78877,16.78877,16.78877,16.58868,15.55189,15.55189,15.55189,15.44275,14.40596,14.40596,14.13312,13.26003,16.841059062500005
2012,13.26003,13.26003,13.26003,12.91444,12.1141,12.1141,12.1141,12.1141,12.1141,11.73213,10.96818,10.96818,10.96818,10.96818,10.96818,10.96818,10.96818,10.96818,10.96818,10.96818,10.96818,10.96818,11.04093,12.27781,12.62341,13.51468,12.91444,14.27864,16.11576,16.87971,18.00745,18.73503,19.15338,19.15338,19.15338,19.15338,19.15338,19.15338,19.71725,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,20.46301,19.8082,19.73544,19.73544,20.20836,20.46301,20.06285,19.24433,19.24433,19.24433,19.24433,19.24433,19.24433,19.24433,19.24433,19.24433,19.24433,19.24433,19.24433,19.24433,19.24433,18.58951,18.0984,18.0984,17.95288,16.78877,16.78877,16.78877,16.78877,16.78877,16.78877,16.26127,15.64284,15.64284,15.64284,15.64284,15.64284,15.64284,15.64284,15.38819,14.40596,14.40596,14.40596,14.40596,16.518768333333348
2012,14.35139,13.26003,13.26003,13.26003,13.26003,13.26003,12.89625,12.1141,12.1141,12.1141,12.1141,12.1141,12.1141,12.1141,12.1141,12.1141,11.22283,10.89542,10.89542,10.89542,10.89542,10.89542,10.89542,10.89542,10.96818,12.04135,12.04135,12.04135,12.24143,13.26003,13.26003,13.26003,13.26003,13.98761,14.40596,14.40596,14.98802,15.55189,15.55189,15.55189,15.55189,15.97025,16.69782,16.69782,16.69782,16.69782,16.69782,16.69782,16.69782,16.69782,16.69782,16.69782,16.69782,16.69782,16.69782,16.33403,15.64284,15.64284,15.64284,15.64284,15.64284,15.64284,15.64284,15.64284,15.64284,15.64284,15.64284,15.64284,16.37041,16.78877,16.78877,16.78877,16.78877,16.78877,16.78877,16.78877,16.78877,15.67922,15.64284,15.64284,15.64284,15.64284,15.64284,15.47913,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,13.8239,13.35098,13.35098,14.491983125000006
2012,13.35098,13.35098,13.35098,12.87806,12.27781,12.27781,12.27781,12.27781,12.27781,12.27781,12.27781,12.27781,11.89583,11.05912,11.05912,11.05912,11.05912,11.05912,11.05912,11.05912,11.05912,11.05912,11.05912,11.05912,11.05912,11.05912,11.05912,11.05912,12.16867,12.20505,12.20505,12.20505,12.20505,13.16909,13.42374,13.42374,13.64201,14.56967,13.76933,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,14.56967,15.67922,15.80654,15.80654,15.80654,15.80654,15.80654,15.80654,15.80654,15.80654,15.80654,15.80654,15.80654,15.80654,15.80654,15.80654,15.80654,15.80654,15.80654,15.26086,14.56967,14.56967,14.56967,14.56967,14.56967,13.62382,13.35098,13.35098,13.35098,13.756451666666672
2012,12.67797,12.20505,12.20505,12.20505,12.20505,12.20505,12.20505,12.20505,11.11369,10.96818,10.96818,10.96818,10.96818,10.96818,10.96818,10.96818,10.96818,10.96818,10.96818,10.96818,10.96818,10.96818,10.96818,11.40472,12.36876,13.46012,14.47872,14.6788,16.09757,16.95247,17.80737,19.15338,19.31709,19.31709,20.06285,19.91733,19.8082,19.8082,19.8082,19.8082,20.89956,20.95413,20.95413,20.35388,20.22655,20.22655,20.22655,20.22655,20.22655,20.22655,20.22655,20.22655,20.22655,20.22655,20.3175,20.6631,20.22655,20.22655,20.22655,20.22655,20.22655,20.22655,20.22655,20.22655,19.66268,20.06285,20.62672,20.46301,19.64449,19.64449,19.64449,19.64449,19.64449,19.64449,19.26252,18.58951,18.58951,18.58951,18.58951,18.58951,18.58951,18.24391,17.44358,17.44358,17.44358,17.44358,17.44358,16.60687,16.29765,16.29765,15.71559,15.06078,15.06078,13.95123,13.91485,13.91485,16.84390249999999
2012,13.02357,12.76892,12.76892,12.76892,12.76892,11.62299,11.45929,11.45929,11.45929,11.45929,11.45929,11.45929,11.45929,11.45929,11.45929,11.45929,11.45929,11.45929,11.45929,11.45929,11.45929,11.45929,11.45929,11.73213,12.76892,13.91485,14.6788,15.24267,17.02523,17.62548,18.66227,19.66268,19.8082,19.8082,19.8082,20.22655,20.55396,20.55396,20.55396,20.55396,20.55396,20.55396,20.55396,20.84499,21.28153,21.28153,21.28153,21.28153,21.28153,21.28153,21.28153,21.28153,21.28153,21.28153,21.28153,21.28153,21.08145,20.22655,20.22655,20.22655,20.22655,20.22655,20.22655,20.22655,19.84458,20.04466,20.62672,20.62672,20.39026,19.77182,20.19017,19.48079,19.48079,19.48079,19.48079,19.48079,19.48079,18.93511,18.17116,18.17116,18.17116,18.17116,18.17116,18.17116,18.17116,17.7528,16.95247,16.95247,16.95247,16.40679,15.64284,15.64284,14.66061,14.49691,14.49691,13.80571,17.21394208333334
