year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00,index,averagemwh
2022,13.705251945,13.34308618,13.104106584,12.946097373,12.696714214,12.524187241,12.130363563,11.993553521,11.986954065,11.827024911,11.751167055,11.794759896,11.679600051,11.598727231,11.609364764,11.676914358,11.728348236,11.611049827,11.598794936,11.692715214,11.78226487,11.809930013,11.999662012,12.035604848,12.542340784,12.87455938,12.940989819,13.178062134,13.543961606,14.001727961,14.275196361,14.655978551,15.11918458,15.374295069,15.53352697,15.749632226,16.511450709,16.569735268,16.924538887,17.020264898,17.355431634,17.366217839,17.551621002,17.447618653,17.605716987,17.582284382,17.649209701,17.703200003,17.711000357,17.703605303,17.920955101,17.756530906,17.745658144,17.762762807,17.607464818,17.606544116,17.649744904,17.629630314,17.569311645,17.69993151,17.838230899,17.898996629,17.689328931,17.668613118,17.55271678,17.644358614,17.585534398,17.529916321,17.490882005,17.593640632,18.041970211,18.229083797,18.025994654,18.003138723,17.784959383,17.744147622,17.689467927,17.459888786,17.305038085,17.207973254,16.916531458,16.534146287,16.464115794,16.320460881,16.114328134,15.994134264,15.785622252,15.522044134,15.449683784,15.476358006,15.331895809,15.131178663,14.82158008,14.618208731,14.33521924,14.259566072,0,15.28994930510309
2022,14.087865536,13.734400406,13.579732584,13.345344915,12.984765436,12.768719864,12.674749287,12.560813014,12.41000052,12.237843042,12.232451256,12.097321462,12.007830543,12.019374178,12.055823076,11.946519411,11.901857301,11.942263232,11.864362984,11.939038625,12.007591088,11.979838889,12.076363148,12.155064141,12.387096,12.472210717,12.384772016,12.566954071,12.772312778,13.087318735,13.382418941,13.637792914,14.006724897,14.504896693,14.715282694,14.917302903,15.155320341,15.377851338,15.629720076,15.887660709,16.165060337,16.192355478,16.257412316,16.450410616,16.300363556,16.342921551,16.454170329,16.401092514,16.332530082,16.506465363,16.381761588,16.435933291,16.192187937,16.313193971,16.338025049,16.4972468,16.188249779,16.251716358,16.473447998,16.370721248,16.288155432,16.427066934,16.25424963,16.222862733,16.22146115,16.197643341,16.339940857,16.458325887,16.508835582,16.791264194,17.140839791,17.316641602,17.2782548,17.357474545,17.433185513,17.318396559,17.159665285,17.05625233,16.961576881,16.830482987,16.659932824,16.195539863,16.131621929,16.086513521,15.678696867,15.503060391,15.160416226,14.779880198,14.414873982,14.386783329,14.061350617,13.733550075,13.424905374,13.263119523,13.055083018,12.680903935,1,14.640408697185563
2022,12.634742622,12.34062752,12.263420768,12.121866824,12.056087314,11.912173562,11.735374309,11.593113665,11.657203796,11.459008996,11.40470898,11.429107787,11.527151356,11.402832091,11.44659542,11.492730125,11.538604664,11.566619129,11.452326809,11.701834053,11.944223143,12.113870742,12.419156706,12.694032487,13.484813836,14.117229887,14.717533424,15.287763441,16.38559382,17.373606931,18.383155627,19.103207278,20.007797153,20.331306998,20.536667645,20.914591664,21.276034155,21.332306254,21.448928088,21.462751788,21.597251533,21.776500253,21.910388307,22.031155347,22.113783202,21.998146156,21.973642706,22.156238516,22.249502495,22.428298668,22.40178787,22.586144563,22.674155836,22.625838145,22.754569447,22.755930069,22.769336349,22.872602963,22.660994378,22.529717024,22.697470111,22.859410949,22.612723904,22.319809797,22.285963113,21.989303875,22.008004574,22.004229653,21.48610261,21.493215954,21.500695604,21.314689046,20.417314924,19.865918365,19.505254426,19.532530678,19.369116595,18.980103851,18.822060035,18.538823692,18.070540043,17.685931992,17.32797402,17.158992787,16.467034062,16.307642011,15.795319415,15.494572944,14.887774605,14.690076478,14.278276762,13.784439636,13.433599909,13.098659475,12.890253841,12.737847745,2,17.44998311510309
2022,12.642865286,12.508923846,12.354073798,12.128200708,12.068520583,11.829164312,11.74053666,11.645787671,11.591945184,11.528430231,11.4167377,11.307374793,11.381043884,11.363211646,11.296143998,11.341316976,11.393317899,11.374636844,11.479827756,11.679385678,11.953894013,12.104418853,12.31404775,12.732275293,13.757010121,14.305403926,14.863941926,15.39901242,16.754461416,17.595010255,18.566783761,19.315578751,20.41452811,20.689774653,21.115733839,21.307464054,21.554758783,21.73173452,21.601261377,21.4393545,21.579860234,21.544532091,21.80399072,21.937686922,22.208272174,22.188317269,22.135248106,22.053349607,22.311667668,22.327163541,22.351835571,22.301730054,22.314178806,22.652093386,22.362400661,22.327556447,22.365551137,22.236012349,22.132887735,22.084693603,22.148576931,21.962733225,21.931791343,21.684892106,21.678107817,21.565983223,21.619779328,21.664746001,21.480656872,21.536399742,21.406344304,21.422508512,20.623005443,20.449258964,20.044404885,19.887160739,19.701738366,19.249606922,19.309793121,19.10362766,18.656102002,18.150971918,17.931976523,17.746738098,17.400483373,17.034947423,16.612630387,16.101525182,15.565350756,15.304809044,14.867165018,14.343075254,13.857661556,13.636920484,13.315818958,13.021557022,3,17.544595570690717
2022,12.871790922,12.736383839,12.508823786,12.460255232,12.150755368,11.812753038,11.784831288,11.770311706,11.605478255,11.395619519,11.324447417,11.384484035,11.312503289,11.347625217,11.397526031,11.409877916,11.539027416,11.472472343,11.55765025,11.712124533,11.931200532,12.141752789,12.423189281,12.979424048,13.953684094,14.539734596,15.085116613,15.842278448,17.079482617,17.777764858,18.995709292,19.851583519,20.652692909,20.876876824,21.057451251,21.097681808,21.578207168,21.547298284,21.778508633,21.805925352,21.908132625,21.980005766,21.890822383,21.863166144,21.830789318,21.766050546,22.072875181,22.433277851,22.39646474,22.309785794,22.164058302,22.400742837,22.471112188,22.352802777,22.371675236,22.117576828,22.114694245,22.06767884,22.101016979,22.118893783,22.067745842,21.964449388,21.891342734,21.804641193,21.87972969,21.631882018,21.439837272,21.497762204,21.838737073,21.964374973,21.578081707,21.532536708,20.741472456,20.380692356,20.254536902,19.982273266,19.688420095,19.510428329,19.437137778,19.213534134,18.648378504,18.34187047,18.044186423,17.711156601,17.23584732,16.903316695,16.567774465,16.083168445,15.756241455,15.579720269,15.194604163,14.811941225,14.150208823,13.80273947,13.582636746,13.304766915,4,17.64226908026804
2022,13.022963452,12.874917878,12.552022791,12.449909786,12.316655071,12.117647264,12.103675388,12.000024633,11.83346685,11.833809948,11.762798545,11.638534427,11.672676196,11.645765042,11.528827695,11.572466658,11.580342538,11.552114539,11.751617102,11.834664252,12.15433325,12.339542326,12.715830679,12.984229996,13.908850444,14.362547057,15.150267605,15.985430359,17.10838521,18.198055023,19.194511195,19.965869087,20.931891752,21.107169146,21.304276597,21.704871614,22.100235861,22.129514889,21.98036782,22.302275992,22.534195763,22.606692637,22.598537368,22.732975006,22.822209625,22.754951652,22.898416043,23.030608152,23.028921865,23.039859402,23.21953539,23.258898457,23.308959168,23.225622235,22.843556646,22.990912105,23.052383637,22.994165892,22.843481427,22.750354103,22.693140987,22.671746547,22.564240907,22.459541724,22.437708209,22.60641206,22.401416962,22.216587873,21.938635702,22.174677032,22.222248039,22.175483412,21.310367445,20.78846829,20.449520876,20.272982455,20.202606333,19.913005626,19.804141258,19.449589052,18.972647101,18.743411486,18.386158455,18.032367511,17.662916442,17.377770961,16.795980113,16.42737107,16.116448665,16.009075561,15.529942711,15.153366293,14.876331115,14.411556018,13.983774401,13.637962387,5,18.079156635144336
2022,13.49629081,13.18509994,13.07774486,12.884501804,12.685526247,12.402892638,12.195560502,12.199008589,12.215510145,12.032177273,11.925331691,11.76773265,11.766930391,11.75389065,11.79001725,11.942726014,11.932310267,11.874357822,11.931271347,12.123378048,12.509006501,12.74929992,12.801662148,13.20222192,14.053719262,14.521003201,15.156108805,15.735055559,16.914103752,17.790820404,18.791173495,19.7449897,20.593820881,21.096115562,21.537099535,21.905827791,21.764240318,21.637520764,22.103167815,21.942421458,22.385431489,22.590348772,22.6348461,22.808416666,22.778085997,22.597111873,22.441615235,22.79139151,23.132194504,23.075307079,23.039025318,22.880218819,22.834363741,22.824813371,22.67495586,22.799070776,22.879905226,22.956083651,22.903404538,22.546730889,22.503583754,22.561516336,22.478688308,22.094064341,21.9743402,21.919410868,21.757611988,21.885794362,21.861445096,21.888492574,21.663920334,21.382686749,20.534389112,20.046431351,19.733593463,19.270929799,19.09258761,18.826615065,18.740493222,18.381100724,18.011092306,17.492287494,17.362560162,17.292159915,16.945696466,16.680253205,16.506298924,16.075054237,15.677622221,15.465692616,15.233341084,15.030042257,14.72808077,14.366064717,14.060985662,13.771747731,6,17.903109630577312
2022,13.664421416,13.35161492,13.081372844,12.964881979,12.764762929,12.531741945,12.285974056,12.184145959,12.048995622,12.049009701,11.954285102,11.82333191,11.734715523,11.709865441,11.719937214,11.714357265,11.648801533,11.681457451,11.627393012,11.710053092,11.789038035,11.85649447,11.974173137,12.167022732,12.648066467,12.797691076,13.065546807,13.331665913,13.540345149,13.878337127,14.271621788,14.644950987,14.949986848,15.286544364,15.616927225,15.949689566,16.403456321,16.533755144,16.832244982,17.007113426,17.063351794,17.330570998,17.275151335,17.336135499,17.611209873,17.466667198,17.512819323,17.436557866,17.955314894,17.920143702,17.731963765,17.679475454,17.611016987,17.676676496,17.262711735,17.38678702,17.334584998,17.605628307,17.891520504,17.555969428,17.498916367,17.42299717,17.388015393,17.355155284,17.460037194,17.545234233,17.521596168,17.516748161,17.419340297,17.555262167,17.9073145,17.848923649,17.791960156,17.687298757,17.672028084,17.526839826,17.356325084,17.232977499,16.981871885,16.81585227,16.756684602,16.534813822,16.28406583,16.14586817,15.893506986,15.85232905,15.463803355,15.197344248,15.023472755,14.865592043,14.600861575,14.369714753,14.084121219,13.909027281,13.713809464,13.430672141,7,15.237839475175258
2022,13.322103346,13.194300062,12.877041688,12.596717064,12.420125516,12.301851776,12.016122276,11.871695323,11.858221627,11.799272648,11.58767717,11.541905425,11.45847796,11.39081884,11.507140854,11.334102201,11.330627039,11.421236599,11.326581882,11.391380906,11.541911204,11.529492071,11.523217318,11.741026688,12.123376155,12.240857836,12.474014415,12.497311677,12.716787344,12.855081124,13.229417362,13.440805012,13.612347691,13.97834528,14.414120165,14.641748777,15.157129881,15.303620037,15.622143196,15.707507848,15.880114477,16.162369882,16.327469683,16.171978773,16.315588101,16.332037824,16.15690407,16.220819122,16.172058445,16.233305983,16.235248268,16.029676172,15.953266756,15.998890306,15.912178804,15.87571642,15.967297067,15.91604285,15.900621494,16.007752506,15.882434646,15.785863142,15.863159214,15.843129925,15.772039436,15.82088067,16.003788283,16.142937146,16.362394735,16.579477758,16.893252161,17.081886088,17.028831984,17.030944026,17.11265145,17.049962456,17.115859419,16.834198873,16.780641268,16.743390166,16.325444368,16.134956897,15.853888213,15.728215619,15.50626718,15.38935884,15.140362002,14.718940522,14.316593722,14.185633195,13.932791899,13.672483003,13.411241546,13.127247483,12.784346229,12.598923046,8,14.40434448346391
2022,12.611260556,12.31521547,12.079685383,11.97086272,11.863404875,11.641614498,11.584876471,11.561079749,11.575800534,11.442951822,11.378563558,11.313528576,11.245105872,11.227815333,11.269017976,11.300365792,11.338551612,11.400195566,11.477640465,11.650813344,11.956134198,12.037470011,12.375034283,12.628630136,13.404132938,13.980336391,14.483366044,15.485862674,16.285551483,17.184586722,18.262150529,19.10173999,19.7589645,19.881756319,20.51359678,20.71015352,21.101074483,20.972218308,21.021571775,21.099530219,21.022690658,21.321150666,21.519115859,21.442853482,21.589440092,21.690742018,21.556657169,21.635985279,21.801890697,21.90546088,21.983919878,22.041151052,22.119726214,22.290588827,22.39634936,22.15785562,22.048902336,22.190835418,22.093374859,21.922501675,22.029914759,22.003111504,21.818875376,21.575673386,21.534773021,21.268779106,21.267956551,21.181067547,21.050837146,21.001055528,21.010450391,20.918502392,20.072368822,19.509269308,19.143250966,19.055223308,18.849655832,18.613596333,18.565766775,18.227595414,17.852334538,17.605067888,17.218078789,17.073077189,16.422822578,16.091574513,15.694897207,15.313228811,14.806977127,14.807737874,14.448943012,14.169439037,13.645412766,13.391725417,13.163263904,12.76645114,9,17.25146555431959
