year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2008,26.83896,25.72934,25.0705,25.52128,24.44634,24.01289,23.07665,22.3658,22.14041,21.84566,21.30819,21.16949,20.58,20.80539,20.49331,20.23325,20.73604,20.90942,20.9441,21.30819,22.31379,22.5045,23.56211,25.41726,27.96592,30.2025,33.49668,34.12085,37.12029,38.94076,40.13707,42.13092,43.48327,44.00341,45.82388,46.91616,47.78306,48.5806,49.75957,49.41281,49.70755,49.96762,50.34905,50.33172,51.02523,50.08899,50.45308,50.81718,51.424,50.90386,51.44134,51.49335,51.21595,50.74782,50.95588,51.49335,51.16393,50.40107,50.08899,50.12366,50.08899,49.23943,49.55151,49.56885,49.39547,49.15274,49.15274,49.44749,49.29145,50.59178,49.93295,48.00845,45.91057,45.07835,43.48327,42.26963,41.33338,40.15441,39.53025,38.90609,38.12589,37.12029,36.87756,35.66391,34.90105,34.10351,33.44467,32.64713,32.49109,32.64713,31.7629,30.25451,29.00619,28.97151,28.22598,26.78695,38.23460739583333
2008,27.09903,26.05876,24.74108,25.27855,24.63705,24.11692,23.49276,22.67788,22.19242,21.67229,21.51625,21.10014,20.63202,20.70137,20.4413,20.47598,20.85741,20.78806,20.9441,21.20416,22.55651,22.24443,23.61412,25.17453,28.12196,30.72263,33.65273,34.22487,36.86022,38.83674,40.65721,41.74949,43.98607,44.57556,46.06661,46.89883,47.69637,48.3552,49.98496,50.24503,50.74782,50.2797,50.55711,50.79984,50.97322,51.37199,51.00789,51.59738,51.73608,52.11751,52.0655,52.2042,52.32557,52.32557,52.10017,53.05376,52.01349,52.51628,52.37758,51.59738,51.64939,51.78809,51.99615,51.85745,51.63205,51.47601,51.64939,51.59738,50.29704,51.26796,51.23328,48.89268,46.81214,45.23439,44.78361,43.46594,41.55878,40.39714,39.47824,38.78472,38.12589,37.48439,37.0336,36.08002,34.58897,34.20754,33.28863,32.19635,31.97096,32.02297,31.7629,30.68796,29.52632,29.31827,28.33001,27.1337,38.7523953125
2008,27.28974,25.93739,24.70641,24.06491,23.38873,22.72989,22.26177,21.93235,21.3602,21.53358,20.99611,20.59734,20.59734,20.42396,19.86915,20.16389,20.70137,20.54533,20.80539,23.40607,23.90887,23.87419,24.86245,26.16278,28.65943,31.24277,33.63539,36.30541,38.69803,40.15441,42.13092,44.05542,45.40777,45.80654,46.37869,47.21091,48.73664,49.55151,50.17568,50.43574,51.00789,50.97322,51.37199,51.84011,51.89212,51.90946,52.36024,52.63765,53.05376,53.10577,53.3485,53.99,53.36584,53.78194,53.08843,53.76461,53.97266,53.66058,52.94973,53.00174,52.32557,52.11751,52.32557,52.72434,52.2042,52.41226,51.64939,52.16953,51.73608,53.10577,53.78194,53.29649,51.85745,51.07724,49.41281,48.73664,47.47097,46.95084,45.75453,44.61023,43.89938,42.89379,42.23495,40.31045,37.01626,35.21313,34.36358,33.27129,32.19635,32.56044,32.07498,30.53192,29.4223,29.31827,28.06994,26.94299,40.01895927083335
2008,26.83896,25.74668,24.65439,25.10518,24.60238,23.70081,22.98996,22.5045,22.15774,21.68962,21.53358,21.30819,21.11748,20.9441,20.78806,20.85741,20.84007,21.20416,21.04812,21.56826,22.98996,23.02464,23.9262,25.79869,29.28359,30.89601,33.13259,34.62364,37.01626,39.42622,41.09065,42.68573,43.726,45.23439,47.33227,49.10073,50.141,51.16393,51.89212,52.53362,53.08843,52.89772,53.2098,53.31382,53.40051,53.83396,53.92065,53.31382,53.66058,53.50454,54.14604,53.97266,53.99,54.23273,54.04201,54.33675,53.99,53.97266,53.67792,53.19246,53.52188,53.46986,52.51628,52.9844,52.51628,52.5683,52.16953,51.54536,50.71315,50.48776,49.51684,47.33227,44.41952,43.77802,42.13092,41.43741,39.72097,39.16615,38.54199,37.38036,36.87756,36.49613,35.40385,34.41559,33.79143,32.75116,31.93628,31.39881,30.94802,31.29478,31.31212,30.25451,29.11021,29.4223,28.5554,27.54981,39.13906416666667
2008,27.46312,26.68292,25.15719,25.78135,25.10518,24.18627,23.2847,22.8686,22.24443,21.7243,21.53358,21.10014,20.80539,20.49331,20.99611,20.4413,20.47598,20.59734,20.31994,20.89208,21.48157,21.53358,22.24443,22.52184,23.23269,23.75283,24.81043,25.64265,27.25507,28.06994,29.6997,30.53192,33.16727,34.69299,35.52521,37.55374,38.6807,38.54199,39.66895,40.2411,41.17734,40.51851,40.8826,40.83059,41.33338,41.40273,41.3854,41.76683,41.90553,41.87086,41.87086,41.64546,41.48942,41.12533,41.14267,40.65721,40.62253,40.41448,40.39714,40.39714,40.36246,39.7383,39.99837,39.77298,39.84233,40.1024,39.53025,39.40888,39.14882,40.83059,41.22936,40.83059,39.27018,38.69803,37.8138,37.29367,36.18405,35.68125,35.19579,34.4676,34.10351,33.42733,32.9072,32.64713,31.93628,30.93069,30.82666,29.99444,30.09847,30.82666,30.67062,30.27185,29.02353,29.47431,28.33001,27.15104,32.72767989583334
2008,27.1337,26.40551,25.31323,25.59063,25.00115,24.37699,23.12866,22.41781,22.40047,21.93235,21.41222,20.99611,21.01345,20.33727,20.23325,20.33727,20.21591,20.33727,20.05987,20.23325,20.64935,20.75338,20.9441,21.51625,22.20976,22.31379,22.88593,23.25003,24.429,25.62531,26.61357,27.04701,29.0582,29.57834,30.94802,31.67621,33.53136,34.0515,34.74501,36.30541,37.24166,36.91224,37.76179,37.69244,37.60575,37.79647,37.96984,38.16056,37.95251,38.10855,38.36861,37.60575,38.3166,37.86582,37.43237,37.84848,37.95251,37.43237,37.8138,37.50172,37.29367,36.72152,37.01626,37.24166,37.43237,37.12029,37.01626,37.18964,37.64043,39.11414,39.94636,40.51851,39.56492,38.62868,38.42063,37.01626,36.72152,36.18405,35.4732,35.03975,34.79702,34.27689,33.75675,33.37532,32.19635,31.10406,30.77465,29.47431,29.43963,30.30652,29.95977,29.11021,28.08728,27.9139,27.25507,26.52688,31.062525729166666
2008,26.31882,25.41726,24.44634,24.91446,24.63705,24.01289,22.97262,22.40047,21.94969,21.62027,21.2215,20.90942,20.23325,20.26792,20.21591,19.92117,20.42396,20.4413,20.28526,20.84007,22.45249,22.41781,23.87419,25.79869,28.08728,29.90775,33.06324,33.79143,36.54814,38.48998,40.44915,41.40273,43.48327,43.93406,45.77187,47.0722,48.26851,49.4995,49.3608,50.141,50.97322,51.31997,51.26796,51.2853,50.90386,50.90386,51.33731,51.47601,51.68407,51.58004,51.59738,51.73608,51.85745,51.64939,51.99615,51.64939,51.99615,51.90946,51.44134,51.12926,50.43574,50.69581,50.03697,50.85185,50.43574,50.86919,49.8636,51.16393,50.9212,51.47601,49.91561,48.26851,46.37869,45.56381,43.46594,42.89379,41.59345,40.2411,39.87701,39.11414,37.76179,37.08562,36.65217,35.62924,34.4676,33.23662,32.92454,31.50283,31.41615,31.93628,31.29478,30.32386,29.43963,29.73438,28.08728,27.28974,38.4354371875
2008,26.94299,26.00674,24.86245,25.22654,24.94914,24.08224,23.25003,23.33672,22.5045,21.94969,21.46423,21.04812,20.75338,20.58,20.58,20.26792,20.59734,20.58,21.11748,20.99611,22.26177,22.45249,23.71815,25.36524,27.80988,29.78639,33.16727,34.36358,36.77353,38.28193,39.84233,41.17734,42.54703,44.47153,45.87589,46.70811,48.25118,50.22769,50.48776,50.71315,51.37199,52.42959,52.79369,52.94973,52.51628,53.46986,53.60857,53.93798,53.76461,53.46986,54.1287,54.18071,54.02467,54.02467,54.07669,53.81662,54.28474,54.85689,54.54481,54.14604,53.41785,53.36584,53.36584,53.24447,53.92065,53.99,53.41785,53.72993,52.74167,52.77635,51.38932,49.67288,46.89883,46.53473,44.93965,43.726,42.1656,40.77857,39.63428,39.20083,38.07387,37.1723,37.08562,36.40944,35.14378,34.22487,33.28863,32.43908,32.127,32.23102,31.7629,30.63594,29.47431,29.4223,28.17397,27.28974,39.39208822916667
2008,26.78695,26.09343,24.94914,25.46927,24.68907,24.34231,23.44074,22.83392,22.10573,22.05372,21.93235,21.56826,21.16949,21.06546,20.96143,21.10014,21.3602,21.48157,21.53358,21.62027,23.04197,23.70081,25.31323,26.83896,29.99444,32.33505,35.14378,36.13203,39.27018,40.86526,43.04983,44.29815,45.45979,47.21091,48.73664,49.62087,51.68407,52.62031,52.89772,53.05376,53.45253,53.46986,53.36584,53.81662,53.71259,53.66058,53.60857,53.67792,53.45253,52.94973,52.89772,53.15778,52.94973,52.32557,53.14044,52.62031,52.51628,52.77635,52.46427,51.94413,52.25622,51.7014,52.10017,52.51628,52.51628,52.58563,52.88038,53.3485,53.71259,53.10577,51.73608,49.67288,46.96818,46.69077,46.06661,44.24614,42.9458,42.18294,41.3854,40.41448,39.42622,38.80206,37.79647,36.96425,35.57722,34.36358,33.13259,32.28304,32.04031,32.04031,31.7629,30.73997,29.43963,29.33561,28.12196,26.89097,39.87014302083334
2008,27.09903,26.19746,24.91446,25.62531,24.53303,24.03023,23.33672,22.62587,22.41781,21.63761,21.53358,21.25618,21.10014,20.90942,20.68403,20.85741,21.15215,21.25618,21.32553,21.41222,22.78191,22.88593,24.01289,26.24947,29.31827,31.93628,33.34064,34.8317,38.43797,40.62253,41.55878,42.58171,44.15945,45.19972,46.58675,48.14715,49.03138,49.91561,50.19301,50.34905,49.77691,49.96762,50.86919,50.38373,50.59178,50.50509,49.93295,50.9212,50.86919,50.50509,50.79984,51.05991,50.43574,50.40107,50.66114,51.02523,50.53977,50.50509,50.53977,50.01964,49.44749,49.51684,49.67288,50.12366,49.98496,50.45308,50.76516,51.11192,52.01349,52.79369,53.15778,51.89212,50.71315,50.03697,48.89268,48.45923,47.38429,46.48272,45.45979,44.83562,44.03808,42.8071,42.13092,40.41448,37.96984,36.13203,34.67566,33.27129,32.5431,32.50843,32.24836,30.77465,29.75171,29.64769,28.59008,27.1337,39.41863708333331
