year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2013,21.50683,21.02558,20.44477,19.84736,19.56524,19.56524,18.98443,18.66913,18.66913,18.66913,18.66913,18.28745,17.70663,17.70663,17.70663,17.70663,18.00533,18.02193,18.02193,18.02193,18.50318,18.95124,20.04649,21.40726,22.93398,24.59346,26.50186,28.26091,30.84969,32.64193,33.73718,34.55033,35.04817,35.84472,36.45873,36.95657,37.58717,38.58286,38.58286,38.58286,38.58286,39.31303,39.56195,40.0432,40.27553,40.27553,40.27553,40.27553,40.27553,40.27553,40.27553,40.27553,40.27553,40.27553,40.27553,40.27553,40.27553,40.27553,40.27553,40.27553,40.15936,39.37941,39.37941,39.37941,39.37941,39.66152,40.20915,40.20915,40.32531,41.05548,41.05548,41.05548,40.24234,39.51217,39.03092,38.33394,37.13911,36.45873,35.67877,34.71628,33.85335,33.13977,32.99042,32.29344,31.53008,30.38504,29.8706,28.79194,28.26091,26.88354,26.21975,25.35682,24.44411,23.39864,22.90079,21.9217,0,31.17457484536082
2013,21.2911,20.51115,20.41158,19.96352,19.51546,19.51546,18.68572,18.61934,18.61934,18.61934,18.61934,18.61934,17.85598,17.72322,17.72322,17.72322,17.70663,17.70663,17.70663,17.70663,18.33723,18.70232,19.68141,20.89283,22.81782,24.21178,26.40229,27.86263,30.21909,32.01133,33.10658,33.98611,35.09796,35.46304,36.29278,37.32166,38.01864,38.16799,38.96454,38.96454,38.96454,39.61174,39.92704,40.14277,40.77337,40.77337,40.77337,40.77337,41.08867,41.60311,41.60311,41.60311,41.60311,41.60311,41.76906,41.45376,41.45376,41.45376,41.45376,41.45376,41.45376,41.45376,40.80656,40.27553,40.27553,40.27553,40.87294,41.10527,41.10527,41.47035,41.37078,40.80656,39.36281,38.20118,37.57058,37.08933,35.97748,35.06477,34.30141,33.73718,33.17296,32.54236,32.47598,31.57986,30.76672,30.41823,29.50552,29.07405,27.9788,27.14906,26.15337,25.07471,23.99605,23.43183,22.83442,21.95489,1,31.267344948453626
2013,21.65619,21.05877,20.21244,20.21244,19.54865,19.34951,18.81848,18.46999,18.46999,18.46999,18.46999,18.46999,18.00533,17.55728,17.55728,17.55728,17.85598,17.87258,17.87258,17.87258,18.38701,18.56956,19.61503,20.42817,22.31998,23.76372,25.7385,27.48095,29.83741,31.71262,33.67081,33.98611,34.78266,35.46304,36.45873,37.60377,37.93566,38.61605,39.29644,39.56195,39.56195,39.56195,39.56195,39.56195,40.14277,39.62833,40.30872,40.45807,40.45807,40.45807,40.97251,40.74018,40.57423,40.57423,40.57423,40.57423,40.57423,40.57423,40.57423,40.57423,40.57423,40.01001,39.71131,39.77768,40.49126,39.77768,39.77768,39.77768,39.77768,40.64061,41.52014,41.52014,40.78997,40.70699,40.70699,39.77768,39.49557,38.7654,38.21778,37.68674,36.8736,36.2264,36.01067,34.74947,33.23934,31.09862,29.93698,29.20681,28.02858,26.73419,25.82148,25.14109,24.41092,23.58118,23.08334,22.22041,2,31.489279896907217
2013,21.44045,20.72688,20.29541,19.61503,19.44908,19.44908,19.44908,18.78529,18.56956,18.56956,18.56956,18.23766,17.70663,17.70663,17.70663,17.70663,17.87258,17.87258,17.87258,17.87258,18.13809,18.61934,19.7146,20.85964,22.48593,24.1454,26.10359,27.91242,30.43482,32.21047,33.28913,33.90313,35.21412,35.64558,36.07705,36.49192,37.38804,37.85269,38.51648,38.94795,38.782,38.43351,39.29644,39.37941,39.37941,39.27984,38.53308,39.24665,39.46238,39.46238,39.46238,39.46238,39.46238,39.46238,39.46238,39.46238,39.46238,39.46238,38.91476,39.11389,38.51648,38.51648,38.51648,38.782,39.36281,39.36281,39.36281,39.36281,39.37941,40.17596,40.3751,39.96023,39.23006,37.85269,36.95657,36.19321,35.39666,34.30141,33.96951,33.15637,32.70831,32.24365,31.87857,31.26456,30.5012,29.77103,29.05746,28.62599,27.86263,27.21544,26.18656,25.62234,24.80919,23.69734,23.44842,22.61868,3,30.656163814432993
2013,22.22041,21.55662,20.71028,20.47796,19.86395,19.86395,19.68141,19.00102,19.00102,19.00102,18.71891,18.15469,18.15469,18.15469,18.15469,18.15469,17.65684,17.65684,17.65684,17.65684,17.65684,17.65684,17.65684,18.13809,19.698,20.06309,20.99239,21.95489,23.29907,24.89217,25.63893,25.63893,26.3857,27.56393,28.70897,29.15703,30.55099,30.66715,30.66715,30.99905,31.84538,31.84538,31.84538,31.84538,31.84538,32.01133,32.95723,32.69171,33.3721,34.3346,38.16799,37.76972,36.72425,35.97748,35.5958,34.93201,34.21843,33.95292,33.95292,33.25594,33.13977,33.13977,32.62533,32.31003,32.31003,32.7249,33.20615,33.96951,34.03589,34.03589,34.88222,34.9486,34.9486,34.9486,34.53373,34.0027,32.90745,31.86197,31.39732,31.16499,30.55099,30.11952,29.70465,29.70465,28.89151,28.77535,28.02858,27.56393,27.16565,27.16565,27.16565,26.50186,25.40661,25.27385,25.27385,24.11221,4,27.434254639175258
2013,23.5314,23.06674,22.20381,21.70597,21.70597,21.2911,20.6605,19.96352,19.96352,19.3993,19.0674,19.0674,19.0674,19.0674,19.0674,19.0674,18.28745,18.17128,18.17128,18.17128,18.17128,18.17128,18.17128,18.18788,19.20016,19.99671,20.21244,20.89283,21.90511,22.75144,23.5314,24.162,25.04152,25.98742,26.73419,27.59712,28.6094,28.95789,28.95789,29.53871,30.65056,30.84969,30.84969,30.84969,30.84969,30.84969,30.84969,30.84969,30.84969,30.84969,30.26888,30.00336,30.00336,30.65056,30.55099,30.10293,30.10293,30.10293,30.10293,30.10293,30.10293,30.10293,30.10293,30.56758,31.01564,31.1484,31.86197,32.29344,33.0402,34.21843,35.03158,35.69537,35.69537,35.69537,35.69537,35.29709,34.23503,33.63762,32.99042,32.57555,32.06111,31.62965,31.21478,30.96586,30.25228,29.50552,28.82513,27.81285,27.71328,27.71328,27.38138,26.43548,25.32363,24.97514,24.97514,24.32795,5,26.751347628865975
2013,23.48161,23.23269,22.65187,22.12084,22.28679,21.83873,21.20813,20.59412,19.98011,19.7146,19.44908,18.86826,18.86826,18.86826,18.86826,18.86826,18.86826,18.33723,18.02193,18.08831,19.18356,20.14606,20.46136,21.45705,23.43183,25.35682,27.21544,29.15703,31.779,34.05249,35.52942,36.40894,37.37144,37.52079,38.1348,38.71562,39.4126,39.92704,40.42488,41.17165,41.17165,40.44148,40.3585,40.3585,40.3585,40.3585,41.07208,39.96023,40.72359,40.20915,40.0432,39.81087,39.81087,39.62833,39.42919,39.67812,39.67812,39.67812,39.67812,38.91476,38.7654,38.7654,38.7654,38.7654,39.47898,39.396,40.29212,40.60742,40.82316,41.52014,41.71927,42.43285,41.23802,40.60742,40.54104,39.7279,38.99773,37.93566,37.07274,36.07705,35.49623,35.14774,34.78266,34.20184,33.02361,32.29344,31.54667,30.75012,30.26888,29.80422,29.32297,28.55961,27.14906,26.23635,26.0538,24.92536,6,32.28378309278352
2013,23.87989,23.64756,23.06674,22.60209,22.78463,22.00468,21.45705,20.95921,20.89283,20.06309,20.06309,19.73119,19.20016,19.20016,19.20016,19.20016,18.85167,18.85167,18.85167,18.85167,18.85167,20.0299,20.72688,21.83873,23.92967,25.88785,28.2941,29.62168,32.12749,34.18524,35.11455,35.84472,36.72425,36.82381,37.38804,38.06842,38.63264,38.63264,38.83178,38.86497,38.86497,38.86497,38.86497,38.86497,39.24665,38.98114,38.98114,38.98114,38.98114,39.47898,39.32963,39.06411,39.86066,39.92704,39.82747,39.19687,39.92704,39.92704,39.92704,39.92704,39.92704,39.24665,39.01432,39.62833,39.91044,36.95657,38.71562,39.06411,39.59514,40.75678,41.13846,41.0057,40.27553,39.87725,39.29644,39.04751,38.33394,37.62036,37.43782,36.74084,35.87791,35.5958,35.03158,34.50054,33.43848,32.02792,30.99905,30.06974,29.40595,29.37276,28.55961,28.16134,26.6844,25.83807,25.82148,24.92536,7,32.03815721649485
2013,24.07902,23.61437,23.09993,22.33657,22.33657,22.08765,21.39067,20.99239,20.56093,20.56093,19.698,19.698,19.698,19.15037,18.81848,18.81848,18.65253,18.65253,18.65253,18.65253,18.91805,19.698,20.07968,21.75575,23.66415,25.1079,27.6469,29.22341,30.71694,32.49258,33.75378,34.48395,35.03158,35.57921,36.44213,36.77403,37.43782,38.1514,38.58286,38.58286,39.01432,39.34622,39.42919,39.64493,39.42919,39.76109,39.36281,39.36281,40.0598,40.20915,40.20915,40.20915,40.20915,40.20915,40.20915,40.29212,40.22574,40.88953,41.15505,41.15505,40.47467,40.32531,40.32531,40.32531,40.32531,40.32531,40.32531,40.80656,41.25462,41.53673,41.47035,40.59083,39.57855,38.53308,38.41691,37.33825,36.16002,35.36347,34.79925,33.88654,33.15637,32.87426,32.0943,32.07771,31.11521,30.5012,30.15271,28.94129,28.2775,27.48095,27.48095,27.3482,25.97083,25.05812,24.84238,24.34454,8,31.73128268041238
2013,23.29907,23.13312,22.33657,22.20381,22.20381,21.50683,21.10856,20.49455,19.99671,19.61503,19.61503,19.61503,18.7521,18.66913,18.66913,18.66913,18.66913,18.66913,18.66913,18.66913,18.66913,19.61503,19.81417,21.19153,23.14972,24.80919,26.61802,27.76306,29.75444,31.62965,32.7415,33.83675,35.42985,35.67877,35.84472,36.79062,37.60377,38.4667,39.23006,39.52876,39.86066,40.15936,40.55764,40.6738,41.40397,41.08867,41.50354,41.50354,41.50354,41.50354,41.50354,42.06776,42.41625,42.41625,42.38306,41.93501,42.05117,42.16733,42.30009,41.78565,41.42057,41.42057,41.42057,41.42057,41.42057,41.42057,41.42057,41.42057,41.42057,41.9682,42.31669,42.46604,41.6197,41.40397,41.03889,40.29212,39.36281,38.7654,38.4501,37.93566,37.25528,36.72425,36.07705,34.89882,33.10658,31.36413,29.97017,28.70897,28.01199,28.01199,27.76306,26.83376,25.82148,25.32363,25.29044,24.37773,9,32.47894824742268
