Year,index,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015,0,0.0,30.7,21.0,24.4,29.986121958762865
2015,1,0.0,19.8,21.4,24.4,33.34771350515464
2015,2,0.0,31.2,21.3,25.1,34.69360206185567
2015,3,0.0,25.2,22.4,24.9,32.525317216494855
2015,4,0.0,15.2,20.7,23.4,34.21852144329897
2015,5,0.0,27.5,21.1,25.1,33.67997886597938
2015,6,0.0,30.7,22.4,25.4,32.93876360824741
2015,7,0.0,31.8,21.0,24.3,31.82729845360824
2015,8,0.0,25.5,21.9,25.8,35.33727082474226
2015,9,0.0,14.2,21.7,25.2,29.53006072164948
2015,10,20.0,3.1,20.9,22.3,32.429600309278364
2015,11,15.0,11.8,20.3,22.7,32.87667082474227
2015,12,4.0,20.5,19.1,27.6,33.509654845360814
2015,13,0.0,29.9,20.7,31.8,27.55585577319588
2015,14,0.0,29.9,23.3,25.5,28.00406340206187
2015,15,0.0,27.7,21.5,26.4,23.335949896907223
2015,16,0.0,32.1,22.7,31.7,28.242539896907207
2015,17,0.0,30.5,21.6,24.7,28.33347670103093
2015,18,0.0,3.9,20.9,22.1,31.78060742268042
2015,19,5.0,18.8,18.2,23.6,33.484703195876286
2015,20,11.0,28.3,19.0,25.3,32.651493917525755
2015,21,0.0,28.7,21.9,25.3,34.830406701030924
2015,22,0.0,28.3,22.3,24.9,34.438672268041245
2015,23,0.0,27.5,22.4,25.5,28.710479484536087
2015,24,0.0,26.4,22.1,29.2,29.08386505154638
2015,25,0.0,3.1,20.2,22.2,35.523041855670094
2015,26,42.0,3.1,18.7,20.8,36.22129288659794
2015,27,103.0,4.0,17.6,21.0,34.510893298969066
2015,28,10.0,27.2,16.0,21.0,32.093503092783514
2015,29,0.0,29.3,16.5,23.7,31.739825154639163
2015,30,0.0,27.3,17.8,23.8,28.082674123711342
2015,31,0.0,17.4,20.2,23.4,28.352898762886586
2015,32,5.0,25.5,18.3,21.9,31.13431969072165
2015,33,0.0,22.8,18.1,23.2,31.63024855670104
2015,34,0.0,16.9,18.5,22.3,35.927337113402054
2015,35,11.0,11.4,18.6,22.3,38.7132137113402
2015,36,0.0,14.6,18.8,23.5,37.67715814432991
2015,37,0.0,20.6,19.7,23.7,36.90853814432989
2015,38,0.0,27.8,19.6,27.3,33.21923525773195
2015,39,0.0,6.9,22.2,24.5,36.54364608247423
2015,40,0.0,21.3,22.2,25.7,36.7381013402062
2015,41,2.0,25.4,23.2,25.4,35.85164907216493
2015,42,0.0,25.1,21.8,26.1,37.0758650515464
2015,43,6.0,15.2,21.1,25.4,30.158183814432974
2015,44,2.0,17.9,21.4,24.9,30.216478762886595
2015,45,1.0,22.8,21.3,25.8,33.11914030927835
2015,46,0.0,25.1,22.3,24.9,35.0067044329897
2015,47,0.0,27.0,22.2,24.7,28.82456443298969
2015,48,0.0,26.3,22.1,24.3,32.09636340206187
2015,49,0.0,18.0,21.9,25.1,32.41685484536081
2015,50,0.0,12.4,21.8,25.8,32.83562793814436
2015,51,5.0,11.2,20.5,24.5,33.92630051546393
2015,52,5.0,18.9,21.1,24.7,30.60640958762888
2015,53,0.0,15.8,21.7,24.2,35.514126082474235
2015,54,0.0,15.1,21.9,23.5,33.850652680412395
2015,55,0.0,10.5,20.8,22.5,35.26112969072165
2015,56,6.0,14.8,19.7,23.4,36.62604597938143
2015,57,5.0,20.6,20.4,25.2,30.858923917525782
2015,58,3.0,21.3,20.5,24.1,31.55630278350517
2015,59,0.0,17.5,21.7,29.8,36.5411770103093
2015,60,9.0,11.5,19.1,22.9,37.72576701030928
2015,61,1.0,19.9,18.2,23.3,37.37278608247421
2015,62,0.0,17.3,21.0,26.1,36.805962886597925
2015,63,0.0,22.0,21.2,25.3,32.44451
2015,64,0.0,24.1,17.0,28.6,38.28035278350517
2015,65,0.0,16.0,18.7,23.2,34.03229783505152
2015,66,0.0,17.3,18.7,24.1,33.31988690721651
2015,67,0.0,23.6,20.8,28.8,29.33856835051545
2015,68,0.0,9.6,21.6,24.7,33.05592422680412
2015,69,0.0,16.4,21.7,27.0,38.007457835051554
2015,70,1.0,18.8,20.4,25.2,36.35009453608249
2015,71,0.0,3.1,20.5,21.7,32.62573463917526
2015,72,2.0,20.0,16.8,23.2,29.93515237113403
2015,73,0.0,11.6,18.5,22.6,32.89768731958762
2015,74,2.0,12.7,16.4,22.2,33.48369309278349
2015,75,0.0,11.8,17.0,22.5,33.062981237113405
2015,76,0.0,14.9,19.9,25.4,33.100502989690725
