Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
61387,2015,1,1,31.0,0
61387,2015,1,2,21.1,1
61387,2015,1,3,31.3,2
61387,2015,1,4,27.1,3
61387,2015,1,5,14.5,4
61387,2015,1,6,30.7,5
61387,2015,1,7,31.3,6
61387,2015,1,8,31.7,7
61387,2015,1,9,25.5,8
61387,2015,1,10,12.2,9
61387,2015,1,11,3.2,10
61387,2015,1,12,11.9,11
61387,2015,1,13,25.7,12
61387,2015,1,14,28.9,13
61387,2015,1,15,30.3,14
61387,2015,1,16,28.3,15
61387,2015,1,17,32.0,16
61387,2015,1,18,30.1,17
61387,2015,1,19,3.2,18
61387,2015,1,20,20.7,19
61387,2015,1,21,28.4,20
61387,2015,1,22,28.3,21
61387,2015,1,23,27.2,22
61387,2015,1,24,29.1,23
61387,2015,1,25,27.6,24
61387,2015,1,26,3.0,25
61387,2015,1,27,3.2,26
61387,2015,1,28,6.9,27
61387,2015,1,29,28.2,28
61387,2015,1,30,30.2,29
61387,2015,1,31,28.9,30
61387,2015,2,1,23.5,31
61387,2015,2,2,23.9,32
61387,2015,2,3,23.1,33
61387,2015,2,4,11.6,34
61387,2015,2,5,18.8,35
61387,2015,2,6,27.4,36
61387,2015,2,7,17.4,37
61387,2015,2,8,28.7,38
61387,2015,2,9,14.0,39
61387,2015,2,10,19.5,40
61387,2015,2,11,24.5,41
61387,2015,2,12,25.7,42
61387,2015,2,13,24.4,43
61387,2015,2,14,21.2,44
61387,2015,2,15,24.2,45
61387,2015,2,16,24.7,46
61387,2015,2,17,26.5,47
61387,2015,2,18,24.7,48
61387,2015,2,19,14.5,49
61387,2015,2,20,10.5,50
61387,2015,2,21,12.7,51
61387,2015,2,22,15.9,52
61387,2015,2,23,23.4,53
61387,2015,2,24,15.6,54
61387,2015,2,25,11.6,55
61387,2015,2,26,12.9,56
61387,2015,2,27,22.4,57
61387,2015,2,28,20.4,58
61387,2015,3,1,20.0,59
61387,2015,3,2,9.8,60
61387,2015,3,3,24.1,61
61387,2015,3,4,17.2,62
61387,2015,3,5,22.9,63
61387,2015,3,6,24.5,64
61387,2015,3,7,19.4,65
61387,2015,3,8,18.4,66
61387,2015,3,9,23.6,67
61387,2015,3,10,17.4,68
61387,2015,3,11,19.1,69
