year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2009,51.58315,51.37637,51.0004,50.19206,50.28605,49.7409,49.55291,49.55291,48.97016,48.74457,49.02655,49.15814,48.97016,49.10175,48.83857,49.13934,49.47772,49.7221,50.15446,51.67714,52.09071,53.27502,55.47445,61.03881,64.19696,68.7838,72.31792,80.98404,85.3641,90.62769,94.76336,98.84264,101.71882,104.501,106.55004,107.0388,107.13279,107.64035,108.61788,109.5954,110.06536,110.59172,110.42253,111.11808,111.40006,111.15568,110.57292,111.21207,112.33998,111.81363,112.24599,112.52797,112.50917,112.33998,112.47157,112.60316,111.85122,111.36246,110.44133,110.93009,110.64812,110.14056,110.49773,109.42621,109.08784,108.24191,107.65915,107.48996,105.17775,103.37309,99.91416,90.89087,87.61992,84.91294,82.8075,79.83733,77.7695,76.56639,75.66406,73.20146,70.96443,69.62974,68.91539,66.37759,64.10297,62.74948,61.37718,59.49733,59.40334,58.98977,57.3167,56.30158,55.45565,55.07968,54.49692,53.6509,0,80.84567072164948
2009,52.2223,51.48916,51.54555,50.54923,50.15446,49.98528,50.21086,49.79729,49.30853,48.98896,48.78217,48.91376,48.87616,49.00775,48.80097,48.80097,49.36493,49.40252,49.83489,51.26358,51.88393,53.38781,55.23007,60.81323,64.14057,68.765,72.44951,81.5668,85.81527,90.64649,94.42499,98.91784,102.15118,105.36573,106.85081,107.90353,109.6142,111.41886,111.73843,111.38126,112.1708,112.58436,112.69716,112.54677,112.69716,112.41518,113.54309,113.76867,114.23863,114.29503,114.46422,115.06577,115.10337,115.89291,116.08089,116.72004,116.19368,115.85531,115.68612,115.06577,113.50549,112.30239,111.17448,110.8549,110.77971,109.89618,109.16303,108.24191,105.87329,102.90312,99.31261,89.12381,83.80382,80.77726,79.48016,76.67918,74.08499,72.6563,71.56598,68.99059,67.46791,66.82876,65.60685,63.80219,62.14792,60.94482,60.41846,59.23415,57.88066,57.67387,56.80914,55.92561,55.73763,55.43685,54.94809,53.7261,1,81.19183474226806
2009,52.86145,52.61707,52.16591,51.73354,51.24478,50.944,50.79361,50.41764,49.87249,49.6845,49.53411,49.59051,49.6845,49.77849,49.51531,49.34613,49.30853,49.08295,49.25213,49.7597,49.94768,50.32365,50.39884,51.63955,51.86513,52.88025,53.68859,55.90681,56.62116,57.67387,58.35062,59.47853,60.38086,61.80955,63.53901,64.89251,65.23088,66.2084,67.35511,68.31384,68.68981,69.06578,69.49815,70.17489,70.58846,70.87044,70.79524,70.90804,70.75765,70.56966,70.62606,70.47567,70.17489,70.77645,70.96443,70.79524,70.40048,70.43807,70.85164,70.30648,70.0245,69.83652,69.68613,68.8214,68.35144,67.86267,67.43031,65.94522,65.75724,65.75724,65.06169,63.42622,62.4111,61.71556,61.52757,60.66284,59.8357,59.79811,58.97097,57.86186,57.78667,57.71147,57.05352,56.90313,56.80914,56.35798,55.90681,55.41805,54.66611,54.17735,54.59092,53.36901,53.03064,52.52308,51.94032,51.33877,2,59.31697917525772
2009,50.90641,50.66202,50.77482,50.34245,49.81609,49.53411,49.44012,49.10175,48.66938,48.81977,48.3874,48.34981,48.31221,48.29341,48.12422,47.82345,48.19942,48.18062,47.48507,46.07518,45.64282,45.75561,45.8308,46.60154,46.77073,47.31589,47.61666,48.83857,48.93256,49.32733,49.83489,50.9816,50.9252,51.77114,52.95544,54.25254,55.15487,55.54964,56.92193,58.14384,58.53861,59.06496,60.02369,60.00489,60.11768,60.58765,60.94482,61.03881,61.47118,61.39598,61.65916,61.1704,61.52757,61.56517,61.58397,61.99753,61.50877,61.64036,61.69676,61.80955,61.56517,61.09521,61.07641,60.56885,59.98609,59.36574,59.21535,58.33182,58.18143,58.35062,58.08744,56.69635,55.83162,55.09848,54.92929,54.02696,53.18103,53.14343,53.14343,52.50428,52.01552,52.33509,51.80873,51.33877,51.56435,50.944,50.944,50.51164,49.83489,49.40252,48.89496,48.06783,48.25581,47.80465,47.42868,47.1091,3,53.10730268041235
2009,46.75193,46.58274,46.13158,45.75561,47.72945,48.01143,48.16182,48.04903,47.65426,47.61666,47.76705,47.67306,47.25949,47.74825,47.65426,48.14302,48.57539,48.61299,49.10175,50.69962,51.48916,53.5006,55.64363,61.52757,63.7082,68.46423,73.10746,82.28114,85.92806,90.28931,94.42499,98.20349,101.19246,103.95584,105.85449,107.64035,107.62155,108.2983,108.58028,109.80218,109.99017,111.68204,111.77603,111.79483,111.30607,111.49405,111.79483,112.58436,113.4491,113.56189,113.26111,113.22351,113.50549,113.78747,113.90026,114.12584,113.78747,113.73107,113.33631,113.31751,113.26111,113.03553,112.28359,111.45645,110.17815,109.68939,108.99385,107.58396,105.36573,103.2227,97.82752,87.39434,82.95789,79.49896,78.44624,75.08131,73.10746,72.18634,70.72005,68.63341,67.07314,66.09561,64.85491,62.84347,61.67796,60.71923,60.71923,58.89578,57.50469,56.92193,56.71515,55.24886,54.42173,53.21862,52.88025,51.4515,4,80.09039309278349
2009,52.12831,51.45156,50.83121,50.17326,49.77849,49.62811,49.15814,48.78217,48.59419,48.31221,48.27461,48.50019,48.74457,48.4626,48.66938,48.85737,49.12055,49.60931,49.87249,50.88761,51.67714,53.04944,55.02328,60.49365,63.727,68.42663,72.5999,81.62319,86.37922,91.86839,96.04166,100.92928,104.4822,108.11032,110.7985,112.69716,114.35143,113.48669,113.71228,113.74987,114.23863,113.78747,114.6334,115.36655,115.14096,114.80259,114.95298,115.53573,116.53206,116.94562,116.34407,115.87411,115.49814,116.06209,115.85531,116.43806,116.25008,115.61093,114.87778,115.00937,115.06577,115.40414,114.7086,114.20104,112.90394,111.62564,110.44133,110.00897,108.18551,105.96728,103.42948,92.84591,87.67632,84.17979,82.29994,79.63055,77.6943,76.28441,75.45728,73.8782,71.54719,69.62974,68.859,66.84755,65.17449,64.00898,63.27583,60.86962,59.57252,58.83938,58.70779,56.97833,55.81282,55.19247,54.47812,53.1,6,82.6144507216495
2009,51.78994,51.09439,50.71842,50.07927,50.24846,49.77849,49.59051,49.42132,49.12055,48.89496,48.93256,49.06415,48.93256,48.85737,48.97016,49.28973,49.7409,50.06047,50.19206,51.33877,51.67714,53.25622,55.64363,61.35838,64.32855,68.8214,73.27665,81.15323,86.68,91.56761,94.98895,98.27869,101.54963,104.16263,107.0388,107.97873,108.80586,109.27582,110.02777,111.17448,110.7985,111.77603,111.55045,112.45278,112.1708,112.56557,113.4115,115.10337,115.27255,114.80259,114.84019,115.38535,115.85531,116.96442,116.40047,116.13729,116.40047,115.9493,115.9681,115.62973,114.89658,113.73107,113.03553,112.84754,111.47525,110.66692,110.06536,108.91865,107.41477,105.61011,101.81281,91.68041,87.41314,84.57456,82.90149,79.87493,78.08907,76.86717,76.24682,74.14138,70.92683,70.25009,68.91539,66.13321,63.63301,62.76827,61.24559,59.10256,58.31302,57.89946,57.50469,56.43317,56.00081,55.47445,54.36533,53.312,7,81.93954041237109
2009,52.14711,51.33877,51.11319,50.77482,50.28605,50.02287,50.69962,50.26726,49.85369,49.13934,48.76337,48.57539,48.65058,48.68818,48.65058,48.85737,49.21454,49.51531,49.96648,50.77482,51.37637,52.59827,54.47812,60.75683,64.08417,67.97547,72.56231,81.45401,85.70247,90.13893,93.84224,97.26357,100.19614,103.42948,106.62523,108.97505,108.2795,108.86226,110.7985,110.70451,111.21207,112.67836,113.61828,114.52061,114.06945,114.08825,114.6522,115.83651,116.79523,116.72004,116.77644,116.68244,115.9117,116.49446,116.43806,116.15608,116.87043,116.21248,116.0057,115.79891,115.04697,115.53573,114.42662,113.91906,113.20472,111.62564,110.76091,109.82098,107.65915,104.76418,101.32405,89.61257,86.00325,83.37146,80.58928,76.88597,74.59255,73.35184,72.14874,69.79892,68.33264,67.16713,65.92643,64.15937,63.55781,62.35471,61.75315,59.96729,58.70779,58.03105,57.88066,57.3919,57.3919,56.67755,55.73763,54.365,8,81.82252649484536
2009,53.89537,53.72618,53.21862,52.57947,52.16591,51.95912,51.86513,51.58315,50.54923,50.43644,50.26726,50.54923,50.21086,49.77849,49.81609,49.42132,49.10175,49.10175,49.25213,49.36493,49.6469,49.7409,50.02287,51.28238,51.05679,51.63955,52.42909,54.55332,55.53084,56.16999,57.3355,59.55373,61.03881,62.01633,63.40742,64.9301,65.83243,66.00162,66.84755,67.78748,68.72741,69.59214,69.49815,69.34776,70.1185,70.41927,71.02083,71.75397,71.99835,72.31792,72.6187,71.79157,71.81036,71.86676,71.82916,71.79157,71.75397,71.64118,71.52839,70.98323,70.32528,70.55086,70.0997,69.17857,68.52062,68.23864,67.18593,66.00162,66.05802,65.51286,64.62933,63.6894,62.84347,61.90354,61.45238,60.86962,59.8921,59.59132,59.21535,58.31302,57.86186,58.06864,57.80546,57.56108,57.3543,57.12872,57.03472,56.076,55.23007,55.02328,54.53452,54.32774,53.63219,52.95544,52.57947,51.65835,9,59.69050195876287
2009,51.37637,51.18838,50.47404,50.54923,50.30485,50.26726,49.98528,49.7597,49.45892,49.27093,49.00775,49.04535,49.21454,48.93256,48.81977,48.59419,48.29341,48.16182,48.425,48.72578,48.93256,48.70698,48.81977,49.53411,49.6657,50.24846,50.60563,51.92153,51.90273,52.69226,52.63587,53.85777,54.34654,55.30526,56.67755,57.42949,57.88066,58.80179,59.74171,61.28319,61.84715,61.90354,62.69308,62.97506,63.48262,63.33223,63.33223,63.38863,63.38863,63.52022,63.78339,63.6706,64.38495,64.04657,63.99018,64.14057,63.97138,64.19696,64.15937,63.55781,63.7458,63.87739,63.6518,62.67428,62.50509,61.92234,61.56517,61.41478,61.1704,60.81323,60.81323,59.8357,59.45973,58.33182,57.42949,56.82794,56.22639,56.13239,56.18879,55.79402,55.49325,55.75642,55.45565,55.41805,54.98568,54.7601,54.62851,54.00816,53.33141,53.25622,52.86145,52.59827,51.82753,51.43276,51.03799,50.60563,10,55.654089896907244
