year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2023,21.65672,21.45148,21.34808,21.09799,20.88535,20.6439,20.50556,20.41401,20.3204,20.15877,20.03271,19.9705,19.91989,19.7924,19.77005,19.7885,19.73564,19.5177,19.6262,19.68575,19.74514,19.91451,19.96931,19.96518,20.3226,20.58167,20.65803,20.82273,21.49315,22.0427,21.9691,21.87498,22.07563,22.70414,22.85795,22.9353,23.34389,23.55446,23.64835,23.61659,24.02781,24.09821,24.23699,24.099,24.15062,24.2263,24.21933,24.19966,24.19419,24.23872,24.31117,24.31113,24.34711,24.46645,24.42587,24.34391,24.47126,24.51376,24.59932,24.65141,24.57409,24.43676,24.45263,24.63444,24.49873,24.53122,24.41346,24.35514,24.31357,24.16207,24.08483,24.11164,23.9676,23.76143,23.65377,23.57156,23.46772,23.32965,23.26672,23.09359,22.90497,22.92085,22.86963,22.80789,22.63969,22.56003,22.43422,22.09498,21.89937,21.55382,21.43598,21.14674,21.06186,20.91986,20.76377,20.59977,22.477534166666675
2023,20.16544,20.11289,20.15906,20.16337,20.01034,19.94184,19.85556,19.80251,19.68543,19.68179,19.66888,19.56864,19.55777,19.59053,19.52108,19.49571,19.74901,19.95582,19.98005,20.19686,20.72632,21.19288,21.60877,22.19655,24.14833,25.32409,26.57956,28.15675,31.54023,32.88766,33.8585,34.06142,35.77858,36.83042,37.67289,38.41465,39.06249,39.3441,39.95445,40.31019,40.67197,40.97236,40.96902,41.07994,41.44991,41.76972,42.24541,42.35281,42.07334,42.18359,42.16961,42.45854,42.41999,42.26876,42.58229,42.33588,42.20801,42.2118,41.73324,41.40707,41.13218,41.16161,41.06746,40.98561,41.01777,40.81706,40.57732,39.86308,39.04347,38.33931,37.66988,36.60388,32.96649,31.25765,30.309,29.44154,28.40102,27.617,26.97564,26.76739,26.11582,25.84685,25.48776,25.27571,24.7108,24.51086,24.21058,23.70113,23.46013,23.17834,22.76874,22.25886,21.90742,21.80078,21.50923,21.19827,30.771149062499997
2023,20.85218,20.70362,20.56247,20.46351,20.36322,20.38288,20.32873,20.02597,19.91231,19.86725,19.86349,19.92551,19.82225,19.76709,19.9273,19.95175,20.01073,20.19441,20.08391,20.33968,20.69327,21.18744,21.77643,22.37744,24.10874,25.02356,26.34546,27.75377,31.0231,32.44823,33.88325,34.77324,36.40338,37.99694,39.07041,39.91599,40.74537,41.35022,41.50808,41.73489,42.27869,42.57679,42.84484,43.19104,43.57506,43.66198,43.9239,44.10072,44.11439,44.29903,44.36175,44.65801,44.67566,44.89886,44.47407,44.56517,44.63426,44.62553,44.4116,44.16546,43.90132,43.43081,43.18702,43.03162,42.5067,42.21985,41.92778,41.52962,40.49552,39.9762,39.13349,37.92356,34.19806,32.12896,31.05648,30.3547,28.99675,28.41369,27.95682,27.50308,27.01046,26.6624,26.21449,25.96735,25.66887,25.3294,24.8767,24.45993,24.36873,23.91302,23.18766,22.82894,22.33512,22.11398,21.66202,21.47652,31.785957291666666
2023,21.11504,20.86555,20.73541,20.67872,20.24018,20.20298,20.08714,20.06557,19.93118,19.94781,19.85012,19.81516,19.79458,19.76615,19.75613,19.82741,20.05919,20.03092,20.10412,20.21655,20.84664,21.17123,21.55466,21.9727,23.83254,25.04556,26.2307,27.32688,30.62603,32.3606,33.74874,34.61696,36.16665,37.2767,38.453,39.52204,40.42921,40.73425,41.08152,41.52616,41.6261,41.979,42.04144,42.68605,42.90422,43.02181,43.10943,43.74187,44.2294,44.00323,44.15134,44.84887,45.14485,45.24848,45.37611,45.95618,45.9795,46.141,46.15176,45.93274,45.8159,45.51189,45.06743,44.65945,44.4932,43.99087,43.40595,43.27989,42.01837,41.40108,40.55129,39.51499,35.3836,33.49149,32.61722,31.57833,30.21939,29.41265,29.17036,28.68887,28.14023,28.00286,27.75647,27.64629,27.21103,26.67764,26.29641,25.79372,25.31528,24.8576,24.34095,23.94802,23.52561,23.18619,22.89891,22.66223,32.29601791666665
2023,22.13966,21.41215,21.23458,21.03212,20.90366,20.73617,20.56266,20.60457,20.4681,20.40257,20.3269,20.30853,20.14056,20.03947,20.04894,20.20435,20.2191,20.32222,20.46768,20.52954,21.13398,21.45775,21.52943,22.28018,24.21303,25.63368,26.98287,28.60759,32.27571,34.08559,35.21848,36.59179,38.04904,39.42918,39.99823,41.03171,41.61482,41.63693,41.77095,42.63955,43.10833,43.22471,43.15209,43.63723,43.69619,43.12052,43.18197,43.36946,43.5289,43.84191,43.90952,44.30945,44.53821,44.39958,44.41551,44.23495,44.23072,44.12927,44.0646,43.9863,43.79131,43.63356,43.04784,43.17752,42.88395,42.36339,42.09346,41.57392,40.90551,40.42082,39.43663,38.19473,34.05467,32.4695,31.46785,31.00933,29.66501,28.88784,28.85122,28.52476,27.8077,27.44609,27.0677,26.87328,26.76644,26.35439,25.94505,25.40603,24.50841,24.26154,23.79348,23.45288,22.81866,22.50641,22.15727,21.82273,32.18546166666666
2023,21.3964,21.09459,20.88494,20.71176,20.47283,20.4777,20.32972,20.24768,20.06918,19.99079,19.74163,19.6605,19.63701,19.65648,19.52819,19.56103,19.79648,19.85445,19.87219,20.0211,20.6225,21.02657,21.38383,21.83449,23.57321,24.60234,25.72619,26.96592,29.95456,31.38997,32.47292,33.57497,34.99362,36.00015,36.89041,37.58854,38.12131,38.64024,38.59645,39.12127,39.07552,39.34258,39.3248,39.9214,39.96006,39.89745,39.87501,40.28113,40.4428,40.23647,40.21302,40.62267,40.2542,40.35282,40.66557,40.7537,40.90426,40.8181,40.84638,40.54196,40.37527,40.09662,39.87312,39.51376,39.51648,39.22341,38.8008,38.44415,37.80327,37.48821,36.51334,35.72434,32.67575,31.16968,30.44881,29.79267,28.52812,28.11617,27.8908,27.59284,27.11611,26.73561,26.4788,26.31304,26.15554,25.92341,25.62775,25.3397,24.50761,24.15954,23.82667,23.55766,22.99608,22.61468,22.32575,22.04786,30.372160729166655
2023,21.6313,21.34048,21.34865,21.0938,20.84173,20.88208,20.77815,20.60191,20.2219,20.0365,20.00814,19.93688,19.89308,19.83733,19.74358,19.74318,19.74415,19.75317,19.72216,19.725,20.10836,20.15604,20.31638,20.47488,20.93216,21.0753,21.70064,22.39233,23.11594,23.17918,23.29764,23.45979,23.91104,24.00978,23.67042,23.47242,23.69172,23.87624,23.99522,24.15521,24.55732,24.61583,24.63943,24.80107,25.00179,25.02274,25.01144,25.05196,25.01813,24.92299,24.95188,25.0084,25.06442,25.19877,25.15435,25.09067,25.20874,25.39318,25.26019,25.43326,25.28144,25.39214,25.23679,25.23119,25.27644,25.46412,25.27557,25.42695,25.38977,25.61528,25.49272,25.56447,25.37573,25.39697,25.18631,25.04973,24.84828,25.02698,24.82371,24.78595,24.41657,24.31925,24.30052,24.11392,23.9516,23.99054,23.81152,23.78512,23.44227,23.24776,23.04955,22.79797,22.45719,22.30586,22.14125,21.80209,23.305770208333342
2023,21.49026,21.23708,21.09474,21.08124,20.66219,20.46444,20.42703,20.30363,20.18217,19.89689,19.75542,19.8068,19.76869,19.62869,19.49425,19.44739,19.50559,19.46882,19.45294,19.55279,19.70617,19.81681,19.8906,19.91297,20.31522,20.4484,20.47103,20.73365,21.13827,21.21156,21.33246,21.52375,21.75471,21.89798,22.19291,22.25854,22.45998,22.69785,22.61576,22.95075,23.27238,23.38803,23.44709,23.56246,23.80615,23.81915,23.72358,23.7773,23.84334,23.82843,23.71336,23.7792,23.80964,23.71022,23.60269,23.85003,23.81449,24.01614,23.92177,23.90827,23.87278,24.12204,23.93954,23.93123,23.8862,23.934,23.84216,23.74474,23.88521,23.90176,23.7851,23.83549,23.57621,23.6282,23.5348,23.40217,23.23474,23.37248,23.26786,23.15506,22.96088,22.93536,22.82145,22.71,22.52366,22.38195,22.121,21.98276,21.69126,21.34516,21.1376,20.83357,20.70313,20.49056,20.35473,20.14196,22.121155624999997
2023,19.83126,19.79046,19.83956,19.66829,19.58459,19.47558,19.45673,19.48518,19.21262,19.17835,19.24849,19.36147,19.28722,19.15535,19.16931,19.34129,19.51832,19.74831,19.86044,20.03719,20.63886,21.04102,21.37081,22.03185,23.9603,25.20617,26.90601,28.48823,31.28096,32.20759,33.58573,34.57893,36.3251,37.39975,38.19938,38.9156,39.36169,39.4027,38.97079,39.85228,40.52398,40.55928,40.27774,40.48887,40.36895,40.61434,40.70376,40.57062,40.71809,41.05014,40.75291,41.06304,41.03711,40.88029,40.72788,40.72345,40.57317,40.43493,40.02947,40.05115,39.56297,39.58823,39.37442,39.3476,39.18246,38.7251,37.99524,38.1627,37.77212,37.34279,36.61312,35.71471,32.40333,30.85657,30.01333,29.28047,27.92594,27.54093,27.0073,26.68494,26.23102,26.55946,26.38218,26.43277,26.13646,25.85955,25.26919,25.03328,24.40436,23.91317,23.32006,22.65285,21.65819,21.49348,21.19248,20.94455,30.319794270833356
2023,20.52557,20.37732,20.40558,20.25775,20.19331,20.09217,19.85966,19.65933,19.61089,19.63705,19.50089,19.38388,19.2975,19.42077,19.3728,19.36283,19.53941,19.57094,19.66436,19.87025,20.73165,21.16322,21.43257,22.03674,23.94861,25.12128,26.53804,27.83155,31.60493,33.36958,34.4681,35.59693,37.05419,37.94026,38.74788,39.5132,40.0331,40.35108,40.51587,40.87618,41.27529,41.46392,41.66502,41.46422,41.46736,41.47445,41.38408,41.47929,41.83517,41.95524,42.23345,42.20981,42.12118,41.72006,41.79246,42.24324,42.37511,42.3137,41.71797,42.03549,41.80945,41.07287,40.60731,40.55039,40.58232,40.32993,39.74407,39.33758,39.00246,38.32983,37.71296,36.78549,33.29843,31.33381,30.26901,30.01351,28.6899,28.08817,27.71146,27.54483,26.81444,27.06783,26.92434,26.62399,26.05781,25.73803,25.3057,24.92129,24.71924,23.64338,23.17191,22.729,22.32531,22.14689,21.83513,21.44643,30.989460729166666
2023,21.01362,20.80825,20.68687,20.63801,20.42579,20.49854,20.2315,20.23375,20.10206,20.01829,19.95561,19.7961,19.82632,19.88828,19.94155,19.76854,20.03853,20.12997,20.26009,20.19358,20.86367,21.29599,21.69949,22.43822,24.09241,25.2035,26.54481,28.11537,31.08169,32.40268,34.07749,35.39216,36.94197,38.3582,39.11336,40.11857,40.85686,41.20157,40.97198,41.25947,41.5194,41.85302,42.07488,42.43087,42.57444,42.33969,42.25529,42.44765,42.87418,42.77528,42.60918,42.48857,42.82736,42.45668,42.67068,42.97519,42.77245,42.55616,42.17693,42.14966,42.16628,42.12179,41.7282,41.47146,41.34267,40.99247,40.89591,40.54022,40.18293,39.98497,39.24655,38.32406,34.67573,32.5729,31.48341,31.04919,29.96656,29.37997,29.0491,28.69223,28.00146,27.67819,27.18946,27.07666,26.50116,26.13721,25.60352,25.1722,24.873,24.46544,23.90639,23.4669,22.99218,22.63292,22.23168,21.89841,31.572975520833328
