year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2012,45.34033,45.06883,45.06883,44.65253,44.36293,43.72943,44.14573,43.24074,43.07784,42.89684,42.93304,42.75204,42.51674,42.62534,43.09594,43.02354,43.53033,43.18644,43.80183,44.52583,45.53943,45.73853,47.71142,50.01011,56.18219,57.43108,61.43117,64.90635,72.05583,74.42692,78.9157,81.23249,86.01087,87.91136,89.55846,91.09695,92.54495,94.57214,95.58574,97.73963,97.55863,98.75322,99.58582,100.43652,99.80302,100.40032,99.82112,101.25101,102.06551,101.77591,101.34151,102.80761,104.0565,103.5316,102.97051,102.80761,102.75331,102.80761,101.54061,101.43201,101.16051,101.93881,100.99761,101.03381,99.85732,100.00212,99.47722,98.15593,97.54053,97.68533,95.02464,92.03815,82.91578,80.85239,79.7121,77.06951,72.90652,71.18703,69.99243,69.48563,66.84304,65.81135,64.09186,63.42216,61.41307,59.69357,59.31347,58.17318,56.16409,55.22289,53.73869,52.8518,51.3133,49.70241,48.83361,48.52591,1,72.95695000000002
2012,47.62092,47.05982,46.02812,45.90142,45.77473,45.88332,45.34033,45.10503,45.14123,44.32673,44.67063,44.43533,43.87423,43.81993,43.83803,44.23623,44.07333,44.25433,44.25433,45.41273,46.19102,47.07792,48.77931,50.75221,56.05549,58.95148,62.60766,66.10095,73.08752,75.07851,79.94739,81.86599,85.28687,87.33217,89.12406,92.43635,94.44544,95.40474,96.11063,98.55412,99.60392,99.07902,99.16952,100.49082,100.00212,101.19671,101.63111,102.42751,101.84831,101.54061,101.46821,102.40941,101.90261,102.68091,102.28271,102.60851,101.32341,100.70802,101.50441,100.70802,100.16502,100.88902,99.65822,98.26453,98.33692,98.01113,97.93873,97.93873,96.14683,95.38664,93.68524,90.78925,82.95198,80.50849,79.0967,77.341,73.79342,73.95632,71.33183,70.30013,69.43134,67.92904,66.62585,65.63035,62.84296,61.23207,60.07367,60.18227,57.44918,56.65278,54.96949,54.11879,52.3269,51.6572,50.06441,49.30421,2,73.50316587628866
2012,47.96482,47.71142,47.20462,46.46252,46.04622,45.81093,45.30413,45.01453,44.47153,43.71133,43.98283,43.81993,43.65703,43.53033,43.40363,43.69323,43.74753,43.76563,44.23623,44.76113,46.02812,46.64352,48.58021,50.17301,56.76138,57.73878,61.66646,66.08285,72.32732,74.77081,79.9293,82.58998,85.79367,88.21906,89.05166,91.96575,92.27345,95.71243,96.76223,98.17403,99.31432,99.96592,100.67182,101.14241,101.34151,101.28721,102.51801,102.55421,103.47731,103.38681,103.9117,103.44111,104.8167,104.3461,104.5995,105.9208,104.7443,104.8891,104.0384,103.9117,104.4366,102.93431,102.88001,102.17411,101.86641,100.68992,99.42292,100.14692,96.99753,97.10613,95.18754,92.34585,84.65338,82.08319,80.39989,77.6849,74.51742,73.37712,71.98343,70.73453,68.74354,67.82044,66.17335,65.88375,63.51266,61.86556,60.87007,60.56237,58.35418,56.58038,55.74779,54.35409,53.1052,51.4943,50.49881,48.77931,3,74.21433422680414
2012,47.34942,47.09602,46.37202,45.75663,45.82903,45.28603,45.08693,44.70683,44.34483,44.20003,44.00093,43.80183,43.76563,43.58463,43.42173,43.62083,43.53033,43.47603,44.00093,44.85163,45.55753,46.15482,47.42182,49.88341,55.34959,57.34058,61.17777,65.26835,72.63502,74.19162,77.9021,81.23249,84.87058,86.19187,89.05166,91.45895,94.06534,95.53144,96.38213,99.02472,99.45912,100.03832,100.38222,99.49532,99.82112,100.43652,100.32792,100.25552,99.89352,101.48631,101.32341,101.34151,101.81211,101.17861,100.34602,101.08811,100.94331,99.51342,99.92972,99.04282,99.85732,98.98852,98.77132,97.93873,97.59483,95.87533,95.36854,95.47714,94.10154,93.99294,91.87525,88.68966,82.75288,80.52659,79.0062,77.9202,75.89301,74.95181,73.86582,72.97892,69.92003,68.97884,67.62134,66.31815,62.84296,62.10086,60.61667,59.22297,57.12338,56.72518,54.46269,53.99209,51.4943,50.55311,49.52141,48.70691,4,73.02594257731958
2012,48.05532,47.16842,47.13222,46.17292,45.97382,45.43083,45.01453,44.68873,44.58013,44.01903,44.34483,44.03713,43.81993,43.65703,43.94663,43.83803,44.21813,44.05523,44.59823,45.28603,46.31772,46.66162,48.52591,50.44451,55.62109,57.34058,61.23207,63.49456,71.73003,73.64862,76.79801,80.59899,83.96558,85.99277,88.88876,90.75305,91.27795,93.06984,93.75764,94.37304,96.63553,98.24643,99.92972,99.53152,98.51792,100.16502,100.12882,102.02931,100.07452,99.91162,99.89352,101.72161,101.03381,101.12431,100.92521,101.46821,100.47272,98.62652,99.87542,99.76682,98.91612,98.77132,98.01113,96.59933,96.21923,96.97943,95.80293,95.51334,92.81645,92.32775,90.22816,87.65797,80.30939,78.0288,76.49031,74.71651,71.82053,70.96983,70.53543,68.30914,66.44485,66.44485,64.81585,63.80226,61.93796,60.32707,59.42207,58.10078,56.97858,56.36318,54.66179,54.01019,52.1278,50.55311,50.22731,49.08701,5,72.3292351546392
2012,48.25442,47.89242,47.13222,47.27702,46.37202,46.01002,45.44893,45.32223,45.05073,44.83353,44.07333,44.16383,43.22264,43.43983,43.34933,42.84254,42.75204,42.66154,42.86064,43.36743,43.65703,43.53033,44.96023,44.76113,46.51682,46.89692,48.01912,48.77931,50.17301,51.44,52.526,53.5577,55.15049,56.63468,57.32248,60.05557,61.43117,62.15516,63.49456,65.12355,65.86565,67.18694,66.95164,68.54444,69.01504,68.36344,68.18244,68.83404,70.15533,69.17794,69.46753,69.97433,70.64403,70.53543,69.81143,70.11913,69.82953,70.28203,69.90193,69.32274,69.14174,69.59423,69.14174,67.51274,67.33174,66.87924,68.09194,68.39964,66.40865,66.48105,66.15525,66.84304,64.47195,63.76606,63.24116,63.22306,60.07367,59.89267,60.05557,58.57138,58.80668,57.50348,57.12338,56.79758,56.23649,55.87449,55.72969,55.33149,53.3224,53.2138,51.9106,51.2047,50.49881,50.40831,48.88791,48.76121,6,56.77901546391754
2012,47.83812,47.34942,46.84262,46.71592,46.22722,45.55753,45.41273,44.77923,44.67063,44.90593,44.68873,44.43533,43.98283,43.83803,44.12763,43.54843,43.69323,43.20454,43.04164,43.43983,43.49413,43.60273,43.92853,44.54393,45.48513,45.84713,46.44442,46.66162,47.94672,48.56211,49.32231,50.06441,51.3314,51.7115,53.1052,53.79299,54.87899,55.83829,56.76138,59.31347,60.50807,61.05107,62.02846,63.16876,63.45836,63.76606,64.65295,64.67105,65.14165,65.82945,66.42675,65.73895,65.44935,65.99235,66.11905,66.93354,65.97425,66.49915,66.49915,66.19145,65.72085,66.15525,65.95615,65.99235,64.85205,64.83395,64.20046,64.85205,64.59865,64.30905,63.76606,64.34525,62.89726,62.02846,61.19587,60.43567,58.96957,58.53518,56.88808,57.17768,56.23649,55.74779,55.25909,55.54869,54.95139,53.99209,53.1414,52.6165,51.4943,51.1685,49.81101,48.81551,48.47162,48.16392,47.02362,46.58922,7,54.44099855670103
2012,45.72043,44.99643,44.72493,44.36293,44.09143,43.80183,43.45793,43.00544,43.02354,42.66154,42.58914,42.49864,42.77014,42.29954,42.22714,42.33574,42.82444,42.84254,43.16834,43.81993,45.03263,45.66613,47.54852,49.26801,55.29529,56.45368,60.45377,64.32715,71.60333,73.44952,77.06951,81.32299,84.65338,86.87967,88.18286,91.47705,92.88885,94.48164,95.62194,96.40023,98.01113,97.95683,98.44552,99.09712,98.62652,98.80752,98.49982,99.04282,99.27812,98.73512,100.23742,100.50892,99.82112,99.31432,100.00212,100.47272,99.02472,98.39122,98.40932,99.02472,97.79393,97.01563,96.38213,95.98393,95.11514,95.16944,94.97034,95.53144,94.35494,92.41825,90.73495,87.74847,80.38179,78.6623,75.80251,74.49932,72.09202,69.53993,68.65304,67.15074,65.91995,64.10996,63.63936,62.24566,60.76147,59.60307,58.33608,57.44918,55.82019,54.20929,53.3767,52.1821,50.49881,49.73861,48.36302,47.34942,8,71.53204536082474
2012,46.84262,46.26342,45.59373,45.28603,44.92403,44.54393,44.14573,43.67513,43.38553,43.16834,43.29503,43.04164,43.05974,42.96924,42.91494,43.00544,43.33123,43.02354,43.83803,44.29053,45.62993,46.55302,48.23632,50.29971,55.45819,57.39488,61.19587,65.39505,72.79792,75.27761,78.0831,82.06509,84.23708,85.55837,87.73037,90.19196,92.05625,94.04724,94.33684,95.00654,96.92513,97.81203,97.75773,97.43193,98.04733,99.18762,99.38672,99.29622,99.58582,101.25101,100.30982,99.85732,100.49082,101.16051,100.74422,101.81211,100.34602,99.98402,99.85732,99.38672,98.75322,98.57222,97.48623,97.92063,97.26903,96.94323,95.87533,95.53144,94.44544,92.83455,91.47705,88.68966,82.17369,79.6578,78.2822,75.42241,72.16442,70.68023,68.79784,68.45394,65.77515,65.70275,63.83846,63.44026,61.35877,60.77957,59.09627,58.93338,56.67088,55.36769,54.06449,53.1233,51.6391,50.73411,49.44901,48.34492,9,72.18070391752579
2012,47.05982,47.11412,46.57112,46.02812,45.08693,44.43533,44.54393,44.21813,44.16383,43.87423,43.53033,43.43983,43.69323,43.42173,43.38553,43.33123,44.23623,44.01903,43.76563,44.70683,45.79283,46.87882,48.27252,50.57121,55.72969,57.39488,61.03297,64.23665,73.19612,75.94731,78.8614,81.79359,85.90227,86.91587,89.25076,90.97025,93.17844,94.15584,95.13324,96.11063,96.97943,97.70343,98.78942,98.40932,98.86182,98.64462,99.29622,99.92972,100.68992,100.72612,100.16502,101.59491,101.03381,100.11072,100.65372,99.98402,99.29622,99.26002,98.66272,99.02472,97.79393,98.28262,96.34593,97.48623,96.25543,95.74863,95.38664,95.47714,93.83004,93.05174,91.67615,89.39556,81.88409,80.16459,77.8478,76.11021,72.87032,72.07392,70.01053,69.01504,67.44034,67.11454,65.41315,64.12806,62.64386,61.44927,60.67097,59.27727,57.77498,56.56228,54.95139,54.02829,52.0373,51.2952,50.04631,48.92411,10,72.53845577319588
