Year,index,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015,0,0.0,30.7,21.0,24.4,77.16614319587627
2015,1,0.0,19.5,21.4,24.4,78.24144917525773
2015,2,0.0,31.3,21.3,25.1,77.23321876288661
2015,3,0.0,24.6,22.4,24.9,74.7637442268041
2015,4,0.0,15.5,20.7,23.4,73.52898412371133
2015,5,0.0,26.4,21.1,25.1,55.34149268041239
2015,6,0.0,31.1,22.4,25.4,56.97323927835052
2015,7,0.0,31.9,21.0,24.3,72.16071381443298
2015,8,0.0,26.1,21.9,25.8,75.85062731958763
2015,9,0.0,15.3,21.7,25.2,74.35052608247425
2015,10,22.0,3.1,20.9,22.3,79.8810351546392
2015,11,8.0,14.8,20.3,22.7,79.42326567010306
2015,12,4.8,21.2,19.1,27.6,57.83354690721652
2015,13,0.2,29.7,20.7,31.8,58.97136999999997
2015,14,0.0,29.7,23.3,25.5,81.35272701030927
2015,15,0.0,29.0,21.5,26.4,82.1543039175258
2015,16,0.0,32.1,22.7,31.7,50.59928762886597
2015,17,0.0,28.8,21.6,24.7,53.038440412371145
2015,18,0.2,4.7,20.9,22.1,66.93391597938144
2015,19,8.6,20.0,18.2,23.6,66.67972412371134
2015,20,24.8,29.1,19.0,25.3,66.1245508247423
2015,21,0.4,28.8,21.9,25.3,66.32341701030927
2015,22,0.0,29.0,22.3,24.9,65.50420793814436
2015,23,0.0,27.8,22.4,25.5,49.88672134020617
2015,24,1.2,26.7,22.1,29.2,67.70070701030927
2015,25,0.0,3.3,20.2,22.2,67.38307164948455
2015,26,38.0,3.1,18.7,20.8,66.67265010309278
2015,27,75.0,5.2,17.6,21.0,52.07211762886598
2015,28,17.4,28.8,16.0,21.0,54.19088082474228
2015,29,0.0,28.6,16.5,23.7,71.17342144329898
2015,30,0.0,28.5,17.8,23.8,70.60537350515465
2015,31,0.0,17.2,20.2,23.4,77.95717546391755
2015,32,3.8,25.5,18.3,21.9,64.17585886597938
2015,33,1.4,24.3,18.1,23.2,65.92432917525771
2015,34,1.6,18.2,18.5,22.3,51.10323855670106
2015,35,8.8,9.5,18.6,22.3,53.87416134020619
2015,36,0.4,16.6,18.8,23.5,67.26414515463918
2015,37,0.0,22.0,19.7,23.7,67.68114298969074
2015,38,0.0,27.6,19.6,27.3,67.32488268041237
2015,39,0.0,8.6,22.2,24.5,65.99868938144328
2015,40,0.8,22.5,22.2,25.7,65.24292525773195
2015,41,0.0,23.8,23.2,25.4,52.38417618556703
2015,42,0.0,24.8,21.8,26.1,65.01601484536084
2015,43,4.8,15.5,21.1,25.4,65.43637268041239
2015,44,4.8,17.9,21.4,24.9,65.43016845360825
2015,45,0.8,23.7,21.3,25.8,64.67179082474225
2015,46,0.0,25.2,22.3,24.9,54.0461524742268
2015,47,0.0,26.9,22.2,24.7,50.64891690721648
2015,48,0.0,26.4,22.1,24.3,65.8570968041237
2015,49,0.4,19.7,21.9,25.1,65.57119041237117
2015,50,0.0,13.2,21.8,25.8,67.09657639175256
2015,51,2.5,12.2,20.5,24.5,67.19579958762887
2015,52,2.0,19.6,21.1,24.7,65.5966144329897
2015,53,0.6,17.5,21.7,24.2,66.06623402061854
2015,54,0.6,17.7,21.9,23.5,51.009283814433
2015,55,0.0,10.3,20.8,22.5,53.66339628865981
2015,56,9.4,16.2,19.7,23.4,67.58910072164949
2015,57,15.0,16.2,20.4,25.2,65.4228401030928
2015,58,0.0,21.4,20.5,24.1,50.17798793814431
2015,59,0.0,17.1,21.7,29.8,52.52552030927834
2015,60,15.4,12.9,19.1,22.9,65.31671371134024
2015,61,0.0,20.3,18.2,23.3,66.1179155670103
2015,62,0.0,18.4,21.0,26.1,65.43567020618558
2015,63,0.0,23.2,21.2,25.3,65.20237701030928
2015,64,0.0,24.0,17.0,28.6,50.75232752577319
2015,65,1.6,15.4,18.7,23.2,49.60406268041237
2015,66,0.0,18.5,18.7,24.1,52.15386680412376
2015,67,0.0,23.8,20.8,28.8,65.65058371134023
2015,68,0.0,7.1,21.6,24.7,65.93248649484535
2015,69,0.0,18.0,21.7,27.0,65.63575010309278
2015,70,0.4,18.7,20.4,25.2,65.26717443298969
2015,71,2.4,3.3,20.5,21.7,64.72879494845363
2015,72,3.0,19.2,16.8,23.2,50.18871917525775
2015,73,0.0,15.7,18.5,22.6,66.21876670103093
2015,74,7.6,10.8,16.4,22.2,66.06552443298969
2015,75,0.0,12.6,17.0,22.5,65.92226443298966
2015,76,0.0,15.5,19.9,25.4,50.80579
2015,77,1.0,21.5,20.7,26.0,52.83274999999996
2015,78,0.0,18.4,20.4,27.2,65.9833294845361
2015,79,0.2,7.5,18.8,23.5,66.42635051546394
2015,80,0.8,18.3,19.5,23.6,65.49206639175259
2015,81,27.0,15.7,16.4,21.9,50.63547587628869
2015,82,0.1,20.2,17.6,26.2,52.94942134020619
2015,83,0.0,21.2,16.1,25.0,65.59338948453606
2015,84,0.0,18.6,16.5,21.7,66.10070134020617
2015,85,0.0,16.2,16.9,22.9,66.52702917525771
2015,86,0.0,9.6,17.6,22.2,66.07914927835053
2015,87,23.0,9.8,18.1,23.1,64.5112586597938
2015,88,4.6,14.0,18.0,23.2,50.78493319587626
2015,89,0.1,14.2,19.4,25.3,52.920305876288666
2015,90,0.2,3.5,18.1,21.1,65.07632226804124
2015,91,26.0,3.1,17.8,19.3,65.6391930927835
2015,92,21.6,16.5,16.1,22.3,64.04542030927831
2015,93,0.0,14.4,16.0,23.0,63.70781896907221
2015,94,0.6,15.5,16.2,21.9,65.15319422680412
2015,95,2.6,12.1,15.0,21.3,52.92035402061857
2015,96,0.0,12.3,16.3,20.0,64.30516329896905
2015,97,0.8,12.6,15.1,19.9,64.64696371134019
2015,98,6.6,11.1,16.0,21.5,64.3849348453608
2015,99,0.0,12.7,16.2,20.9,64.32853577319588
2015,100,0.0,15.3,16.2,19.7,65.09241855670103
2015,101,0.0,16.1,16.3,21.6,50.75330835051548
2015,102,0.0,16.0,16.5,23.4,53.48280628865978
2015,103,0.8,14.6,18.1,24.8,65.55508
2015,104,2.0,3.8,19.9,22.4,65.36582422680412
2015,105,1.0,12.4,20.3,25.8,65.48184092783507
2015,106,2.8,11.4,18.5,20.7,50.82588824742268
2015,107,17.0,3.1,14.1,18.3,52.16187824742271
2015,108,126.4,3.6,14.4,19.2,65.3223481443299
2015,109,118.0,3.4,13.5,18.7,66.89233072164949
2015,110,29.2,13.3,14.6,21.3,51.04252134020618
2015,111,0.0,14.0,15.9,25.2,66.66141690721649
2015,112,0.0,13.9,15.4,23.0,64.70377835051546
2015,113,30.4,3.9,12.0,18.1,50.55537000000001
2015,114,5.2,14.9,13.7,18.4,52.67338927835053
2015,115,0.0,15.0,11.9,18.4,65.25223494845358
2015,116,0.0,6.5,12.6,17.9,65.74816422680414
2015,117,10.2,7.8,14.3,19.6,65.68168969072163
2015,118,27.6,8.0,15.1,22.0,65.03023206185567
2015,119,9.0,8.7,16.9,22.2,65.67804371134018
2015,120,23.0,4.6,18.6,20.5,66.85505319587631
2015,121,0.6,6.0,17.5,20.7,65.06553886597939
2015,122,0.0,13.5,14.6,25.9,64.20154762886602
2015,123,0.0,14.0,14.1,19.9,64.34163608247421
2015,124,0.0,13.8,12.5,19.1,50.273464536082486
2015,125,0.0,13.7,12.7,19.6,53.19870268041236
2015,126,0.0,13.4,13.5,20.0,71.04144938144331
2015,127,0.0,10.9,12.5,20.7,65.20726113402063
2015,128,0.0,12.8,15.0,20.9,65.23632350515462
2015,129,0.0,13.2,13.4,21.7,64.84908773195878
2015,130,0.0,11.8,13.5,15.7,64.0151387628866
2015,131,3.8,12.9,9.7,17.2,50.78945360824743
2015,132,0.0,10.5,11.4,17.9,53.71208020618557
2015,133,2.0,11.8,14.1,18.6,64.9336175257732
2015,134,0.8,9.2,12.2,19.2,65.70571051546392
2015,135,0.2,6.5,13.3,19.3,50.02850412371132
2015,136,0.6,7.1,15.0,19.8,51.93865298969072
2015,137,1.0,11.0,16.8,22.3,64.85020268041237
2015,138,0.2,9.9,16.1,19.3,64.69098917525774
2015,139,11.2,5.4,13.2,17.9,65.55861927835052
2015,140,22.0,11.6,11.7,17.1,66.60706268041237
2015,141,0.1,11.5,9.8,18.5,66.00300092783505
2015,142,0.0,10.0,10.7,18.2,66.97180659793813
2015,143,0.0,10.5,10.3,17.5,53.19207494845362
2015,144,0.0,10.4,11.4,20.2,82.1627392783505
2015,145,0.0,10.6,13.0,19.8,67.38848628865978
2015,146,0.4,3.9,14.1,19.4,66.28546329896905
2015,147,0.0,6.0,12.9,17.8,65.53119113402063
2015,148,0.0,4.5,12.4,15.4,64.74258463917526
2015,149,0.0,11.2,11.9,14.6,49.87055268041237
2015,150,0.0,11.1,8.1,14.8,52.52988989690726
2015,151,0.0,10.8,7.7,16.1,68.37310731958765
2015,152,0.0,10.9,8.7,17.4,71.52263525773198
2015,153,0.0,10.1,9.4,15.7,56.35279412371133
2015,154,1.8,8.4,10.4,19.3,55.20774061855669
2015,155,0.0,10.8,11.4,20.1,67.01295463917526
2015,156,0.0,11.0,13.3,22.2,68.09722453608248
2015,157,0.0,9.5,15.2,21.7,68.35636134020615
2015,158,1.8,3.8,12.9,16.1,53.92175412371133
2015,159,7.6,6.5,12.4,15.7,68.52084773195875
2015,160,0.4,7.5,13.5,19.3,51.21558835051548
2015,161,0.0,9.1,13.8,18.3,53.88238824742268
2015,162,0.0,9.5,11.1,19.9,65.95182381443298
2015,163,0.0,5.7,11.8,18.4,67.5971918556701
2015,164,4.0,3.2,13.8,18.7,66.80653340206186
2015,165,11.4,4.5,15.2,17.3,66.03117556701031
2015,166,2.4,6.8,12.9,16.7,64.62586494845364
2015,167,75.6,7.1,10.0,14.0,73.85290443298966
2015,168,7.5,9.7,9.6,14.7,72.92136474226805
2015,169,0.2,5.4,9.5,14.3,67.93021546391753
2015,170,4.4,10.5,9.6,17.5,66.47209835051548
2015,171,0.0,10.1,9.4,18.7,66.73030257731955
2015,172,0.0,8.5,11.3,19.7,51.99896422680411
2015,173,0.0,6.3,13.9,17.9,53.56689525773199
2015,174,9.2,10.1,12.3,20.9,74.05465731958762
2015,175,0.0,10.6,10.0,19.6,67.58156030927836
2015,176,0.0,10.2,9.2,18.3,66.10795567010311
2015,177,0.0,9.7,10.3,19.3,66.40403896907215
2015,178,0.0,7.5,10.6,17.8,71.42495041237115
2015,179,1.0,10.1,11.3,15.7,54.6384312371134
2015,180,0.0,10.4,8.3,15.8,57.30747123711341
2015,181,0.0,10.7,7.5,14.2,69.4020970103093
2015,182,0.0,10.4,6.8,15.0,69.53640020618558
2015,183,0.0,10.8,7.9,18.5,56.00898103092785
2015,184,0.0,10.9,8.2,16.1,57.5263442268041
2015,185,0.0,7.2,9.6,14.1,70.87229051546393
2015,186,9.6,8.8,8.8,15.5,70.3167437113402
2015,187,0.0,10.8,8.7,18.2,71.85500556701031
2015,188,0.0,7.3,8.8,16.9,70.56239969072165
2015,189,0.8,10.7,7.9,18.3,69.75905319587633
2015,190,2.8,10.2,8.1,13.8,80.78241701030929
2015,191,6.6,8.7,8.6,16.5,63.92518391752579
2015,192,0.4,11.3,9.1,16.5,76.2189093814433
2015,193,0.0,11.3,7.3,15.3,74.97388608247424
2015,194,6.2,6.2,9.7,12.8,73.15377030927833
2015,195,17.0,4.2,6.7,14.1,73.08430979381444
2015,196,1.2,8.7,7.3,13.2,75.80578422680414
2015,197,0.0,11.1,9.2,15.0,57.16877948453608
2015,198,0.0,9.1,9.8,15.9,58.843443195876304
2015,199,1.6,11.5,10.3,17.3,77.92276999999999
2015,200,0.0,6.6,11.3,16.7,81.61884103092784
2015,201,1.8,7.6,11.8,16.9,62.87155804123708
2015,202,0.0,8.4,12.3,18.6,62.83624474226804
2015,203,0.0,12.2,12.3,19.7,83.21336175257733
2015,204,0.0,11.9,11.9,19.6,79.7467119587629
2015,205,0.0,12.6,8.7,14.2,73.70651360824743
2015,206,0.0,12.0,8.6,15.5,57.90391422680415
2015,207,0.0,12.1,9.0,17.0,71.74584340206184
2015,208,0.0,12.3,9.8,19.3,56.36925237113402
2015,209,0.0,12.6,12.7,20.8,58.59792360824743
2015,210,0.0,10.9,11.6,21.7,78.81661938144332
2015,211,0.0,10.6,15.0,24.8,72.8518063917526
2015,212,0.0,13.2,9.5,17.8,70.57993845360824
