year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00,averagemwh
2022,16.974489557,16.505376206,16.10378708,15.641877447,15.416015599,15.147204861,15.080041473,14.453652982,14.424387496,14.424387496,14.424387496,14.424387496,14.424387496,14.424387496,14.19012252,13.740226824,13.740226824,13.740226824,14.040926538,13.691063912,14.502687898,14.440787283,14.673431977,15.029315026,15.606024045,16.098205204,16.431642234,17.309797044,17.578475511,18.252357942,18.928445251,19.583038646,20.208392402,20.55708745,21.029031725,20.780044048,21.297144067,21.612001004,21.914721291,21.833723529,21.865672863,21.959669032,21.398858938,20.772588806,20.804767923,21.039420096,20.979606608,21.034393853,21.106119205,20.91192457,20.821857136,20.494655033,20.079933273,20.083653985,20.294661527,20.266867386,20.115051772,20.210093168,20.414569256,20.38609103,20.648569576,20.988343093,20.953540543,21.434664391,21.800686873,21.864634801,21.900010925,22.359866118,23.177455757,23.719331667,24.577470445,24.721873843,24.905859547,24.92515685,24.906762012,24.230424547,23.842473594,23.218452584,22.665814295,22.323477874,21.779114717,21.689930192,21.118944747,20.682216807,20.44143902,19.893582235,19.732588605,19.273486996,19.021700589,18.985458641,18.505871493,18.265321627,17.89797423,17.33030609,17.3552832,16.81557912,19.225750419833332
2022,16.719863066,16.377877258,15.823131982,15.622872281,15.479859116,15.26234952,15.110850824,14.595427664,14.428761886,13.968280381,13.968280381,13.968280381,13.968280381,13.968280381,13.827228819,13.312626404,13.312626404,13.312626404,13.666706823,13.28411971,13.987046718,14.025293771,14.200106153,14.156135888,15.005838509,15.11642223,15.723231373,15.902361209,16.19062233,16.988390466,17.59821138,18.008205134,18.494919677,18.683317248,19.194843354,19.705078543,19.815785413,20.1350488,20.467806763,20.391874811,20.565289719,20.888884775,20.550800849,20.672813304,20.426614722,20.190559336,20.491554987,20.444591215,20.54287462,19.482719331,19.658805317,19.282729113,19.051382349,18.871431862,18.864518418,19.590907121,19.793919467,18.928914091,19.383169658,19.554575396,19.193769278,19.421329613,19.273390586,19.524037979,20.114624989,20.7879668,21.787430462,22.00783039,22.796665839,23.726725107,24.728846866,25.367678947,25.826093755,25.921869502,25.723005831,25.481484476,25.173775441,24.813862115,24.002740455,23.478013622,23.065295293,22.453139054,22.15758801,21.712363327,21.033647719,20.743143329,20.157024022,19.579781871,19.19030028,18.617190972,18.18190452,17.920878523,17.20320236,16.875963236,16.574894912,16.240995275,18.769420627520834
2022,16.139089752,15.334836647,15.271246668,15.088450701,15.066510618,14.766467832,14.32194046,14.134227448,13.597693351,13.597693351,13.597693351,13.597693351,13.597693351,13.597693351,13.597693351,13.597693351,13.597693351,13.597693351,13.896178132,14.338867412,14.425717371,14.700362232,15.50333341,15.898493724,16.998480392,18.391309948,19.370304644,20.264886095,21.245881657,22.063272053,22.890875808,23.060172013,23.075344967,22.885095981,22.783607549,22.429861114,22.367009193,21.722101328,21.662597993,21.763816067,21.691844113,21.577339182,21.30054408,20.978190358,21.100115866,21.053607612,21.148584716,21.664070458,21.82667502,21.739066384,21.592490737,21.732756427,21.815172873,21.851255165,21.740544779,21.832881194,21.571232972,21.637646634,21.861506248,21.912319678,22.204188341,22.255372435,22.29364826,22.423018006,22.862343819,23.231657037,23.417596058,24.04646066,24.947631889,25.632814944,26.579146099,27.433064328,27.875796291,28.251749954,28.230596029,28.230716594,27.3387711,26.777861042,26.299974964,25.635355176,25.313944854,24.628462023,24.037067134,23.157537427,22.509739762,21.722101328,21.144784793,20.560372428,20.059966937,19.464842707,18.977426594,17.956339654,17.573707386,17.189536877,16.973202365,16.216718841,20.342902409906248
2022,16.137853512,15.661891636,15.457422314,15.187457321,15.121428442,14.754243876,14.329086176,13.711720129,13.711720129,13.711720129,13.711720129,13.711720129,13.711720129,13.711720129,13.711720129,13.711720129,13.711720129,13.711720129,14.064235436,14.338867412,14.370949226,15.361239092,15.598536724,15.813813923,17.10071359,18.207468431,19.613183716,20.614781693,21.632729381,22.940405278,23.237377723,23.748259197,23.852609321,23.697117977,23.424699603,23.128237752,23.135112901,23.48418057,23.53312132,22.921948505,22.694943025,23.055869155,23.20444945,23.20444945,23.670967779,23.823912753,23.605918923,23.545428287,23.543692685,23.48887893,23.603543175,23.717953768,23.715819072,23.061915976,23.785470734,23.303424161,23.217213607,23.520011452,23.495369258,23.211592429,23.329562026,23.192605773,23.528028713,23.791368199,23.944450061,24.281797412,24.552218797,24.641918874,25.516343508,26.152254223,26.890102256,27.646263845,28.126792188,28.787621157,29.163216434,29.147317623,28.240552011,27.714371108,27.143668032,26.634796109,25.946374522,25.480121837,25.221512372,24.40934062,23.51816017,22.805355725,21.983910327,21.378926164,21.04500661,20.018663017,19.494107812,18.763685868,18.257392471,17.541479731,17.021086676,16.757392243,21.164963354687515
2022,16.44650207,16.167967072,15.707435623,15.335487094,15.335413661,14.752208099,14.48564709,14.253347328,14.253347328,14.253347328,14.253347328,14.253347328,14.253347328,14.094950449,13.569186656,13.569186656,13.569186656,13.869737489,14.424387496,14.424387496,15.111397184,15.24440771,15.668736759,16.420657692,17.66677857,18.667500765,20.111652786,21.297719618,22.592631585,23.662291463,24.481430972,24.784322433,25.309137656,24.96344556,24.400296567,24.317671186,24.452085345,23.752026128,23.688117236,24.081244548,23.863157767,23.749707983,23.434528731,23.38655947,23.38120464,23.455972854,23.56255566,23.656217047,23.902963812,23.313313875,22.776483232,23.56837762,23.556355587,23.512969937,23.494086019,22.344093174,22.046946972,22.280051117,22.375821582,22.928947411,23.064969595,22.921049081,23.205853499,23.631379734,23.725221435,24.047183495,24.447818596,24.595453551,25.350919234,26.650066879,27.792661495,28.409414211,28.517956891,28.630020356,29.004259322,29.069303542,28.537927198,28.259967503,27.747319868,26.958448957,25.99498944,25.39896533,25.104173971,24.510928693,23.929590338,23.186105316,22.404027797,21.939323405,21.183719882,20.471561475,19.835491863,19.074268777,18.256881403,17.987724328,17.525399713,17.131348195,21.40663883537501
2022,16.588863838,16.177106603,16.077775786,16.022362572,15.393615114,15.393615114,14.960167553,14.323897596,13.939773687,14.515469103,14.566920969,14.566920969,14.566920969,14.566920969,14.566920969,14.566920969,13.90840969,14.302534679,14.566920969,14.831156934,15.194068251,15.488242422,15.925842192,16.618759588,17.946728394,18.967819401,20.204840182,21.157411396,22.629795801,24.056819004,24.943772691,25.737198402,25.70017098,25.480154943,25.506097213,25.197447267,24.798815731,24.723053545,24.372752221,24.643431915,24.185583801,24.482893366,24.028546331,24.086269727,24.596989587,24.287703847,24.325668188,24.715304266,24.409021821,24.174185912,24.194943556,24.518526278,24.251934976,23.663200275,22.815772926,23.515172345,23.414016358,23.395945357,23.238350466,22.72619423,23.200197638,23.565348822,23.671418774,23.870918202,24.137929122,24.538721124,24.738865012,24.91789878,25.407883117,26.470538576,27.261538254,27.882687519,27.993574152,28.256310341,28.541842783,27.851405241,27.735121816,27.321268787,27.032744112,26.647568153,25.930493994,25.384369484,24.808458785,24.358010611,23.780974411,22.957756847,22.361693493,21.737166983,21.200300592,20.617122302,19.807772827,19.309099022,18.643378305,18.107672593,17.788680912,17.332070351,21.686369187927085
2022,17.127964469,16.575501021,16.113905855,15.937121607,15.703633704,15.311365394,14.924661781,14.712125463,14.349562116,14.224840633,14.224840633,14.224840633,14.224840633,14.224840633,14.224840633,14.224840633,14.224840633,14.224840633,14.224840633,14.224840633,14.833973661,15.594370603,15.707110533,16.257431437,17.328545631,18.556591744,19.398367508,20.709232164,21.652955698,22.28635066,22.931895137,23.63204987,24.333087132,24.667026849,25.071530213,24.823342568,23.824739295,23.219531069,24.181210779,23.270326102,23.403996312,23.546135006,23.025280902,23.831458342,24.209021397,24.160348421,23.716862702,23.624475888,24.140021912,23.854420275,23.564566655,23.859406153,23.881509921,23.511723682,23.573351564,23.31890782,22.700665421,23.125016571,23.431949958,23.06043933,23.112042623,23.193023586,23.324131557,23.100716743,23.370794185,23.674542044,24.081351106,24.340920429,25.145231137,25.896555386,26.214241308,26.428950046,26.395904363,26.388507484,26.333454063,26.132538841,25.471585621,25.144690593,24.467824442,23.896725901,23.45993154,22.91405521,22.433190848,22.073086015,21.534492385,21.2776758,20.515341714,20.151818091,19.726632702,19.726632702,19.200470385,18.490273827,17.993792586,17.657301596,17.520099463,17.072151098,20.926135340395835
2022,16.784562601,16.616460466,16.002410946,15.648589919,15.475527923,15.126029233,15.028516705,14.566920969,14.368693016,13.882760297,13.882760297,13.882760297,13.882760297,13.882760297,13.882760297,13.882760297,13.882760297,13.882760297,13.882760297,13.882760297,14.181844917,14.794974526,14.794974526,15.141884523,15.422121809,15.92871789,16.551616668,17.209587745,17.949823347,18.272791274,18.90733192,19.744281405,20.105610906,20.190841191,20.341252489,20.961027693,21.1825944,21.203533137,21.616968524,20.859287566,20.838919495,21.190032101,20.883753019,21.19446016,21.334625297,21.129475386,21.745151955,21.313042517,21.539580925,21.452323871,21.02068983,21.555773715,20.551438316,21.497910808,20.234984872,20.808040321,20.473512093,20.987180856,21.151967434,21.082870418,20.626355677,21.126487353,21.047648573,21.066447351,21.337239418,21.617289262,21.928887256,22.842209845,23.531876603,24.078234469,24.421848484,24.947948542,24.96735894,24.627210617,24.586446899,24.33737127,23.901195048,23.226773023,22.916030933,22.499986006,22.036826411,21.92164819,21.6639807,21.394763343,20.860200978,20.469123221,20.022294693,19.327538977,19.249160029,19.075267671,18.882850086,18.783540249,18.093698402,17.540196303,17.306111318,17.004258718,19.301470622375
2022,16.904469931,16.582478396,16.052748466,15.443341489,15.519180224,15.246430298,14.656704932,14.475557355,13.939773687,13.939773687,13.939773687,13.939773687,13.939773687,13.939773687,13.939773687,13.939773687,13.939773687,13.579654276,13.28411971,13.624017763,13.874121362,13.936647319,13.957006611,14.08230716,14.674132158,15.051349067,15.703637258,15.841367791,16.233964498,16.932901425,17.163035724,17.769225454,18.642879533,18.893763113,19.258683507,19.76269025,20.687631597,20.936081257,21.287936785,21.579567854,21.703475319,21.833165633,22.286866536,21.857744296,21.717693679,21.535852534,21.081665155,21.018194125,20.965448321,20.966746801,20.736813038,20.352485495,20.378997443,20.131735676,20.452151456,20.233473656,20.141538235,20.206626735,19.88195405,19.963823757,20.12318726,20.068713038,20.06688363,20.372986845,20.715827074,21.10410076,21.728287071,21.927034815,22.600786267,23.333336369,24.505183739,24.931284535,25.245540988,25.568123714,25.540614259,24.981031644,24.804398045,24.473690493,23.931413361,23.301003411,23.216014711,22.838055887,22.21139128,21.9072143,21.196751756,20.786434147,20.430900685,19.609725417,19.204080321,18.82698335,18.184037353,17.965737304,17.310473812,16.710409809,16.613360211,16.36820754,19.03380471757292
2022,15.935693079,15.698413292,15.334706467,15.287731805,15.108548167,14.486066196,14.419825645,13.800662404,13.783257718,13.616138075,13.911266992,13.911266992,13.911266992,13.911266992,13.911266992,13.911266992,13.911266992,13.911266992,13.911266992,13.911266992,14.498450587,14.966014694,15.695120712,15.87187155,17.374538446,18.338592289,19.492595665,20.377335902,21.492652748,22.453101406,23.260833563,23.477890568,23.504103671,23.195117384,22.493475951,22.719835641,22.676081304,22.54989891,22.132763241,22.010110279,22.076775902,21.788414741,21.810477041,21.96368764,22.138175389,21.850116854,21.623458187,22.062654351,21.966973017,22.061958464,22.123722342,22.119732697,21.980136611,22.040983657,22.547317362,21.92018821,22.003569988,21.936635395,21.922486401,22.369553796,21.896199599,22.179137038,22.287595148,22.331506518,22.92363135,22.949700285,23.602046364,23.855132011,24.566468647,25.190758989,26.452120572,27.430820034,27.96436967,28.141477773,28.136428249,28.187391891,27.908054068,27.262161391,26.903702762,26.22007946,25.472179492,24.518610487,24.00107059,23.594686316,23.049831646,22.398127481,21.757513978,20.857538072,20.177063392,19.332315444,18.961929462,18.407181449,17.764323614,16.904469931,16.480728025,16.170091942,20.538620400666662
