year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2023,17.35903,16.56678,16.21437,15.74968,15.62707,15.06568,15.14283,14.71151,14.35147,14.04932,14.04932,14.04932,14.04932,14.04932,14.04932,14.04932,14.04932,14.04932,13.85492,13.31695,14.0157,14.05078,14.52359,14.52359,15.03442,15.31106,15.85455,16.06659,16.5493,17.53026,18.32848,18.78892,19.11489,19.67193,19.68693,19.6612,19.74738,20.08382,20.81714,20.83188,21.02175,20.60864,20.36797,20.40348,19.98053,19.6898,20.09887,19.76621,19.52183,19.16529,19.01401,19.23833,18.92249,19.27861,19.5435,19.47427,19.41121,19.84791,19.23076,19.31516,19.85677,20.35538,20.54716,20.52686,20.96658,21.4044,21.6402,22.34847,23.14632,23.78258,25.09452,26.00453,26.39886,26.55946,26.55946,26.19041,25.40948,25.05414,24.26649,23.95818,23.94648,22.76461,22.57734,22.41745,21.96896,21.73796,20.81644,20.12113,19.50795,19.25653,18.37129,17.87595,17.54968,16.898,16.58522,16.02062,19.031073541666668
2023,16.08311,15.67012,15.52584,15.52584,15.09993,14.70462,14.52941,14.63097,14.63097,14.17691,13.88823,13.88823,13.88823,13.88823,13.88823,13.88823,13.88823,13.88823,14.39509,14.53253,14.80488,15.35581,15.37504,16.06481,17.13198,18.3213,18.56915,20.12249,21.4558,22.54974,23.55768,23.88344,24.37828,23.92216,23.33482,23.39942,22.48373,22.36555,22.59484,22.06213,21.82754,21.65131,21.39034,21.26189,21.27609,21.48518,21.51266,21.33483,21.70578,21.94267,22.57041,22.12376,22.33222,22.78459,23.92411,22.77799,22.38663,21.76301,22.43359,22.48027,22.35959,21.998,21.63202,21.8467,22.54579,23.02899,23.53414,23.94368,24.41323,25.54381,26.67989,27.53075,28.00346,27.92892,28.50131,28.50131,27.52866,27.14618,26.57864,25.73205,25.13289,24.31613,23.47343,22.96321,22.85021,22.13363,21.63709,20.69813,20.24951,19.62905,19.08737,18.66644,18.21311,17.47663,17.25239,16.61757,20.611281354166668
2023,16.61757,16.00068,15.46349,15.27528,15.27528,15.27528,15.09381,14.42515,14.42515,14.42515,14.39471,13.60189,13.60189,13.60189,13.60189,13.60189,13.60189,13.81861,14.31777,14.31777,14.96638,15.36339,15.2331,15.92743,17.15634,18.57728,19.36529,20.31317,21.88033,23.14411,23.63808,23.75327,23.62141,23.41517,23.1364,22.67002,22.35641,21.86426,22.69487,22.64856,22.42597,22.34967,21.94636,21.54864,21.60141,22.12474,22.38225,22.05631,22.08154,21.66232,21.69609,22.15454,22.40838,22.57855,22.07182,21.85357,22.03924,22.46061,22.57685,22.56941,22.35939,22.83588,22.84046,22.9211,23.43676,23.81867,24.00562,24.75074,25.23346,26.39903,26.97757,27.84506,27.97089,28.74615,29.00443,28.87665,28.18227,27.66087,26.84114,26.48048,26.03922,25.35899,24.64718,24.15887,23.81614,23.1575,22.28944,21.39612,21.39612,20.48428,19.90169,19.2138,18.54795,17.92298,17.33345,17.33345,20.887858125
2023,17.33345,17.00146,16.3491,16.3491,15.66234,15.54713,14.87258,14.87258,14.87258,14.86652,14.16563,14.16563,14.16563,14.16563,14.16563,14.16563,14.16563,14.53113,14.93522,14.93522,15.33655,15.66901,15.77896,16.68452,17.86794,18.63778,20.17263,21.14094,22.19282,22.96188,23.08416,23.36989,24.0356,23.57657,23.83051,23.06797,22.67278,22.91482,23.11424,22.44148,22.15856,22.00142,21.77741,22.36741,21.61983,22.08712,22.17415,22.55464,22.19706,21.92886,22.28756,22.37572,22.1431,22.39281,22.15439,22.14577,22.68358,22.86172,22.95906,22.92553,22.89293,22.24124,23.71689,23.70231,23.30862,23.27193,24.02915,24.47337,24.88671,25.93682,26.7303,27.58961,27.66014,27.79947,27.77738,27.74068,27.00113,26.30458,25.68709,25.21807,24.49257,23.82057,23.1911,23.12319,22.34879,21.67261,21.14676,20.44759,20.12541,19.98618,19.37373,18.71357,18.40729,17.52683,16.85917,16.85917,20.85101583333333
2023,16.85917,16.44867,15.39204,15.24843,15.24843,15.24843,14.5418,14.47884,14.47884,14.3822,13.84349,13.84349,13.84349,13.84349,13.84349,13.84349,13.84349,13.84349,13.84349,13.92006,15.28273,15.54373,15.46136,16.14743,17.22681,18.28837,19.35513,20.22959,21.67641,22.82455,23.32822,23.6969,24.03755,23.54597,23.88486,23.57371,23.80297,23.73169,22.94939,22.9024,22.30521,22.48269,22.96123,22.47054,22.71505,22.7553,22.20687,21.96808,21.24018,20.92043,20.68641,21.00016,21.94567,22.99057,22.81619,21.88372,21.65576,21.70294,21.70593,22.65462,22.15196,22.08109,22.1421,22.29768,22.6918,23.05438,23.13332,23.68258,23.84538,24.77384,26.02156,26.30148,26.20914,26.28487,26.23532,26.87908,26.29587,25.79884,25.79884,25.04332,24.68329,24.23684,23.82377,23.37089,22.62207,22.53912,22.06523,21.49677,21.1515,20.35212,20.03531,19.05794,18.38044,18.34901,17.55716,17.1579,20.593723437499985
2023,16.71211,15.99856,15.81677,15.59896,15.36992,15.06939,15.22159,14.35718,14.35357,14.35357,14.35357,14.09187,13.67347,13.67347,13.67347,13.67347,13.67347,13.7701,14.31777,14.31777,14.93797,15.56182,16.00906,16.19899,17.29735,18.06524,19.18478,20.24619,21.2517,22.25408,22.75898,22.67166,22.71554,23.29728,22.98185,22.37924,22.10143,21.9798,21.6034,21.36092,21.37358,21.28814,21.19387,20.69557,20.6325,20.90604,20.47699,20.31857,20.21801,20.44507,20.32744,20.26859,20.21398,20.20168,20.28857,20.16831,20.19995,20.39301,20.98459,21.06999,20.98449,20.97726,21.11985,21.92165,21.82926,22.58192,22.6883,22.9987,23.7739,24.63894,25.73249,26.30282,26.13228,26.19227,26.15343,26.0265,25.62009,25.10615,24.55578,24.07081,23.73684,23.23336,23.18584,22.3992,22.31624,21.44308,20.97026,20.43138,20.3358,20.26029,19.68205,19.18722,18.30884,18.18504,17.50819,17.24318,19.962765416666674
2023,17.02147,16.7133,16.46573,16.22095,16.08101,15.42356,14.85678,14.69362,14.66228,14.00456,14.00456,14.00456,14.00456,14.00456,14.00456,14.00456,14.00456,14.00456,14.00456,14.00456,14.43563,14.80994,14.74448,15.02389,15.83009,16.68323,17.07355,18.32135,18.96048,19.54214,19.69039,20.58757,20.86371,21.31081,21.3455,21.13789,21.14886,21.66985,21.85545,21.50584,21.58873,21.55272,20.78509,21.39385,20.6064,20.73639,20.4879,20.15892,19.47223,19.39542,19.43624,19.68096,19.63237,19.39978,19.42572,19.78338,19.63193,19.56896,20.04618,20.38491,20.05097,20.38836,20.40987,20.34005,20.93343,21.55384,22.24506,22.8407,23.59022,24.44018,25.58927,26.29904,26.41067,26.70964,26.71176,26.07261,25.37803,25.03747,24.89575,24.76179,23.93053,23.25234,23.11551,23.0267,22.67396,22.07461,21.43938,21.08291,20.59743,20.26504,20.26857,19.26162,18.67506,18.52308,18.49955,18.34862,19.641575104166666
2023,17.62357,17.41793,16.89398,16.74253,16.72495,16.645,15.58134,15.32897,15.32897,15.32897,14.55002,14.4699,14.4699,14.4699,14.4699,14.4699,14.4699,14.4699,14.4699,14.32774,14.38917,14.73616,15.39161,15.33801,15.52514,16.38448,16.57901,17.54701,18.31821,18.73887,19.42725,19.81066,20.26665,20.64444,20.67032,20.99323,21.39818,21.29991,21.15849,21.15043,21.22908,20.98379,20.92184,20.41455,20.15264,20.51021,19.6422,19.86885,20.02046,19.12427,18.94146,18.80708,18.73026,18.4027,18.74856,18.41849,18.85644,18.32608,18.72769,18.86616,19.24879,19.39834,20.12483,20.09793,20.65201,21.01125,21.88228,22.44387,23.62262,25.01349,25.93781,26.88084,27.94631,27.9064,27.77488,27.67803,27.33413,26.72807,26.66684,26.33329,25.97471,25.49578,24.6892,24.40128,23.63304,23.07041,22.30091,21.39521,20.77866,20.23344,19.74433,18.97084,18.27306,18.27306,17.56108,17.28795,19.734147708333328
2023,16.53587,16.47515,15.96567,15.83349,15.62426,15.26016,14.91715,14.72046,14.72046,14.72046,14.72046,14.72046,14.15698,14.10301,14.10301,14.10301,14.10301,14.10301,14.10301,14.10301,15.03698,15.6476,15.99116,16.69344,17.60497,19.1657,19.96378,21.06499,22.52571,23.56395,24.16124,24.52519,24.85381,24.37293,25.01535,24.85056,24.71098,25.0286,24.79166,23.74574,23.82068,23.05928,23.90365,24.16034,24.71414,24.63115,24.85801,24.84395,24.69779,25.24167,25.23661,25.71157,25.47152,25.74513,25.65118,25.09429,24.82343,24.58603,24.32581,24.73083,24.31736,24.50812,24.93552,25.70784,25.77199,25.76797,26.13946,26.81364,27.65368,28.9563,29.69618,30.77735,31.29327,31.53614,31.69597,31.59526,30.9821,30.36655,29.66731,29.083,28.40348,27.89985,27.0525,26.71515,25.88058,24.80649,23.97769,23.03112,22.0923,21.56565,20.55868,19.76541,19.14488,18.81572,18.03912,17.81376,22.484800937499998
2023,17.31055,16.89171,16.42196,15.89232,16.34291,15.83009,15.32622,14.53833,14.34461,14.34461,14.34461,14.34461,14.34461,14.34461,14.34461,14.34461,14.34461,14.34461,15.05089,15.20368,15.65017,16.03374,16.42404,17.22427,18.41925,19.51467,21.10868,22.40287,23.25493,24.52543,24.81981,24.68393,24.69861,24.22741,24.15222,24.24485,23.90709,23.54378,23.0353,23.52313,23.32061,22.84232,22.90057,22.48923,22.87369,22.89948,23.77416,23.86096,23.43502,23.38953,23.22815,23.15004,23.12081,22.76225,22.57003,22.75768,22.07583,22.30218,22.23924,22.75336,22.26842,22.78008,22.88637,22.86353,23.51847,23.88891,24.17416,24.69761,25.67989,26.81746,27.37219,28.45703,29.23177,29.27088,29.6876,29.62563,29.00054,28.55506,27.6692,27.52708,27.31111,26.77836,26.14947,25.67806,24.77823,24.02091,23.22537,22.89693,21.72135,21.28269,20.42004,19.72575,18.90422,18.1684,18.12555,17.15977,21.65325177083334
2023,17.12764,16.79222,16.4166,16.36701,16.03823,15.54373,15.02639,14.7652,14.7652,14.7652,14.7652,14.7652,14.7652,14.5075,14.09405,14.09405,14.09405,14.69331,14.78309,14.78309,15.58,16.02696,16.62361,17.08144,18.37099,19.35724,20.54775,21.6893,22.84796,23.79807,24.42858,25.19334,24.78653,24.54286,24.48779,24.4595,24.3357,24.18865,24.39545,24.42499,24.47444,25.17404,25.45005,27.31951,28.92693,29.17917,29.51747,29.6482,29.23951,28.73023,28.41081,28.37711,28.89559,28.54012,28.40413,28.42271,28.5048,28.54725,28.80556,28.83213,28.88626,28.6484,29.30388,29.36043,29.45619,27.49019,26.65737,25.98894,27.01211,27.62765,28.63574,29.27088,29.21865,29.507,29.96556,29.68542,29.46044,28.65801,28.33058,27.26787,26.41189,26.22933,25.53522,25.08294,25.08294,24.16906,23.21554,22.78686,22.01832,20.96795,20.19434,19.80327,19.15113,18.79556,18.10296,17.60176,23.219784062500008
2023,17.01131,16.72733,16.55774,16.03573,16.08822,15.91062,15.91062,15.28317,15.23052,15.23052,14.96943,14.49675,14.49675,14.49675,14.49675,14.49675,14.49675,14.49675,14.49675,14.49675,15.5663,16.44105,16.68915,16.79028,18.3867,19.5422,20.53981,21.49068,22.8981,24.16387,24.92968,25.44291,25.55529,25.71153,25.94713,25.892,25.93307,25.65855,25.79532,25.56166,25.00576,24.80782,24.96661,25.26206,25.66377,24.99897,25.02658,25.22396,24.62108,25.03821,25.2576,25.44088,25.41414,25.30792,24.75403,25.22906,24.99345,24.70987,24.51445,24.36604,24.60429,24.75406,24.67264,24.703,25.14228,25.47704,25.87644,26.77121,27.06951,28.00211,28.58804,29.05497,29.30326,29.22204,29.33996,29.63808,28.61211,28.18988,27.80332,27.2886,26.33615,26.06729,25.39566,25.00475,24.23282,23.36933,22.60986,21.85195,21.51357,21.05069,20.41634,19.694,18.95535,17.95571,18.30526,17.76299,22.39164645833334
2023,17.2704,17.06074,16.40277,16.04133,16.01503,15.39991,15.56342,15.0605,15.0605,15.0605,15.0605,14.91723,14.17459,14.17459,14.17459,14.17459,14.17459,14.17459,14.17459,14.17459,15.2851,15.65487,16.33388,16.86951,17.47986,18.51843,19.70224,20.55052,22.08339,23.10023,23.96503,24.12424,24.99778,25.2937,25.19192,25.24019,25.32762,25.43483,25.38281,25.7362,25.65322,25.21807,25.2713,24.70355,24.97636,24.94315,24.81754,24.65136,24.84893,24.56692,24.67829,24.81386,24.6291,24.47309,24.34693,24.34841,24.21866,24.25519,24.16167,24.02017,24.08457,23.65186,23.24636,23.90955,23.91456,24.52856,24.92479,24.98678,25.73799,26.52535,27.27411,27.74806,27.84654,27.75915,27.40059,27.31895,26.93634,26.05342,25.42911,24.85114,24.47444,24.47304,23.75021,22.68642,22.57438,22.41047,21.55092,21.20972,20.67304,20.60141,20.06278,19.20125,18.91171,18.35087,17.93598,17.88804,21.69854302083333
2023,17.19685,17.16342,16.75936,16.36474,16.30443,15.61753,15.45424,14.88741,14.51464,14.51464,14.51464,14.51464,14.51464,14.51464,14.51464,14.51464,14.51464,14.51464,14.51464,14.51464,14.82778,15.23647,15.15007,15.27995,15.43618,16.17957,17.04345,17.569,18.11463,19.01515,19.60033,20.00211,20.90467,21.44981,22.18214,22.22834,22.53287,22.87578,23.01189,22.79755,22.81121,22.02456,22.87553,21.89879,21.87632,21.89845,21.93013,21.75299,21.79033,21.45333,20.9304,20.81773,21.16734,21.09216,21.4468,21.51245,21.36757,21.26962,21.69771,22.13885,22.05571,22.07286,22.20795,22.62203,22.65605,23.04968,23.34824,23.66696,24.44865,24.71293,25.52815,26.06275,26.14842,26.06729,25.50686,25.22472,24.45103,24.18216,23.61566,22.95897,22.58587,21.86423,21.78779,21.48709,21.06345,21.02922,20.30897,20.13512,19.92292,19.33342,19.14287,18.87095,18.39097,18.05167,18.02747,17.61227,19.992864791666662
2023,17.64299,16.86578,16.66875,16.28775,16.17673,16.0472,15.51902,15.32001,15.32001,15.32001,15.32001,15.32001,14.93913,14.57728,14.57728,14.57728,14.57728,14.57728,14.57728,14.57728,14.57728,14.57728,14.63093,14.9304,15.34813,15.37849,16.18803,16.21289,16.56687,17.64857,18.47879,18.79207,19.04969,19.9749,20.18172,20.74919,20.85515,21.02874,20.84131,21.26322,20.75116,21.73034,21.84115,22.17542,21.7909,21.95539,21.67024,20.82295,21.1741,20.31432,21.80447,21.85739,21.82341,21.65041,21.52583,21.42315,21.41963,21.53454,21.45859,21.33789,22.22566,22.5196,22.52764,22.52365,22.92068,23.10572,23.41885,24.0665,24.93289,25.89509,26.37978,27.08769,26.46377,26.89509,26.8196,26.79213,26.083,25.23796,24.67802,23.94135,23.55709,22.81239,22.75694,22.27411,22.05059,21.24382,20.30258,20.2856,19.68721,19.30224,18.86005,18.20511,17.62794,17.48659,17.2735,16.26421,19.90237427083334
2023,16.15223,16.12779,15.89201,15.33971,15.08525,14.92708,14.93522,14.01249,13.98667,13.98667,13.98667,13.98667,13.98667,13.98667,13.98667,13.98667,13.98667,13.98667,13.98667,13.98667,14.72443,14.9412,15.00826,15.82488,17.03906,18.30198,18.89581,20.32592,21.55651,22.23755,22.87531,22.92005,23.06753,22.9724,22.53502,23.16495,22.95317,22.95317,22.48312,22.03212,21.8525,21.8525,21.77664,21.34435,21.31451,21.28024,21.32154,20.92007,21.12431,21.10386,21.44891,21.15267,21.06298,21.39846,21.45213,21.21805,21.32808,21.64099,21.8982,21.90619,21.79835,21.81792,22.63103,22.95237,23.21546,22.79333,23.30794,23.76967,24.53954,25.35142,26.76861,26.7659,27.54783,27.65592,27.89744,27.82147,27.58946,26.48824,26.23687,25.60162,25.40062,24.54947,24.28556,23.59527,23.30612,22.40731,21.68403,20.92379,20.83487,20.07053,19.60972,18.35461,17.89119,17.61267,17.08289,16.84985,20.443024270833327
2023,16.44144,16.11628,15.83904,15.83904,15.74828,15.22159,14.78203,14.39831,14.39831,14.39831,14.39831,14.39831,14.39831,14.39831,13.9693,13.65558,13.65558,14.41553,14.55044,14.55044,15.10889,15.64547,15.60643,16.17704,17.55938,18.55079,19.81229,20.9412,21.99342,23.27071,24.28653,24.26418,24.31595,24.04268,24.20853,22.84784,22.61705,22.17871,22.47043,22.16531,21.7358,21.64364,21.54074,21.27667,21.22527,21.19623,21.29133,21.27978,21.61975,21.68266,21.10976,21.10976,21.10976,21.35007,21.07942,21.29418,21.14097,21.8525,21.8525,21.74406,21.87449,22.27468,22.26054,22.54438,22.96212,23.07862,23.79776,23.88178,24.79074,26.02681,27.0946,28.1119,28.52816,28.93207,28.98455,29.10156,28.32327,27.88704,27.20277,26.66151,26.26173,25.49974,25.14495,24.65601,24.23608,23.58934,22.78369,21.81468,21.50683,20.56039,19.89337,19.23998,18.74357,17.96843,17.53373,16.61681,20.855615625000002
2023,16.73082,16.71854,16.07169,15.80093,15.27528,15.27528,15.27528,14.33112,14.18354,14.18354,14.18354,14.18354,14.18354,14.18354,14.18354,14.18354,14.18354,14.18354,14.18354,14.18354,15.43614,15.90167,15.99255,16.88602,17.989,18.84941,19.99033,21.75071,23.45541,24.43845,24.88845,25.13128,25.26283,24.83906,24.5927,24.33167,24.28354,23.74459,23.68433,23.51977,22.80047,22.86029,22.88159,22.22882,22.51856,21.89785,22.21655,22.23475,22.02295,21.90944,21.89415,22.36432,21.91386,21.70932,21.7737,21.63306,21.63954,21.89208,22.30934,22.89252,23.01175,22.93053,22.94487,23.24653,23.55328,23.90066,24.19233,25.08373,25.76271,27.15363,28.459,29.37051,29.67653,29.60257,29.81657,30.11492,29.45698,28.94341,28.81041,28.27519,27.18805,26.59041,25.79879,25.89093,24.61305,24.09915,23.38687,22.98437,22.16728,21.6253,21.07335,19.87664,19.2575,18.82787,17.98153,17.61305,21.536695208333327
2023,17.11685,17.0292,16.23033,16.17013,16.0401,16.22325,15.37558,15.36476,15.07509,14.49675,14.49675,14.49675,14.49675,14.49675,14.49675,14.49675,14.49675,14.49675,14.49675,14.89417,16.0889,16.31493,16.9934,17.64605,18.70308,19.99314,21.10401,22.72207,24.27098,25.56444,26.10695,26.16841,26.36847,26.66206,25.66105,25.86564,25.92165,25.34845,25.13338,24.7269,24.46014,24.69829,23.60784,23.58063,23.14497,23.40444,23.67421,22.92332,23.22778,23.01604,22.428,22.52599,22.49601,22.6162,22.16502,22.30887,22.18114,22.2469,22.44725,22.49874,22.92357,23.01944,23.63368,23.76474,24.19273,25.07984,25.12724,26.04008,27.38835,28.61322,29.49762,30.3891,30.68628,31.06184,31.48288,31.54312,31.43504,30.76583,30.05127,29.66722,29.06942,28.42742,27.62434,27.47143,26.63963,26.04656,25.19367,24.09069,23.47093,23.11246,21.98878,21.19303,20.42326,19.33237,19.22597,18.83489,22.50011083333334
2023,18.57381,17.64175,16.3758,15.45927,14.54009,14.30881,14.31469,14.2046,13.36026,14.1475,15.60751,15.17229,14.51464,14.51464,14.51464,14.51464,14.51464,14.51464,14.51464,14.54961,15.49004,15.49004,16.23547,17.05863,18.20904,19.56493,20.38654,21.98492,23.49191,24.94742,25.8178,26.33912,27.1849,27.39366,27.77048,26.92419,27.45047,27.58786,28.27582,28.28822,28.28852,28.10345,28.13453,28.55072,28.18814,28.40679,27.91607,27.70639,28.41952,28.43611,28.14166,27.92307,28.67022,28.44863,28.0276,27.57773,27.57412,27.36315,27.45525,27.18335,26.67354,26.78488,27.00124,27.13373,27.0226,27.86727,28.63447,28.71789,29.40894,30.26419,30.26419,31.08427,30.36331,30.53377,30.01483,29.92435,29.40906,29.22615,28.73475,27.95059,27.4641,26.90715,26.5637,25.86446,25.84663,25.59864,24.63855,24.02312,22.93482,22.57113,21.79268,21.45401,20.65582,20.01055,19.34213,18.85016,23.727048124999992
2023,18.45202,18.10404,17.64665,17.01091,16.6894,16.52808,16.04829,15.54373,15.54373,15.54373,15.54373,15.54373,15.54373,15.54373,15.24251,14.74731,14.74731,14.74731,14.74731,14.74731,14.74731,15.03128,15.82113,15.79855,16.57283,16.75681,17.75855,18.30877,19.08031,20.17998,20.93377,21.09617,21.55837,22.20981,22.45748,22.50574,22.80194,23.76651,23.06934,22.89184,22.61768,22.90002,22.79113,22.44287,22.58602,22.58646,23.06784,23.0083,22.95068,22.6131,22.81894,23.13635,22.93848,22.53692,22.53289,23.26637,23.09456,22.90746,22.90536,22.80691,23.42738,23.96437,23.96437,24.49381,25.11248,25.50558,26.02246,26.64262,27.79862,28.39942,28.64753,28.98115,28.49368,28.49236,28.53422,27.93006,27.43948,26.76528,26.26286,25.50237,25.02861,24.41331,23.82507,23.66625,23.79412,22.82155,22.61911,22.12095,21.51581,21.16727,21.14556,20.49989,20.2603,19.69277,19.31436,18.80229,21.366528229166665
2023,18.23344,17.98716,17.29765,17.03701,16.75025,16.09059,15.81109,15.50424,15.32001,15.19313,14.68466,14.68466,14.68466,14.68466,14.68466,14.28738,13.91507,13.91507,13.91507,13.91507,14.63153,14.79204,14.77565,15.11122,15.74666,15.89273,16.63175,17.28223,17.56119,18.37852,19.02403,19.32692,20.28681,21.13171,21.26171,22.49512,22.67161,23.5829,23.9114,24.4369,24.51841,24.04356,24.3624,24.70546,24.4469,24.42549,24.17313,23.88072,24.29732,24.30658,23.36292,23.31111,23.31111,23.28895,22.58593,22.24561,22.2553,22.33427,22.24176,22.24139,22.19962,22.95838,23.06971,23.06458,23.39646,24.06127,25.25375,25.80798,26.84122,28.07623,28.61462,29.24511,30.15681,29.88097,29.80875,29.60092,28.857,28.17435,27.77505,27.34723,27.3022,26.67912,26.52368,25.64717,24.92679,24.10981,23.16237,22.91563,21.99906,21.33187,20.83981,19.76166,19.15141,18.68469,18.18983,17.44673,21.36175333333333
2023,17.16485,17.25062,16.52808,16.52808,16.09938,16.02925,15.50697,15.08734,15.08734,15.08734,15.08734,15.08734,14.56642,14.42515,14.42515,14.42515,14.42515,14.42515,14.51093,15.21263,15.40509,16.10749,16.35706,17.11718,18.18156,19.21491,20.10924,21.56691,23.27452,24.32676,25.36001,25.96675,26.73018,26.27328,26.08728,26.54163,27.16822,27.64225,27.15524,26.84984,27.5898,27.7355,27.89419,28.00462,27.7515,27.40958,27.48534,27.42811,27.71657,27.99753,27.83539,28.38708,28.46551,28.4695,28.37902,28.09108,27.94592,28.09722,27.86664,27.60646,26.71985,27.19363,27.54212,27.63107,27.95908,28.40496,28.85761,29.41628,30.51865,31.85711,32.30319,33.2748,33.30389,33.78099,33.76202,33.52996,33.26712,32.72981,32.05013,31.32193,30.75564,30.11953,28.92216,28.09707,27.41825,26.7397,25.71525,24.46896,23.52458,22.6246,21.57876,20.7959,19.99859,19.32004,18.84127,18.04833,24.21817135416667
2023,17.78088,17.78088,16.94152,16.80548,16.64411,16.08384,15.5804,15.23947,15.23947,15.23947,15.23947,15.23947,15.23947,15.23947,14.77431,14.38041,14.38041,14.38041,14.38041,14.56269,15.73164,16.24943,16.7997,17.51345,18.48072,19.78605,21.33863,22.60142,24.14918,25.23005,26.129,26.31175,26.47694,26.23021,26.3102,25.91913,26.15217,26.00573,25.91516,26.12832,25.93931,26.01732,26.52791,26.49364,26.3089,26.3089,26.05735,26.24941,26.8269,27.02545,27.47281,27.35747,27.00338,27.00844,26.92734,26.82999,26.7209,26.88378,26.45346,25.87243,25.26744,25.19032,25.1003,25.1162,25.88831,25.88831,26.22497,27.29993,28.46078,29.63609,31.21307,32.35461,32.65662,32.702,33.11458,32.88499,32.56723,32.45679,32.34213,31.4535,30.75454,29.72657,29.26042,28.53621,28.17204,27.04469,26.09465,25.25063,24.00912,23.23534,22.32562,21.18934,20.25635,19.78053,18.9439,17.96879,23.783988750000006
2023,17.94417,17.66454,17.36777,16.94866,16.85684,15.99116,15.82556,15.54373,15.54373,15.54373,15.54373,15.4088,14.89049,14.89049,14.89049,14.89049,14.89049,14.89049,14.89049,14.94618,15.99392,16.35361,16.93462,17.77106,18.84937,20.09861,21.65327,22.95149,24.47458,25.55653,26.21727,26.42562,26.75385,26.63465,26.01164,25.59519,25.05997,24.76892,24.76131,24.28729,23.94409,23.49009,23.55381,23.26478,22.99089,23.02486,23.57075,24.2396,23.30352,22.61547,22.50873,22.34984,22.87737,23.17479,23.36144,23.55015,23.96907,23.03996,23.50202,23.43527,23.69216,23.78092,23.46894,23.39381,24.32793,24.80886,25.16592,26.6228,27.42442,28.59174,29.64906,30.44096,31.00201,31.67855,31.65491,31.73343,31.14562,31.17727,30.63702,29.93534,29.15299,28.49685,27.85284,27.82458,26.97162,26.16143,25.21921,24.36021,23.51291,22.75691,21.68252,20.87335,20.13869,19.25172,18.86855,18.25515,22.70825520833333
2023,18.25515,17.31982,17.00235,16.64877,16.65078,16.43747,15.68004,15.49065,15.47215,15.47215,15.47215,15.4329,14.68466,14.68466,14.68466,14.68466,14.68466,14.68466,14.68466,14.68466,16.02406,16.5065,16.68756,17.27988,18.54862,19.95237,21.30307,22.63544,24.31577,25.64988,25.89753,26.32604,26.08534,25.81141,25.42432,24.64521,24.41665,23.98475,23.89166,23.71781,23.80309,23.59127,23.25006,23.10353,23.02723,22.93762,22.70271,22.80768,22.40034,22.77995,22.53333,22.47589,22.24117,22.17908,22.71143,22.57734,22.57734,22.42908,22.48989,22.67425,22.61756,23.03918,23.28855,23.67925,24.0671,24.33752,24.749,25.46298,26.49573,27.52445,28.18532,29.23554,29.44015,29.90957,29.74634,29.52622,29.56082,28.90762,28.54655,28.27018,27.72607,26.61568,26.48173,25.74244,25.29226,24.74932,24.28649,23.47663,22.85874,22.06781,21.02364,20.35278,19.51125,18.90281,18.50492,17.61085,22.072925624999996
