Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
66014,2015,1,1,30.9,0
66014,2015,1,2,17.4,1
66014,2015,1,3,30.7,2
66014,2015,1,4,22.9,3
66014,2015,1,5,16.1,4
66014,2015,1,6,28.8,5
66014,2015,1,7,29.5,6
66014,2015,1,8,31.6,7
66014,2015,1,9,19.8,8
66014,2015,1,10,14.3,9
66014,2015,1,11,3.2,10
66014,2015,1,12,19.0,11
66014,2015,1,13,22.9,12
66014,2015,1,14,29.7,13
66014,2015,1,15,30.9,14
66014,2015,1,16,27.8,15
66014,2015,1,17,32.0,16
66014,2015,1,18,29.8,17
66014,2015,1,19,6.2,18
66014,2015,1,20,18.5,19
66014,2015,1,21,27.3,20
66014,2015,1,22,27.7,21
66014,2015,1,23,29.3,22
66014,2015,1,24,27.9,23
66014,2015,1,25,28.2,24
66014,2015,1,26,3.7,25
66014,2015,1,27,4.5,26
66014,2015,1,28,6.6,27
66014,2015,1,29,30.2,28
66014,2015,1,30,28.2,29
66014,2015,1,31,28.5,30
66014,2015,2,1,20.5,31
66014,2015,2,2,27.6,32
66014,2015,2,3,28.8,33
66014,2015,2,4,21.3,34
66014,2015,2,5,13.0,35
66014,2015,2,6,15.2,36
66014,2015,2,7,20.1,37
66014,2015,2,8,28.0,38
66014,2015,2,9,15.7,39
66014,2015,2,10,17.9,40
66014,2015,2,11,24.3,41
66014,2015,2,12,22.4,42
66014,2015,2,13,15.3,43
66014,2015,2,14,16.8,44
66014,2015,2,15,22.8,45
66014,2015,2,16,23.2,46
66014,2015,2,17,26.6,47
66014,2015,2,18,25.0,48
66014,2015,2,19,14.2,49
66014,2015,2,20,13.1,50
66014,2015,2,21,9.8,51
66014,2015,2,22,19.3,52
66014,2015,2,23,13.4,53
66014,2015,2,24,20.6,54
66014,2015,2,25,12.3,55
66014,2015,2,26,13.4,56
66014,2015,2,27,21.9,57
66014,2015,2,28,19.9,58
66014,2015,3,1,15.1,59
66014,2015,3,2,15.4,60
66014,2015,3,3,20.2,61
66014,2015,3,4,18.5,62
66014,2015,3,5,22.1,63
66014,2015,3,6,24.2,64
66014,2015,3,7,18.0,65
66014,2015,3,8,20.9,66
66014,2015,3,9,23.7,67
66014,2015,3,10,11.3,68
66014,2015,3,11,18.9,69
66014,2015,3,12,14.3,70
66014,2015,3,13,4.4,71
66014,2015,3,14,18.0,72
66014,2015,3,15,16.2,73
66014,2015,3,16,15.8,74
66014,2015,3,17,10.3,75
66014,2015,3,18,16.8,76
66014,2015,3,19,21.4,77
66014,2015,3,20,15.1,78
66014,2015,3,21,8.8,79
66014,2015,3,22,8.2,80
66014,2015,3,23,17.2,81
66014,2015,3,24,3.6,82
66014,2015,3,25,19.4,83
66014,2015,3,26,20.1,84
66014,2015,3,27,21.2,85
66014,2015,3,28,18.6,86
66014,2015,3,29,18.3,87
66014,2015,3,30,9.4,88
66014,2015,3,31,11.2,89
66014,2015,4,1,12.9,90
66014,2015,4,2,14.2,91
66014,2015,4,3,3.4,92
66014,2015,4,4,3.2,93
66014,2015,4,5,16.8,94
66014,2015,4,6,13.9,95
66014,2015,4,7,13.1,96
66014,2015,4,8,12.6,97
66014,2015,4,9,13.8,98
66014,2015,4,10,14.3,99
66014,2015,4,11,11.3,100
66014,2015,4,12,10.2,101
66014,2015,4,13,16.1,102
66014,2015,4,14,16.0,103
66014,2015,4,15,16.2,104
66014,2015,4,16,14.2,105
66014,2015,4,17,2.8,106
66014,2015,4,18,11.3,107
66014,2015,4,19,13.3,108
66014,2015,4,20,3.5,109
66014,2015,4,21,3.6,110
66014,2015,4,22,4.0,111
66014,2015,4,23,13.3,112
66014,2015,4,24,13.9,113
66014,2015,4,25,13.2,114
66014,2015,4,26,5.2,115
66014,2015,4,27,15.1,116
66014,2015,4,28,14.6,117
66014,2015,4,29,11.0,118
66014,2015,4,30,6.2,119
66014,2015,5,1,8.7,120
66014,2015,5,2,8.4,121
66014,2015,5,3,7.3,122
66014,2015,5,4,7.5,123
66014,2015,5,5,13.1,124
66014,2015,5,6,11.9,125
66014,2015,5,7,13.8,126
66014,2015,5,8,13.5,127
66014,2015,5,9,13.3,128
66014,2015,5,10,10.0,129
66014,2015,5,11,12.7,130
66014,2015,5,12,13.0,131
66014,2015,5,13,10.5,132
66014,2015,5,14,12.8,133
66014,2015,5,15,11.8,134
66014,2015,5,16,12.0,135
66014,2015,5,17,10.1,136
66014,2015,5,18,8.1,137
66014,2015,5,19,5.5,138
66014,2015,5,20,10.9,139
66014,2015,5,21,8.5,140
66014,2015,5,22,4.3,141
66014,2015,5,23,11.4,142
66014,2015,5,24,11.4,143
66014,2015,5,25,9.9,144
66014,2015,5,26,10.6,145
66014,2015,5,27,10.5,146
66014,2015,5,28,10.7,147
66014,2015,5,29,3.4,148
66014,2015,5,30,6.6,149
66014,2015,5,31,5.4,150
66014,2015,6,1,11.1,151
66014,2015,6,2,11.0,152
66014,2015,6,3,10.6,153
66014,2015,6,4,10.8,154
66014,2015,6,5,9.9,155
66014,2015,6,6,9.6,156
66014,2015,6,7,10.6,157
66014,2015,6,8,10.9,158
66014,2015,6,9,9.3,159
66014,2015,6,10,6.0,160
66014,2015,6,11,7.1,161
66014,2015,6,12,7.4,162
66014,2015,6,13,9.4,163
66014,2015,6,14,8.9,164
