year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2016,22.60272,21.51389,19.99327,20.70665,23.0345,23.0345,21.70162,20.31242,18.88567,19.11094,17.94701,17.62787,16.57658,16.05094,15.60039,14.99965,14.43646,14.36137,14.36137,14.66173,15.26247,16.03217,17.23364,17.94701,19.84309,22.02076,23.5977,24.06702,25.04322,26.48874,27.33353,27.69022,27.67144,27.46494,26.52629,25.71905,25.86923,25.86923,25.83169,26.00064,25.71905,24.96813,24.83672,24.42371,23.72911,23.14714,22.99696,22.73414,22.65904,23.18469,22.80923,22.6215,21.75794,21.04456,21.47634,21.47634,21.68285,21.62653,21.42002,21.17597,21.60775,21.70162,21.60775,22.39622,23.20346,23.99193,25.02445,25.81291,27.5588,29.49243,31.50114,32.87157,33.92286,34.33587,34.42973,33.60372,32.83402,32.3647,31.57623,30.67513,29.75525,28.96678,28.66641,27.61512,26.6577,26.30101,25.75659,24.85549,25.06199,23.99193,23.39119,22.09585,27.01439,26.3761,25.98187,24.61144,0,23.54776288659794
2016,23.95438,23.09082,21.62653,22.30236,23.84174,24.04825,22.52763,20.98824,19.39254,19.54272,18.47266,18.17229,16.72677,16.12603,15.41266,14.88701,14.68051,14.38014,14.28627,14.17364,14.43646,14.68051,14.92456,15.46897,16.48272,17.04591,18.28493,18.64162,19.31745,20.53769,21.47634,22.09585,23.14714,23.72911,24.63021,25.00567,25.13708,25.49377,25.17463,25.26849,24.63021,24.59267,24.89303,24.68653,24.96813,25.39991,24.94935,24.59267,24.40494,23.67279,23.33487,23.67279,23.72911,23.37242,22.84677,22.94064,23.8042,23.37242,22.95941,22.92187,23.91684,25.34359,25.39991,25.62518,26.20715,26.69524,27.12702,27.85917,28.23463,29.98052,31.85783,32.96544,33.35967,33.11562,32.62752,31.76396,30.99427,29.98052,29.13574,28.25341,27.46494,26.77034,26.05696,25.62518,24.91181,24.25475,23.82297,23.14714,23.50383,22.69659,22.07708,21.19475,26.33856,25.79414,26.00064,24.46125,1,23.143517422680414
2016,23.95438,23.09082,21.57021,22.56518,24.55512,24.74285,22.95941,21.49512,19.91818,20.03082,18.3037,18.20984,17.21487,16.31376,15.71302,15.48775,15.16861,15.14983,15.07474,14.81192,14.73683,14.5491,14.71805,14.5491,15.05597,15.7318,16.35131,16.33253,17.25241,18.37879,19.44886,20.6691,21.8518,23.16592,24.25475,24.93058,25.60641,25.92555,26.1696,26.56383,26.69524,27.01439,26.33856,26.35733,26.01942,25.83169,25.51254,25.24972,24.85549,24.64898,24.34862,24.14211,24.02947,24.0107,23.61647,23.16592,22.97819,22.80923,22.37745,22.35868,22.35868,22.64027,22.97819,23.25978,24.17966,25.21218,26.24469,27.59635,28.83537,30.61881,32.40225,33.43476,33.86654,34.39219,34.69255,33.81022,32.92789,31.78274,30.63758,29.81157,29.17328,28.36604,27.70899,26.88298,25.90678,25.00567,24.17966,22.84677,22.80923,21.72039,20.7442,19.74922,24.57389,23.87929,23.54138,22.47131,2,23.177051237113414
2016,21.49512,20.48137,19.20481,20.29364,22.56518,22.52763,21.08211,19.63659,18.41634,18.90444,17.59033,17.47769,16.46394,15.54407,14.79315,14.2675,14.02345,14.17364,13.94836,14.19241,15.05597,15.56284,16.23867,17.72174,19.44886,21.19475,22.828,22.95941,23.69156,24.51757,24.9869,24.96813,24.57389,24.66776,24.12334,23.16592,23.3161,23.22223,22.77168,22.41499,21.8518,21.47634,21.06334,21.26984,21.19475,21.1572,20.98824,20.98824,21.04456,20.68788,20.48137,20.38751,20.44383,20.53769,20.23732,20.29364,20.51892,20.57524,20.7442,20.70665,20.65033,20.9507,20.9507,21.36371,21.98321,22.94064,23.5977,24.44248,25.9631,28.38482,31.20077,33.58495,34.35464,34.82397,35.03047,34.78642,33.41599,32.83402,31.8766,30.91918,30.14948,29.45488,28.45991,27.5588,26.46997,25.38113,24.4988,23.37242,23.22223,22.20849,21.40125,20.08714,24.57389,24.02947,24.08579,22.43377,3,22.428891340206196
2016,21.53266,20.61278,19.0734,19.99327,22.1334,22.20849,21.02579,19.4864,18.41634,18.71671,16.87695,16.65168,15.56284,14.88701,14.00468,14.11732,13.59167,13.87327,13.87327,13.91081,14.56787,15.30002,16.01339,17.13977,19.16726,21.02579,22.92187,22.92187,23.8042,24.34862,24.16089,24.21721,23.82297,23.84174,23.27855,22.17095,21.77671,21.55144,21.66407,21.23229,20.89438,20.6691,20.10591,20.01205,19.88064,19.91818,19.71168,19.69291,19.78677,19.69291,19.39254,19.14849,19.35499,19.24235,19.2799,19.35499,19.69291,19.80554,19.86186,19.78677,19.78677,20.19978,20.42505,20.89438,21.51389,22.00199,22.18972,23.33487,24.94935,27.22089,29.66138,31.21954,32.32715,32.77771,33.00298,32.79648,31.82028,30.80654,30.28089,29.26715,28.57255,27.95304,27.29598,26.56383,25.55009,24.44248,23.69156,22.58395,22.24604,21.30739,20.44383,19.37376,23.65401,23.29733,23.07205,21.79548,4,21.57815721649485
2016,20.89438,19.99327,18.84812,19.768,21.32616,21.55144,20.14346,18.77303,17.68419,17.96579,16.61413,16.52026,15.56284,14.94333,13.96713,13.68554,13.68554,13.49781,13.3664,13.83572,14.36137,14.94333,16.1448,17.34628,19.01708,21.13843,22.88432,22.92187,24.04825,24.36739,24.42371,24.38616,24.16089,23.5226,23.0345,22.24604,21.58898,21.38248,21.17597,20.83806,20.53769,20.29364,19.95573,19.73045,19.58027,19.59904,19.44886,19.26113,19.22358,19.0734,18.84812,19.11094,19.09217,18.77303,18.69794,18.62284,18.56652,18.73548,18.7918,18.84812,18.9983,19.39254,19.74922,20.2561,20.72542,21.53266,22.6215,23.87929,26.03819,28.77905,31.6701,33.2658,34.07304,35.08679,35.10556,35.0117,34.61746,33.71636,32.96544,32.64629,31.91415,31.05059,29.84911,28.83537,27.78408,26.56383,26.13205,25.30604,24.55512,23.61647,22.47131,20.80051,24.96813,24.16089,24.10457,22.75291,5,21.972636494845364
2016,21.88935,20.81929,19.61781,20.34996,22.54641,22.54641,21.11966,19.54272,18.47266,19.0734,17.79683,17.38382,16.25744,15.61916,15.26247,14.81192,14.474,14.34259,14.13609,14.38014,15.16861,16.01339,16.82063,18.32247,20.57524,22.84677,24.51757,24.55512,25.45622,25.9631,26.18837,26.46997,26.28224,25.53132,24.38616,23.5977,23.01573,22.37745,21.81426,21.53266,21.06334,20.70665,20.53769,20.2561,20.01205,19.71168,19.44886,19.35499,19.11094,19.09217,18.94198,19.03585,18.64162,18.41634,18.37879,18.49143,18.66039,18.45389,18.66039,19.0734,19.33622,19.54272,19.93695,20.53769,21.47634,22.22726,23.39119,25.13708,27.3523,30.35599,33.17194,34.95538,35.7063,36.47599,36.87023,36.79513,35.93157,35.59366,35.12433,34.46728,33.829,33.60372,32.75893,32.02678,31.06936,29.9993,28.87292,27.42739,26.84543,25.13708,24.0107,22.09585,26.15083,25.45622,25.475,24.04825,6,23.063071855670103
2016,23.20346,22.28358,20.96947,21.77671,23.48506,23.57892,22.35868,20.78174,19.54272,20.2561,18.64162,18.11597,16.95204,16.18235,15.56284,14.98088,14.84946,14.77437,14.53032,14.69928,15.35634,16.29499,17.64665,18.92321,20.89438,22.97819,25.11831,25.39991,26.56383,27.61512,28.02813,27.61512,27.10825,26.77034,25.77537,24.76162,23.87929,23.22223,22.77168,22.09585,21.57021,21.26984,20.51892,20.29364,19.9745,19.95573,19.74922,19.56149,19.16726,18.84812,18.52898,18.77303,18.49143,18.20984,18.37879,18.67916,18.56652,18.39757,18.88567,19.20481,19.14849,19.37376,19.69291,20.31242,21.06334,21.87058,22.50886,24.04825,25.90678,28.535,30.99427,33.07807,33.99795,35.03047,34.95538,34.82397,34.22323,33.52863,33.00298,32.28961,31.78274,30.91918,30.37476,29.60506,28.66641,27.50248,26.93929,26.15083,25.70027,24.23598,23.27855,22.1334,26.28224,25.85046,25.70027,24.51757,7,22.973129381443307
2016,23.54138,22.60272,21.04456,21.55144,23.5226,23.14714,22.11463,20.59401,19.35499,19.71168,18.19106,17.92824,16.70799,15.56284,14.92456,14.58664,14.21118,13.94836,13.74186,13.7794,14.09854,14.30505,14.58664,15.22493,16.27621,17.42137,18.7918,19.39254,20.55646,22.22726,23.16592,23.71033,24.81794,24.87426,24.91181,24.81794,24.31107,24.21721,23.97316,23.63524,23.3161,22.92187,22.05831,21.72039,21.30739,21.28861,21.26984,20.9507,20.72542,20.27487,20.08714,20.01205,20.10591,19.88064,19.86186,20.181,20.10591,20.31242,20.38751,20.4626,20.68788,21.47634,21.4388,21.87058,22.92187,24.04825,24.81794,26.33856,28.14077,30.4874,32.53366,33.50985,33.84777,33.86654,33.7539,33.19071,32.40225,31.44482,31.21954,30.43108,29.32347,28.89169,28.47868,27.78408,27.16457,26.39488,25.83169,24.85549,24.61144,23.37242,22.90309,21.57021,26.20715,25.77537,25.83169,24.64898,8,22.612236185567003
2016,23.89806,22.79046,21.4388,22.09585,23.97316,23.82297,22.60272,21.04456,19.54272,19.93695,18.54775,18.19106,16.97082,16.37008,15.63793,14.94333,14.69928,14.2675,14.11732,13.89204,14.09854,14.34259,14.38014,14.62419,15.60039,16.23867,17.121,17.68419,18.52898,20.181,22.00199,23.22223,24.08579,24.48003,25.17463,25.49377,25.83169,25.49377,25.11831,24.89303,24.44248,24.23598,23.71033,23.54138,23.33487,23.40997,23.86052,24.0107,24.4988,24.31107,23.48506,22.00199,21.62653,21.21352,20.57524,20.08714,19.80554,19.63659,19.31745,19.78677,20.85683,21.81426,22.37745,22.95941,23.71033,24.63021,25.43745,27.20212,28.17831,30.22457,32.25206,33.58495,34.11059,34.26077,34.20446,33.79145,32.98421,32.34593,31.50114,30.73145,30.2058,29.37979,28.29095,27.46494,26.46997,25.34359,24.68653,23.33487,22.86555,21.55144,20.76297,19.22358,23.72911,23.14714,23.5977,22.39622,9,22.813178556701033
2016,21.49512,20.72542,19.58027,20.181,22.32113,22.50886,21.55144,20.04959,18.82935,19.50518,18.28493,18.05965,16.78309,15.9383,15.54407,15.07474,14.51155,14.45523,14.32382,14.39891,15.16861,15.82566,16.57658,17.89069,19.88064,22.02076,23.91684,23.63524,24.4988,25.39991,25.38113,25.30604,25.06199,24.32984,23.72911,22.828,22.39622,21.79548,21.26984,20.98824,20.55646,20.31242,20.12469,19.95573,19.67413,19.52395,19.29867,19.0734,19.2799,19.2799,19.09217,19.01708,18.94198,18.84812,19.0734,19.29867,19.2799,19.4864,19.39254,19.56149,19.65536,19.63659,20.01205,20.72542,21.83303,22.35868,23.40997,25.70027,27.85917,30.95672,34.0355,36.04421,37.05796,37.5836,37.82765,37.43342,36.53231,35.48102,34.46728,33.69758,32.68384,31.72642,30.80654,29.69893,28.59132,27.20212,26.01942,24.61144,24.0107,22.49009,21.38248,20.14346,24.40494,23.63524,24.04825,22.77168,10,22.759040515463912
2016,21.87058,20.89438,19.78677,20.29364,22.26481,22.50886,21.25107,19.99327,18.66039,19.31745,17.90947,17.57155,16.74554,15.95707,15.30002,14.51155,14.11732,14.38014,14.21118,14.43646,14.99965,15.99462,17.10223,18.56652,20.96947,22.99696,24.7053,24.7053,25.90678,26.43242,26.50751,26.31978,25.90678,24.91181,23.65401,23.16592,22.3399,21.55144,21.4388,20.63156,20.29364,19.91818,19.54272,19.41131,19.33622,19.11094,18.92321,18.75425,18.9983,18.5853,18.67916,18.75425,18.56652,18.5853,18.5102,18.47266,18.52898,18.28493,18.52898,18.56652,18.69794,19.01708,19.69291,20.12469,20.9507,21.79548,22.84677,24.40494,26.58261,29.9993,32.62752,34.242,35.06801,35.59366,36.02544,35.9128,35.31206,34.63624,34.27955,33.39722,32.0831,31.70764,30.75022,29.7177,28.66641,26.93929,25.92555,24.79917,24.21721,22.71536,21.58898,20.27487,24.48003,23.97316,23.95438,22.77168,11,22.53517030927836
2016,21.6453,20.81929,19.88064,20.61278,22.26481,22.39622,21.06334,19.73045,18.36002,19.14849,17.44014,17.19609,16.01339,15.35634,14.71805,14.28627,14.15486,14.28627,14.11732,14.45523,15.16861,16.01339,16.98959,18.34125,20.72542,22.6215,24.7053,24.94935,25.86923,26.93929,27.23966,26.84543,26.39488,25.66273,24.7053,23.72911,23.09082,22.64027,22.30236,22.05831,21.57021,21.19475,20.65033,20.06837,19.84309,19.63659,19.63659,19.56149,19.59904,19.4864,19.52395,19.41131,19.58027,20.27487,19.71168,19.46763,19.58027,19.65536,20.68788,21.40125,22.52763,24.0107,25.66273,27.01439,28.19709,29.28592,31.44482,33.32212,36.08176,39.72373,42.23931,43.94766,44.94263,45.76864,46.29429,46.08778,45.14913,44.4733,43.32815,42.8025,41.9014,40.54974,38.87894,37.5836,36.17562,34.57992,32.83402,30.86286,29.21083,27.3523,25.70027,23.8042,27.61512,26.84543,26.62015,25.17463,12,25.52032721649484
2016,24.34862,23.25978,21.87058,22.18972,24.10457,24.32984,22.97819,21.62653,20.36873,21.19475,19.39254,19.24235,18.00333,17.13977,16.35131,16.08848,16.01339,16.01339,15.7318,15.95707,16.53904,17.66542,18.82935,20.48137,22.90309,25.92555,28.00936,28.76028,30.14948,31.72642,32.32715,32.1582,31.65132,30.44985,29.0231,27.78408,26.99561,26.1696,25.28727,24.57389,23.8042,23.01573,22.58395,22.28358,21.73917,21.49512,20.68788,20.7442,20.7442,20.53769,20.06837,19.86186,20.01205,19.93695,19.67413,19.86186,19.91818,19.95573,20.06837,20.19978,20.34996,20.23732,20.72542,21.58898,22.6215,23.82297,25.55009,28.00936,30.65635,34.29832,37.65869,39.64863,40.85011,41.73244,42.05158,42.07035,41.69489,41.33821,41.01906,40.32446,39.4609,38.69121,37.69624,36.32581,35.23697,33.56617,32.45856,30.54372,29.47365,27.78408,26.09451,23.95438,27.69022,26.77034,26.56383,25.55009,13,25.854809690721652
2016,23.93561,22.84677,21.6453,22.15217,23.69156,23.56015,22.20849,20.57524,19.20481,19.89941,18.5853,18.11597,16.72677,16.03217,15.33756,14.66173,14.60542,14.07977,14.04222,14.28627,14.28627,14.45523,14.77437,15.37511,16.20112,17.17732,18.56652,18.62284,20.03082,21.60775,22.47131,23.07205,23.74788,23.97316,24.23598,24.2923,23.97316,23.74788,23.82297,23.22223,22.77168,22.37745,21.75794,21.96444,21.81426,21.49512,21.00702,20.78174,20.4626,20.33119,20.10591,20.19978,20.08714,19.86186,19.99327,20.19978,19.99327,20.23732,20.19978,20.19978,20.38751,21.02579,21.34493,21.94567,22.84677,23.72911,25.53132,27.37107,29.04187,31.46359,33.49108,34.41096,34.7301,34.0355,33.50985,32.8528,31.85783,30.99427,30.44985,29.73648,28.96678,28.30973,27.67144,26.88298,25.90678,25.08076,24.76162,24.12334,24.16089,23.20346,22.54641,21.21352,25.9631,25.32481,25.79414,24.48003,15,22.57563329896907
2016,23.50383,22.54641,21.26984,21.72039,23.56015,23.71033,22.32113,20.83806,19.59904,19.9745,18.36002,18.07843,16.85818,16.03217,15.52529,14.66173,14.30505,13.94836,14.07977,14.11732,14.24873,14.24873,14.24873,14.21118,14.92456,15.76934,16.20112,16.12603,17.23364,18.22861,19.26113,20.6691,21.70162,22.39622,22.79046,23.33487,23.87929,24.46125,24.31107,23.84174,23.76665,23.44751,23.0345,22.99696,22.65904,22.50886,22.03953,22.22726,21.88935,21.28861,20.83806,20.7442,20.81929,20.72542,20.55646,20.42505,20.19978,20.19978,20.21855,20.08714,20.50015,20.80051,21.13843,21.90812,23.25978,23.99193,25.00567,27.05193,29.34224,32.32715,34.48605,35.85648,36.51354,36.85145,36.6074,35.9128,35.18065,34.22323,33.19071,32.42102,31.76396,30.9755,30.29967,29.24838,27.69022,26.54506,25.77537,24.46125,23.93561,22.58395,21.58898,20.06837,24.32984,23.76665,23.74788,22.90309,16,22.783736494845364
2016,21.96444,20.9507,19.63659,20.40628,22.45254,22.84677,21.70162,20.08714,18.9983,19.9745,18.3037,18.04088,17.08345,16.38885,15.41266,14.62419,14.39891,14.39891,14.39891,14.53032,15.2437,16.08848,17.06468,18.5102,20.12469,22.56518,24.51757,24.64898,25.85046,27.18334,27.50248,27.25844,27.31475,26.93929,25.90678,25.38113,24.72408,23.63524,23.39119,22.80923,22.45254,22.07708,22.05831,22.09585,21.77671,21.00702,20.83806,20.85683,20.51892,20.51892,20.44383,20.38751,20.19978,20.31242,20.40628,20.4626,20.42505,20.44383,20.40628,20.70665,20.78174,20.98824,21.23229,22.28358,23.27855,24.59267,26.18837,28.02813,30.71267,34.05427,36.66372,38.20311,38.74753,39.16053,39.38581,38.70998,37.75256,37.17059,36.43845,35.12433,33.96041,33.17194,32.3647,31.21954,30.09316,28.55377,27.07071,25.77537,25.38113,23.82297,22.65904,20.78174,25.17463,24.32984,24.38616,23.01573,17,24.019711134020618
2016,22.1334,21.40125,20.12469,20.76297,22.67782,22.64027,21.26984,19.99327,18.66039,19.0734,17.64665,17.30873,16.33253,15.60039,14.7556,14.21118,13.94836,14.2675,13.83572,14.34259,14.73683,15.58161,16.61413,18.07843,20.31242,22.41499,24.02947,23.86052,25.15586,26.1696,26.58261,26.88298,27.03316,26.24469,25.475,24.7053,23.97316,23.74788,23.76665,23.01573,22.45254,22.30236,22.17095,21.83303,20.85683,20.53769,20.63156,20.93193,20.96947,20.83806,21.42002,21.36371,21.21352,21.08211,20.89438,20.40628,20.12469,20.19978,19.84309,19.54272,19.80554,20.10591,20.63156,22.11463,23.87929,25.45622,26.82666,29.28592,31.14445,33.58495,35.33084,36.77636,37.20814,37.8652,38.16556,38.12802,36.96409,35.98789,35.55611,34.44851,33.17194,32.40225,31.48237,30.67513,29.64261,28.15954,27.08948,25.62518,24.91181,23.46628,22.24604,20.51892,25.15586,24.42371,24.27352,23.07205,18,23.737781752577327
2016,22.07708,21.17597,19.59904,20.4626,22.47131,22.45254,21.28861,19.93695,18.36002,19.12971,17.49646,17.38382,16.25744,15.58161,14.83069,14.2675,13.92959,13.92959,13.92959,14.22995,14.73683,15.75057,16.59536,17.87192,20.23732,22.41499,23.78543,23.37242,25.00567,26.48874,26.71402,26.92052,26.84543,25.38113,24.61144,23.86052,23.24101,22.6215,21.70162,21.06334,20.70665,21.11966,21.08211,20.61278,20.23732,20.01205,20.181,20.04959,19.80554,19.56149,19.58027,19.89941,19.91818,19.73045,19.33622,19.24235,19.14849,19.41131,19.43008,19.43008,19.58027,19.71168,20.59401,21.04456,22.03953,22.60272,23.65401,25.55009,27.82163,30.03684,31.95169,33.04053,33.829,34.35464,34.29832,34.12936,33.19071,32.53366,31.53869,30.58126,30.11194,29.34224,28.42236,27.61512,26.6577,25.58764,24.66776,23.46628,22.94064,21.75794,20.72542,19.35499,23.76665,23.0345,22.99696,21.75794,19,22.47210474226804
2016,20.9507,20.23732,18.84812,19.88064,21.81426,21.70162,20.38751,18.75425,17.66542,18.32247,16.9145,16.74554,15.60039,14.92456,14.24873,13.79818,13.27253,13.40394,13.61044,14.00468,14.73683,15.69425,16.25744,17.53401,19.4864,21.60775,23.3161,23.20346,23.78543,24.64898,24.91181,25.02445,24.61144,24.38616,23.5977,22.69659,22.02076,21.1572,20.70665,20.42505,20.10591,19.86186,19.59904,19.61781,19.2799,19.20481,18.7918,18.97953,19.65536,19.80554,19.24235,18.64162,18.39757,19.29867,19.43008,19.26113,18.97953,19.20481,19.63659,19.01708,19.24235,19.35499,19.9745,21.11966,21.9269,22.828,23.76665,25.58764,27.5588,30.4123,32.43979,33.79145,35.36838,35.93157,35.61243,35.38716,34.76765,34.71133,34.27955,33.0593,32.51488,31.76396,31.12568,30.50617,29.13574,28.25341,27.44617,26.30101,25.475,23.89806,22.79046,21.4388,25.43745,24.4988,24.57389,23.09082,20,22.53892731958762
2016,22.45254,21.6453,20.181,20.91315,22.75291,22.75291,21.66407,20.33119,18.81057,19.63659,17.8156,17.79683,16.50149,15.76934,15.07474,14.60542,14.30505,14.21118,14.00468,14.5491,15.14983,16.16358,16.93327,18.15352,19.84309,22.15217,24.10457,24.16089,25.9631,27.99058,28.79782,29.37979,29.49243,29.15451,28.66641,28.21586,27.67144,27.76531,27.69022,27.89672,27.87795,27.65267,27.29598,26.56383,26.4512,26.13205,25.92555,25.73782,25.43745,24.76162,24.31107,24.38616,23.54138,23.27855,23.74788,23.57892,23.48506,23.63524,23.39119,23.74788,23.89806,24.44248,25.32481,26.24469,27.54003,29.0231,30.33721,32.17697,34.05427,36.81391,38.78507,39.81759,40.2306,40.81256,40.88765,40.4371,39.49845,38.50348,37.45219,36.62618,35.64998,34.91783,33.81022,33.11562,32.30838,31.05059,30.22457,28.87292,28.30973,27.1458,26.11328,24.32984,29.07942,28.36604,28.0469,26.69524,21,26.22681422680411
2016,25.9631,24.87426,23.44751,24.0107,25.83169,25.77537,24.27352,22.86555,21.08211,21.55144,19.91818,19.52395,18.64162,17.74051,16.87695,16.2199,15.84444,15.80689,15.48775,15.69425,15.91953,15.91953,16.16358,16.48272,17.30873,18.3037,19.14849,19.69291,21.08211,22.69659,24.32984,25.70027,26.78911,27.07071,27.37107,27.54003,27.76531,27.76531,27.05193,27.03316,26.58261,25.79414,25.28727,24.23598,23.57892,23.54138,23.22223,22.99696,22.86555,22.54641,22.47131,22.05831,22.05831,21.98321,21.81426,21.88935,22.20849,21.90812,22.20849,22.20849,22.3399,22.71536,22.94064,23.50383,24.48003,25.24972,26.95807,29.11697,31.50114,34.33587,36.17562,37.5836,37.84642,37.71501,37.32078,36.55108,35.85648,35.14311,33.97918,33.22826,32.79648,32.38347,31.61378,30.65635,29.66138,29.04187,28.47868,27.65267,27.03316,26.01942,24.85549,23.3161,28.14077,27.33353,27.52126,26.01942,22,24.980299072164946
2016,25.11831,24.59267,23.14714,23.40997,25.30604,25.49377,23.99193,22.3399,20.98824,21.30739,19.82432,19.46763,18.24738,17.19609,16.2199,15.9383,15.46897,15.11229,14.77437,14.66173,14.83069,15.05597,15.4502,15.41266,16.2199,17.19609,17.8156,18.0972,18.92321,20.83806,22.18972,23.61647,24.46125,25.21218,26.00064,27.1458,27.12702,27.1458,27.05193,27.05193,26.22592,25.38113,24.85549,24.72408,24.27352,23.5226,22.79046,22.6215,22.47131,22.22726,21.8518,21.49512,21.08211,20.78174,20.65033,20.78174,20.80051,20.89438,20.98824,21.36371,21.75794,22.17095,22.45254,23.29733,24.46125,25.1934,27.25844,30.22457,33.45353,36.34458,38.80385,40.02409,40.58728,41.05661,40.98152,40.39955,39.68618,39.06667,37.94029,37.02041,36.00667,35.23697,34.44851,33.13439,31.70764,30.29967,29.09819,27.1458,26.63893,24.9869,23.76665,22.03953,26.26347,25.475,25.28727,24.12334,23,24.949190927835048
2016,23.09082,22.00199,20.89438,21.40125,23.35365,23.57892,22.52763,20.96947,19.768,20.80051,19.43008,19.11094,18.00333,16.93327,16.37008,15.9383,15.50652,15.22493,15.03719,15.33756,15.99462,16.68922,18.00333,19.46763,21.70162,24.48003,26.31978,26.77034,28.29095,29.66138,30.2058,30.33721,29.9993,29.24838,27.99058,26.71402,25.92555,25.32481,24.7053,24.04825,23.91684,23.1096,22.49009,21.8518,21.34493,21.23229,21.23229,21.70162,21.26984,20.98824,21.06334,20.61278,20.96947,20.70665,20.55646,20.98824,21.21352,20.93193,20.76297,20.76297,20.80051,20.91315,21.51389,22.58395,23.93561,25.86923,27.80285,30.60003,33.64126,37.22691,40.04287,41.8263,43.15919,43.81625,43.94766,43.68483,43.04655,42.3895,41.8263,40.90643,39.57354,38.50348,37.52728,36.25072,34.74887,33.09685,31.595,29.88666,28.61009,26.80788,25.1934,22.97819,27.37107,26.26347,26.22592,24.72408,24,25.956211958762882
2016,23.65401,22.69659,21.45757,21.94567,23.87929,24.16089,23.1096,21.36371,20.06837,21.02579,19.54272,19.16726,18.04088,17.25241,16.55781,16.08848,15.54407,15.80689,15.56284,15.9383,16.59536,17.59033,18.86689,20.23732,22.52763,25.26849,27.61512,28.23463,29.68016,31.36973,31.70764,31.50114,30.99427,30.43108,28.7415,27.65267,26.8642,25.62518,25.38113,24.85549,24.0107,23.20346,22.37745,21.60775,21.00702,21.38248,21.10088,21.08211,21.28861,21.40125,21.34493,21.21352,20.50015,20.59401,20.6691,20.53769,20.57524,20.48137,20.72542,21.13843,21.08211,21.32616,21.68285,22.65904,24.04825,25.24972,27.08948,30.24335,33.5474,37.00164,39.61109,41.56348,42.87759,43.62852,43.55342,43.40324,42.87759,42.72741,42.18299,41.11293,39.79882,38.65366,37.7901,36.64495,35.44348,33.79145,32.1582,29.9993,29.09819,27.05193,25.43745,23.16592,27.22089,26.30101,26.26347,25.08076,25,26.259922886597945
