Year,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015.0,0.0,30.9,21.2,30.7,22.00906739583333
2015.0,0.0,17.4,21.1,27.5,23.015077083333324
2015.0,0.0,30.7,22.3,31.4,26.32133052083333
2015.0,0.0,22.9,22.9,33.8,27.3713875
2015.0,0.0,16.1,20.6,25.8,21.05151072916667
2015.0,0.0,28.8,21.3,28.8,20.78033
2015.0,0.0,29.5,22.2,31.5,20.028265312499983
2015.0,0.0,31.6,21.4,30.8,20.031328958333333
2015.0,0.0,19.8,22.4,33.3,19.931551250000005
2015.0,0.0,14.3,21.7,28.4,19.86682125
2015.0,37.0,3.2,20.3,23.1,19.99992083333333
2015.0,4.0,19.0,20.3,23.2,20.422969895833344
2015.0,0.0,22.9,19.0,29.9,20.14910864583333
2015.0,1.0,29.7,21.1,35.0,20.36034583333333
2015.0,3.0,30.9,22.0,27.1,20.498425520833333
2015.0,0.0,27.8,21.1,29.1,19.80094083333333
2015.0,0.0,32.0,21.2,35.8,26.13947677083334
2015.0,0.0,29.8,21.5,27.2,21.973563124999995
2015.0,0.0,6.2,20.5,23.0,23.27009427083333
2015.0,3.0,18.5,18.4,27.1,23.28476052083333
2015.0,15.0,27.3,19.5,29.1,23.58415604166667
2015.0,0.0,27.7,22.3,29.3,24.136404062499995
2015.0,0.0,29.3,23.4,31.7,24.10570177083333
2015.0,0.0,27.9,23.2,31.6,24.775869583333336
2015.0,1.0,28.2,21.6,36.6,21.630755312500003
2015.0,0.0,3.7,19.8,21.1,21.62332375
2015.0,25.0,4.5,18.6,20.6,22.1616875
2015.0,60.0,6.6,16.9,21.5,22.233651666666656
2015.0,5.0,30.2,15.2,21.7,21.98940333333333
2015.0,0.0,28.2,14.3,25.2,22.33318979166666
2015.0,0.0,28.5,17.0,25.6,21.543537604166666
2015.0,0.0,20.5,19.6,25.2,21.41557395833333
2015.0,0.0,27.6,19.4,22.7,28.315223854166657
2015.0,0.0,28.8,20.0,24.0,25.30308677083333
2015.0,0.0,21.3,17.6,23.5,25.92905916666666
2015.0,10.0,13.0,18.7,24.0,26.03231229166667
2015.0,1.0,15.2,18.1,25.8,26.79947531250001
2015.0,0.0,20.1,19.2,27.7,24.355621875000008
2015.0,0.0,28.0,19.6,33.1,23.81197864583333
2015.0,0.0,15.7,21.8,27.1,25.86921875
2015.0,0.0,17.9,22.0,28.8,25.03732666666666
2015.0,0.0,24.3,22.1,30.7,23.35672625
2015.0,0.0,22.4,21.7,30.2,23.73453812499999
2015.0,13.0,15.3,20.2,27.0,23.33540947916666
2015.0,5.0,16.8,21.0,29.5,23.12342833333334
2015.0,2.0,22.8,19.6,29.1,22.18574083333333
2015.0,0.0,23.2,22.5,29.8,27.5713315625
2015.0,0.0,26.6,22.4,29.8,28.28373947916667
2015.0,0.0,25.0,22.8,30.0,27.229696145833326
2015.0,0.0,14.2,22.0,27.5,26.22708489583333
2015.0,0.0,13.1,21.5,27.4,26.290836145833325
2015.0,4.0,9.8,20.8,24.7,26.10193020833334
