Year,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015.0,0.0,30.7,21.0,24.4,8.875943645833333
2015.0,0.0,19.8,21.4,24.4,8.879880312499996
2015.0,0.0,31.2,21.3,25.1,7.913265312500002
2015.0,0.0,25.2,22.4,24.9,7.552862187500001
2015.0,0.0,15.2,20.7,23.4,12.140802083333329
2015.0,0.0,27.5,21.1,25.1,12.407927395833337
2015.0,0.0,30.7,22.4,25.4,12.255253958333329
2015.0,0.0,31.8,21.0,24.3,13.930993437499998
2015.0,0.0,25.5,21.9,25.8,14.4868034375
2015.0,0.0,14.2,21.7,25.2,14.2179540625
2015.0,20.0,3.1,20.9,22.3,13.04863375
2015.0,15.0,11.8,20.3,22.7,12.040478124999996
2015.0,4.0,20.5,19.1,27.6,12.113920312499998
2015.0,0.0,29.9,20.7,31.8,12.226764479166668
2015.0,0.0,29.9,23.3,25.5,12.561949999999998
2015.0,0.0,27.7,21.5,26.4,10.540889062499994
2015.0,0.0,32.1,22.7,31.7,12.91169010416666
2015.0,0.0,30.5,21.6,24.7,12.570618437500004
2015.0,0.0,3.9,20.9,22.1,12.22722541666667
2015.0,5.0,18.8,18.2,23.6,12.1723109375
2015.0,11.0,28.3,19.0,25.3,10.616775000000004
2015.0,0.0,28.7,21.9,25.3,10.5857959375
2015.0,0.0,28.3,22.3,24.9,12.216644791666669
2015.0,0.0,27.5,22.4,25.5,12.262917916666664
2015.0,0.0,26.4,22.1,29.2,11.666016041666674
2015.0,0.0,3.1,20.2,22.2,11.951226249999996
2015.0,42.0,3.1,18.7,20.8,10.385525520833337
2015.0,103.0,4.0,17.6,21.0,14.961699895833323
2015.0,10.0,27.2,16.0,21.0,14.62222385416667
2015.0,0.0,29.3,16.5,23.7,12.3693796875
2015.0,0.0,27.3,17.8,23.8,12.581572083333336
2015.0,0.0,17.4,20.2,23.4,8.904239479166664
2015.0,5.0,25.5,18.3,21.9,17.392176041666662
2015.0,0.0,22.8,18.1,23.2,15.017636562499996
2015.0,0.0,16.9,18.5,22.3,14.233815729166666
2015.0,11.0,11.4,18.6,22.3,14.87704135416667
2015.0,0.0,14.6,18.8,23.5,14.162432812499995
2015.0,0.0,20.6,19.7,23.7,13.777400000000002
2015.0,0.0,27.8,19.6,27.3,13.735954270833332
2015.0,0.0,6.9,22.2,24.5,13.426014583333334
2015.0,0.0,21.3,22.2,25.7,12.610207395833337
2015.0,2.0,25.4,23.2,25.4,12.131557291666669
2015.0,0.0,25.1,21.8,26.1,13.778476250000002
2015.0,6.0,15.2,21.1,25.4,13.67504510416667
2015.0,2.0,17.9,21.4,24.9,13.320228958333333
2015.0,1.0,22.8,21.3,25.8,14.153937500000003
2015.0,0.0,25.1,22.3,24.9,16.00378187499999
2015.0,0.0,27.0,22.2,24.7,15.837254791666671
2015.0,0.0,26.3,22.1,24.3,15.642233124999995
2015.0,0.0,18.0,21.9,25.1,13.976323645833334
2015.0,0.0,12.4,21.8,25.8,14.51450083333333
2015.0,5.0,11.2,20.5,24.5,12.750539270833336
2015.0,5.0,18.9,21.1,24.7,13.431203437499995
2015.0,0.0,15.8,21.7,24.2,14.939615624999997
2015.0,0.0,15.1,21.9,23.5,15.305338020833334
2015.0,0.0,10.5,20.8,22.5,15.593307499999996
2015.0,6.0,14.8,19.7,23.4,15.798922187499992
2015.0,5.0,20.6,20.4,25.2,16.77714072916666
2015.0,3.0,21.3,20.5,24.1,13.983905208333338
2015.0,0.0,17.5,21.7,29.8,16.00568572916666
2015.0,9.0,11.5,19.1,22.9,15.250636458333332
2015.0,1.0,19.9,18.2,23.3,14.589575104166672
2015.0,0.0,17.3,21.0,26.1,12.860681249999995
2015.0,0.0,22.0,21.2,25.3,13.334611354166668
2015.0,0.0,24.1,17.0,28.6,14.97651302083333
2015.0,0.0,16.0,18.7,23.2,13.57369635416667
2015.0,0.0,17.3,18.7,24.1,13.276538541666667
2015.0,0.0,23.6,20.8,28.8,13.557593645833336
2015.0,0.0,9.6,21.6,24.7,14.727478229166662
2015.0,0.0,16.4,21.7,27.0,13.59423708333334
2015.0,1.0,18.8,20.4,25.2,11.737565520833334
2015.0,0.0,3.1,20.5,21.7,12.792213541666667
2015.0,2.0,20.0,16.8,23.2,13.405033749999996
2015.0,0.0,11.6,18.5,22.6,13.476355937500005
2015.0,2.0,12.7,16.4,22.2,13.1294009375
2015.0,0.0,11.8,17.0,22.5,12.624962916666666
2015.0,0.0,14.9,19.9,25.4,12.787266354166666
2015.0,0.0,21.7,20.7,26.0,14.13154645833333
2015.0,0.0,18.0,20.4,27.2,15.284946145833333
2015.0,3.0,5.8,18.9,22.6,14.478832604166673
2015.0,2.0,6.8,18.8,23.5,12.149700729166668
2015.0,1.0,18.6,19.5,23.6,12.5586365625
2015.0,0.0,6.2,21.1,24.5,14.061927291666665
2015.0,19.0,15.8,16.4,21.9,13.343204374999994
2015.0,0.0,20.2,17.6,26.2,13.401839687499995
2015.0,0.0,21.3,16.1,25.0,14.720405625000003
2015.0,0.0,19.0,16.5,21.7,14.726004479166662
2015.0,0.0,16.0,16.9,22.9,13.586240416666667
2015.0,0.0,9.9,17.6,22.2,14.1242440625
2015.0,1.0,12.3,18.1,23.1,15.562792916666655
2015.0,19.0,11.0,18.0,23.2,15.60417791666666
2015.0,0.0,14.5,19.4,25.3,9.886498020833333
2015.0,2.0,3.4,18.1,21.1,11.13390864583333
2015.0,35.0,2.9,17.8,19.3,12.86090114583333
2015.0,19.0,16.8,16.1,22.3,12.739652812500005
2015.0,0.0,14.5,16.0,23.0,13.127282604166671
2015.0,1.0,15.5,16.2,21.9,13.772448124999991
2015.0,4.0,11.8,15.0,21.3,14.246194479166668
2015.0,0.0,12.7,16.3,20.0,12.60859041666666
2015.0,0.0,11.9,15.1,19.9,13.102718750000006
2015.0,3.0,11.0,16.0,21.5,14.944793333333331
2015.0,0.0,11.7,16.2,20.9,15.140317291666664
2015.0,0.0,14.7,16.2,19.7,15.321558958333336
2015.0,0.0,16.1,16.3,21.6,14.672363854166676
2015.0,0.0,15.6,16.5,23.4,14.707099375
2015.0,2.0,14.9,18.1,24.8,11.708445104166666
2015.0,4.0,3.7,19.9,22.4,11.769760416666664
2015.0,0.0,12.6,20.3,25.8,11.0136378125
2015.0,2.0,12.1,18.5,20.7,10.719710312499998
2015.0,11.0,3.1,14.1,18.3,9.978498333333334
2015.0,131.0,2.5,14.4,19.2,9.589779895833336
2015.0,115.0,2.8,13.5,18.7,10.6415528125
2015.0,23.0,12.9,14.6,21.3,10.873395104166669
2015.0,1.0,13.8,15.9,25.2,11.07093635416667
2015.0,0.0,14.1,15.4,23.0,11.03718
2015.0,9.0,3.8,12.0,18.1,10.77082375
2015.0,3.0,14.4,13.7,18.4,9.370029791666663
2015.0,0.0,15.0,11.9,18.4,9.447259374999998
2015.0,0.0,7.3,12.6,17.9,10.756830520833333
2015.0,8.0,6.7,14.3,19.6,10.986896041666665
2015.0,20.0,8.0,15.1,22.0,11.128880937499998
2015.0,19.0,8.4,16.9,22.2,11.316721458333337
2015.0,69.0,3.9,18.6,20.5,11.303167083333337
2015.0,1.0,6.4,17.5,20.7,10.503740729166667
2015.0,0.0,13.6,14.6,25.9,10.23974677083334
2015.0,0.0,14.1,14.1,19.9,10.164341145833337
2015.0,0.0,13.9,12.5,19.1,10.04545625
2015.0,0.0,13.7,12.7,19.6,8.913702812499999
2015.0,0.0,13.4,13.5,20.0,9.419478437500002
