Year,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015.0,0.0,30.7,21.0,24.4,30.933053958333343
2015.0,0.0,19.5,21.4,24.4,30.735007812500005
2015.0,0.0,31.3,21.3,25.1,29.99101552083336
2015.0,0.0,24.6,22.4,24.9,27.797021041666667
2015.0,0.0,15.5,20.7,23.4,30.395609791666672
2015.0,0.0,26.4,21.1,25.1,32.26740249999998
2015.0,0.0,31.1,22.4,25.4,32.80144447916667
2015.0,0.0,31.9,21.0,24.3,31.088579479166665
2015.0,0.0,26.1,21.9,25.8,30.20606822916668
2015.0,0.4,15.3,21.7,25.2,29.072378125
2015.0,16.4,3.1,20.9,22.3,31.316243020833344
2015.0,5.8,14.8,20.3,22.7,31.420679791666657
2015.0,4.2,21.2,19.1,27.6,30.94568166666667
2015.0,0.4,29.7,20.7,31.8,28.07441708333334
2015.0,0.0,29.7,23.3,25.5,28.821920625
2015.0,0.0,29.0,21.5,26.4,31.182214166666668
2015.0,0.0,32.1,22.7,31.7,27.22915229166667
2015.0,0.0,28.8,21.6,24.7,27.160743854166668
2015.0,0.0,4.7,20.9,22.1,29.874985
2015.0,11.2,20.0,18.2,23.6,29.5454134375
2015.0,6.4,29.1,19.0,25.3,29.42106802083333
2015.0,0.0,28.8,21.9,25.3,29.33697427083334
2015.0,0.0,29.0,22.3,24.9,27.88772822916665
2015.0,0.0,27.8,22.4,25.5,26.63350458333333
2015.0,1.0,26.7,22.1,29.2,27.39072531250001
2015.0,50.0,3.3,20.2,22.2,28.53742322916668
2015.0,66.0,3.1,18.7,20.8,33.368935208333326
2015.0,14.4,5.2,17.6,21.0,32.72736604166666
2015.0,0.0,28.8,16.0,21.0,32.544250416666664
2015.0,0.0,28.6,16.5,23.7,31.975625937500016
2015.0,0.0,28.5,17.8,23.8,28.469014687500003
2015.0,0.0,17.2,20.2,23.4,30.485561666666666
2015.0,3.8,25.5,18.3,21.9,35.99624854166667
2015.0,0.2,24.3,18.1,23.2,35.152288125
2015.0,6.0,18.2,18.5,22.3,36.01401197916666
2015.0,0.0,9.5,18.6,22.3,30.83743208333333
2015.0,0.0,16.6,18.8,23.5,30.4969003125
2015.0,0.0,22.0,19.7,23.7,32.63420208333333
2015.0,0.0,27.6,19.6,27.3,33.60023979166666
2015.0,0.6,8.6,22.2,24.5,34.819881875
2015.0,0.0,22.5,22.2,25.7,33.50915374999999
2015.0,0.0,23.8,23.2,25.4,32.41707010416666
2015.0,0.0,24.8,21.8,26.1,32.80012166666666
2015.0,30.0,15.5,21.1,25.4,32.691650624999994
2015.0,0.8,17.9,21.4,24.9,35.24998802083334
2015.0,0.0,23.7,21.3,25.8,34.22574583333334
2015.0,0.0,25.2,22.3,24.9,33.28824260416667
2015.0,0.0,26.9,22.2,24.7,28.644193645833337
2015.0,0.0,26.4,22.1,24.3,36.58490354166666
2015.0,0.0,19.7,21.9,25.1,32.423306458333336
2015.0,7.2,13.2,21.8,25.8,32.66311468750002
2015.0,5.8,12.2,20.5,24.5,37.01633270833333
2015.0,2.8,19.6,21.1,24.7,37.22136999999999
2015.0,0.6,17.5,21.7,24.2,36.75271281249999
2015.0,2.0,17.7,21.9,23.5,36.39328322916666
2015.0,0.0,10.3,20.8,22.5,36.316560208333335
2015.0,0.0,16.2,19.7,23.4,31.714841041666663
2015.0,3.8,16.2,20.4,25.2,32.527620729166664
2015.0,0.0,21.4,20.5,24.1,35.604503750000006
