year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2018,22.43653,22.06134,21.29219,21.14211,20.61684,20.22289,20.29793,19.90398,19.51003,19.00352,18.92848,18.90972,19.15359,19.04104,18.81592,18.81592,18.57204,18.5908,18.98476,18.98476,19.47251,20.05406,20.61684,21.76118,23.37451,24.98784,26.92008,29.24628,31.85387,33.67355,34.68658,35.47448,36.14983,35.75587,35.98099,36.13107,36.60006,37.03153,37.66936,37.18161,37.53804,37.20037,37.50052,37.29417,36.90021,36.88145,36.82517,36.7689,37.12533,36.95649,36.52502,36.75014,36.80641,36.61882,37.76316,36.97525,36.99401,36.88145,37.18161,37.29417,37.18161,36.41246,36.2999,37.01277,36.84393,36.3937,37.05029,37.87571,38.49478,40.22067,41.49632,41.9278,41.44005,41.19617,41.32749,41.12113,40.20191,39.02005,38.88873,38.10083,37.463,36.60006,35.28688,34.23634,33.76735,32.54798,31.98519,30.61573,29.64023,28.42086,27.31404,26.24474,25.77575,24.27497,23.43079,22.66165,0,31.025350927835063
2018,22.56785,22.23017,21.38599,20.917,20.48553,20.33545,20.18537,19.7539,19.69762,19.15359,19.15359,19.15359,18.966,18.90972,18.98476,18.98476,18.98476,18.98476,18.98476,19.09731,19.67886,20.01654,20.84196,21.74242,23.24319,25.47559,27.20148,29.3776,31.74131,33.86115,34.78037,35.54952,36.31866,36.35618,36.46874,36.61882,37.29417,37.50052,37.83819,37.85695,37.81944,37.463,37.50052,37.40672,37.50052,37.21913,37.61308,37.59432,37.40672,36.80641,36.65634,36.61882,36.90021,37.14409,37.38796,36.84393,36.09355,36.43122,36.24363,36.07479,36.09355,35.92471,36.13107,35.73712,36.18735,36.46874,36.95649,37.38796,37.98827,39.414,40.42703,41.06485,40.70842,40.33323,40.5771,40.35199,39.17013,38.68238,38.02579,37.40672,36.75014,35.90595,35.19309,34.66782,33.71107,32.69805,31.3286,30.18426,29.52767,28.3083,27.29528,25.90706,25.04412,23.88102,23.80598,22.73668,1,30.93180505154639
2018,22.43653,21.96754,21.42351,20.71064,20.42925,20.0353,19.82894,19.52879,19.15359,18.75964,18.51577,18.51577,18.62832,18.90972,18.90972,18.90972,18.64708,18.57204,18.72212,18.98476,19.32243,19.73514,21.27343,21.8925,23.56211,25.36303,27.80179,29.64023,32.22906,34.12379,35.512,36.09355,36.56254,36.73138,36.99401,37.21913,37.83819,38.04455,38.6261,38.06331,37.83819,37.96951,37.87571,37.7444,37.31293,37.70688,37.78192,37.44424,37.63184,37.463,37.40672,37.14409,36.97525,37.20037,37.3692,36.99401,36.88145,37.01277,36.75014,36.56254,36.43122,36.33742,36.43122,36.69386,37.12533,37.70688,38.34471,38.49478,39.62036,41.08361,42.07787,42.84702,42.30299,42.6219,42.30299,42.24671,41.45881,40.03307,39.54532,39.22641,38.6261,37.5568,36.78766,36.22487,35.17433,34.4427,33.41092,32.32286,31.70379,30.65325,29.20876,27.85807,26.39481,25.53187,24.65017,23.86226,2,31.594060618556707
2018,23.48707,22.94304,22.51157,22.21141,21.77994,21.42351,21.1046,20.67312,20.37297,19.96026,19.64134,19.64134,19.64134,19.64134,19.64134,19.37871,19.71638,19.71638,19.71638,19.71638,20.71064,20.97328,21.68614,22.38025,24.19994,26.15094,28.62721,30.42814,33.01697,34.81789,36.18735,36.93773,37.33168,37.06905,37.05029,37.14409,37.463,38.13835,38.25091,38.15711,38.28843,37.91323,37.78192,37.53804,37.51928,37.59432,37.89447,37.44424,37.35044,37.25665,37.14409,37.16285,37.21913,37.08781,36.6751,36.44998,36.44998,36.4875,36.24363,36.3937,36.13107,35.71836,35.64332,35.84967,36.35618,36.86269,37.68812,38.32595,39.15137,40.63338,42.22795,42.65942,42.69694,43.10965,43.52237,43.24097,42.67818,42.15291,41.38377,40.6709,40.42703,39.73292,38.70114,37.95075,35.99975,34.51774,33.39216,32.07899,31.02845,30.29682,29.15248,28.0269,26.41357,25.32551,24.50009,23.44955,3,32.002383402061845
2018,23.29947,22.84924,22.23017,21.61111,21.62987,21.08584,20.46677,20.41049,20.05406,19.81018,19.69762,19.26615,19.32243,19.32243,19.15359,19.41623,19.15359,19.71638,19.52879,19.79142,19.8477,20.78568,21.31095,22.38025,23.9373,25.8883,27.80179,29.97791,32.37914,34.3489,35.84967,36.93773,36.88145,37.16285,37.48176,37.76316,38.21339,38.45726,39.05757,38.85122,38.86998,38.70114,38.38222,38.26967,38.00703,37.85695,37.80068,38.10083,37.57556,37.42548,37.31293,37.33168,37.23789,37.05029,37.35044,37.42548,36.93773,36.75014,36.50626,36.6751,36.44998,35.86843,36.14983,36.22487,36.7689,36.63758,37.27541,37.59432,38.26967,39.56408,41.02733,41.85276,41.42129,40.98981,40.93354,40.14563,38.94501,37.83819,36.90021,36.3937,35.53076,34.4427,33.80487,32.52922,32.3041,31.81635,30.57821,29.99667,29.4714,29.05868,28.23326,27.22024,26.24474,25.43807,25.17544,24.42505,4,31.363067938144336
2018,24.19994,23.61839,22.94304,22.28645,22.02382,21.62987,21.27343,21.14211,20.7294,20.18537,20.18537,19.71638,19.67886,19.51003,19.49127,19.22863,19.37871,18.89096,19.20987,19.47251,19.62258,19.73514,19.73514,19.86646,21.06708,21.47979,21.81746,22.36149,23.16816,24.29373,25.17544,26.50737,27.55791,29.02116,29.82783,30.54069,30.95341,31.79759,32.09774,33.12953,33.561,33.93619,33.80487,33.31712,33.14828,33.03573,33.1858,32.82937,32.67929,32.45418,32.56674,32.07899,32.00395,32.13526,31.79759,31.91015,31.72255,31.89139,31.91015,31.85387,32.24782,32.3979,32.24782,32.32286,32.60426,32.94193,33.76735,34.33014,35.19309,37.01277,38.7199,39.54532,39.92052,39.95803,39.24517,38.7199,37.85695,37.33168,36.84393,36.16859,35.15557,34.57402,33.87991,33.71107,32.56674,31.68503,30.89713,29.95915,29.32132,27.89559,27.10768,25.77575,24.89404,24.25622,23.56211,23.11188,6,28.55774969072165
2018,22.58661,22.43653,21.46103,21.46103,21.23591,20.57933,20.27917,20.22289,19.9415,19.6601,19.49127,19.34119,19.22863,19.22863,19.22863,19.22863,19.22863,19.22863,19.35995,19.77266,20.65436,20.87948,21.51731,22.53033,24.53761,26.61993,28.75853,31.00969,33.86115,35.88719,37.14409,37.95075,38.26967,38.17587,38.04455,38.28843,38.55106,38.64486,38.88873,39.05757,38.83246,38.36346,38.38222,38.38222,37.98827,38.17587,37.80068,37.59432,37.61308,37.463,37.27541,37.16285,36.69386,36.69386,36.80641,36.5813,36.54378,36.69386,36.93773,36.41246,35.86843,35.96223,36.11231,36.52502,36.7689,37.10657,37.96951,38.47602,39.86424,42.00284,43.35353,44.27275,44.04764,44.49787,44.57291,44.72298,43.785,42.77198,42.09663,41.34625,40.23943,39.32021,38.45726,37.81944,36.82517,35.39944,34.19882,32.88565,31.98519,30.39062,29.15248,27.85807,26.63869,26.09466,25.08164,24.19994,7,32.335459072164966
2018,23.63715,22.9618,22.19265,21.57359,21.47979,20.8232,20.78568,20.59809,20.93576,19.90398,19.81018,19.81018,19.99778,19.90398,19.67886,19.69762,19.71638,19.6601,20.42925,20.18537,20.84196,21.64863,22.00506,22.73668,24.59389,27.08892,29.13372,31.4224,34.51774,37.10657,38.06331,38.8137,39.48904,39.62036,39.5078,39.73292,40.01431,40.42703,40.5771,40.20191,39.71416,39.28269,38.70114,38.83246,38.34471,38.25091,37.93199,37.70688,37.78192,37.57556,37.63184,37.5568,37.01277,36.90021,36.84393,36.7689,36.91897,36.99401,36.46874,36.61882,36.11231,35.77463,36.3937,36.6751,36.90021,37.38796,37.95075,38.66362,40.23943,41.94656,43.39105,44.29151,44.14143,43.91632,44.25399,44.42283,43.65368,42.94082,42.00284,41.00857,40.59586,39.7892,38.90749,38.34471,37.61308,36.13107,34.96797,33.71107,32.67929,31.45992,29.94039,28.73977,27.35156,25.92582,25.41931,24.76273,8,32.79967422680412
2018,24.36877,23.61839,23.07436,22.68041,22.49281,22.04258,21.57359,21.29219,20.93576,20.56057,20.56057,20.20413,20.56057,20.61684,20.35421,20.42925,20.20413,20.20413,20.26041,20.50429,21.32971,22.13638,22.58661,23.54335,25.56939,27.76427,30.10922,32.51046,35.39944,37.16285,38.34471,39.00129,39.22641,39.03881,39.07633,39.26393,39.05757,39.13261,39.30145,39.20765,39.39525,39.30145,38.38222,38.86998,38.34471,37.85695,37.85695,38.06331,37.78192,37.50052,37.61308,37.70688,37.61308,37.14409,37.14409,37.16285,37.03153,36.63758,36.99401,36.54378,36.4875,36.52502,36.4875,36.88145,37.29417,37.50052,37.7444,38.60734,39.71416,41.5526,43.40981,44.0664,44.0664,43.8788,44.04764,44.10391,43.25973,42.54686,41.94656,41.5526,40.97105,39.73292,38.70114,38.11959,37.03153,36.13107,35.24936,33.87991,32.47294,31.15976,30.03418,28.70225,27.16396,26.69497,25.83203,25.13792,9,32.96837711340206
2018,24.74397,24.14366,23.28071,22.7742,22.66165,22.19265,21.68614,21.23591,20.86072,20.67312,20.6356,20.18537,20.18537,20.18537,20.26041,20.50429,20.37297,20.50429,20.50429,20.84196,21.55483,22.00506,22.79296,23.82474,25.71947,27.61419,29.99667,32.36038,35.09929,36.91897,37.76316,39.03881,39.17013,39.26393,39.28269,38.98253,39.26393,39.18889,39.39525,39.414,39.39525,39.05757,38.47602,38.47602,38.32595,38.08207,38.02579,37.91323,38.04455,37.5568,37.76316,37.29417,37.3692,37.01277,37.12533,36.71262,36.61882,36.82517,36.95649,36.91897,36.56254,36.69386,36.99401,36.93773,37.12533,37.42548,38.34471,39.24517,40.46454,42.26547,43.67244,44.61043,44.44159,44.8543,44.9481,44.6667,44.46035,43.95384,43.44733,43.12841,42.60314,41.96532,40.40827,39.22641,38.21339,36.6751,35.08053,33.69231,32.84813,31.96643,30.24054,28.77729,27.59543,26.63869,25.75699,25.13792,10,33.21753298969072
