year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2006,24.67383,23.26546,21.8571,22.93623,21.87539,20.83283,19.95489,19.27814,17.96123,17.35764,16.91867,16.36996,16.26022,15.93099,15.80295,15.56518,15.56518,15.29082,15.18108,15.40056,15.25424,15.18108,15.72979,15.67492,16.11389,16.04073,16.75406,17.065,18.05268,18.98549,19.90002,20.55847,21.87539,22.62529,23.72272,24.39947,25.1128,25.99074,26.55774,26.70407,26.77723,27.06988,27.2162,27.28936,26.72236,26.59432,26.17364,26.35655,25.80783,26.02732,25.22254,25.18596,25.33228,24.89331,24.45434,24.12511,24.03366,23.99708,23.7593,23.83246,23.5764,23.52153,23.64956,23.85076,24.16169,25.09451,26.04561,27.12475,28.38679,31.2401,33.06915,34.18486,35.15426,35.77613,35.75784,35.41032,35.09939,34.58725,33.91051,32.97769,32.3924,31.8071,31.47788,30.63651,29.94148,28.66115,27.76491,26.70407,26.57603,26.92355,26.08219,24.45434,23.28375,23.55811,22.4241,21.72906,0,23.901478350515454
2006,22.75333,21.29009,20.28412,21.01573,20.28412,19.49763,18.52823,17.65029,16.99183,16.80893,16.05902,15.72979,15.30911,15.1445,15.12621,15.23595,14.79698,14.97988,15.07134,15.29082,15.78466,16.2968,17.04671,18.05268,20.02805,21.93026,24.54579,25.99074,27.9844,28.9355,29.00866,28.09414,27.65517,26.75894,26.50287,26.94184,26.31997,26.15535,25.62493,25.4969,25.86271,25.40544,25.71638,25.4969,25.36886,25.27741,25.20425,25.25912,25.05793,25.25912,25.35057,24.9116,25.1128,25.16767,25.03963,24.7287,24.58237,24.61895,24.36289,24.23485,24.23485,24.36289,24.32631,24.7287,25.35057,25.99074,26.55774,27.49056,29.41105,32.22778,33.81905,34.84332,35.99562,37.00159,37.07476,36.78211,36.61749,36.23339,35.70297,35.4652,33.91051,33.3435,33.30692,32.30095,31.0572,30.43532,29.44764,28.3685,28.07585,28.02098,26.8321,24.80186,23.64956,23.3752,22.4241,21.67419,1,24.85836577319588
2006,22.33265,20.99744,19.82685,20.8877,20.04634,19.1684,18.47336,17.76003,16.6809,16.24193,15.67492,15.62005,15.16279,15.05305,14.85185,15.03476,14.79698,14.99817,15.3274,15.10792,15.49202,16.38825,17.2479,18.29046,20.44873,22.20461,24.67383,26.59432,28.42337,29.41105,28.84405,28.24046,27.85637,27.32594,26.88697,26.24681,26.0639,25.97245,26.00903,25.07622,24.85673,24.82015,25.00305,24.60066,24.49092,24.74699,24.54579,24.69212,24.87502,25.03963,24.65554,24.58237,24.78357,24.65554,24.50921,24.71041,24.65554,24.49092,24.61895,24.76528,24.41776,24.1434,24.56408,25.00305,25.2957,25.53348,26.33826,27.6003,29.97806,32.52043,33.78247,34.45922,35.61152,36.05049,36.56262,36.87356,36.23339,35.831,34.98964,34.95306,33.83734,33.1606,32.94111,32.24607,30.98403,30.01464,29.20986,28.49653,28.07585,28.20388,27.19791,25.36886,23.81417,23.79588,22.38752,21.76564,2,24.74309278350516
2006,22.20461,21.19864,19.7354,20.66822,20.04634,19.24156,18.12584,17.46739,16.73577,16.13218,15.7115,15.58347,15.16279,14.7604,15.10792,14.70553,14.99817,15.01646,15.10792,15.41885,15.9127,16.42483,17.065,17.99781,20.41215,22.62529,24.74699,26.33826,28.51482,29.30131,29.33789,28.88063,27.91124,27.06988,26.68578,26.72236,26.35655,25.95416,25.78954,25.6798,25.42373,25.16767,24.85673,24.71041,24.54579,24.56408,25.14938,24.5275,25.05793,24.9116,24.94818,24.61895,24.80186,24.67383,24.80186,24.67383,24.89331,24.63724,24.67383,24.39947,24.19827,24.65554,24.87502,25.40544,25.97245,26.08219,27.03329,27.83807,29.74028,32.42898,33.69102,34.40435,35.50178,35.831,36.12365,36.25168,36.01391,35.75784,35.31887,34.14828,33.65444,33.47154,32.75821,32.06317,31.09378,30.25242,29.22815,28.24046,28.00269,28.11243,27.06988,25.27741,24.01537,23.46666,22.88136,21.89368,3,24.79017206185567
2006,22.47897,21.473,20.35728,20.8877,20.15608,19.29643,18.45507,17.57713,16.73577,16.44312,16.0956,15.49202,15.30911,15.01646,14.87014,14.83356,15.03476,15.01646,14.96159,15.21766,15.89441,16.64432,17.37593,18.71114,20.57676,22.00342,25.05793,25.82612,27.83807,28.7526,28.84405,28.33192,27.76491,27.52714,27.17962,26.37484,26.15535,25.71638,26.00903,25.46032,25.80783,25.46032,25.33228,25.14938,25.16767,25.03963,25.03963,24.74699,25.13109,24.76528,24.85673,24.85673,24.9116,24.5275,24.58237,25.05793,24.98476,24.92989,25.02134,24.96647,24.74699,24.94818,25.14938,25.60664,25.91758,26.0639,26.86868,27.91124,29.95977,32.42898,33.81905,35.0811,35.72126,36.17852,36.25168,36.17852,36.2151,35.92246,35.11768,34.89819,33.59957,33.19718,32.31924,31.64249,31.0572,29.7037,29.35618,28.35021,28.27705,28.51482,27.7832,25.86271,24.61895,24.16169,23.21059,22.4241,4,24.919086288659802
2006,22.86307,21.60103,20.17437,20.94257,19.95489,19.29643,18.5831,17.48568,17.10158,16.46141,16.11389,15.63834,15.36398,15.07134,15.07134,14.72382,14.96159,15.3274,15.45544,15.41885,15.87612,16.27851,17.19303,18.41849,20.35728,21.78393,24.69212,25.33228,27.36252,28.3685,29.28302,28.82576,28.02098,27.96611,27.47227,26.81381,26.75894,26.15535,26.17364,25.99074,25.64322,25.57006,26.19193,25.75296,25.2957,25.35057,25.47861,25.46032,25.40544,25.16767,25.25912,25.4969,25.42373,25.57006,25.24083,25.47861,25.53348,25.42373,25.36886,25.40544,25.40544,25.22254,25.18596,25.73467,26.46629,26.81381,27.47227,28.24046,30.63651,32.61188,33.80076,34.03854,34.55067,34.62383,34.93477,34.47751,33.65444,33.14231,32.79479,32.15462,31.27668,30.45361,30.16096,29.48422,28.9355,28.29534,27.65517,26.90526,27.58201,27.63688,27.34423,26.19193,25.40544,25.05793,24.41776,23.70443,5,24.780620412371132
2006,24.5275,23.08256,21.52787,22.20461,21.0889,20.30241,19.29643,18.56481,17.59542,16.80893,16.40654,16.24193,15.82124,15.40056,15.45544,15.36398,15.08963,15.18108,15.30911,15.18108,15.34569,15.76637,15.83954,16.36996,17.13816,17.57713,18.199,18.85746,20.35728,21.2718,22.77162,23.90563,25.02134,26.19193,27.30765,28.09414,28.71602,28.97208,28.88063,28.58798,29.1367,29.30131,29.39276,29.20986,28.67944,28.51482,27.87466,28.02098,27.67346,27.52714,27.32594,27.03329,26.85039,26.66749,26.77723,26.50287,26.35655,27.03329,26.68578,26.50287,26.97842,26.97842,27.56372,28.02098,28.47824,29.08183,30.30729,31.58762,33.25205,35.09939,36.10536,36.19681,36.54433,36.39801,35.95904,35.4469,33.98367,33.43495,32.90453,31.93514,31.0389,30.69139,29.64883,28.89892,28.45995,28.11243,27.7832,27.23449,27.3991,28.02098,27.83807,26.2651,25.84442,26.35655,25.18596,24.28973,6,25.299102989690713
2006,25.20425,23.92392,22.25949,23.15572,21.89368,20.85112,20.02805,19.13182,18.45507,17.74174,16.8638,16.62602,16.15047,15.83954,15.76637,15.45544,15.63834,15.45544,15.5286,15.3274,15.5286,15.56518,15.85783,16.18705,16.53457,16.84551,17.32106,17.50397,18.60139,19.27814,20.44873,21.82051,22.86307,23.70443,24.89331,25.75296,26.74065,27.47227,27.83807,28.29534,28.03927,28.35021,27.83807,27.9844,27.56372,27.54543,26.97842,27.08817,26.0639,25.73467,25.00305,24.69212,24.25315,24.16169,24.21656,23.63127,23.63127,23.3752,23.15572,23.13743,23.06427,23.39349,23.32033,23.85076,24.08853,24.67383,25.58835,27.41739,29.00866,31.8071,33.38008,34.71529,35.22742,35.90417,36.06878,35.72126,35.02622,34.45922,34.3129,32.88624,32.52043,31.93514,31.49617,31.18523,30.52677,29.33789,28.67944,27.67346,27.67346,27.6003,26.70407,24.65554,23.48495,23.28375,22.33265,21.6559,7,24.272701855670103
2006,22.44239,21.38154,20.08292,21.16206,20.41215,19.84515,18.93062,17.99781,17.17474,16.62602,16.42483,15.63834,15.58347,15.07134,15.40056,15.08963,15.07134,15.34569,15.21766,15.3274,15.87612,16.58944,17.30277,18.07097,20.57676,22.13145,24.82015,26.53945,29.30131,29.77686,30.17925,30.14267,29.22815,28.38679,27.54543,27.52714,26.50287,26.13706,25.69809,25.33228,25.36886,25.05793,25.05793,25.24083,24.92989,25.36886,25.27741,24.98476,24.96647,24.92989,25.20425,25.1128,25.03963,25.07622,25.07622,25.1128,25.09451,25.00305,24.82015,24.71041,24.5275,24.89331,25.31399,25.80783,26.22851,26.75894,26.97842,28.18559,30.03293,33.23376,34.73358,35.20913,36.30656,37.45885,37.91612,38.02586,37.5686,37.07476,36.70895,35.77613,35.0811,34.22144,34.05683,33.05085,31.71565,30.96574,29.95977,29.41105,28.67944,28.67944,27.92953,25.75296,24.21656,23.9605,22.89965,21.69248,8,25.343668556701026
2006,22.58871,21.39983,20.10121,20.85112,20.22924,19.31472,18.27217,17.59542,16.88209,16.64432,15.80295,15.72979,15.34569,15.30911,15.27253,14.99817,15.19937,14.87014,15.19937,15.36398,16.18705,16.64432,17.48568,18.43678,20.52189,22.69846,25.2957,26.24681,29.11841,30.01464,29.94148,29.77686,28.99037,28.73431,27.87466,26.68578,26.2651,26.02732,25.80783,25.35057,25.18596,25.1128,25.22254,25.24083,24.9116,24.61895,25.07622,25.05793,24.94818,24.78357,24.89331,24.89331,24.96647,25.00305,25.00305,24.69212,25.2957,25.03963,24.83844,25.20425,24.9116,25.16767,25.58835,26.22851,26.28339,26.66749,27.67346,28.45995,30.52677,32.90453,34.53238,34.80674,35.77613,36.47117,36.69066,36.70895,36.58091,35.97733,35.41032,34.44093,33.91051,33.56299,33.43495,32.75821,31.97172,30.96574,30.23412,29.06354,29.30131,28.42337,27.54543,25.44203,24.25315,23.74101,22.62529,22.14974,9,25.20878567010309
