Bureau of Meteorology station number,Year,Month,Day,Daily global solar exposure (MJ/m*m),index
66125,2015,1,1,31.4,0
66125,2015,1,2,19.3,1
66125,2015,1,3,31.0,2
66125,2015,1,4,19.4,3
66125,2015,1,5,14.9,4
66125,2015,1,6,24.8,5
66125,2015,1,7,28.1,6
66125,2015,1,8,31.6,7
66125,2015,1,9,17.0,8
66125,2015,1,10,13.1,9
66125,2015,1,11,3.1,10
66125,2015,1,12,15.4,11
66125,2015,1,13,20.0,12
66125,2015,1,14,30.3,13
66125,2015,1,15,30.4,14
66125,2015,1,16,28.0,15
66125,2015,1,17,32.1,16
66125,2015,1,18,29.6,17
66125,2015,1,19,10.1,18
66125,2015,1,20,17.7,19
66125,2015,1,21,25.8,20
66125,2015,1,22,27.2,21
66125,2015,1,23,29.3,22
66125,2015,1,24,24.7,23
66125,2015,1,25,29.0,24
66125,2015,1,26,5.1,25
66125,2015,1,27,4.1,26
66125,2015,1,28,10.0,27
66125,2015,1,29,28.6,28
66125,2015,1,30,25.0,29
66125,2015,1,31,26.1,30
66125,2015,2,1,22.1,31
66125,2015,2,2,27.6,32
66125,2015,2,3,28.6,33
66125,2015,2,4,20.6,34
66125,2015,2,5,13.4,35
66125,2015,2,6,14.8,36
66125,2015,2,7,19.8,37
66125,2015,2,8,27.5,38
66125,2015,2,9,13.3,39
66125,2015,2,10,16.9,40
66125,2015,2,11,22.6,41
66125,2015,2,12,19.1,42
66125,2015,2,13,17.4,43
66125,2015,2,14,15.8,44
66125,2015,2,15,20.7,45
66125,2015,2,16,22.9,46
66125,2015,2,17,25.7,47
66125,2015,2,18,23.0,48
66125,2015,2,19,16.0,49
66125,2015,2,20,15.0,50
66125,2015,2,21,9.1,51
66125,2015,2,22,17.0,52
66125,2015,2,23,12.7,53
66125,2015,2,24,18.3,54
66125,2015,2,25,9.6,55
66125,2015,2,26,15.5,56
66125,2015,2,27,22.2,57
66125,2015,2,28,21.3,58
66125,2015,3,1,15.5,59
66125,2015,3,2,14.6,60
66125,2015,3,3,21.3,61
66125,2015,3,4,17.7,62
66125,2015,3,5,22.1,63
66125,2015,3,6,23.7,64
66125,2015,3,7,17.0,65
66125,2015,3,8,21.7,66
66125,2015,3,9,23.9,67
66125,2015,3,10,13.4,68
66125,2015,3,11,18.9,69
66125,2015,3,12,17.6,70
66125,2015,3,13,5.1,71
66125,2015,3,14,18.8,72
66125,2015,3,15,13.2,73
66125,2015,3,16,16.5,74
66125,2015,3,17,10.5,75
