Bureau of Meteorology station number,Year,Month,Day,Maximum temperature (Degree C),Days of accumulation of maximum temperature,index,Quality_Y
66161,2015,1,1,32.8,1.0,0,True
66161,2015,1,2,29.1,1.0,1,True
66161,2015,1,3,33.0,1.0,2,True
66161,2015,1,4,36.8,1.0,3,True
66161,2015,1,5,27.6,1.0,4,True
66161,2015,1,6,29.3,1.0,5,True
66161,2015,1,7,31.5,1.0,6,True
66161,2015,1,8,32.0,1.0,7,True
66161,2015,1,9,35.1,1.0,8,True
66161,2015,1,10,29.7,1.0,9,True
66161,2015,1,11,22.0,1.0,10,True
66161,2015,1,12,24.8,1.0,11,True
66161,2015,1,13,29.6,1.0,12,True
66161,2015,1,14,33.3,1.0,13,True
66161,2015,1,15,28.4,1.0,14,True
66161,2015,1,16,32.4,1.0,15,True
66161,2015,1,17,34.8,1.0,16,True
66161,2015,1,18,29.4,1.0,17,True
66161,2015,1,19,20.6,1.0,18,True
66161,2015,1,20,25.8,1.0,19,True
66161,2015,1,21,28.8,1.0,20,True
66161,2015,1,22,29.8,1.0,21,True
66161,2015,1,23,32.1,1.0,22,True
66161,2015,1,24,32.5,1.0,23,True
66161,2015,1,25,37.3,1.0,24,True
66161,2015,1,26,20.8,1.0,25,True
66161,2015,1,27,19.9,1.0,26,True
66161,2015,1,28,21.8,1.0,27,True
66161,2015,1,29,24.5,1.0,28,True
66161,2015,1,30,26.8,1.0,29,True
66161,2015,1,31,26.3,1.0,30,True
66161,2015,2,1,25.7,1.0,31,True
66161,2015,2,2,25.1,1.0,32,True
66161,2015,2,3,25.7,1.0,33,True
66161,2015,2,4,25.0,1.0,34,True
66161,2015,2,5,22.6,1.0,35,True
66161,2015,2,6,24.8,1.0,36,True
66161,2015,2,7,28.5,1.0,37,True
66161,2015,2,8,35.3,1.0,38,True
66161,2015,2,9,26.5,1.0,39,True
66161,2015,2,10,28.3,1.0,40,True
66161,2015,2,11,30.1,1.0,41,True
66161,2015,2,12,29.4,1.0,42,True
66161,2015,2,13,27.6,1.0,43,True
66161,2015,2,14,28.2,1.0,44,True
66161,2015,2,15,29.1,1.0,45,True
66161,2015,2,16,29.2,1.0,46,True
66161,2015,2,17,29.4,1.0,47,True
66161,2015,2,18,29.1,1.0,48,True
66161,2015,2,19,27.8,1.0,49,True
66161,2015,2,20,27.2,1.0,50,True
66161,2015,2,21,25.3,1.0,51,True
66161,2015,2,22,26.6,1.0,52,True
66161,2015,2,23,27.7,1.0,53,True
66161,2015,2,24,26.4,1.0,54,True
66161,2015,2,25,23.4,1.0,55,True
66161,2015,2,26,27.1,1.0,56,True
66161,2015,2,27,27.1,1.0,57,True
66161,2015,2,28,28.8,1.0,58,True
66161,2015,3,1,35.5,1.0,59,True
66161,2015,3,2,23.5,1.0,60,True
66161,2015,3,4,29.7,1.0,62,True
66161,2015,3,5,27.6,1.0,63,True
66161,2015,3,6,29.8,1.0,64,True
66161,2015,3,7,26.2,1.0,65,True
66161,2015,3,8,27.4,1.0,66,True
66161,2015,3,9,33.8,1.0,67,True
66161,2015,3,10,26.4,1.0,68,True
66161,2015,3,11,30.2,1.0,69,True
66161,2015,3,12,27.4,1.0,70,True
66161,2015,3,13,20.4,1.0,71,True
66161,2015,3,14,26.2,1.0,72,True
66161,2015,3,15,23.9,1.0,73,True
66161,2015,3,16,23.2,1.0,74,True
66161,2015,3,17,23.3,1.0,75,True
66161,2015,3,18,29.4,1.0,76,True
66161,2015,3,19,31.4,1.0,77,True
66161,2015,3,20,29.4,1.0,78,True
66161,2015,3,21,22.9,1.0,79,True
66161,2015,3,22,23.9,1.0,80,True
66161,2015,3,23,29.0,1.0,81,True
66161,2015,3,24,25.6,1.0,82,True
66161,2015,3,25,22.9,1.0,83,True
66161,2015,3,26,27.1,1.0,84,True
66161,2015,3,27,26.2,1.0,85,True
66161,2015,3,28,23.2,1.0,86,True
66161,2015,3,29,26.5,1.0,87,True
66161,2015,3,30,24.8,1.0,88,True
66161,2015,3,31,23.0,1.0,89,True
66161,2015,4,1,25.8,1.0,90,True
66161,2015,4,2,29.6,1.0,91,True
66161,2015,4,3,18.4,1.0,92,True
66161,2015,4,4,19.4,1.0,93,True
66161,2015,4,5,25.7,1.0,94,True
66161,2015,4,6,25.4,1.0,95,True
66161,2015,4,7,22.9,1.0,96,True
66161,2015,4,8,22.1,1.0,97,True
66161,2015,4,9,21.8,1.0,98,True
66161,2015,4,10,21.8,1.0,99,True
66161,2015,4,11,22.5,1.0,100,True
66161,2015,4,12,22.8,1.0,101,True
66161,2015,4,13,21.3,1.0,102,True
66161,2015,4,14,23.3,1.0,103,True
66161,2015,4,15,27.8,1.0,104,True
66161,2015,4,16,31.4,1.0,105,True
66161,2015,4,17,21.1,1.0,106,True
66161,2015,4,18,27.7,1.0,107,True
66161,2015,4,19,22.3,1.0,108,True
66161,2015,4,20,16.2,1.0,109,True
66161,2015,4,21,16.9,1.0,110,True
66161,2015,4,22,18.8,1.0,111,True
66161,2015,4,23,22.5,1.0,112,True
66161,2015,4,24,25.3,1.0,113,True
66161,2015,4,25,24.0,1.0,114,True
66161,2015,4,26,18.4,1.0,115,True
66161,2015,4,27,19.6,1.0,116,True
66161,2015,4,29,19.7,1.0,118,True
66161,2015,4,30,19.0,1.0,119,True
66161,2015,5,1,20.5,1.0,120,True
66161,2015,5,2,21.6,1.0,121,True
66161,2015,5,3,22.9,1.0,122,True
66161,2015,5,4,21.6,1.0,123,True
66161,2015,5,5,26.5,1.0,124,True
66161,2015,5,6,19.6,1.0,125,True
66161,2015,5,7,19.1,1.0,126,True
66161,2015,5,8,20.2,1.0,127,True
66161,2015,5,9,20.5,1.0,128,True
66161,2015,5,10,21.0,1.0,129,True
66161,2015,5,11,20.5,1.0,130,True
66161,2015,5,12,22.0,1.0,131,True
