year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,index,averagemwh
2018,13.86014,12.80904,12.23302,12.45308,14.97819,15.12392,14.55649,13.8589,12.64546,13.13021,11.76989,11.11145,10.1929,9.50806,9.02806,8.83979,7.87061,7.87061,7.87061,7.87061,7.87061,7.87061,8.83777,9.55117,10.38356,11.34294,12.09188,11.53707,11.34294,11.34294,11.34294,11.34294,11.34294,11.34294,10.34315,10.1855,10.1855,10.1855,9.49673,9.02806,9.02806,9.02806,9.02806,8.23967,7.94777,7.94777,7.94777,7.94777,7.94777,7.94777,7.94777,7.94777,7.94777,7.94777,7.94777,7.94777,7.94777,8.53688,8.18275,9.07419,8.25643,8.25643,8.25643,9.15525,9.41387,10.52645,10.57131,11.22137,12.30045,13.90484,15.23376,16.35853,16.35853,16.35853,16.35853,16.35853,15.71076,15.50974,15.50974,14.65035,14.35229,13.40124,13.19485,13.19485,12.19371,12.03741,12.03741,11.10076,10.87996,10.87996,10.87996,10.28301,13.33902,13.73499,13.73499,13.59566,0,10.908219690721646
2018,12.65471,12.65471,12.17042,12.80765,14.85951,14.9696,14.27366,13.04789,11.90297,11.78392,10.81957,9.79968,9.48212,8.7194,8.47922,7.56196,7.56196,7.56196,7.56196,7.56196,7.56196,7.56196,8.70272,9.01471,10.12121,11.03429,12.06698,11.34517,11.18862,11.18862,11.18862,11.18862,11.18862,11.18862,10.16608,9.17879,8.87373,8.87373,8.87373,8.87373,8.87373,8.87373,8.87373,8.56724,7.71629,7.71629,7.71629,7.71629,7.71629,7.71629,7.71629,7.71629,7.71629,7.71629,7.71629,7.71629,8.10286,8.87373,8.87373,8.87373,8.87373,8.87373,8.87373,9.07673,10.03117,10.03117,10.14499,11.21436,12.37995,13.61661,14.76272,15.81839,15.81839,15.81839,15.81839,15.81839,15.81839,15.81839,15.17825,14.66094,14.66094,13.75963,13.5035,13.5035,12.62065,12.34606,12.34606,11.60173,11.18862,11.18862,11.18862,10.69131,13.74477,14.1208,14.1208,14.1208,1,10.745118762886602
2018,13.85733,13.11769,12.3644,13.32894,15.10332,15.77112,14.48961,13.3485,12.21535,12.53359,11.09286,10.41699,9.5239,9.06692,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.62349,9.25954,10.15891,11.51296,12.51243,11.96815,11.80592,11.80592,11.80592,11.80592,11.80592,11.62751,10.64848,10.64848,10.64848,9.92377,9.49103,9.49103,9.49103,9.49103,8.95128,8.33359,8.33359,8.33359,8.33359,8.33359,8.33359,8.33359,8.33359,8.33359,8.33359,8.33359,8.33359,8.33359,8.33359,8.33359,8.55058,9.49103,9.49103,10.0044,10.64848,11.25334,11.80592,12.41118,12.96336,13.68888,14.3579,15.62017,17.18365,17.92318,18.44192,18.44192,18.44192,18.44192,18.44192,18.44192,17.34121,17.28448,16.40259,16.12704,14.98637,14.9696,14.73185,13.81215,13.56378,12.65471,12.65471,12.4674,11.65159,11.57502,14.20894,14.58378,14.58378,14.58378,2,11.708822371134014
2018,14.53528,13.42634,13.10431,13.66182,15.63088,15.74122,15.12582,14.02208,12.75805,12.50038,11.40745,11.34294,10.20157,9.6069,9.02806,8.43472,7.87061,7.87061,7.87061,7.87061,7.87061,7.87061,8.87041,9.46456,10.55315,11.48261,12.50038,12.85549,12.80904,12.80904,12.80904,12.80904,12.80904,12.80904,12.30996,11.72876,11.67491,10.57131,10.23553,9.41387,9.41387,9.41387,10.13815,10.26266,10.26266,10.26266,10.26266,10.26266,10.26266,10.26266,10.26266,10.26266,10.26266,10.26266,9.43271,9.10522,9.10522,9.10522,9.10522,9.10522,9.10522,9.10522,9.91955,10.1855,11.21753,11.61671,12.50038,13.55822,14.35214,15.21947,16.05583,17.13016,17.13016,17.13016,17.13016,17.13016,17.13016,17.13016,16.99134,15.97271,15.97271,15.78734,14.81527,14.75071,13.65783,13.65783,13.65783,12.78694,12.50038,12.50038,12.06418,11.57443,14.84368,15.01617,14.93303,14.78023,3,12.011242268041242
2018,13.96648,13.96648,12.89366,13.69893,15.70682,15.81839,15.02053,13.8729,12.93111,12.54013,11.72876,10.56829,10.30237,9.41387,8.99603,8.25643,8.25643,8.25643,8.25643,8.25643,8.25643,8.25643,8.71688,9.41387,10.384,11.6918,12.38975,12.11126,11.96024,11.96024,11.96024,11.96024,11.96024,11.78269,11.11145,11.11145,10.94019,9.95401,9.95401,9.95401,9.28224,8.79657,8.79657,8.79657,8.79657,8.79657,8.6351,7.63912,7.63912,7.63912,7.63912,7.63912,7.63912,7.63912,7.63912,7.63912,7.63912,7.63912,8.76495,8.79657,8.79657,8.79657,8.79657,8.79657,9.75615,9.95401,10.01252,11.11145,11.81111,13.09097,14.71953,15.43257,15.43257,15.43257,15.43257,15.43257,15.43257,15.09472,14.27513,14.27513,14.27513,14.10514,13.11769,13.11769,13.11769,13.05894,11.96024,11.96024,11.96024,11.96024,11.96024,11.04119,14.24496,14.58378,14.58378,13.95591,4,11.102204948453613
2018,13.65783,13.65783,12.51404,13.51734,15.62017,15.71049,14.58181,13.23122,12.30454,12.48744,11.23355,10.41699,9.84124,9.25954,8.41265,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,9.24281,9.25954,9.25954,10.29137,10.33982,10.33982,10.33982,10.54482,11.49727,11.49727,11.49727,11.49727,11.20926,10.33982,10.33982,10.33982,10.33982,10.33982,9.45177,9.18238,9.18238,9.18238,9.18238,9.18238,9.18238,9.18238,9.18238,8.84109,8.02494,8.02494,8.02494,8.12269,9.18238,9.18238,9.18238,9.18238,9.18238,9.18238,9.18238,9.18238,9.18238,9.18238,9.18238,9.18238,9.18238,9.18238,9.18238,9.18238,9.18238,9.18238,10.96825,13.81215,13.3256,12.65471,12.65471,12.65471,12.28498,11.49727,11.49727,11.49727,11.49727,10.76776,11.09694,11.11813,10.03117,10.03117,13.89693,14.35229,14.35229,14.06784,5,10.333770309278345
2018,13.19485,13.19485,12.69846,13.20907,15.53257,15.55072,14.64448,13.65783,12.52286,12.87157,11.28644,10.66872,9.87685,8.72089,8.7194,8.05297,7.56196,7.56196,7.56196,7.56196,7.56196,7.56196,7.56196,7.56196,7.56196,7.56196,8.35186,8.7194,8.7194,8.7194,8.7194,9.49342,9.87685,9.87685,9.87685,9.87685,9.87685,9.87685,9.87685,9.87685,9.87685,9.87685,9.87685,9.87685,9.87685,9.87685,9.10809,8.7194,8.7194,8.7194,8.7194,8.7194,8.7194,8.7194,8.7194,8.7194,8.7194,8.7194,8.7194,8.7194,8.7194,8.7194,9.43799,9.87685,9.87685,10.86915,11.2491,12.22347,13.36716,14.8871,16.09825,16.77479,17.6703,17.6703,17.6703,17.55353,16.51285,16.51285,16.11394,15.35541,15.2825,14.19797,14.19797,14.19797,13.23562,13.04052,13.04052,11.91097,11.88308,11.88308,11.75261,10.8028,13.82161,14.1208,14.1208,14.1208,6,11.115977422680405
2018,14.1208,13.94347,12.96336,13.66191,15.77312,15.89555,15.18305,14.18456,13.31746,13.78539,12.33844,11.65159,10.7902,10.05144,9.41387,9.14411,8.25643,8.25643,8.25643,8.25643,8.25643,8.25643,8.80558,9.95055,11.15169,12.1704,13.0535,12.94575,12.73187,12.90528,13.88932,13.88932,13.88932,13.38392,12.48351,11.57443,11.57443,10.63449,10.41699,10.41699,9.97239,9.25954,9.25954,9.25954,9.25954,8.17479,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.88422,9.45466,10.41699,11.01419,11.80543,13.11237,14.55332,16.31065,17.99598,19.19959,19.44504,19.44504,19.44504,19.44504,19.44504,18.51142,18.2876,18.2876,17.44755,17.13016,16.3298,15.97271,15.47054,14.81527,14.11687,13.65783,13.58061,12.65471,12.65471,11.51393,14.60943,14.9696,14.9696,14.65393,7,12.19638814432989
2018,14.04364,14.04364,13.12162,14.09989,15.80759,15.89555,15.28937,14.46026,13.0799,13.49414,11.95812,11.4201,10.6764,10.13356,9.18238,8.32357,8.02494,8.02494,8.02494,8.02494,8.02494,8.4235,9.18238,10.12047,11.21906,12.51746,13.22171,12.9094,12.73187,12.73187,12.73187,12.73187,12.73187,12.48544,11.57443,11.57443,10.6989,10.41699,10.41699,10.41699,9.33918,9.25954,9.25954,9.25954,8.88137,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.1021,8.27679,9.25954,9.25954,10.1033,10.41699,11.5031,12.41812,13.40431,15.56691,16.8862,17.36164,18.36588,18.51909,18.51909,18.51909,18.51909,18.51909,17.93997,17.36164,16.72247,16.2042,16.18169,15.04676,14.89809,13.88932,13.88932,13.22795,12.73187,12.73187,12.37801,11.57443,14.69639,15.04676,15.04676,14.73029,8,11.931342886597934
2018,13.88932,13.88932,13.44632,14.06034,16.02084,16.12704,15.49348,14.44022,13.16222,13.60262,12.36861,11.49727,10.67145,10.14455,9.33671,9.09917,8.17926,8.17926,8.17926,8.17926,8.17926,8.73901,9.33671,10.20522,11.32069,12.56317,13.66943,13.05998,12.8862,12.8862,13.00986,13.96648,13.62059,13.11769,12.16435,11.63988,10.8028,10.8028,10.8028,10.10818,9.64536,9.64536,9.64536,8.61746,8.48791,8.48791,8.48791,8.48791,8.48791,8.48791,8.48791,8.48791,8.48791,8.48791,8.48791,8.48791,8.48791,8.48791,8.48791,8.48791,8.48791,8.48791,8.94019,9.64536,9.64536,10.49475,11.11259,12.25697,13.36103,15.07983,16.68179,17.74746,17.74746,17.74746,17.74746,17.74746,17.74746,17.74746,17.74746,17.40261,16.59002,16.46601,15.43257,15.43257,15.1662,14.27513,14.18644,13.11769,13.11769,12.85702,11.96024,11.96024,14.93432,15.27825,15.27825,14.83697,9,12.05848979381445
