Year,Rainfall,Solar_Exposure,Min_Temp,Max_Temp,Average_MWH
2015.0,0.0,30.6,18.2,32.8,4.058908020833335
2015.0,0.0,18.4,21.2,28.7,3.5118846875000016
2015.0,0.0,31.1,20.5,32.0,3.7241132291666648
2015.0,0.0,26.9,20.6,35.0,3.955391041666664
2015.0,1.6,13.3,20.0,26.5,4.299037187499998
2015.0,0.0,25.6,19.2,28.7,4.089309270833332
2015.0,0.0,30.9,19.5,30.3,4.182051770833334
2015.0,0.0,31.8,17.0,31.5,4.233425208333334
2015.0,0.0,23.3,20.0,34.4,3.893336562500002
2015.0,0.0,13.9,21.9,30.0,4.282081145833334
2015.0,8.4,3.0,20.0,22.4,4.1501697916666656
2015.0,20.6,9.2,20.2,23.3,4.445821875
2015.0,2.0,21.5,18.3,28.8,3.317486979166669
2015.0,0.0,30.7,20.6,32.2,3.392365729166667
2015.0,0.0,27.6,18.7,28.3,3.665572708333333
2015.0,0.0,29.9,18.5,31.5,3.6135059375
2015.0,0.0,32.2,19.7,34.7,4.471436874999999
2015.0,0.0,30.7,18.5,29.7,4.641143749999999
2015.0,5.6,3.5,19.3,21.6,4.295573854166665
2015.0,20.6,22.8,16.8,26.0,4.079111770833332
2015.0,0.2,26.9,19.2,28.8,4.222649999999999
2015.0,0.0,27.9,19.2,29.4,3.789148125000001
2015.0,0.0,28.6,20.2,31.8,3.991179270833333
2015.0,0.0,26.1,20.8,31.8,4.964586874999999
2015.0,0.0,27.1,19.7,36.5,5.8575657291666685
2015.0,0.0,2.9,20.0,21.0,5.2195309375
2015.0,17.4,3.1,17.6,19.8,4.665579479166667
2015.0,58.4,6.3,16.2,20.5,4.596311666666667
2015.0,25.0,25.7,13.0,24.4,4.083921562499999
2015.0,0.0,30.2,12.3,27.9,4.241698333333334
2015.0,0.0,27.0,14.5,27.0,3.995028124999999
2015.0,0.0,17.1,17.0,26.2,3.652151562499999
2015.0,0.0,15.4,17.2,25.0,5.134870208333331
2015.0,1.8,23.8,14.8,25.3,4.779102187499999
2015.0,0.0,17.9,13.6,25.0,4.724650625000001
2015.0,13.2,17.2,15.5,23.8,4.890700625
2015.0,0.0,15.8,13.4,24.8,5.159883541666667
2015.0,0.6,21.0,15.6,27.3,5.222417187499999
2015.0,0.0,27.8,15.9,35.2,5.2102953125
2015.0,0.0,9.1,21.2,26.2,5.2062546875
2015.0,0.0,20.3,19.2,28.4,4.831822916666667
2015.0,2.2,25.3,19.3,29.0,4.545708229166667
2015.0,0.0,24.7,17.8,29.0,4.772560520833335
2015.0,12.6,13.3,18.0,26.5,4.773907708333335
2015.0,8.0,17.4,17.7,27.7,4.974206770833333
2015.0,0.0,21.4,17.7,29.8,5.228381562499999
2015.0,0.0,23.8,17.8,29.3,5.203176354166667
2015.0,0.0,26.2,16.8,29.0,4.408903958333332
2015.0,0.0,24.0,17.5,28.9,5.343444062499999
2015.0,0.0,17.6,17.2,28.0,5.320354479166665
2015.0,0.0,14.1,18.3,27.2,5.212796666666669
2015.0,11.0,10.2,19.7,25.2,5.175083541666667
2015.0,5.0,16.6,18.9,27.3,5.331321666666665
2015.0,6.2,16.5,18.7,28.0,5.058098229166668
2015.0,0.0,14.4,19.5,26.4,5.357297187500001
2015.0,0.0,10.5,19.5,23.0,5.542781145833335
2015.0,6.6,11.9,18.0,27.2,5.302844375000001
2015.0,0.0,18.9,17.7,27.2,5.856026354166668
2015.0,4.0,21.3,17.2,30.6,5.105238645833334
2015.0,0.0,17.9,18.0,36.2,4.936110625
2015.0,0.0,11.7,15.8,23.7,5.184511874999999
2015.0,0.0,20.0,15.2,30.0,5.443112395833334
2015.0,0.0,16.0,20.7,29.5,5.062523645833333
2015.0,0.0,23.1,17.5,28.0,5.135062916666665
2015.0,0.0,24.3,13.4,30.2,5.9048985416666655
2015.0,0.0,14.0,15.5,26.1,5.028082604166665
2015.0,0.0,19.6,17.7,26.5,4.982480416666665
2015.0,0.0,24.0,17.3,32.8,5.731343750000001
2015.0,0.0,11.5,19.8,26.6,5.720376874999999
2015.0,0.0,15.7,18.7,30.5,5.681893958333333
2015.0,0.0,17.8,17.6,27.3,5.604737812499997
2015.0,8.2,3.4,17.8,21.0,5.632829375
2015.0,0.0,20.3,15.0,25.8,5.065409791666665
2015.0,0.0,13.1,11.6,24.0,4.806809374999999
2015.0,4.0,13.0,11.8,22.8,4.577840520833333
2015.0,0.0,11.8,16.2,23.0,4.450849166666665
2015.0,0.0,17.6,16.3,30.0,4.825666250000002
2015.0,0.0,22.1,16.8,31.6,5.06752645833333
2015.0,0.0,17.2,17.0,31.5,4.490293229166666
2015.0,7.0,7.4,16.0,22.3,4.695211145833331
2015.0,4.0,6.3,15.5,23.6,5.652070937499999
