year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00,averagemwh
2016,16.87081,16.20595,16.0065,16.0065,16.0065,16.0065,15.57434,15.52447,15.52447,15.52447,15.52447,15.52447,15.52447,15.52447,15.52447,15.52447,15.52447,15.52447,15.52447,15.67407,15.97325,16.40541,16.87081,17.05365,18.2504,19.03161,19.96241,21.20902,22.60523,23.36982,24.30062,24.96548,25.58048,26.26196,26.72736,26.86033,27.39222,27.64154,27.47533,27.3756,27.3756,27.30911,27.4587,28.23991,28.58897,28.40613,28.3064,28.02383,27.4587,27.40884,27.65816,27.64154,27.4587,27.40884,27.40884,27.40884,27.50857,27.4587,27.39222,27.39222,26.56114,26.41155,26.56114,26.49466,25.77993,25.58048,25.41426,25.08183,24.23413,24.23413,23.98481,23.18698,22.53874,22.2728,21.70767,21.62456,21.55807,21.47497,21.17578,20.81011,20.76024,20.76024,20.47768,20.76024,20.06214,19.86268,19.08147,18.93188,18.93188,18.76566,18.43323,17.73513,17.20324,17.08689,16.92068,16.63811,21.899680104166674
2016,16.63811,16.3223,16.18933,16.02312,15.74055,15.34164,15.29177,15.29177,15.29177,15.09231,14.84299,14.84299,14.84299,14.84299,14.84299,14.84299,14.84299,14.84299,14.84299,14.84299,14.84299,14.84299,14.84299,15.1588,15.55772,16.35555,16.65473,16.63811,16.83757,16.82095,17.36946,18.03432,18.4831,18.63269,19.24769,19.61336,19.97903,20.112,20.77686,21.22564,21.27551,21.27551,21.55807,21.69105,22.08996,22.12321,18.63269,16.50514,16.45528,16.88744,16.9373,16.55501,16.35555,16.20595,16.48852,16.48852,16.03974,16.03974,16.03974,16.03974,15.90677,15.59096,15.59096,15.59096,16.22258,20.12863,20.92646,21.02619,20.42781,20.16187,20.16187,20.16187,19.96241,19.71309,19.6466,19.26431,19.26431,19.26431,19.26431,18.93188,18.69918,18.36675,18.36675,18.05094,17.68527,17.46919,17.46919,17.46919,17.46919,17.46919,17.46919,17.46919,17.28635,17.02041,17.02041,17.02041,17.483038958333342
2016,16.90406,16.53838,16.13947,16.0896,16.0896,16.0896,15.74055,15.3915,15.19204,15.19204,15.19204,15.19204,15.19204,15.19204,15.19204,15.19204,15.19204,15.19204,15.07569,14.74326,14.74326,14.74326,14.74326,14.74326,14.75988,15.8569,16.12285,16.12285,16.12285,16.53838,16.57163,16.57163,16.72122,17.21987,17.73513,17.88472,18.35013,18.78229,19.09809,19.34742,19.77958,19.77958,19.77958,19.77958,19.77958,20.22836,20.727,20.52754,20.27822,20.27822,20.27822,20.27822,19.97903,19.82944,19.91255,19.97903,19.91255,20.27822,20.27822,20.27822,20.27822,20.27822,20.2616,20.06214,20.27822,19.89593,19.82944,19.82944,19.82944,19.86268,20.27822,19.96241,19.82944,19.7962,19.4139,19.29755,19.4139,19.11472,18.96512,18.86539,18.51634,18.51634,18.11743,18.06756,17.76837,17.61878,17.61878,17.61878,17.60216,16.90406,16.72122,16.72122,16.72122,16.27244,16.27244,16.27244,17.897017604166656
2016,15.95663,15.82366,15.6242,15.40812,15.40812,15.40812,15.40812,15.30839,14.95934,14.95934,14.95934,14.90948,14.51056,14.51056,14.51056,14.51056,14.87623,14.95934,14.95934,15.19204,15.92339,16.33893,16.67136,16.78771,17.73513,18.73242,19.7962,20.34471,21.72429,22.53874,23.15374,23.88508,24.79927,25.5971,26.11236,26.71074,27.30911,27.47533,27.54181,27.34235,27.75789,27.82438,27.89086,28.17343,28.20667,28.20667,28.14019,28.15681,28.15681,28.05708,28.00721,28.38951,28.14019,28.3064,28.0737,28.42275,28.42275,28.37289,27.85762,27.94073,27.35898,26.64425,26.56114,26.61101,26.51128,26.14561,25.5971,25.24805,25.11507,24.71616,24.33386,23.71887,22.93766,22.5055,22.22293,21.94037,21.72429,21.72429,21.44172,20.94308,20.727,20.31146,19.97903,19.97903,19.62998,19.5635,19.31417,19.11472,18.83215,18.69918,18.2504,17.73513,17.43594,17.28635,17.05365,16.40541,21.828173749999994
2016,16.33893,15.95663,15.89015,15.84028,15.49123,15.49123,15.49123,15.49123,15.49123,15.49123,15.49123,15.49123,15.30839,14.99259,14.99259,14.99259,15.12556,15.44137,15.44137,15.44137,16.20595,16.40541,16.95392,17.48581,18.03432,19.11472,19.86268,20.41119,21.75753,22.63847,23.41968,24.10116,24.54994,24.89899,25.6802,26.2952,26.82709,27.32573,27.64154,27.67478,28.00721,27.80776,27.97397,28.15681,21.52483,19.96241,19.96241,20.4943,22.52212,24.31724,24.30062,24.69954,26.39493,20.31146,20.27822,20.34471,20.41119,20.27822,19.86268,20.27822,22.02348,21.72429,21.69105,21.69105,21.62456,21.47497,20.97632,20.727,20.112,19.74633,19.48039,18.93188,18.39999,18.39999,18.18391,17.95121,17.73513,17.73513,17.60216,17.28635,17.28635,17.28635,16.68798,16.38879,16.02312,15.94001,15.54109,15.17542,15.04245,14.90948,14.41083,13.79584,13.57976,13.24733,13.24733,13.24733,19.27261947916666
2016,13.24733,12.89828,12.79855,12.79855,12.79855,12.66558,12.13369,11.90099,11.90099,11.90099,11.90099,11.90099,11.90099,11.90099,11.90099,11.90099,12.00072,12.34977,12.34977,12.34977,12.5326,13.24733,13.51327,13.69611,13.91219,14.99259,15.84028,16.38879,17.53567,17.80162,18.26702,19.03161,19.53025,24.06792,25.46413,26.04588,26.47804,26.36169,26.66087,26.47804,26.47804,26.74398,27.12627,27.3756,27.17614,26.96006,27.19276,27.3756,27.27587,27.02655,27.17614,27.12627,27.40884,27.12627,27.17614,26.69412,26.7606,26.89357,26.64425,26.74398,26.89357,26.81047,26.81047,26.71074,26.26196,25.84642,25.16494,24.81589,24.5167,24.10116,23.85184,23.50279,22.58861,22.0401,21.90713,21.49159,21.00957,20.727,20.727,20.727,20.41119,20.27822,20.22836,19.72971,19.38066,19.38066,19.38066,19.38066,19.08147,18.39999,17.70189,17.58554,17.18662,17.13676,16.90406,16.68798,20.304018750000008
2016,16.28906,16.0896,15.79042,15.79042,15.67407,15.34164,15.34164,15.34164,15.34164,15.34164,15.34164,15.34164,15.34164,15.34164,15.34164,15.32502,14.89286,14.89286,14.89286,15.12556,15.6242,15.97325,16.43866,16.72122,17.73513,18.79891,19.53025,20.66051,22.10658,22.62185,23.56928,23.96819,24.59981,25.38102,25.84642,26.31182,27.05979,27.1429,27.226,27.19276,27.40884,26.96006,27.15952,27.4587,27.4587,27.4587,27.27587,26.86033,26.89357,26.89357,27.02655,27.04317,27.1429,27.226,27.226,27.226,26.92682,27.15952,27.05979,26.97668,26.71074,26.61101,26.71074,26.59439,26.11236,25.39764,24.94886,24.94886,24.35049,24.08454,24.08454,23.96819,22.98752,22.70496,22.70496,22.62185,22.15645,21.84064,21.84064,21.60794,21.69105,21.20902,20.79349,20.79349,20.47768,20.34471,20.06214,19.48039,18.99836,18.54958,18.44986,17.71851,17.20324,17.20324,17.20324,17.20324,21.72809927083333
2016,16.78771,16.40541,16.33893,16.33893,15.92339,15.67407,15.44137,15.44137,15.44137,15.44137,15.44137,15.44137,15.44137,15.44137,15.44137,15.44137,15.44137,15.44137,15.44137,15.44137,15.74055,15.89015,16.60487,17.21987,18.31688,18.93188,19.86268,20.74362,21.87388,22.9709,24.13441,24.41697,25.31453,25.76331,26.22871,26.02926,26.81047,26.81047,26.81047,26.81047,26.81047,26.84371,27.15952,27.07641,27.19276,27.04317,27.04317,27.25925,26.9933,27.10965,26.84371,26.91019,27.1429,27.19276,27.19276,27.15952,27.226,27.226,26.86033,26.2952,25.91291,25.91291,25.87966,25.23142,24.9821,24.9821,24.61643,24.53332,23.65238,23.48617,23.22022,22.5055,21.94037,21.44172,21.04281,20.79349,20.77686,20.34471,20.34471,19.99565,19.89593,19.82944,19.44715,19.44715,19.26431,18.99836,18.81553,18.33351,18.13405,17.81824,17.30297,17.23649,17.23649,17.23649,16.78771,16.78771,21.413330416666668
2016,16.42203,16.33893,16.15609,15.89015,15.89015,15.87352,15.44137,15.04245,14.54381,14.54381,14.54381,14.54381,14.54381,14.54381,14.54381,14.54381,14.54381,14.54381,14.54381,14.54381,14.54381,14.54381,14.54381,14.56043,15.34164,16.17271,16.33893,16.33893,16.73784,17.46919,17.68527,18.0177,18.28364,18.58283,18.69918,19.48039,19.48039,19.77958,20.37795,20.37795,20.39457,20.37795,20.37795,20.37795,20.37795,20.37795,19.97903,19.92917,19.92917,20.112,20.37795,20.37795,20.37795,20.37795,20.04552,19.89593,19.89593,19.89593,19.89593,19.89593,19.89593,19.54687,19.48039,19.48039,19.48039,19.34742,19.38066,19.31417,19.44715,19.44715,19.44715,19.1812,18.99836,18.99836,18.59945,18.54958,18.54958,18.21715,18.1008,18.1008,18.1008,18.0177,17.65202,17.65202,17.50243,17.17,17.05365,16.72122,16.72122,16.72122,16.72122,16.4719,16.2392,16.2392,16.2392,16.2392,17.762835416666665
2016,15.87352,15.79042,15.7738,15.34164,15.34164,15.34164,15.34164,14.99259,14.77651,14.77651,14.77651,14.77651,14.77651,14.32773,14.32773,14.32773,14.32773,14.32773,14.32773,14.32773,14.32773,14.42745,14.74326,14.74326,14.74326,14.74326,15.14218,15.34164,15.64082,15.64082,15.72393,16.0896,16.42203,16.65473,16.98716,16.98716,17.25311,17.43594,17.71851,18.0177,18.41661,18.4831,18.78229,18.78229,18.83215,19.23107,19.23107,19.14796,18.78229,19.08147,19.23107,19.09809,19.13134,19.23107,19.06485,18.98174,19.09809,19.26431,19.26431,19.26431,18.88201,18.81553,18.93188,19.26431,19.03161,18.81553,18.81553,18.81553,18.81553,18.91526,19.26431,18.99836,18.84877,18.76566,18.39999,18.28364,17.95121,17.95121,17.95121,17.95121,17.95121,17.95121,17.8681,17.46919,17.46919,17.28635,16.9373,16.9373,16.48852,16.48852,16.27244,15.97325,15.97325,15.97325,15.97325,15.97325,17.07927552083334
