year,0:15,0:30,0:45,1:00,1:15,1:30,1:45,2:00,2:15,2:30,2:45,3:00,3:15,3:30,3:45,4:00,4:15,4:30,4:45,5:00,5:15,5:30,5:45,6:00,6:15,6:30,6:45,7:00,7:15,7:30,7:45,8:00,8:15,8:30,8:45,9:00,9:15,9:30,9:45,10:00,10:15,10:30,10:45,11:00,11:15,11:30,11:45,12:00,12:15,12:30,12:45,13:00,13:15,13:30,13:45,14:00,14:15,14:30,14:45,15:00,15:15,15:30,15:45,16:00,16:15,16:30,16:45,17:00,17:15,17:30,17:45,18:00,18:15,18:30,18:45,19:00,19:15,19:30,19:45,20:00,20:15,20:30,20:45,21:00,21:15,21:30,21:45,22:00,22:15,22:30,22:45,23:00,23:15,23:30,23:45,24:00:00,index,averagemwh
2022,25.855920576,25.659792869,25.359120827,25.09563873,25.057329491,24.825354574,24.488601229,24.300385074,24.481181476,24.161165463,24.05496335,23.928898641,23.870655466,23.974908586,24.070245172,24.012673316,24.242072286,24.087902203,24.083807864,24.277358961,24.651421795,24.541415254,24.758336241,24.905725032,25.542292618,25.992317467,26.032263409,26.200367305,26.644474951,26.736750547,27.3041216,27.697520182,28.403561031,28.851402579,29.396956518,29.63515573,30.262177001,30.44751299,30.736776476,31.048475663,31.200769259,31.551839206,31.941936663,32.151187299,32.168831363,32.277571667,31.940978959,31.828880561,32.179780232,32.031705375,31.737205516,31.51674442,31.553655347,31.557329625,32.245568919,31.702159974,31.614066813,31.494658875,31.38419824,31.425663172,31.78727112,31.986739374,32.087864269,32.132646815,31.804497143,31.77186526,31.799826222,31.767267834,31.271643807,31.58827467,31.556981214,31.329943188,30.912330038,30.744327534,30.549863809,30.335858883,30.05849179,29.805637374,29.507623197,29.433667141,29.144630156,29.009090264,28.636520997,28.564607991,28.211516167,27.975034989,28.023578436,27.858838497,27.515492888,27.346137358,26.978332429,26.757138284,26.656482017,26.367986633,26.037700298,25.801862424,0,28.2298897168866
2022,25.519699753,25.282978469,25.160064757,24.888809884,24.746492942,24.574842873,24.360334284,24.179532224,24.17169938,24.046970693,23.893632352,23.615540384,23.696109691,23.710978398,23.562518744,23.382867776,23.570540252,23.624449944,23.704382169,23.679094708,23.7618699,23.888144621,24.074264463,24.155787626,24.633740228,24.489527338,24.531564241,24.667852123,24.895933422,25.122663041,25.594463789,25.679713009,26.155178952,26.35208087,26.811512649,27.106747905,27.767834466,28.072848387,28.524627379,28.63734054,29.581566165,29.916342105,30.084541374,30.108620567,29.908087267,30.151178758,30.7327214,30.797904774,30.400227992,30.246831222,30.179845196,30.147050745,30.286194806,30.167655347,30.392195841,30.950404414,30.668355664,30.501741045,30.914449252,30.566670202,30.13322922,30.494516686,30.73409679,30.943771903,30.880415528,30.853146648,31.094869797,31.023726321,31.071046234,31.403541661,31.506525552,31.55590768,31.23357322,30.959951516,30.863022053,30.476160809,30.372933508,30.386315764,30.053438737,29.770779052,29.591042513,29.381136235,29.085801624,28.953933852,28.4516442,28.157298367,27.899915278,27.610225075,27.456429715,27.267471469,26.737733066,26.620995657,26.330800254,26.135203251,25.96553822,25.571681096,1,27.453872549618552
2022,25.162475767,25.156428212,24.791829331,24.543187191,24.65383298,24.529421729,24.074207101,23.89654126,24.017542944,23.753596834,23.730238095,23.621874342,23.740392907,23.613639123,23.691472538,23.720201415,24.094281921,24.196654619,24.295005091,24.440017086,25.143945587,25.463760667,25.924795701,26.542831759,28.056423296,28.475770466,29.32305569,30.211308767,31.286898379,31.699726518,32.910880803,33.486200417,34.404666874,34.953179722,35.423904544,35.560552001,36.105034384,36.308502271,36.373988392,36.353107951,36.589275306,36.595252771,36.794451968,37.119543234,37.424420641,37.431041511,37.97244719,38.159947497,38.304790442,38.593526028,38.610019939,38.463836465,38.895751627,38.871082086,39.298726557,39.32211122,39.751575305,39.522841149,39.212385358,38.99110405,39.015965366,38.989522006,38.870416682,38.671465475,38.449877638,38.150383014,37.588112913,37.436213665,36.823544184,36.60421366,36.199748259,35.660336549,34.919920658,34.657469566,33.723603956,33.545375301,33.09103006,32.674358904,32.486530475,32.201452619,31.762057071,31.48757176,31.136748242,30.567758034,30.257153597,29.753654553,29.373390885,28.862714265,28.597911872,27.9296303,27.556879431,27.314009669,27.063949121,26.624712508,26.316840179,26.069269836,2,31.609168013319593
2022,25.76880128,25.597181875,25.105108481,24.850575479,24.764849635,24.577499555,24.352875909,24.243537425,24.143991177,23.896616636,23.869203778,23.78150647,23.833809146,23.932176587,23.848442331,23.799319322,24.032926297,24.198284734,24.346971572,24.445661947,25.021450096,25.429688623,25.988957542,26.354119542,27.832243782,28.847120526,29.476725629,30.028141824,30.905555481,31.94112241,33.098379566,33.475625941,34.550609647,35.302047467,35.595869572,35.545374314,36.115725662,36.893588514,36.761706037,36.681028856,36.811260876,37.05618052,37.40294812,37.423667642,37.48920163,37.484898355,37.672637631,37.632676163,38.105621108,37.834127312,37.990770266,37.95313055,37.954303387,37.746291344,38.020520499,38.181537302,37.926689885,37.882167894,37.926014581,37.704206187,37.316658029,37.434742968,37.07216042,37.102085642,37.021182047,36.917255776,36.631794372,36.547356517,36.327591264,36.420157728,35.815129113,35.566730551,35.037577831,34.540810963,34.063049042,33.840559736,33.19978499,32.773449353,32.292912838,31.902862777,31.832478598,31.584982294,30.938336185,30.348850932,30.103314307,29.826768808,29.402842613,29.069874867,28.650233485,28.214111079,27.747854528,27.349493804,27.228545079,26.747678612,26.45658774,26.124045139,3,31.44209404068041
2022,25.675895257,25.329737439,25.078731377,24.807089449,24.879203913,24.753912923,24.395910947,24.202636835,24.24370964,24.03338955,23.921133753,23.893921748,23.996601621,24.001543057,24.177006762,24.0204283,24.221644319,24.483061668,24.519326588,24.579529411,25.223888738,25.718277311,26.162028897,26.903338615,28.359096991,29.269141391,30.073814354,30.807488033,32.006921283,32.665898286,33.535629843,33.988924138,35.160622119,35.928342066,36.557414145,36.826137687,37.430875398,37.751988068,37.479773397,37.557235721,37.879189813,37.695685051,37.709727601,37.488266055,37.80621709,38.213015915,38.378673208,38.265921734,38.411563205,38.108441739,37.608678377,38.456041954,38.367930357,38.332706766,38.177369839,37.756311016,37.753977441,38.322681523,38.157474123,38.021177913,37.873349521,37.159892708,37.31472856,37.162555307,37.200878144,37.210579572,36.985201211,36.829532098,36.508401663,36.406538051,35.84611074,35.6001611,35.112317365,34.800305567,34.168123106,33.931693153,33.389483616,33.127699796,32.733960553,32.558298366,32.120549482,31.823586254,31.205726472,30.565284321,30.194178008,29.852300116,29.405121617,29.063277034,28.730868264,28.408597351,27.967284499,27.488053592,26.946050545,26.642354199,26.396988005,26.315712279,4,31.737917979309277
2022,26.042727727,25.722259851,25.215772671,25.049321484,25.024110688,24.924694119,24.758328683,24.663766523,24.526653504,24.302165168,24.124061898,24.255074423,24.535763226,24.221989867,24.346873345,24.381550289,24.482469706,24.553186425,24.863562628,25.080605754,25.528003435,25.987538583,26.550642216,27.331252286,28.468949408,29.278184194,30.094139258,30.832450593,32.002388779,32.775915076,33.773768957,34.665255431,36.288945728,36.560671147,36.902065726,36.96107728,37.944692452,37.736973829,37.216170709,37.954111882,38.306981642,38.215260076,38.343484539,38.324313215,38.674979923,38.916968694,38.715067053,39.039367665,38.660283894,38.724426058,38.231684572,38.798292266,38.881936998,38.805731902,38.311146166,38.488744285,38.482665207,38.464852727,38.22251791,38.000911285,38.1741262,38.238125112,38.024429612,38.283699019,38.251773194,38.004956931,37.502813712,37.485594233,36.864609453,37.19460931,36.979641244,36.775591194,36.029735839,35.788499705,35.415435044,35.171124341,34.574566752,34.282220711,33.448302744,33.50895128,32.973253225,32.69626937,32.095605615,31.741192242,31.004103708,30.502815996,29.901501803,29.507048913,29.01002249,28.566112149,28.216289772,27.944610983,27.636483565,27.249937423,26.998544703,26.475466878,5,32.24799809783506
2022,26.166200811,25.832947835,25.770674168,25.621124157,25.476430848,25.226043784,24.995978852,24.84616643,24.876420196,24.604983046,24.544491365,24.241512996,24.351467864,24.440881134,24.332073197,24.346810566,24.578243034,24.846616001,24.799287059,24.838293873,25.487213529,25.977633041,26.415120717,26.854692065,27.956731451,29.109621068,29.642766978,30.336014227,31.310884702,32.285750937,33.167501866,33.969655783,35.135086702,36.106209836,36.606464664,37.291197121,37.481164325,37.327709025,37.538056777,37.210856099,37.949714849,38.163430938,38.404844823,38.392742819,39.512391572,38.964641617,38.449701401,39.005282265,39.310482768,39.161944355,39.127447826,39.097772373,38.954322517,39.174151265,38.829134306,38.727737331,38.998102585,39.156746075,39.086773989,38.690858123,38.323037015,38.217319553,38.158487237,37.964857915,37.463168641,37.419683414,37.055683168,36.938837404,36.548127032,36.508863449,35.589778188,34.92063993,34.169141832,33.790721677,33.036435073,32.590198539,32.102792984,31.870610141,31.463522909,31.317208215,31.01141735,30.636045272,30.104105075,29.891225715,29.598147694,29.36419144,29.066232125,28.592192369,28.35978619,28.011544914,27.619246115,27.47821399,27.410595054,26.935706464,26.676814411,26.267350265,6,31.871929182319583
2022,26.05917983,25.723946169,25.502948713,25.197959938,25.098218973,24.722216066,24.542968093,24.467191293,24.390727145,24.097214432,23.876354842,23.71709893,23.799488167,23.830797238,24.206590593,23.939547889,23.763232335,23.837077347,23.965404849,24.014563303,24.429330676,24.459242147,24.502076821,24.759466756,25.338087977,25.582108177,25.79274584,26.036510624,26.523960666,26.711530645,27.153143297,27.630246796,28.481449948,28.736816527,29.172326801,29.553516715,30.126764701,30.267268056,30.532792296,30.752599146,30.822047007,30.958225473,31.125376646,31.842641983,31.872630729,31.891719832,32.310217451,31.994548584,32.04717309,31.756878178,31.748337801,32.100718298,31.874743393,32.694889879,31.618499918,32.058722522,32.09589409,32.546558703,32.322199102,32.154077075,31.761762636,31.964846994,31.875162758,31.684002421,31.825428284,31.964488453,31.591570976,31.58640199,31.160036981,31.342604027,31.227499402,31.028269828,31.03534374,30.68046175,30.460820173,30.118091851,29.600291772,29.464481302,29.112002912,29.011768207,29.020027825,28.73787854,28.37300803,28.316405915,28.044541373,27.688814218,27.442927851,27.268893104,27.029799042,26.759589528,26.602146213,26.467055657,26.388596948,26.20061675,25.902207445,25.550163649,7,28.189884732536093
2022,25.409196023,24.930795611,24.750028696,24.60133215,24.491567101,24.390286162,24.110600155,23.831998831,23.837312515,23.443018625,23.487070544,23.481665228,23.597291666,23.46000057,23.386444857,23.125115798,23.226742402,23.293107414,23.374871702,23.513899557,23.781740397,23.664684517,23.710687935,23.853959032,24.309293352,24.391700881,24.609480528,24.696662203,25.04464125,25.108967882,25.2741915,25.641722689,25.995736391,25.949749684,26.458338527,26.972905314,27.662665368,27.983092495,28.387185264,28.859169135,29.226991856,29.467245876,29.669884929,29.581209357,29.790848048,29.912990896,30.141855795,30.225850679,30.065845871,29.831419438,29.760134737,29.960045396,30.211789824,30.196470452,30.136368169,30.141921544,29.893769476,30.212005356,30.198775707,30.167694582,30.163086713,30.060802859,29.95355054,30.039414892,30.256320496,30.588724545,30.391377187,30.431273356,30.449115829,30.542376896,30.742316937,30.769475422,30.455653153,30.401200759,30.143587088,30.161731493,29.8520935,29.552254554,29.403189572,29.32746499,29.161742308,29.042659463,28.638051842,28.671882758,28.358284834,27.819191305,27.529466164,27.253827105,27.050207481,26.972542051,26.511469081,26.130758635,25.926761356,25.691303663,25.464672136,25.248355645,8,27.175754892237116
2022,24.914172701,24.78501157,24.414131529,24.228847264,24.191538317,24.032780996,23.788505131,23.668045262,23.745537824,23.550241796,23.475700522,23.402286787,23.657670283,23.692048672,23.593123837,23.599098419,23.744556898,23.799227891,24.066067551,24.448109392,25.000988801,25.257636957,25.661568835,26.251239976,27.654737751,28.438555566,29.256123203,30.141296253,31.186506172,31.825657642,32.70950239,33.34401053,34.2083608,34.767984178,35.563129482,35.482946233,36.030808803,36.348951793,36.1364368,36.521269102,36.903003216,37.041708346,37.138370718,37.267976569,37.300479484,37.489714356,37.478673776,37.558611542,37.697804002,37.602272818,37.836337686,38.296798121,38.692583054,38.246671393,38.629894984,38.794494355,39.172969082,38.39268426,38.970247789,38.38795624,38.22679541,38.032833447,37.923202212,37.776926545,37.546561867,37.664270606,37.276877665,36.991470507,36.767943333,36.231585724,35.732191035,35.313560399,34.615072203,34.116134697,33.535755169,33.249953812,32.609689957,32.074815938,31.876146339,31.568576748,31.21721285,31.102722196,30.661877782,30.349737146,29.819105985,29.307435875,28.762146994,28.452925213,28.031931141,27.53154766,27.190875866,27.018308924,26.602167602,26.276490749,25.937515363,25.726015162,9,31.356722121865975
